guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
8ddf9e97-2127-4c33-9569-281d85956715,258691020,ChatSetPhrase_Phrase_01,よろしくお願いします！,Nice to meet you!,Enchanté !,Piacere di conoscerti!,"Freut mich, dich kennenzulernen!",Es un placer.,Всем привет!,Miło mi cię poznać!,,,Prazer em conhecer!,잘 부탁드립니다!,請多多指教！,请多多指教！,,,,,,,,Nice to meet you!,,,,,,,,,,,
48ba0097-49df-4b0e-aedc-168afbb6a5dc,3212191489,ChatSetPhrase_Phrase_02,ありがとう！,Thanks!,Merci !,Grazie!,Danke!,¡Gracias!,Спасибо!,Dzięki!,,,Agradeço!,고마워!,謝謝！,谢谢！,,,,,,,,Thanks!,,,,,,,,,,,
57e1350d-0250-4aaa-9f32-43330db11fee,775957595,ChatSetPhrase_Phrase_03,グッジョブ！,Good work!,Bon travail !,Ben fatto!,Gute Arbeit!,¡Buen trabajo!,Отличная работа!,Dobra robota!,,,Bom trabalho!,굿 잡!,Good Job！,做得好！,,,,,,,,Good work!,,,,,,,,,,,
d1338ae4-82fc-4d20-8b96-fcc7f54f4769,4179794285,ChatSetPhrase_Phrase_04,ごめんなさい,Sorry...,Désolé...,Scusa...,Tut mir leid...,Lo siento...,Простите...,Przepraszam...,,,Desculpe...,죄송합니다,對不起。,对不起。,,,,,,,,Sorry...,,,,,,,,,,,
2c94da97-3ce7-4ced-83e4-8b11a95387aa,709685768,ChatSetPhrase_Phrase_05,ドンマイ！,Don't sweat it!,Pas de problème !,Non preoccuparti!,Keine Sorge!,¡No te preocupes!,Не переживай!,Nic się nie bój!,,,Não se preocupe com isso!,괜찮아!,別在意！,别在意！,,,,,,,,Don't sweat it!,,,,,,,,,,,
4687adbb-0eff-4287-8ded-33915c686081,1525574138,ChatSetPhrase_Phrase_06,ついて来てください,"Hey, come over here.",Par ici !,"Ehi, da questa parte.","Hey, komm mal her.","Oye, ven aquí.","Эй, сюда!","Ej, chodź tu.",,,"Ei, venha aqui.",따라오세요,請跟過來。,请跟过来。,,,,,,,,"Hey, come over here.",,,,,,,,,,,
b36bc3ec-aaeb-41d8-b14e-4613eb318779,3618452088,ChatSetPhrase_Phrase_07,ついていきます,I'm coming with you!,J'arrive !,Vengo con te!,Ich komme mit dir!,¡Voy contigo!,Я тоже иду!,Idę z tobą!,,,Vou com você!,따라가겠습니다,會跟過去。,会跟过去。,,,,,,,,I'm coming with you!,,,,,,,,,,,
b539f13c-5cca-45fd-90d4-adf1fda5952c,3688768616,ChatSetPhrase_Phrase_08,わかりました,Understood.,Compris.,Ricevuto.,Verstanden.,Entendido.,Понятно!,Rozumiem.,,,Entendido.,알았습니다,知道了。,知道了。,,,,,,,,Understood.,,,,,,,,,,,
4bb94dcf-629f-49d2-8393-17172f8d6847,4051288348,ChatSetPhrase_Phrase_09,攻撃しましょう！,Attack!,À l'attaque !,All'attacco!,Angriff!,¡Al ataque!,В атаку!,Do ataku!,,,Ataque!,공격하죠!,攻擊吧！,攻击吧！,,,,,,,,Attack!,,,,,,,,,,,
44bfd108-6980-408d-aa3d-d8456cc368a2,3855184398,ChatSetPhrase_Phrase_10,助けて！,Help me!,Au secours !,Aiuto!,Hilfe!,¡Ayuda!,На помощь!,Pomocy!,,,Socorro!,도와줘!,請幫助我！,请帮助我！,,,,,,,,Help me!,,,,,,,,,,,
