guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c0f4014f-e791-4f78-802c-57dcd077db6c,2543649382,ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_01
13fc6d0f-5953-4012-89e9-45613c910268,3636936283,ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_02
fba50110-57ef-436f-8216-c4abf9103497,3841897742,ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03,<COLOR FF0000>#Rejected#</COLOR> ResultMsg_Reward_03
856bb6f4-a48a-453f-8e08-89c5092544a0,4243832793,ResultMsg_Reward_04,▼ターゲット報酬,▼ Target Rewards,▼ Récompenses cible,▼ Ricompense mostri assegnati,▼ Belohnung für Ziele,▼ Recompensas de objetivo,▼ Награды за цели,▼ Nagrody za cel,,,▼ Prêmios do alvo,▼타겟 보수,▼目標報酬,▼目标报酬,,,,,,,,▼ مكافآت الهدف,,,,,,,,,,,
11cfdc7c-c67c-496c-8a4f-d550345628a7,3123766173,ResultMsg_Reward_05,▼クエスト報酬,▼ Quest Rewards,▼ Récompenses quête,▼ Ricompense della missione,▼ Belohnung für Quests,▼ Recompensas de misión,▼ Награды за задание,▼ Nagrody za zadanie,,,▼ Prêmios da missão,▼퀘스트 보수,▼任務報酬,▼任务报酬,,,,,,,,▼ مكافآت المهام,,,,,,,,,,,
ba47c2f0-da64-4053-901e-d64520bc1e99,4292519618,ResultMsg_Reward_06,▼クエスト追加報酬,▼ Quest Bonus Rewards,▼ Récompenses bonus quête,▼ Ricompense aggiuntive,▼ Bonus-Belohnung für Quests,▼ Recompensas adicionales de misión,▼ Дополнительные награды за задание,▼ Nagrody bonusowe za zadanie,,,▼ Prêmios extras da missão,▼퀘스트 추가 보수,▼任務追加報酬,▼任务追加报酬,,,,,,,,▼ مكافآت المهام الإضافية,,,,,,,,,,,
961069ed-2526-4c32-9cbe-f437c2cc54d7,182336469,ResultMsg_Reward_07,▼サブターゲット報酬,▼ Subquest Rewards,▼ Récompenses sous-quête,▼ Ricompense obiettivi secondari,▼ Belohnung für Nebenquests,▼ Recompensas de submisión,▼ Награды за подзадание,▼ Nagrody za zadania poboczne,,,▼ Prêmios da missão parcial,▼서브 타겟 보수,▼次要目標報酬,▼次要目标报酬,,,,,,,,▼ مكافآت المهام الثانوية,,,,,,,,,,,
308a9863-03a8-4b62-bd70-c3e465a6c026,4186548365,ResultMsg_Reward_08,▼捕獲報酬,▼ Capture Rewards,▼ Récompenses capture,▼ Ricompense cattura,▼ Belohnung für Fänge,▼ Recompensas de captura,▼ Награды за поимку,▼ Nagrody za złapanie,,,▼ Prêmios da captura,▼포획 보수,▼捕獲報酬,▼捕获报酬,,,,,,,,▼ مكافآت الأسر,,,,,,,,,,,
72004930-fdf2-4cae-ba7e-5a1462ef094b,1640910803,ResultMsg_Reward_09,▼部位破壊報酬,▼ Broken Part Rewards,▼ Récompenses dégâts,▼ Ricompense parti mostri assegnati,▼ Belohnung für gebrochene Teile,▼ Recompensas por parte rota,▼ Награды за повреждение частей,▼ Nagrody za złamane części,,,▼ Prêmios de partes quebradas,▼부위 파괴 보수,▼破壞部位報酬,▼部位破坏报酬,,,,,,,,▼ مكافآت الأجزاء المحطمة,,,,,,,,,,,
c6d858b8-d757-4cf7-9fe2-ecdde2684ee6,4052772350,ResultMsg_Reward_10,▼フリーハント報酬,▼ Additional Rewards,▼ Récompenses supplémentaires,▼ Ricompense altri mostri,▼ Zusätzliche Belohnungen,▼ Recompensas adicionales,▼ Дополнительные награды,▼ Nagrody dodatkowe,,,▼ Prêmios adicionais,▼자유 사냥 보수,▼自由狩獵報酬,▼自由狩猎报酬,,,,,,,,▼ مكافآت إضافية,,,,,,,,,,,
