guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5ee822b3-c3d5-47cc-a825-c679acf07feb,3066586915,Fa_OtDojo_System_01,"オトモ道場を利用して
オトモの特訓をおこないます。",Train Buddies at the Buddy Dojo.,Entraîner des Pilpoils au Dojo.,Allena i compagni al Dojo compagni.,Trainiere Buddys im Buddy-Dojo.,Entrena camaradas en el dojo camarada.,Тренировать спутников в Додзё для спутников.,Trenuj kompanów w dojo kompanów.,,,Treine Amigos no Dojo dos Amigos.,"동반자 도장을 이용해
동반자를 특훈시킵니다.",使用隨從道場進行隨從的特訓。,"使用随从道场，
对随从进行特训。",,,,,,,,تدريب الرفاق عند الرفيق دوجو.,,,,,,,,,,,
a6d1a452-70a2-43f6-a58d-73bfb6c12051,1362411992,Fa_OtDojo_System_02,特訓の回数を選択します。,Select how many rounds the Buddies will train.,Choisir le nombre d'entraînements pour ce Pilpoil.,Seleziona un numero di allenamenti per i compagni.,"Wähle, wie viele Runden die Buddys trainieren.",Elige por cuántos turnos se entrenarán los camaradas.,"Выбрать, сколько раз будет
тренироваться этот спутник.",Wybierz liczbę treningów kompanów.,,,Selecione quantos rounds seus Amigos vão treinar.,특훈 횟수를 선택합니다.,選擇特訓次數。,选择特训次数。,,,,,,,,تحديد عدد الجولات التي سيتدرب عليها الرفاق.,,,,,,,,,,,
40cf4daf-4a9b-4d31-8b74-e4d47e0d3bfd,268529501,Fa_OtDojo_System_03,特訓するオトモを選択します。,Select which Buddies to train.,Sélectionner les Pilpoils à entraîner.,Scegli quali compagni allenare.,Wähle die Buddys für das Training aus.,Elige qué camaradas quieres entrenar.,"Выбрать спутника, который будет тренироваться.",Wybierz kompanów do trenowania.,,,Selecione quais Amigos treinar.,특훈할 동반자를 선택합니다.,選擇要特訓的隨從。,选择要特训的随从。,,,,,,,,تحديد أي الرفاق سيتدربون.,,,,,,,,,,,
5732f130-031a-4cae-9b1f-f062b269c7bf,1997518002,Fa_OtDojo_System_04,"特訓するオトモを選出ルールに
合った内容で選択します。","Select which Buddies to train according
to auto-selection criteria.","Sélectionner les Pilpoils à entraîner
selon les critères de sélection automatique.","Scegli quali compagni allenare tramite i criteri
di selezione automatica.","Wähle Buddys für das Training nach automatischen
Auswahlkriterien aus.","Elige qué camaradas entrenar según las
condiciones de autoselección elegidas.","Выбрать спутника, который будет тренироваться,
по критериям автовыбора.","Wybierz kompanów do trenowania według
kryteriów autowyboru.",,,"Selecione quais Amigos treinar de acordo
com o critério de seleção automática.","특훈할 동반자를 선출 규칙에 따라
선택합니다.","以符合挑選規則的內容
選擇要特訓的隨從。","按选出规则
选择要特训的随从。",,,,,,,,"تحديد أي الرفاق سيتدربون حسب
معايير الاختيار التلقائي.",,,,,,,,,,,
093f6c0c-9907-4eb9-b15a-c2c7bb677851,4176608932,Fa_OtDojo_System_05,登録した内容で特訓を開始します。,Begin training.,Commencer l'entraînement.,Inizia l'addestramento.,Starte das Training.,Comienza el entrenamiento.,Начать тренировку.,Rozpocznij trening.,,,Iniciar treinamento.,등록한 내용으로 특훈을 시작합니다.,以登錄的內容進行特訓。,以登记的内容开始特训。,,,,,,,,بدء التدريب,,,,,,,,,,,
ad2a72a6-1b3a-4588-92c9-0b638e296c22,2120616855,Fa_OtDojo_System_06,"登録した内容で特訓を開始します。
<COL RED>（未選択の項目があります）</COL>","Begin training.
<COL RED>(You must fill out all required settings first.)</COL>","Commencer l'entraînement.
<COL RED>Vous devez fixer tous les paramètres demandés.</COL>","Inizia l'addestramento.
<COL RED>(Devi prima regolare tutte le impostazioni
richieste.)</COL>","Starte das Training.
<COL RED>(Du musst erst alle erforderlichen Einstellungen
vornehmen.)</COL>","Comienza el entrenamiento.
<COL RED>(Antes debes rellenar todas las opciones).</COL>","Начать тренировку.
<COL RED>(Сперва надо настроить все нужные параметры.)</COL>","Rozpocznij trening.
<COL RED>(Musisz najpierw wypełnić wszystkie
wymagane ustawienia).</COL>",,,"Iniciar treinamento.
<COL RED>(Preencha todas as configurações
necessárias primeiro.)</COL>","등록한 내용으로 특훈을 시작합니다.
<COL RED>(선택하지 않은 항목이 있습니다)</COL>","以登錄的內容進行特訓。
<COL RED>（尚有未選擇的項目）</COL>","以登记的内容开始特训。
<COL RED>（存在未选择的项目）</COL>",,,,,,,,"بدء التدريب.
<COL RED>(يجب استيفاء الإعدادات المطلوبة أولًا.)</COL>",,,,,,,,,,,
a70de05d-04cf-45cd-8e02-254031dbe580,3561515088,Fa_OtDojo_System_07,特訓の回数を選択してください。,Select how many rounds the Buddies will train.,Choisir le nombre d'entraînements pour ce Pilpoil.,Seleziona un numero di allenamenti per i compagni.,"Wähle, wie viele Runden die Buddys trainieren.",Elige por cuántos turnos se entrenarán los camaradas.,"Выбрать, сколько раз будет
тренироваться этот спутник.",Wybierz liczbę treningów kompanów.,,,Selecione quantos rounds seus Amigos vão treinar.,특훈 횟수를 선택하십시오.,請選擇要特訓的次數。,请选择特训次数。,,,,,,,,تحديد عدد الجولات التي سيتدرب عليها الرفاق.,,,,,,,,,,,
64eb42a8-7881-4f65-8bd8-bf92c6647f1d,3706365372,Fa_OtDojo_System_08,"特訓の回数を選択してください。
<COL RED>（カムラポイントが不足しています）</COL>","Select how many rounds the Buddies will train.
<COL RED>(You don't have enough Kamura Points.)</COL>","Choisir le nombre d'entraînements pour ce Pilpoil.
<COL RED>Vous n'avez pas assez de points Kamura.</COL>","Seleziona un numero di allenamenti per i compagni.
<COL RED>(Punti Kamura insufficienti.)</COL>","Wähle, wie viele Runden die Buddys trainieren.
<COL RED>(Du hast nicht genügend Kamura-Punkte.)</COL>","Elige por cuántos turnos se entrenarán los camaradas.
<COL RED>(No tienes suficientes puntos Kamura).</COL>","Выбрать, сколько раз будет
тренироваться этот спутник.
<COL RED>(Недостаточно очков Камуры.)</COL>","Wybierz liczbę treningów tego kompana.
<COL RED>(Nie masz wystarczająco dużo
punktów Kamury).</COL>",,,"Selecione quantas vezes seu Amigo vai treinar.
<COL RED>(Pontos Kamura insuficientes.)</COL>","특훈 횟수를 선택하십시오.
<COL RED>(카무라 포인트가 부족합니다)</COL>","請選擇要特訓的次數。
<COL RED>（神火點數不足）</COL>","请选择特训次数。
<COL RED>（炎火点数不足）</COL>",,,,,,,,"تحديد عدد الجولات التي سيتدرب عليها الرفاق.
<COL RED>(لا توجد نقاط كامورا كافية.)</COL>",,,,,,,,,,,
2c69af85-f4b2-4d2b-b719-83a605b2e1cb,203319663,Fa_OtDojo_System_09,"自動オトモ選出の
ルールを選択してください。",Choose the Buddy auto-selection criteria.,"Choisir les critères de sélection automatique
des Pilpoils.","Scegli i criteri di selezione automatica
del compagno.","Wähle die Kriterien für die automatische Buddy-
Auswahl.","Selecciona las condiciones de autoselección del
camarada.",Выбрать критерии автовыбора спутника.,Wybierz kryteria autowyboru kompana.,,,Escolha o critério de autoseleção do Amigo.,"자동 동반자 선출 규칙을
선택하십시오.",請選擇自動挑選隨從的規則。,请选择自动选出随从的规则。,,,,,,,,تحديد معايير الاختيار التلقائي للرفيق.,,,,,,,,,,,
96eff1b4-97fd-4456-86de-fbd0f50b7d7b,2754329417,Fa_OtDojo_System_10,"オトモ道場を利用した
オトモの特訓成果を確認できます。",View the training results from the Buddy Dojo.,Voir les résultats de l'entraînement au Dojo.,"Visualizza i risultati degli allenamenti
dal Dojo compagni.","Sieh dir die Ergebnisse des Trainings im
Buddy-Dojo an.","Ve los resultados del entrenamiento en el dojo
camarada.","Просмотреть результаты тренировки
в Додзё для спутников.",Wyświetl wyniki treningu w dojo kompanów.,,,"Veja os resultados do treinamento no Dojo
dos Amigos.","동반자 도장을 이용한
동반자의 특훈 성과를 확인할 수 있습니다.",可確認使用過隨從道場的隨從之特訓成果。,"可确认使用完随从道场后，
随从取得的特训成果。",,,,,,,,إظهار نتائج التدريب من الرفيق دوجو.,,,,,,,,,,,
