guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
39693343-7f92-47c7-bc35-277b29b965ff,1606433085,Fa_OtRecon_TopMenu_MR,オトモ偵察隊,Buddy Recon,Reconnaissance Pilpoil,Pattuglia compagni,Buddy-Späher,Avanzada camarada,Разведка спутников,Zwiady kompana,,,Reconhecimento de Amigos,동반자 정찰대,隨從偵察隊,随从侦察队,,,,,,,,استطلاع الأصدقاء,,,,,,,,,,,
6f314463-8fd0-418c-bc44-1fb93ddcd53b,2068337726,Fa_OtRecon_Menu_TopMenu_right1_MR,偵察状況,Recon Status,Progression Reconnaissance,Progresso pattuglia,Späher-Status,Progreso de avanzada,Разведка — статус,Status zwiadu,,,Status de Recon,정찰 상황,偵察狀況,侦察状况,,,,,,,,حالة الاستطلاع,,,,,,,,,,,
b559fcc6-4a5f-430e-b79d-0818ba45dc8f,617895464,Fa_OtRecon_Menu_TopMenu_right2_MR,派遣中,Out on Recon,En reconnaissance,Fuori in pattuglia,Späht derzeit,En un punto de avanzada,В разведке,Na zwiadzie,,,Em reconhecimento,파견 중,派遣中,派遣中,,,,,,,,قيد الاستطلاع,,,,,,,,,,,
3383006a-5cae-4f1a-a379-f9d79bd22620,1874343050,Fa_OtRecon_Menu_TopMenu_right3_MR,オトモ未配置,Buddy not deployed.,Pilpoil non déployé.,Compagno non inviato.,Buddy nicht entsandt.,Camarada sin desplegar.,Спутник не задействован.,Kompan niewysłany.,,,Amigo não despachado.,동반자 미배치,尚未配置隨從,尚未部署随从,,,,,,,,لم يتم نشر الصديق.,,,,,,,,,,,
26d49f81-717f-4f6c-bb53-a681fce602c0,3751203607,Fa_OtRecon_Menu_TopMenu_right4_MR,偵察地点未発見,No Recon Points available.,0 point de R disponible.,Nessun punto di ricognizione.,Keine Späherpunkte verfügbar.,Sin ptos. recon.,Нет пунктов разведки.,Brak punktów zwiadowczych.,,,Nenhum Ponto de Recon. Disp.,정찰 지점 미발견,尚未發現偵察地點,未发现侦察地点,,,,,,,,لا تتوفّر نقاط استطلاع.,,,,,,,,,,,
7ea66bda-39db-45ba-9a4e-72df9018713c,1753971325,Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right5_MR
eb7fe7d2-4a1b-43ce-b477-8205a80ab3b6,3793978266,Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtRecon_Menu_TopMenu_right6_MR
f25a9834-20e2-41a5-a517-a12af2b6e155,1822697667,Fa_OtRecon_Menu_Choice1_MR,偵察地点選択,Select Recon Point,Sélect. Point de reconnaissance,Scegli punto di pattuglia,Späherpunkt wählen,Elegir punto de avanzada,Выбрать пункт разведки,Wybierz punkt zwiadowczy,,,Selecionar Ponto de Recon,정찰 지점 선택,選擇偵察地點,选择侦察地点,,,,,,,,تحديد نقطة الاستطلاع,,,,,,,,,,,
e9a51525-82de-477f-985c-f42b222aca4c,2312369724,Fa_OtRecon_Menu_Choice2_MR,オトモ選択,Select a Buddy,Sélectionner un Pilpoil,Scegli un compagno,Einen Buddy wählen,Elegir a un camarada,Выбрать спутника,Wybierz kompana,,,Selecionar Amigo,동반자 선택,選擇隨從,选择随从,,,,,,,,حدد صديقًا.,,,,,,,,,,,
5f07233d-9001-4cae-bad8-98a1f00b3aa1,2146027429,Fa_OtRecon_Menu_spot1_MR,大社跡の偵察地点１,Shrine Ruins Point 1,Temple oublié ①,Punto Rov. sacre 1,Heilige Ruinen 1,Templo olvidado 1,Руины святилища 1,"Ruiny Świątynne, pkt 1",,,Ruínas do Templo Pt.1,사원 폐허의 정찰 지점 1,大社遺跡的偵察地點1,废神社的侦察地点1,,,,,,,,نقطة أطلال الضريح 1,,,,,,,,,,,
