guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
88ac7f2c-66de-470d-9e53-98b083480698,3077752265,ItemShop_System_01,アイテムを購入します。,Purchase items.,Acheter des objets.,Acquista oggetti.,Kaufe Objekte.,Compra objetos.,Купить предметы.,Kup przedmioty.,,,Comprar itens.,아이템을 구입합니다.,購買道具。,购买道具。,,,,,,,,شراء عناصر.,,,,,,,,,,,
171de688-783d-40a8-9a1e-71544fdab8eb,607271480,ItemShop_System_02,アイテムを売却します。,Sell items.,Vendre des objets.,Vendi oggetti.,Verkaufe Objekte.,Vende objetos.,Продать предметы.,Sprzedaj przedmioty.,,,Vender itens.,아이템을 매각합니다.,出售道具。,出售道具。,,,,,,,,بيع عناصر.,,,,,,,,,,,
abe35b5c-2d3d-4068-9b9d-04dcb154092c,4274279915,ItemShop_System_03,福引をします。,Try your luck.,Tenter votre chance.,Tenta la fortuna.,Versuche dein Glück.,Pon a prueba tu suerte.,Испытать удачу.,Spróbuj szczęścia.,,,Tentar a sorte.,추첨을 합니다.,進行抽獎。,进行抽奖。,,,,,,,,جرب حظك.,,,,,,,,,,,
9147c6a7-e6d9-4062-bc40-df416c7772f2,2290352332,ItemShop_System_04,"福引をします。
<COL RED>（福引を引けるのは
　セール中に１度までです）</COL>","Try your luck.
<COL RED>(You can only enter the Lottery once during a sale.)</COL>","Tenter votre chance.
<COL RED>Vous ne pouvez participer à la loterie
qu'une seule fois pendant les soldes.</COL>","Tenta la fortuna.
<COL RED>(Puoi partecipare alla lotteria solo una volta
durante i saldi.)</COL>","Versuche dein Glück.
<COL RED>(Du kannst nur während eines Angebots an der
Lotterie teilnehmen.)</COL>","Pon a prueba tu suerte.
<COL RED>(Solo puedes participar en la lotería una vez
durante una venta).</COL>","Испытать удачу.
<COL RED>(Один лотерейный талон
за одну покупку.)</COL>","Spróbuj szczęścia.
<COL RED>(Podczas wyprzedaży możesz wziąć udział
w loterii tylko raz).</COL>",,,"Tente a sorte.
<COL RED>(Você só pode participar da Loteria uma vez durante a promoção.)</COL>","추첨을 합니다.
<COL RED>(추첨은 세일 중에
 한 번만 가능합니다)</COL>","進行抽獎。
<COL RED>（每次特賣時
　僅能抽1次獎）</COL>","进行抽奖。
<COL RED>（每次促销只能抽奖1次）</COL>",,,,,,,,"جرب حظك.
<COL RED>(يُمكن دخول اليانصيب مرة واحدة خلال وقت الخصم).</COL>",,,,,,,,,,,
aa35965a-9e99-4b50-8e2b-9ef9fb375e4d,1807140116,ItemShop_System_05,"福引をします。
<COL RED>（福引券または
　500ｚが必要です）</COL>","Try your luck.
<COL RED>(Requires a Lottery Ticket or 500z.)</COL>","Tenter votre chance.
<COL RED>Requiert un ticket loterie
ou 500 z.</COL>","Tenta la fortuna.
<COL RED>(Richiede un biglietto della lotteria o 500z.)</COL>","Versuche dein Glück.
<COL RED>(Erfordert ein Lotterielos oder 500z.)</COL>","Pon a prueba tu suerte.
<COL RED>(Necesitas un cupón de lotería o 500 zenis).</COL>","Испытать удачу.
<COL RED>(Требуется лотерейный талон
или 500 зени.)</COL>","Spróbuj szczęścia.
<COL RED>(Wymaga kwitu loteryjnego albo 500 z).</COL>",,,"Tente a sorte.
<COL RED>(Requer um Bilhete de Loteria ou 500 z.)</COL>","추첨을 합니다.
<COL RED>(추첨권 혹은
 500z가 필요합니다)</COL>","進行抽獎。
<COL RED>（需使用抽獎券
　或是500z）</COL>","进行抽奖。
<COL RED>（需要抽奖券或500z）</COL>",,,,,,,,"جرب حظك.
<COL RED>(يتطلب تذكرة اليانصيب أو z500)</COL>.",,,,,,,,,,,
4491ce18-a4cd-40db-afc0-4135afabcf04,3848442394,ItemShop_System_06,"アイテムを購入し、
アイテムポーチにしまいます。",Purchase items and put them in your item pouch.,"Acheter des objets et les placer
dans votre inventaire.",Acquista oggetti e conservali nella tua borsa.,Kaufe Objekte und lege sie in deinen Objektbeutel.,"Compra objetos y llévalos en tu bolsa
de objetos.","Купить предметы и положить их
в сумку для предметов.",Kup przedmioty i umieść je w sakwie.,,,Compre itens e coloque-os na bolsa de itens.,"아이템을 구입하여
아이템 주머니에 넣습니다.",購買道具，並放進道具袋。,"购买道具后
放进道具袋。",,,,,,,,شراء العناصر ووضعها في حقيبة العناصر.,,,,,,,,,,,
d10bceb8-c2d3-4f49-bf65-aa9ae9eac07d,3580716776,ItemShop_System_07,"アイテムを購入し、
アイテムＢＯＸに送ります。",Purchase items and send them to your item box.,"Acheter des objets et les déplacer
dans votre coffre.",Acquista oggetti e inviali alla cassa oggetti.,Kaufe Objekte und verstaue sie in deiner Objekttruhe.,"Compra objetos y envíalos a tu baúl
de objetos.","Купить предметы и поместить их
в ящик предметов.","Kup przedmioty i wyślij je do
skrzynki na przedmioty.",,,Compre itens e envie-os para sua caixa de itens.,"아이템을 구입하여
아이템 BOX로 보냅니다.",購買道具後，送至道具箱。,"购买道具后
送往道具箱。",,,,,,,,شراء العناصر وإرسالها إلى صندوق العناصر.,,,,,,,,,,,
fb92d5b4-2d5a-4c40-aee7-acb19299a49a,824255543,ItemShop_System_08,購入するアイテムを選択してください。,Select an item to purchase.,Sélectionner un objet à acheter.,Scegli un oggetto da acquistare.,"Wähle ein Objekt, das du kaufen möchtest.",Elige el objeto que quieres comprar.,Выбрать предмет для покупки.,Wybierz przedmiot do kupienia.,,,Selecione um item para comprar.,구입할 아이템을 선택하십시오.,請選擇要購買的道具。,请选择要购买的道具。,,,,,,,,تحديد العنصر المُراد شراؤه.,,,,,,,,,,,
e8efc6e5-2c39-4c7b-a619-78297ed22401,593598852,ItemShop_System_09,"購入するアイテムを選択してください。
<COL RED>（これ以上持てません）</COL>","Select an item to purchase.
<COL RED>(You can't carry any more of these.)</COL>","Sélectionner un objet à acheter.
<COL RED>Vous avez atteint le maximum
pour cet objet.</COL>","Scegli un oggetto da acquistare.
<COL RED>(Numero massimo raggiunto.)</COL>","Wähle ein Objekt, das du kaufen möchtest.
<COL RED>(Du kannst davon nicht noch mehr tragen.)</COL>","Elige el objeto que quieres comprar.
<COL RED>(No puedes llevar más de este objeto).</COL>","Выбрать предмет для покупки.
<COL RED>(У вас максимальное количество
предметов этого типа.)</COL>","Wybierz przedmiot do kupienia.
<COL RED>(Nie możesz nieść ich więcej).</COL>",,,"Selecione um item para comprar.
<COL RED>(Você não pode carregar mais disso.)</COL>","구입할 아이템을 선택하십시오.
<COL RED>(더는 가질 수 없습니다)</COL>","請選擇要購買的道具。
<COL RED>（無法持有更多道具）</COL>","请选择要购买的道具。
<COL RED>（无法持有更多）</COL>",,,,,,,,"تحديد العنصر المُراد شراؤه.
<COL RED>(لا يُمكن حمل المزيد من ذلك).</COL>",,,,,,,,,,,
ebdca5cd-9292-4421-9cc9-42cc7dbd9b09,213884908,ItemShop_System_10,"購入するアイテムを選択してください。
<COL RED>（ポーチに空きがありません）</COL>","Select an item to purchase.
<COL RED>(Your pouch is full.)</COL>","Sélectionner un objet à acheter.
<COL RED>Votre inventaire est plein.</COL>","Scegli un oggetto da acquistare.
<COL RED>(La tua borsa oggetti è piena.)</COL>","Wähle ein Objekt, das du kaufen möchtest.
<COL RED>(Dein Beutel ist voll.)</COL>","Elige el objeto que quieres comprar.
<COL RED>(Tu bolsa está llena).</COL>","Выбрать предмет для покупки.
<COL RED>(В вашей сумке нет места.)</COL>","Wybierz przedmiot do kupienia.
<COL RED>(Twoja sakwa jest pełna.)</COL>",,,"Selecione um item para comprar.
<COL RED>(Sua bolsa está cheia)</COL>","구입할 아이템을 선택하십시오.
<COL RED>(주머니에 빈 공간이 없습니다)</COL>","請選擇要購買的道具。
<COL RED>（道具袋沒有空位）</COL>","请选择要购买的道具。
<COL RED>（道具袋没有空位）</COL>",,,,,,,,"تحديد العنصر المُراد شراؤه.
<COL RED>(الحقيبة ممتلئة).</COL>",,,,,,,,,,,
