guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
623c516f-272f-48c5-82c6-46bc3399bc27,1602484955,HN_Hunternote_TopMenu_01,ハンターノート,Hunter's Notes,Compendium,Note di caccia,Jägernotizen,Notas de cazador,Охотничьи записи,Notatki łowcy,,,Anotações de Caçador,헌터 노트,獵人筆記,猎人笔记,,,,,,,,ملاحظات الصيّاد,,,,,,,,,,,
c5800503-fdd6-46ab-9816-c8bd16a7efc5,605072046,HN_Hunternote_ContentsName_01,ハンターの心得,Hunter Info,Notes de chasse,Info cacciatore,Jäger-Info,Información de cazador,Информация об охотнике,Informacje o łowcy,,,Informações de Caçador,헌터의 마음가짐,獵人心得,猎人心得,,,,,,,,معلومات الصياد,,,,,,,,,,,
709d146c-3984-42d2-9ac8-0751563dbb3c,627019502,HN_Hunternote_ContentsName_02,大型モンスターリスト,Large Monsters,Grands monstres,Mostri grandi,Große Monster,Monstruos grandes,Крупные монстры,Duże potwory,,,Monstros Grandes,대형 몬스터 목록,大型魔物清單,大型怪物列表,,,,,,,,وحوش ضخمة,,,,,,,,,,,
413d1216-593b-4c92-8e72-d32aac1f4d1d,629795302,HN_Hunternote_ContentsName_03,小型モンスターリスト,Small Monsters,Petits monstres,Mostri piccoli,Kleine Monster,Monstruos pequeños,Мелкие монстры,Małe potwory,,,Monstros Pequenos,소형 몬스터 목록,小型魔物清單,小型怪物列表,,,,,,,,وحوش صغيرة,,,,,,,,,,,
3ab87c61-2de9-4bb0-8407-9deeb425705c,955956389,HN_Hunternote_ContentsName_04,環境生物リスト,Endemic Life,Faune locale,Fauna endem.,Einheimische Wesen,Fauna local,Местная живность,Lokalna fauna,,,Vida nativa,환경생물 목록,環境生物清單,环境生物列表,,,,,,,,حياة مستوطنة,,,,,,,,,,,
d4d2fd4c-1a0b-4337-a937-70ce6cdf0e98,2883308948,HN_Hunternote_ContentsName_05,手記帳,Notebook,Carnet,Taccuino,Notizbuch,Cuaderno,Тетрадь,Notes,,,Caderno,일지,筆記本,手记簿,,,,,,,,مذكرة,,,,,,,,,,,
6b3493bb-2b6e-40ce-9505-61c06f7c81b0,2383052194,HN_Hunternote_ContentsName_06,基本操作指南,Basic Controls,Commandes de base,Comandi di base,Grundsteuerung,Controles básicos,Основное управление,Sterowanie podstawowe,,,Controles Básicos,기본 조작 방법,基本操作指南,基本操作指南,,,,,,,,عناصر تحكم أساسية,,,,,,,,,,,
c0825e26-d8b3-4849-a6e0-077c5809e9b0,118294361,HN_Hunternote_ContentsName_07,武器操作指南,Weapon Controls,Guide de combat,Comandi delle armi,Waffensteuerung,Guía de armas,Управление оружием,Sterowanie i kombinacje,,,Controles de Arma,무기 조작 방법,武器操作指南,武器操作指南,,,,,,,,عناصر تحكم في السلاح,,,,,,,,,,,
6f51a3a5-e7b8-4ac8-884f-7d96ed190a93,2261442976,HN_Hunternote_ContentsName_08,アルバムメニュー,Album Menu,Menu de l'album,Menu registro osservaz.,Alben-Menü,Álbum,Меню альбома,Menu albumu,,,Menu do Álbum,앨범 메뉴,相簿選單,相簿菜单,,,,,,,,قائمة الألبوم,,,,,,,,,,,
fe60de40-83b2-4bf3-a3d1-597da9b32358,592101562,HN_Hunternote_ContentsName_09,取扱説明書,Manual,Manuel,Manuale,Anleitung,Manual,Руководство,Instrukcja gry,,,Manual,사용설명서,使用說明書,使用说明书,,,,,,,,الدليل,,,,,,,,,,,
8738420c-7d22-4615-b546-99e98dda042e,662819402,HN_Hunternote_ML_Tab_01,生態,Ecology,Écologie,Generale,Ökologie,Ecología,Экология,Ekologia,,,Ecologia,생태,生態,生态,,,,,,,,العلم البيئي,,,,,,,,,,,
995170a3-c2a1-48da-acfd-bf0361252691,1479247206,HN_Hunternote_ML_Tab_02,部位と肉質,Physiology,Physiologie,Fisiologia,Physiologie,Fisiología,Физиология,Fizjologia,,,Fisiologia,부위와 육질,部位與肉質,部位与肉质,,,,,,,,العلم النفسي,,,,,,,,,,,
032e97b7-f5b1-492f-8006-5d296327092b,1037636500,HN_Hunternote_ML_Tab_03,状態異常,Ailments,Afflictions,Anomalie,Anorm.Status,Est. alter.,Нег. статусы,Szkod. efek.,,,Efeitos,상태 이상,狀態異常,状态异常,,,,,,,,اعتلالات,,,,,,,,,,,
68757528-c42d-4773-bd18-27493822a468,987441907,HN_Hunternote_ML_Tab_04,素材,Materials,Matériaux,Materiali,Materialien,Materiales,Сырье,Materiały,,,Materiais,소재,素材,素材,,,,,,,,المواد,,,,,,,,,,,
632d6b67-6b8d-436c-b222-9bd763e70251,3286748633,HN_Hunternote_ML_Btn_Picture_01,<ICON PAD_Y>写真の設定,<ICON PAD_Y> Picture Settings,<ICON PAD_Y>Param. photo,<ICON PAD_Y> Impost. imm.,<ICON PAD_Y> Bildoptionen,<ICON PAD_Y> Ajustes de foto,<ICON PAD_Y> Настройки фото,<ICON PAD_Y> Ustaw. zdjęć,,,<ICON PAD_Y> Config. Fotos,<ICON PAD_Y>사진 설정,<ICON PAD_Y>設定照片,<ICON PAD_Y>设置照片,,,,,,,,<ICON PAD_Y> إعدادات الصورة,,,,,,,,,,,
f948789c-2ba6-4981-bb91-17faac1ae864,3989884267,HN_Hunternote_ML_Btn_Picture_02,<ICON PAD_X>写真の切替,<ICON PAD_X> Switch Pictures,<ICON PAD_X>Changer image,<ICON PAD_X> Cambia imm.,<ICON PAD_X> Bild wechseln,<ICON PAD_X> Cambiar fotos,<ICON PAD_X> Выбрать фото,<ICON PAD_X> Zamień zdjęcia,,,<ICON PAD_X> Trocar Fotos,<ICON PAD_X>사진 전환,<ICON PAD_X>切換照片,<ICON PAD_X>切换照片,,,,,,,,<ICON PAD_X> تبديل الصور,,,,,,,,,,,
94b036d1-5213-4d93-8971-b68355dbb9c0,394188976,HN_Hunternote_ML_Btn_Form_00,通常,Normal,Normal,Normale,Normal,Normal,Обычный,Normalny,,,Normal,일반,一般,通常,,,,,,,,عادي,,,,,,,,,,,
41795045-36ab-4c6e-96e4-e002578b161e,4195141414,HN_Hunternote_ML_Btn_Form_01,<ICON PAD_X>通常,<ICON PAD_X> Default,<ICON PAD_X>Par défaut,<ICON PAD_X> Predefinito,<ICON PAD_X> Standard,<ICON PAD_X> Predefinido,<ICON PAD_X>По умолчанию,<ICON PAD_X> Domyślny,,,<ICON PAD_X> Padrão,<ICON PAD_X>보통,<ICON PAD_X>一般,<ICON PAD_X>通常,,,,,,,,<ICON PAD_X> افتراضي,,,,,,,,,,,
171e5211-616f-4abf-8131-a7c6fe8c88fe,604880622,HN_Hunternote_ML_Btn_Form_02,<ICON PAD_X>怒り,<ICON PAD_X> Anger,<ICON PAD_X> Colère,<ICON PAD_X> Rabbia,<ICON PAD_X> Wut,<ICON PAD_X> Furia,<ICON PAD_X>Злость,<ICON PAD_X> Gniew,,,<ICON PAD_X> Raiva,<ICON PAD_X>분노,<ICON PAD_X>憤怒,<ICON PAD_X>愤怒,,,,,,,,<ICON PAD_X> الغضب,,,,,,,,,,,
b36cce0f-02bb-4445-aee4-378e9ddf514c,2572065281,HN_Hunternote_ML_Btn_Form_03,<ICON PAD_X>過熱状態,<ICON PAD_X> Overheated,<ICON PAD_X> En surchauffe,<ICON PAD_X> Surriscaldato,<ICON PAD_X> Überhitzt,<ICON PAD_X> Sobrecalentado,<ICON PAD_X>Перегрев,<ICON PAD_X> Przegrzane,,,<ICON PAD_X> Superaquecido,<ICON PAD_X> 과열 상태,<ICON PAD_X>過熱狀態,<ICON PAD_X>过热状态,,,,,,,,<ICON PAD_X> حرارة مرتفعة,,,,,,,,,,,
ed8ebae9-002f-46af-9c2a-23b54e09b925,1477161140,HN_Hunternote_ML_Btn_Form_04,<ICON PAD_X>帯電状態,<ICON PAD_X> Charged,<ICON PAD_X> Chargé,<ICON PAD_X> Caricato,<ICON PAD_X> Aufgeladen,<ICON PAD_X> Cargado,<ICON PAD_X>Заряжен,<ICON PAD_X> Naładowane,,,<ICON PAD_X> Energizado,<ICON PAD_X> 대전 상태,<ICON PAD_X>帶電狀態,<ICON PAD_X>带电状态,,,,,,,,<ICON PAD_X> مشحون,,,,,,,,,,,
909d7336-1602-43c6-ab7c-df4a8bed302e,1281655213,HN_Hunternote_ML_Btn_Form_05,<ICON PAD_X>熱殻状態,<ICON PAD_X> Hot Husk,<ICON PAD_X> Coque chaude,<ICON PAD_X> Corazza calda,<ICON PAD_X> Heiße Hülle,<ICON PAD_X> Cáscara caliente,<ICON PAD_X>Горячая оболочка,<ICON PAD_X> Gorąca skorupa,,,<ICON PAD_X> Carcaça Quente,<ICON PAD_X> 열갑각 상태,<ICON PAD_X>熱殼狀態,<ICON PAD_X>热壳状态,,,,,,,,<ICON PAD_X> قشرة ساخنة,,,,,,,,,,,
ec15246f-8228-42c1-a404-90b7934f92ba,1813278175,HN_Hunternote_ML_Btn_Form_06,<ICON PAD_X>部位破壊,<ICON PAD_X> Parts Broken,<ICON PAD_X> Parties détruites,<ICON PAD_X> Parti rotte,<ICON PAD_X> Gebrochene Teile,<ICON PAD_X> Partes rotas,<ICON PAD_X>Части повреждены,<ICON PAD_X> Zniszczone części ciała,,,<ICON PAD_X> Partes Quebradas,<ICON PAD_X> 부위 파괴,<ICON PAD_X>破壞部位,<ICON PAD_X>破坏部位,,,,,,,,<ICON PAD_X> الأجزاء المكسورة,,,,,,,,,,,
23f3557d-9997-47c6-829f-4adee9ebd2fb,1348344869,HN_Hunternote_ML_Btn_Form_07,<ICON PAD_X>満腹状態,<ICON PAD_X> Engorged,<ICON PAD_X> Engorgé,<ICON PAD_X> Ingrossato,<ICON PAD_X> Angeschwollen,<ICON PAD_X> Hinchado,<ICON PAD_X>Наполненный,<ICON PAD_X> Nabrzmiałe,,,<ICON PAD_X> Entupido,<ICON PAD_X> 포만감 상태,<ICON PAD_X>滿腹狀態,<ICON PAD_X>饱腹状态,,,,,,,,<ICON PAD_X> محتقن,,,,,,,,,,,
9b831476-e328-4b4f-ae7f-354f1982939b,1788021889,HN_Hunternote_ML_Btn_Form_08,<ICON PAD_X>超帯電状態,<ICON PAD_X> Supercharged,<ICON PAD_X> Haute tension,<ICON PAD_X> Sovraccaricato,<ICON PAD_X> Überladen,<ICON PAD_X> Supercarga,<ICON PAD_X>В состоянии суперзарядки,<ICON PAD_X> Supernaładowane,,,<ICON PAD_X> Sobrecarregado,<ICON PAD_X> 초대전 상태,<ICON PAD_X>超帶電狀態,<ICON PAD_X>超带电状态,,,,,,,,<ICON PAD_X> الشحن الفائق,,,,,,,,,,,
744afa8b-70ac-4105-beb4-bc64d4894ce8,3089421609,HN_Hunternote_ML_Btn_Form_09,<ICON PAD_X>部位破壊後,<ICON PAD_X> After Parts Broken,<ICON PAD_X> Après parties détruites,<ICON PAD_X> Dopo parti rotte,<ICON PAD_X> Nach Gebrochenen Teilen,<ICON PAD_X> Tras partes rotas,<ICON PAD_X>После повреждения частей,<ICON PAD_X> Po zniszczeniu części ciała,,,<ICON PAD_X> Depois de Partes Quebradas,<ICON PAD_X> 부위 파괴 후,<ICON PAD_X>破壞部位後,<ICON PAD_X>破坏部位后,,,,,,,,<ICON PAD_X> بعد الأجزاء المكسورة,,,,,,,,,,,
421c224a-9589-46d9-99a0-14222a2097b0,987021445,HN_Hunternote_ML_Btn_Form_10,<ICON PAD_X>風袋破壊時,<ICON PAD_X> When Windsac Breaks,<ICON PAD_X> Lorsque la trachée se brise,<ICON PAD_X> Ventosacca rotta,<ICON PAD_X> Wenn der Windsack zerbricht,<ICON PAD_X> Cuando se rompe la vesícula,<ICON PAD_X>Когда ветровой мешок поврежден,<ICON PAD_X> Po zniszczeniu wiatrowora,,,<ICON PAD_X> Quando a Gl. de Vento Quebra,<ICON PAD_X> 바람주머니 파괴 시,<ICON PAD_X>破壞風袋時,<ICON PAD_X>破坏风袋时,,,,,,,,<ICON PAD_X> عند تحطيم ويندساك,,,,,,,,,,,
da144e37-f3c2-4560-8448-9027bb5ac063,989427341,HN_Hunternote_ML_Btn_Form_11,<ICON PAD_X>泥まとい状態,<ICON PAD_X> Muddied,<ICON PAD_X> Boueux,<ICON PAD_X> Infangato,<ICON PAD_X> Schlammig,<ICON PAD_X> Embarrado,<ICON PAD_X>Забрызган грязью,<ICON PAD_X> Ubłocone,,,<ICON PAD_X> Enlameado,<ICON PAD_X> 진흙탕 상태,<ICON PAD_X>泥濘狀態,<ICON PAD_X>泥泞状态,,,,,,,,<ICON PAD_X> موحل,,,,,,,,,,,
078ce5ee-5002-44b1-b1ab-c98f709bc208,3312696729,HN_Hunternote_ML_Btn_Form_12,<ICON PAD_X>闘気硬化状態,<ICON PAD_X> Pumped Up,<ICON PAD_X> Remonté,<ICON PAD_X> Infervorato,<ICON PAD_X> Aufgepumpt,<ICON PAD_X> Animado,<ICON PAD_X>Веселье,<ICON PAD_X> Nakręcone,,,<ICON PAD_X> Combater Paralisia,<ICON PAD_X> 투기 경화 상태,<ICON PAD_X>鬥氣硬化狀態,<ICON PAD_X>斗气硬化状态,,,,,,,,<ICON PAD_X> منتفخ,,,,,,,,,,,
1b1c6df3-8d1d-4d8e-bde6-fa37e0a868ee,3710774801,HN_Hunternote_ML_Btn_Form_13,<ICON PAD_X>龍気解放状態,<ICON PAD_X> Releasing Dragon Spirit,<ICON PAD_X> Libération Dracoénergie,<ICON PAD_X> Rilascio spirito drago,<ICON PAD_X> Setzt Drachengeist frei,<ICON PAD_X> Liberando dracoenergía,<ICON PAD_X>Выпускает Дух дракона,<ICON PAD_X> Uwalniające smoczego ducha,,,<ICON PAD_X> Liberando Espírito do Dragão,<ICON PAD_X> 용기 해방 상태,<ICON PAD_X>龍氣解放狀態,<ICON PAD_X>龙气解放状态,,,,,,,,<ICON PAD_X> تحرير روح التنين,,,,,,,,,,,
23aec949-a613-4e80-9a56-5604b432f5c9,681956172,HN_Hunternote_ML_Btn_Form_14,<ICON PAD_X>鬼火まとい状態,<ICON PAD_X> Shrouded in Hellfire,<ICON PAD_X> Entouré de Feu de l'enfer,<ICON PAD_X> Avvolto nel fuoco infernale,<ICON PAD_X> In Höllenfeuer gehüllt,<ICON PAD_X> Envuelto en fuego infernal,<ICON PAD_X>Окружен адским пламенем,<ICON PAD_X> Skąpane w ogniu piekielnym,,,<ICON PAD_X> Envolto em Fogo do Inferno,<ICON PAD_X> 귀화 상태,<ICON PAD_X>鬼火狀態,<ICON PAD_X>身缠鬼火状态,,,,,,,,<ICON PAD_X> محاصر في الجحيم,,,,,,,,,,,
ec2269c7-3371-463d-acdb-74e2457eabb9,3856551982,HN_Hunternote_ML_Btn_Form_15,<ICON PAD_X>通常（泡まとい状態）,<ICON PAD_X> Normal (Bubbled),<ICON PAD_X> Normal (dans une bulle),<ICON PAD_X> Normale (coperto di bolle),<ICON PAD_X> Normal (Von Blasen betroffen),<ICON PAD_X> Normal (burbujas),<ICON PAD_X>Обычный (покрыт пузырями),<ICON PAD_X> Normalne (bąblowe),,,<ICON PAD_X> Normal (bolhando),<ICON PAD_X> 보통(거품 상태),<ICON PAD_X>一般（泡沫狀態）,<ICON PAD_X>通常（浑身泡沫状态）,,,,,,,,<ICON PAD_X> طبيعي (به فقاقيع),,,,,,,,,,,
52ebe997-9628-4a28-8cfc-f487179c5c85,1809421735,HN_Hunternote_ML_Btn_Form_16,<ICON PAD_X>怒り（泡まとい状態）,<ICON PAD_X> Angered (Bubbled),<ICON PAD_X> En colère (dans une bulle),<ICON PAD_X> Infuriato (coperto di bolle),<ICON PAD_X> Wütend (Von Blasen betroffen),<ICON PAD_X> Enfurecido (burbujas),<ICON PAD_X>Рассержен (покрыт пузырями),<ICON PAD_X> Rozwścieczone (bąblowe),,,<ICON PAD_X> Irritado (borbulhado),<ICON PAD_X> 분노(거품 상태),<ICON PAD_X>憤怒（泡沫狀態）,<ICON PAD_X>愤怒（浑身泡沫状态）,,,,,,,,<ICON PAD_X> بغضب (به فقاقيع),,,,,,,,,,,
568abc01-4843-4631-aa75-1ba1dc33f50d,3972907770,HN_Hunternote_ML_Btn_Form_17,<ICON PAD_X>部位破壊（前脚のみ）,<ICON PAD_X> Parts Broken (Forelegs Only),<ICON PAD_X> Parties dét. (pattes avant),<ICON PAD_X> Parti rotte (solo arti ant.),<ICON PAD_X> Teile gebrochen (Vorderbeine),<ICON PAD_X> Partes rotas (patas delant.),<ICON PAD_X>Части повреждены (перед. ноги),<ICON PAD_X> Zn. cz. ciała (przednie nogi),,,<ICON PAD_X> Peças Queb. (só pernas tras.),<ICON PAD_X> 부위 파괴(앞다리만),<ICON PAD_X>破壞部位（只有前腳）,<ICON PAD_X>破坏部位（仅前肢）,,,,,,,,<ICON PAD_X> أجزاء مكسورة (السيقان فقط),,,,,,,,,,,
8395b604-bcaf-4bc3-a1f4-f45537a2d791,1726980520,HN_Hunternote_ML_Btn_Form_18,<ICON PAD_X>熱殻状態（部位破壊後）,<ICON PAD_X> Hot Husk (Parts Broken),<ICON PAD_X> Coque chaude (parties dét.),<ICON PAD_X> Corazza calda (parti rotte),<ICON PAD_X> Heiße Hülle (Teile gebrochen),<ICON PAD_X> Cásc. caliente (partes rotas),<ICON PAD_X>Гор. оболочка (части повреж.),<ICON PAD_X> Gor. skorupa (zn. cz. ciała),,,<ICON PAD_X> Carcaça Quente (Peças Queb.),<ICON PAD_X> 열갑각 상태(부위 파괴 후),<ICON PAD_X>熱殼狀態（破壞部位後）,<ICON PAD_X>热壳状态（破坏部位后）,,,,,,,,<ICON PAD_X> قشرة ساخنة (أجزاء مكسورة),,,,,,,,,,,
5d921063-409e-42e1-b674-110af6f53598,3405000990,HN_Hunternote_ML_Btn_Lower,<ICON PAD_X>下位,<ICON PAD_X> Low Rank,<ICON PAD_X>Novice,<ICON PAD_X> Basso grado,<ICON PAD_X> Niedrigrangig,<ICON PAD_X> Rango bajo,<ICON PAD_X> Низкий ранг,<ICON PAD_X> Niski poziom,,,<ICON PAD_X> Ranque Baixo,<ICON PAD_X>하위,<ICON PAD_X>初階,<ICON PAD_X>下位,,,,,,,,<ICON PAD_X> رتبة منخفضة,,,,,,,,,,,
1059370a-dcf4-487a-b785-d29ec194f858,3621621091,HN_Hunternote_ML_Btn_Upper,<ICON PAD_X>上位,<ICON PAD_X> High Rank,<ICON PAD_X> Expert,<ICON PAD_X> Alto grado,<ICON PAD_X> Hochrangig,<ICON PAD_X> Rango alto,<ICON PAD_X> Высокий ранг,<ICON PAD_X> Wysoki poziom,,,<ICON PAD_X> Ranque Elevado,<ICON PAD_X>상위,<ICON PAD_X>進階,<ICON PAD_X>上位,,,,,,,,<ICON PAD_X> رتبة مرتفعة,,,,,,,,,,,
b1795189-9ad5-4a08-8b4a-5cbea1386957,1459169260,HN_Hunternote_ML_Tab_01_Common01,種別,Type,Type,Tipo,Typ,Tipo,Тип,Typ,,,Tipo,종별,類別,种类,,,,,,,,النوع,,,,,,,,,,,
fc04c11f-9efd-49d0-83b4-798b414d1c1d,1874238733,HN_Hunternote_ML_Tab_01_Spec_M01,海竜種,Leviathan,Léviathan,Leviathan,Leviathan,Leviatán,Левиафан,Lewiatan,,,Leviatã,해룡종,海龍種,海龙种,,,,,,,,ليفياثان,,,,,,,,,,,
fa089f83-6ff8-4b59-bac2-f606b15b7b59,70823890,HN_Hunternote_ML_Tab_01_Spec_M02,牙獣種,Fanged Beast,Bête à crocs,Belva zannuta,Reißzahn-Bestie,Best. colmillos,Клыкастый зверь,Zębata bestia,,,Fera de Presas,아수종,牙獸種,牙兽种,,,,,,,,وحش ذو أنياب,,,,,,,,,,,
0184a128-23bc-4292-a0a2-cc3a55be640b,118364986,HN_Hunternote_ML_Tab_01_Spec_M03,牙竜種,Fanged Wyvern,Wyverne à crocs,Wyvern zannuto,Reißzahn-Wyvern,Wyv. colmillos,Клыкаст. виверна,Wiwerna kłowa,,,Serpe de Presas,아룡종,牙龍種,牙龙种,,,,,,,,تنين مجنح ذو أنياب,,,,,,,,,,,
fc1f30f8-f534-4d79-8676-0cfc62b9c141,2531514423,HN_Hunternote_ML_Tab_01_Spec_M04,魚竜種,Piscine Wyvern,Wyverne aquatique,Wyvern acquatico,Fischwyvern,Wyvern nadador,Ихтиовиверна,Wiwerna rybia,,,Hidroserpe,어룡종,魚龍種,鱼龙种,,,,,,,,تنين مجنح سبّاح,,,,,,,,,,,
b8e7aa4d-0f18-4de1-9f1e-bf5b86b63542,225869842,HN_Hunternote_ML_Tab_01_Spec_M05,甲殻種,Carapaceon,Carapaceon,Carapaceon,Carapaceon,Carapaceon,Панцирный,Karapaksowiec,,,Carapaceão,갑각종,甲殼種,甲壳种,,,,,,,,كاراباسيون,,,,,,,,,,,
0a7b8a45-dca7-4835-bb2c-df81d8980376,2102429397,HN_Hunternote_ML_Tab_01_Spec_M06,甲虫種,Neopteron,Neopteron,Neopteron,Neopteron,Neopteron,Новокрылый,Neopteron,,,Neopteronte,갑충종,甲蟲種,甲虫种,,,,,,,,نيوبترون,,,,,,,,,,,
