guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5e8aa649-eec9-4d94-8622-d5d0d0c660dd,1111355146,Fa_TrainingArea_System_01,トレーニング設定をおこないます。,Set your training options.,Personnaliser vos options d'entraînement.,Da qui puoi impostare le opzioni di addestramento.,Lege deine Trainingsoptionen fest.,Ajusta tus opciones de entrenamiento.,Задать параметры тренировки.,Ustaw opcje treningu.,,,Defina suas opções de treinamento.,트레이닝 설정을 합니다.,進行訓練的設定。,进行训练设置。,,,,,,,,تحديد خيارات التدريب.,,,,,,,,,,,
3d9f3977-2e8f-43b8-b715-5d2faade9be5,940683476,Fa_TrainingArea_System_02,自宅に移動します。,Travel to Your Room.,Voyager jusqu'à votre chambre.,"Selezionando quest'opzione, andrai ai tuoi alloggi.",Reise zu deinem Raum.,Viaja hasta tu hogar.,Отправьтесь в свою комнату.,Idź do swojego pokoju.,,,Vá para o seu quarto.,집으로 이동합니다.,移動至自家。,移动至自己家。,,,,,,,,الانتقال إلى غرفتك.,,,,,,,,,,,
f66672e9-b12c-44e5-8e25-a8daa45e85c7,4107619971,Fa_TrainingArea_System_03,里に移動します。,Travel to Kamura Village.,Voyager jusqu'au village de Kamura.,"Selezionando quest'opzione, andrai a Kamura.",Reise nach Kamura.,Viaja hasta la aldea Kamura.,Отправьтесь в деревню Камура.,Idź do wioski Kamura.,,,Vá para a Aldeia Kamura.,마을로 이동합니다.,移動至村莊。,移动至村庄。,,,,,,,,الانتقال إلى قرية كامورا.,,,,,,,,,,,
efee5e47-c814-4842-beb2-76ad20d58acf,3467359755,Fa_TrainingArea_System_04,集会所に移動します。,Travel to the Gathering Hub.,Voyager jusqu'au Grand-Camp.,"Selezionando quest'opzione,
andrai alla base di caccia.",Reise zur Versammlungsstätte.,Viaja hasta la sala de reunión.,Отправьтесь в Зал собраний.,Idź do Centrum Zgromadzeń.,,,Vá para a Área de Encontro.,집회소로 이동합니다.,移動至集會所。,移动至集会所。,,,,,,,,الانتقال إلى مركز التجمع.,,,,,,,,,,,
ae85ac95-94d9-4e03-a6a5-e920a9391b72,3592494481,Fa_TrainingArea_System_05,からくり蛙の頭の位置を指定します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e68a04c4-6bb8-4a22-9fbf-18e1da94e73c,1219836673,Fa_TrainingArea_System_06,からくり蛙の向きを指定します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240fa46b-dcd0-414a-a263-2a8217937584,2952535253,Fa_TrainingArea_System_07,からくり蛙がプレイヤーを狙うかを指定します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21884e7f-0337-4034-ae5b-1866b60c9159,3081911166,Fa_TrainingArea_System_08,からくり蛙が行うアクションを指定します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f41298ef-6837-48ed-8c59-c4a374c7190c,3298328831,Fa_TrainingArea_System_09,プレイヤーの翔蟲ゲージを指定します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ad303a5-5439-4475-ac54-07779d44852d,2491855887,Fa_TrainingArea_System_10,標的の挙動を指定します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
