guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a49464b9-e7e3-49ce-967c-bd1805e1ec10,3339930689,PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Name
e01eeafd-d55a-40cc-9956-ba9b6e239175,1249001967,PlayerSkill_000_Name,攻撃,Attack Boost,Machine de guerre,Bonus attacco,Angriffsbonus,Ataque,Усиление атаки,Wzmocnienie ataku,,,Reforço de Ataque,공격,攻擊,攻击,,,,,,,,تعزيز الهجوم,,,,,,,,,,,
6e7f1da6-aff2-4b14-a8b3-a7f89b79e9b6,1237294063,PlayerSkill_001_Name,挑戦者,Agitator,Témérité,Istigatore,Aufhetzer,Instigador,Подстрекатель,Podżegacz,,,Agitador,도전자,挑戰者,挑战者,,,,,,,,المشاغب,,,,,,,,,,,
eb25e248-4a58-4a73-9315-6b16195e36de,3255161985,PlayerSkill_002_Name,フルチャージ,Peak Performance,Performance optimale,Forma perfetta,Höchstleistung,Plena forma,На высоте,Szczyt możliwości,,,Desempenho Máximo,완전 충전,無傷,无伤,,,,,,,,ذروة الأداء,,,,,,,,,,,
9c65528a-b406-4e3b-83a6-bc5c3bcc850c,2005068082,PlayerSkill_003_Name,逆恨み,Resentment,Vengeance,Risentimento,Groll,Resentimiento,Презрение,Uraza,,,Indignação,앙심,怨恨,怨恨,,,,,,,,الاستياء,,,,,,,,,,,
90a941df-0310-45b7-b3b1-cb54478ccb20,1697155953,PlayerSkill_004_Name,死中に活,Resuscitate,Esprit indomptable,Rianimazione,Wiederbelebung,Resistencia,Оживление,Ożywienie,,,Ressuscitar,돌파구,死裡逃生,死里逃生,,,,,,,,الإعاشة,,,,,,,,,,,
bbba4984-0c4e-41c6-aff7-31cbd18f61b1,1351371566,PlayerSkill_005_Name,見切り,Critical Eye,Maître d'armes,Occhio critico,Kritischer Blick,Ojo crítico,Критический взгляд,Krytyczne oko,,,Olho Crítico,간파,看破,看破,,,,,,,,عين الحسم,,,,,,,,,,,
9d22bd86-9cba-472a-a74f-4899f706a79f,641315467,PlayerSkill_006_Name,超会心,Critical Boost,Berserker,Bonus critico,Kritischer Boost,Potenciador crítico,Усиление крит. атак,Wzmocnienie krytyczne,,,Reforço Crítico,슈퍼회심,超會心,超会心,,,,,,,,تعزيز الحسم,,,,,,,,,,,
c3a7e9a7-de49-463d-8c4a-5a83e6df8014,1076586206,PlayerSkill_007_Name,弱点特効,Weakness Exploit,Mise à mort,Punto debole,Schwächevorteil,Punto débil,Поиск уязвимостей,Wykorzyst. słabości,,,Explor. de Fraqueza,약점 특효,弱點特效,弱点特效,,,,,,,,استغلال نقاط الضعف,,,,,,,,,,,
088f8107-491c-4b87-bd71-0bd73a4a993b,2065706257,PlayerSkill_008_Name,力の解放,Latent Power,Force latente,Forza latente,Latente Kraft,Poder latente,Скрытая энергия,Uśpiona moc,,,Poder Latente,힘의 해방,力量解放,力量解放,,,,,,,,القوة الكامنة,,,,,,,,,,,
