guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
59b20f61-0ec7-49ab-8772-498615d2cdd4,2067466868,FSQ101_01,クエスト：密林,Quests: Jungle,Quêtes : Jungle,Missioni: Giungla,Quest: Dschungel,Misiones: Jungla,Задания: Джунгли,Zadania: Dżungla,,,Missões: Selva,퀘스트: 밀림,任務：密林,任务：密林,,,,,,,,المهام: الغابة,,,,,,,,,,,
d9737b0d-5235-4d8f-938c-4f3f58be6309,3677290339,FSQ101_02,密林のクエストを{0}回クリアする,"Complete {0} quest(s) in
the Jungle.","Terminer {0} quête(s) dans
la Jungle.","Completa {0} missioni
nella giungla.",Schließe {0} Quest(s) im Dschungel ab.,"Completa {0} misión(es) en la
Jungla.","Выполнить {0} зад.
в Джунглях.","Ukończ wyznaczoną liczbę zadań
w Dżungli ({0}).",,,"Conclua {0} missão(ões) na
Selva.",밀림의 퀘스트를 {0}번 클리어한다,完成密林的任務{0}次。,完成{0}次密林的任务,,,,,,,,"أكمل {0} من المهام في
الغابة.",,,,,,,,,,,
8cca45d4-2060-4a89-bfbe-4d94c9de5966,3556606180,FSQ102_01,クエスト：城塞高地,Quests: Citadel,Quêtes : Citadelle,Missioni: Cittadella,Quest: Zitadelle,Misiones: Bastión,Задания: Цитадель,Zadania: Cytadela,,,Missões: Forte,퀘스트: 요새고원,任務：城塞高地,任务：城塞高地,,,,,,,,المهام: القلعة,,,,,,,,,,,
281371bb-c511-439c-88ff-49f31988dec9,3148093164,FSQ102_02,城塞高地のクエストを{0}回クリアする,"Complete {0} quest(s) in
the Citadel.","Terminer {0} quête(s) dans
la Citadelle.","Completa {0} missioni
nella cittadella.",Schließe {0} Quest(s) in der Zitadelle ab.,"Completa {0} misión(es) en el
Bastión.","Выполнить {0} зад.
в Цитадели.","Ukończ wyznaczoną liczbę zadań
w Cytadeli ({0}).",,,"Conclua {0} missão(ões) no
Forte.",요새고원의 퀘스트를 {0}번 클리어한다,完成城塞高地的任務{0}次。,完成{0}次城塞高地的任务,,,,,,,,"أكمل {0} من المهام في
القلعة.",,,,,,,,,,,
21de5ff3-00c7-46ff-877e-9e26cc0d647c,2134886057,FSQ103_01,大型モンスター：狩猟（マスター）,Large Monsters: Hunting (Master Rank),Grands monstres : chasse (RM),Mostri grandi: Caccia (grado maestro),Große Monster: Jagen (Meisterrang),Monstruos grandes: caza (RM),Крупные монстры: охота (РМ),Duże potwory: polowanie (RM),,,Monstros Grandes: Caça (Ranque Mestre),대형 몬스터: 사냥(마스터),大型魔物：狩獵（Master）,大型怪物：狩猎（大师）,,,,,,,,وحوش ضخمة: الصيد (رتبة القائد),,,,,,,,,,,
4e9c7e07-fbfd-43dd-9990-754b23675841,2172537049,FSQ103_02,"<COL RED>マスターランク</COL>の大型モンスターを
{0}頭狩猟する",Hunt {0} large <COL RED>master rank</COL> monster(s).,"Chasser {0} grand(s) monstre(s) de
<COL RED>Rang maître</COL>.","Caccia {0} mostri grandi di
<COL RED>grado maestro</COL>.",Jage {0} große(s) <COL RED>Meisterrang</COL> -Monster.,"Caza {0} monstruo(s) grande(s)
de <COL RED>rango maestro</COL>.","Поохотиться на монстров высокого
<COL RED>ранга мастера</COL> : {0}.","Upoluj wyznaczoną liczbę dużych
potworów <COL RED>RM</COL> ({0}).",,,Cace {0} monstro(s) <COL RED>r. mestre</COL> grande(s),"<COL RED>마스터 랭크</COL>의 대형 몬스터를
{0}마리 사냥한다.",狩獵{0}頭<COL RED>Master Rank</COL>的大型魔物。,狩猎{0}头<COL RED>大师等级</COL>的大型怪物,,,,,,,,قم بصيد {0} من الوحوش الضخمة <COL RED>برتبة القائد</COL> .,,,,,,,,,,,
964a7328-5522-4037-8888-2c014243faca,758135485,FSQ104_01,大型モンスター：捕獲（マスター）,Large Monsters: Capture (Master Rank),Grands monstres : capture (RM),Mostri grandi: Cattura (grado maestro),Große Monster: Fangen (Meisterrang),Monstruos grandes: captura (RM),Крупные монстры: поимка (РМ),Duże potwory: łapanie (RM),,,Monstros Grandes: Captura (RM),대형 몬스터: 포획(마스터),大型魔物：捕獲（Master）,大型怪物：捕获（大师）,,,,,,,,وحوش ضخمة: الأسر (رتبة القائد),,,,,,,,,,,
fefa0852-2b83-49fa-81aa-68c7948d08a4,2597141038,FSQ104_02,"<COL RED>マスターランク</COL>の大型モンスターを
{0}頭捕獲する",Capture {0} <COL RED>master rank</COL> monster(s).,Capturer {0} monstre(s) de <COL RED>Rang Maître</COL>.,Cattura {0} mostri di <COL RED>grado maestro</COL>.,Fange {0} <COL RED>Meisterrang</COL>-Monster.,"Captura {0} monstruo(s)
de <COL RED>rango maestro</COL>.","Поймать монстров высокого 
<COL RED>ранга мастера</COL> : {0}.","Złap wyznaczoną liczbę dużych
potworów <COL RED>RM</COL> ({0}).",,,Capture {0} monstro(s) de <COL RED>ranque mestre</COL>.,"<COL RED>마스터 랭크</COL>의 대형 몬스터를
{0}마리 포획한다.",捕獲{0}頭<COL RED>Master Rank</COL>的大型魔物。,捕获{0}头<COL RED>大师等级</COL>的大型怪物,,,,,,,,قم بأسر {0} من الوحوش <COL RED>برتبة القائد</COL> .,,,,,,,,,,,
801d4360-46b8-422b-8cdf-511ab1e68084,3065663618,FSQ105_01,狩猟技能：気絶の付与,Hunting Skills: Stun,Talents chasse : étourdissement,Abilità di caccia: Stordimento,Jagd-Fähigkeiten: Betäuben,Habilidades de caza: aturdir,Охотничьи навыки: оглушение,Umiejętności polowania: ogłuszanie,,,Habs. de Caça: Atordoamento,사냥 능력: 기절 부여,狩獵技能：使魔物昏厥,狩猎技巧：造成昏厥,,,,,,,,مهارات الصيد: الصعق,,,,,,,,,,,
2bf37161-8412-4474-b1ff-3c9d6188a07c,740927639,FSQ105_02,大型モンスターを{0}回気絶させる,Stun a large monster {0} time(s).,Étourdir un grand monstre {0} fois.,Stordisci un mostro grande {0} volte.,Betäube {0} Mal ein großes Monster.,"Aturde a un monstruo grande
{0} vez/veces.",Оглушить большого монстра {0} раз(-а).,Ogłusz dużego potwora {0} raz(y).,,,Atordoe um monstro grande {0} vez(es).,대형 몬스터를 {0}번 기절시킨다,使大型魔物陷入昏厥{0}次。,令大型怪物昏厥{0}次,,,,,,,,اصعق وحشًا ضخمًا {0} من المرات.,,,,,,,,,,,
