guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
2b7505fe-86bc-421c-b53f-0006c9ccc5dc,3838303882,GC_Achievement_E_01,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
1541f23b-9640-4960-a0fd-6c8ef34d592b,384663532,GC_Achievement_E_02,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
81367709-59ac-4f9f-9922-a5aa64d65e09,2666947524,GC_Achievement_E_03,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
6e1dd96a-b0c8-426a-935a-7f8544aefc2e,4169467927,GC_Achievement_E_04,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
8244ca93-8147-44b9-b0e1-84b646c7b20f,1641976511,GC_Achievement_E_05,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
8c55eee1-f19a-4596-bf80-ea1c03fc7ac5,2674907786,GC_Achievement_E_06,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
7bc714b2-f611-4b39-8f8e-d758ab033e58,2058367193,GC_Achievement_E_07,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
1d63e538-88cd-4364-97ee-2429b360c03d,2108180304,GC_Achievement_E_08,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
7f937a66-176f-4b40-94f2-6857fdcf7fa5,484397150,GC_Achievement_E_09,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
ed153ac2-afe8-484a-aa8b-8c0f35cc7be9,2294238010,GC_Achievement_E_10,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
8bbec700-bd6e-46d2-94b0-d50991120dbb,181807640,GC_Achievement_E_11,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
66d15ad7-1a41-4bbe-9835-190cf47d4875,1300184398,GC_Achievement_E_12,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
8ddfadb7-89ef-489d-a337-091760669456,1076742030,GC_Achievement_E_13,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
67608f72-2094-4900-a96a-8c4201ec9aee,3033604971,GC_Achievement_E_14,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
545792b4-8507-4c26-86fa-cd5876e1a54d,2156425945,GC_Achievement_E_15,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
12cd4fd7-e890-42c7-aefc-25add855f7e4,1949823402,GC_Achievement_E_16,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
e52695c1-eae2-4e46-99ab-dcd14d74fdb5,422045950,GC_Achievement_E_17,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
89ed0a13-b338-4bae-a0d9-b45515da6360,3441131997,GC_Achievement_E_18,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
773ac4e1-359d-411d-baf7-10553780069c,1535902509,GC_Achievement_E_19,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
16675757-63d1-4b19-b96b-a87b7cab4216,2305192689,GC_Achievement_E_20,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفرة منذ البداية.,,,,,,,,,,,
