guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
8c17fe43-b1c2-4d34-b8de-808d0f1bae14,479318836,ChatLog_OtMsg_M_200,"旦那さん！
<COL YEL>癒しのヨツバ鳥</COL>を使うニャ！","Meowster! I'm using the
<COL YEL>Healing Clover Bat</COL>!","J'utilise la <COL YEL>Chauve-souris
trèfle de soin</COL> !","Miao, guarda! Sto usando
il <COL YEL>quadristrello</COL>!","Wowzer! Ich benutze die
<COL YEL>Heilklee-Fledermaus</COL>!","¡Mírame! ¡Estoy usando el
<COL YEL>murcitrébol curativo</COL>!","Мяустер! У меня есть
<COL YEL>Целебный клевер</COL>!",Używam <COL YEL>kija leczniczej koniczyny</COL>!,,,"Miaustre! Estou usando o
<COL YEL>Taco de Trevo de Cura</COL>!","주인님!
<COL YEL>치유의 사엽조</COL>를 사용한다냥!",老大！我要使用<COL YEL>療傷四葉鳥</COL>了喵！,"老大！
使用<COL YEL>治愈四叶鸟</COL>喵！",,,,,,,,"يا سيدي! أنا أستخدم
<COL YEL>عصا هندباء التداوي</COL>!",,,,,,,,,,,
8f803ce0-3ea5-469c-966f-77a35e245d14,3677473183,ChatLog_OtMsg_M_201,"<COL YEL>癒しのヨツバ鳥</COL>
設置完了だニャ！","It's your lucky day, Meowster!
<COL YEL>Healing Clover Bat</COL> is ready to heal!","Quelle chance ! La <COL YEL>Chauve-souris
trèfle de soin</COL> est prête !","È il tuo giorno fortunato! Il
<COL YEL>quadristello</COL> è pronto a guarire.","Heute ist dein Glückstag!
Die <COL YEL>Heilklee-Fledermaus</COL> heilt!","Estás de suerte. ¡Te puede
curar el <COL YEL>murcitrébol curativo</COL>!","Везет тебе, Мяустер! <COL YEL>Целебный
клевер</COL> можно использовать!","Masz szczęście!
<COL YEL>Kij leczniczej koniczyny</COL> gotów!",,,"Hoje é seu dia, Miaustre!
<COL YEL>Taco de Trevo de Cura</COL> pronto!","<COL YEL>치유의 사엽조</COL>
설치 완료다냥!",<COL YEL>療傷四葉鳥</COL>設置完成喵！,<COL YEL>治愈四叶鸟</COL>设置完毕喵！,,,,,,,,"إنه يوم حظك يا سيدي!
<COL YEL>عصا هندباء التداوي</COL> جاهزة للعلاج!",,,,,,,,,,,
621a5c07-77d0-4d5d-9be3-c35560e7c6e7,3457153982,ChatLog_OtMsg_M_202,"""水""属性たっぷりの
<COL YEL>属性攻撃スチーム</COL>を設置だニャ！","I've placed some Water-laden
<COL YEL>Ameowzing Mist</COL>!","J'ai préparé une
<COL YEL>Brume miaounifique</COL> d'Eau !","Ho piazzato una <COL YEL>nebbia gattastica</COL>
con effetto acqua!","Ich habe etwas <COL YEL>Ermiaunlicher Dampf</COL>
platziert, voller Wasser.","¡He puesto <COL YEL>niebla engatusadora</COL>
llena de agua!","Водяной <COL YEL>Мяу-туман</COL>
установлен!","Wodna <COL YEL>kociastyczna mgła</COL>
umieszczona!",,,"Coloquei uma <COL YEL>Névoa Miauravilhosa</COL>
carregada de Água!","강력한 물속성 
<COL YEL>속성 공격 스팀</COL> 설치다냥!","開始設置水屬性滿載的
<COL YEL>屬性攻擊蒸氣</COL>喵！","设置“水”属性满满的
<COL YEL>属性攻击蒸气</COL>喵！",,,,,,,,"لقد وضعت بعض
<COL YEL>الضباب المذهل</COL> الغني بالمياه!",,,,,,,,,,,
b7239f87-54e8-4edd-b3c0-a7ce0a8b5953,2108025017,ChatLog_OtMsg_M_203,"""水""属性の<COL YEL>属性攻撃スチーム</COL>
設置完了だニャ！","I've finished placing some
Water-laden <COL YEL>Ameowzing Mist</COL>!","La <COL YEL>Brume miaounifique</COL> d'Eau est prête !
Attirez le miaonstre par ici !","<COL YEL>Nebbia gattastica</COL> con acqua
pronta! Porta qui il miaostro!","<COL YEL>Ermiaunlicher Dampf</COL>, voller Wasser,
ist fertig platziert.","¡He puesto toda la <COL YEL>niebla
engatusadora</COL> llena de agua!","Установка водяного
<COL YEL>Мяу-тумана</COL> завершена!","Wodna <COL YEL>kociastyczna mgła</COL>
gotowa!",,,"Acabei de colocar uma
<COL YEL>Névoa Miauravilhosa</COL> carregada de Água!","물속성 <COL YEL>속성 공격 스팀</COL>
설치 완료다냥!","水屬性的<COL YEL>屬性攻擊蒸氣</COL>
設置完成喵！","“水”属性的<COL YEL>属性攻击蒸气</COL>
设置完毕喵！",,,,,,,,"لقد انتهيت من وضع
بعض <COL YEL>الضباب المذهل</COL> الغني بالمياه!",,,,,,,,,,,
ab937d1b-42ba-4819-ba60-99fe1e0fa8f3,2489439662,ChatLog_OtMsg_M_204,"""火""属性たっぷりの
<COL YEL>属性攻撃スチーム</COL>を設置だニャ！","I've placed some Fire-laden
<COL YEL>Ameowzing Mist</COL>!","J'ai préparé une
<COL YEL>Brume miaounifique</COL> de Feu !","Ho piazzato una <COL YEL>nebbia gattastica</COL>
con effetto fuoco!","Ich habe etwas <COL YEL>Ermiaunlicher Dampf</COL>
platziert, voller Feuer.","¡He puesto <COL YEL>niebla engatusadora</COL>
llena de fuego!","Огненный <COL YEL>Мяу-туман</COL>
установлен!","Ogniowa <COL YEL>kociastyczna mgła</COL>
umieszczona!",,,"Coloquei uma <COL YEL>Névoa Miauravilhosa</COL>
carregada de Fogo!","강력한 불속성
<COL YEL>속성 공격 스팀</COL> 설치다냥!","開始設置火屬性滿載的
<COL YEL>屬性攻擊蒸氣</COL>喵！","设置“火”属性满满的
<COL YEL>属性攻击蒸气</COL>喵！",,,,,,,,"لقد وضعت بعض
<COL YEL>الضباب المذهل</COL> الغني بالنار!",,,,,,,,,,,
b946b027-ddcb-45fc-9573-f3a46864af92,2943161522,ChatLog_OtMsg_M_205,"""火""属性の<COL YEL>属性攻撃スチーム</COL>
設置完了だニャ！","I've finished placing some
Fire-laden <COL YEL>Ameowzing Mist</COL>!","La <COL YEL>Brume miaounifique</COL> de Feu est prête !
Attirez le miaonstre par ici !","<COL YEL>Nebbia gattastica</COL> con fuoco
pronta! Porta qui il miaostro!","<COL YEL>Ermiaunlicher Dampf</COL>, voller Feuer,
ist fertig platziert.","¡He puesto toda la <COL YEL>niebla
engatusadora</COL> llena de fuego!","Установка огненного
<COL YEL>Мяу-тумана</COL> завершена!","Ogniowa <COL YEL>kociastyczna mgła</COL>
gotowa!",,,"Acabei de colocar uma
<COL YEL>Névoa Miauravilhosa</COL> carregada de Fogo!","불속성 <COL YEL>속성 공격 스팀</COL>
설치 완료다냥!","火屬性的<COL YEL>屬性攻擊蒸氣</COL>
設置完成喵！","“火”属性的<COL YEL>属性攻击蒸气</COL>
设置完毕喵！",,,,,,,,"لقد انتهيت من وضع
بعض <COL YEL>الضباب المذهل</COL> الغني بالنار!",,,,,,,,,,,
8da9cdec-a1e6-46fd-94ba-f9eeeaa1588b,1304724597,ChatLog_OtMsg_M_206,"""氷""属性たっぷりの
<COL YEL>属性攻撃スチーム</COL>を設置だニャ！","I've placed some Ice-laden
<COL YEL>Ameowzing Mist</COL>!","J'ai préparé une
<COL YEL>Brume miaounifique</COL> de Glace !","Ho piazzato una <COL YEL>nebbia gattastica</COL>
con effetto ghiaccio!","Ich habe etwas <COL YEL>Ermiaunlicher Dampf</COL>
platziert, voller Eis.","¡He puesto <COL YEL>niebla engatusadora</COL>
llena de hielo!","Ледяной <COL YEL>Мяу-туман</COL>
установлен!","Lodowa <COL YEL>kociastyczna mgła</COL>
umieszczona!",,,"Coloquei uma <COL YEL>Névoa Miauravilhosa</COL>
carregada de Gelo!","강력한 얼음속성
<COL YEL>속성 공격 스팀</COL> 설치다냥!","開始設置冰屬性滿載的
<COL YEL>屬性攻擊蒸氣</COL>喵！","设置“冰”属性满满的
<COL YEL>属性攻击蒸气</COL>喵！",,,,,,,,"لقد وضعت بعض
<COL YEL>الضباب المذهل</COL> الغني بالثلج!",,,,,,,,,,,
99e08d47-3749-4668-9fcb-61d0f797f3a5,3821309403,ChatLog_OtMsg_M_207,"""氷""属性の<COL YEL>属性攻撃スチーム</COL>
設置完了だニャ！","I've finished placing some
Ice-laden <COL YEL>Ameowzing Mist</COL>!","La <COL YEL>Brume miaounifique</COL> de Glace est prête !
Attirez le miaonstre par ici !","<COL YEL>Nebbia gattastica</COL> con ghiaccio
pronta! Porta qui il miaostro!","<COL YEL>Ermiaunlicher Dampf</COL>, voller Eis,
ist fertig platziert.","¡He puesto toda la <COL YEL>niebla
engatusadora</COL> llena de hielo!","Установка ледяного
<COL YEL>Мяу-тумана</COL> завершена!","Lodowa <COL YEL>kociastyczna mgła</COL> 
gotowa!",,,"Acabei de colocar uma
<COL YEL>Névoa Miauravilhosa</COL> carregada de Gelo!","얼음속성 <COL YEL>속성 공격 스팀</COL>
설치 완료다냥!","冰屬性的<COL YEL>屬性攻擊蒸氣</COL>
設置完成喵！","“冰”属性的<COL YEL>属性攻击蒸气</COL>
设置完毕喵！",,,,,,,,"لقد انتهيت من وضع
بعض <COL YEL>الضباب المذهل</COL> الغني بالثلج!",,,,,,,,,,,
63f3c64c-c473-426e-8e49-2ba575316e02,3537222894,ChatLog_OtMsg_M_208,"<COL YEL>時限大花火</COL>の準備完了ニャ！
<ICON TimeBom>で指示を頂戴ニャ！","<COL YEL>Felyne Fireworks</COL> all set!
Give me the nod with <ICON TimeBom>!","Les <COL YEL>Feux d'artifice Felyne</COL> sont prêts !
Utilisez <ICON TimeBom> pour me donner le signal !","<COL YEL>Fuochi d'artifelyne</COL> pronti!
Fammi un cenno con <ICON TimeBom>!","<COL YEL>Felyne-Feuerwerk</COL> bereit!
Gib mir das Signal mit <ICON TimeBom>!","<COL YEL>Pirotecnia Felyne</COL> lista.
¡Avísame con <ICON TimeBom>!","<COL YEL>Кошачий фейерверк</COL> готов!
Дай добро с помощью <ICON TimeBom>!","<COL YEL>Felinie fajerwerki</COL> gotowe!
Daj mi znak <ICON TimeBom>!",,,"<COL YEL>Fogos Felynos</COL> montados!
Me dá o sinal com <ICON TimeBom>!","<COL YEL>시한왕폭죽</COL> 준비 완료냥!
<ICON TimeBom>으로 지시를 내려달라냥!","<COL YEL>計時大煙火</COL>準備完成喵！
請用<ICON TimeBom>下達指示喵！","<COL YEL>定时大烟花</COL>准备完毕喵！
请用<ICON TimeBom>下达指示喵！",,,,,,,,"<COL YEL>ألعاب فيلاين النارية</COL> جاهزة!
أعطني إيماءة مع <ICON TimeBom>!",,,,,,,,,,,
e0f675b3-f1fe-4b1e-939d-5f14f6f8350a,1093840003,ChatLog_OtMsg_M_209,"旦那さん！　<ICON TimeBom>で
<COL YEL>時限大花火</COL>が設置できるニャ！","Meowster! Signal when you want
to use <COL YEL>Felyne Fireworks</COL> with <ICON TimeBom>!","Dites-moi quand utiliser les
<COL YEL>Feux d'artifice Felyne</COL> avec <ICON TimeBom> !","Fammi un cenno con <ICON TimeBom> quando
vuoi usare i <COL YEL>fuochi d'artifelyne</COL>!","Wowzer! Gib mir ein Signal
für <COL YEL>Felyne-Feuerwerk</COL> mit <ICON TimeBom>!","¡Señala con <ICON TimeBom> cuando quieras
usar la <COL YEL>pirotecnia Felyne</COL>!","Мяустер! С помощью <ICON TimeBom> сообщи,
когда испол. <COL YEL>Кошач. фейерв.</COL>!","Daj znak <ICON TimeBom>, kiedy
użyć <COL YEL>felinich fajerwerków</COL>!",,,"Miaustre! Avise quando quiser
usar os <COL YEL>Fogos Felynos</COL> com <ICON TimeBom>!","주인님! <ICON TimeBom>으로
<COL YEL>시한왕폭죽</COL>을 설치할 수 있다냥!","主人！能以<ICON TimeBom>設置
<COL YEL>計時大煙火</COL>了喵！","老大！可以用<ICON TimeBom>
设置<COL YEL>定时大烟花</COL>了喵！",,,,,,,,"يا سيدي! قم بالإشارة عندما تريد
استخدام <COL YEL>ألعاب فيلاين النارية</COL> مع <ICON TimeBom>!",,,,,,,,,,,
