guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
430ac815-6119-40f6-a53e-47555eaef40f,1102638784,Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_01_MR
fd9e33f0-ee8f-4878-bb4d-8becb68b4f53,1709566132,Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_02_MR
230abcb5-cc15-43ee-9bfa-2bdf92c8e9dc,4064930424,Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_03_MR
baf914c2-0cb9-4449-8c3b-f758a3f10129,428654603,Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_04_MR
d32f2521-2276-495e-a8a8-2bacac238b08,3460223955,Fa_Village_Menu_RoomService_BGMChange_05_01,観測拠点,Outpost,Avant-poste,Avamposto,Außenposten,Avanzadilla,Аванпост,Posterunek,,,Posto,관측 거점,觀測據點,观测据点,,,,,,,,مخفر,,,,,,,,,,,
3c172e8b-fadc-42a9-9217-f5eb5a37eb40,2323100870,Fa_Village_Menu_Pl_HeadMes_Fa_11_V02_MR,観測拠点クエスト出発口,Outpost Quest Gate,Portail Avant-poste,Portale missioni avamposto,Außenposten-Quest-Tor,Puerta de misión de avanzadilla,Врата заданий аванпоста,Brama Zadań Posterunku,,,Portal de Missões do Posto,관측 거점 퀘스트 출발구,觀測據點任務出發口,观测据点任务出发口,,,,,,,,بوابة مهام المخفر,,,,,,,,,,,
4c128056-26a3-4734-9e41-e18f74b9a6b5,351350659,Fa_Village_Menu_07_MR,ホストの自室に移動,Go to Host's Room.,Aller dans la chambre de l'hôte.,Vai agli alloggi dell'host.,Zum Raum des Hosts gehen.,Ve a la sala del anfitrión.,Перейти в комнату хозяина.,Idź do pokoju gospodarza.,,,Ir para a Sala do Hospedeiro.,호스트의 마이룸으로 이동,移動至主辦者的房間,移动至管理者的自己房间,,,,,,,,الذهاب إلى غرفة المضيف.,,,,,,,,,,,
7c6dfd9c-2f3f-40f4-9db0-50c4d86a5a22,2209940331,Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_08_MR
6d9b8906-52d8-48b2-bcb5-96a229fafb2a,1240000465,Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_09_MR
bcf9125b-523d-43bd-8e27-552080e8b116,1313773517,Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_Menu_10_MR
