guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f9f8131c-be83-4b74-ac75-dc9a82fd8aa7,1228854705,ServantStatusUI_Item_01,狩猟スタイル,Hunting Style,Style de chasse,Stile di caccia,Jagdstil,Estilo de caza,Стиль охоты,Styl polowania,,,Estilo de Caça,사냥 스타일,狩獵風格,狩猎风格,,,,,,,,أسلوب الصيد,,,,,,,,,,,
ecbac563-b02a-4d3b-a685-10f68efbfd4f,2284143152,ServantStatusUI_SubItem_01,行動傾向,Movement Tendencies,Tendances de déplacement,Tendenze movimento,Bewegungstendenzen,Patrones de movimiento,Характер перемещения,Charakter ruchów,,,Tendências de Mov.,행동 성향,行動傾向,行动倾向,,,,,,,,ميول الحركة,,,,,,,,,,,
48ffb2ac-40e5-4fb4-99a4-5fd99e9f6018,2211970478,ServantStatusUI_SubItem_02,攻撃頻度,Attack Frequency,Fréquence d'attaque,Frequenza attacco,Angriffshäufigkeit,Frecuencia de ataque,Частота атак,Częstość ataku,,,Frequência de Ataque,공격 빈도,攻擊頻率,攻击频率,,,,,,,,تكرار الهجوم,,,,,,,,,,,
c2cfba62-da2a-44ae-bce6-032b91a7fa9c,1172009818,ServantStatusUI_SubItem_03,回復頻度,Healing Frequency,Fréquence de soin,Frequenza cura,Heilungshäufigkeit,Frecuencia curativa,Частота лечения,Częstość uzdrawiania,,,Frequência de Cura,회복 빈도,回復頻率,回复频率,,,,,,,,تكرار الشفاء,,,,,,,,,,,
b2ecf168-3129-4e5c-9d22-3a544d58fd8e,829066882,ServantStatusUI_style_01,バランス重視,Balanced,Équilibré,Bilanciate,Ausgewogen,Equilibrados,Сбалансированный,Zrównoważony,,,Equilibrado,밸런스 중시,重視平衡,平衡,,,,,,,,متزن,,,,,,,,,,,
96e62acb-9869-4b13-a55e-3e4cad5bcf27,3175825555,ServantStatusUI_style_02,攻撃重視,Offensive,Offensif,Offensive,Offensive,Ofensivo,Наступательный,Ofensywny,,,Ofensivo,공격 중시,重視攻擊,注重攻击,,,,,,,,هجومي,,,,,,,,,,,
dd609bb5-96d8-4b7f-b0f5-5bbe168d2e85,773008220,ServantStatusUI_style_03,防御重視,Defensive,Défensif,Difensive,Defensive,Defensivo,Защитный,Defensywny,,,Defensivo,방어 중시,重視防禦,注重防御,,,,,,,,دفاعي,,,,,,,,,,,
ce30d9cd-a998-4dc9-943b-f48f336ea17d,3757930921,ServantStatusUI_style_04,支援重視,Support,Soutien,Supporto,Unterstützung,Apoyo,Поддержка,Wsparcie,,,Suporte,지원 중시,重視支援,注重支援,,,,,,,,الدعم,,,,,,,,,,,
d32d9821-5be6-4d01-a55a-c81d989f15dd,1154260384,ServantStatusUI_attack_01,よくおこなう,Frequent,Fréquent,Frequente,Häufig,Con frecuencia,Часто,Często,,,Frequente,자주 한다,積極,较高,,,,,,,,متكرر,,,,,,,,,,,
247a74e6-c64f-49e3-bb51-2e0ba500884d,954975915,ServantStatusUI_attack_02,適度におこなう,As Required,Comme requis,Come richiesto,Wie erforderlich,Cuando sea necesario,По необходимости,Według wymagań,,,Como pedido,적당히 한다,適度,适度,,,,,,,,على النحو المطلوب,,,,,,,,,,,
f404c16a-5a38-4427-aca2-5d7b8ac7c180,159469991,ServantStatusUI_attack_03,あまりおこなわない,Infrequent,Peu fréquent,Non frequente,Selten,Con poca frecuencia,Нечасто,Niezbyt często,,,Infrequente,별로 하지 않는다,較少,较低,,,,,,,,غير متكرر,,,,,,,,,,,
52217859-3dd2-4f1c-a5bd-435b865d52ac,947788185,ServantStatusUI_attack_04,非常によくおこなう,Very Frequent,Très fréquent,Molto frequente,Sehr Häufig,Con mucha frecuencia,Очень часто,Bardzo często,,,Muito frequente,매우 자주 한다,超積極,极高,,,,,,,,متكرر للغاية,,,,,,,,,,,
4a041836-479d-4ae5-a5f2-45a6f4158e95,1988505282,ServantStatusUI_medical_01,よくおこなう,Frequent,Fréquent,Frequente,Häufig,Con frecuencia,Часто,Często,,,Frequente,자주 한다,積極,较高,,,,,,,,متكرر,,,,,,,,,,,
8feb877d-b969-4959-8e25-e26b9701783e,4104154057,ServantStatusUI_medical_02,適度におこなう,As Required,Comme requis,Come richiesto,Wie erforderlich,Cuando sea necesario,По необходимости,Według wymagań,,,Como pedido,적당히 한다,適度,适度,,,,,,,,على النحو المطلوب,,,,,,,,,,,
d54ae72a-b3d5-4514-bf2d-ebf98bc30a96,3336732796,ServantStatusUI_medical_03,あまりおこなわない,Infrequent,Peu fréquent,Non frequente,Selten,Con poca frecuencia,Нечасто,Niezbyt często,,,Infrequente,별로 하지 않는다,較少,较低,,,,,,,,غير متكرر,,,,,,,,,,,
6d9fe656-143c-4729-be62-8a67d4971019,2441449074,ServantStatusUI_medical_04,回復しない,Never Heals,Ne guérit jamais,Non guarisce mai,Heilt nie,Nunca se cura,Никогда не лечит,Nigdy ,,,Nunca cura,회복하지 않는다,不回復,不回复,,,,,,,,يستحيل الشفاء,,,,,,,,,,,
d7fb83b6-de20-4047-8c57-357708c6a129,3947624092,ServantStatusUI_profile_01,"バランスのよい狩猟スタイル。
苦手なことがないので、
どんなクエストでも対応できる。","A balanced hunting style.
Can flexibly handle anything
a quest might throw out.","Style de chasse équilibré.
S'adapte à toutes les
difficultés d'une quête.","Stile di caccia bilanciato.
Può affrontare qualsiasi cosa
accada in missione.","Ausgewogener Jagdstil. Wird
flexibel mit allen möglichen
Anforderungen der Quests fertig.","Otorga un estilo de caza
equilibrado para manejar sin
problema cualquier situación.","Сбалансированный стиль охоты.
Позволяет справиться со всем,
что бывает на задании.","Zrównoważony styl łowiecki.
Elastyczny, dobry do każdego
wyzwania podczas zadania.",,,"Estilo de caça equilibrado.
Tem flexibilidade para aguentar
qualquer desafio de uma missão.","밸런스가 좋은 사냥 스타일.
부족한 부분이 없어
어떤 퀘스트도 대응할 수 있다.","於各方面較為平衡的狩獵風格。
沒有特別的弱點，
能夠應對任何任務。","平衡性较好的狩猎风格。
没有短板，可应对任何任务。",,,,,,,,"أسلوب صيد متوازن.
يمكنه التعامل بمرونة مع
أي شيء قد يطرأ على المهمة.",,,,,,,,,,,
628d879f-4edd-4edb-a8a2-61ca93171af2,1543216720,ServantStatusUI_profile_02,"カリスマ性…ではなく、スキル
「広域化」によって、仲間にも
アイテムの効果を与えてくれる。","Uses pure charisma—coupled
with the skill Wide-Range—to
also use items on allies.","Utilise le charisme, couplé au
talent Un pour tous, pour utiliser
des objets sur les alliés.","Unisce il carisma all'abilità
Vasta area per usare
oggetti sugli alleati.","Mit Charisma und der Fähigkeit
Wirkbereich sind Objekte
auch auf Verbündete anwendbar.","Combina el más puro carisma con
un efecto área para poder usar
también objetos en los aliados.","Задействует харизму и ауру,
чтобы использовать предметы
на союзниках.","Używa czystej charyzmy i
umiejętności „duży zasięg”, by
wspomóc sojuszników przedmiotami.",,,"Usa puro carisma, em par com a
habilidade Alcance Amplo, para
também usar itens em aliados.","카리스마…가 아니라 스킬
「광역화」를 통해 동료에게도
아이템 효과를 부여한다.","由於具備傑出的領袖魅力……
不，是具備技能「廣域化」，
故能將道具的效果分享給同伴。","凭借领导力……不，是凭借技能的
“广泛”，让道具也对同伴生效。",,,,,,,,"يستخدم الكاريزما الخالصة،
بجانب مهارة المدى الواسع،
لاستخدام العناصر أيضًا على الحلفاء.",,,,,,,,,,,
