guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c5b5eb03-9a11-44f4-b9c9-a4b049d110d5,2646947481,Fa_OtAgency_TopMenu_01_MR,オトモ雇用窓口,Buddy Scout,Scout Pilpoil,Trovacompagni,Buddy-Scout,Gestor de camaradas,Дрессировщик,Opiekun kompanów,,,Recrutador de Amigos,동반자 고용창구,隨從雇用窗口,随从雇用窗口,,,,,,,,استكشاف الرفيق,,,,,,,,,,,
05b629b5-eede-4ddd-81d7-0337e5f1f4bc,4138484602,Fa_OtAgency_TopMenu_02_MR,秘伝サポート行動修得,Secret Support Moves,Habiletés secrètes,Mosse di supporto segrete,GehUnterstützungsakt.,Mov. apoyo secretos,Секр. прием поддерж.,Sekretne ruchy wsparcia,,,Mov. de Sup. Secreto,비전 서포트 행동 습득,學習秘傳支援行動,习得秘传支援行动,,,,,,,,حركات الدعم السرية,,,,,,,,,,,
3202406a-db31-4fdd-98fc-e372d63f3192,357901821,Fa_OtAgency_TopMenu_03_MR,サポート行動修得,Swap Support Move,Changer d'Habileté,Scambia mossa sup.,Unterstützung tauschen,Cambiar mov. apoyo,Помен. прием поддерж.,Zamień ruch wsparcia,,,Trocar Mov. de Sup.,서포트 행동 습득,學習支援行動,习得支援行动,,,,,,,,تبديل حركة الدعم,,,,,,,,,,,
3bea84b9-fb8f-486c-93e6-1b3a032a54ce,544899194,Fa_OtAgency_TopMenu_04_MR,オトモスキル伝授,Buddy Skill Lesson,Leçon Talent Pilpoil,Lezione abilità comp.,Buddy-Fähigkt-Lektion,Lección: Hab. camarada,Урок навыка спутника,Lekcja um. kompana,,,Aula de Hab. de Amigo,동반자 스킬 전수,傳授隨從技能,传授随从技能,,,,,,,,درس مهارة الصديق,,,,,,,,,,,
91da1ced-6398-40a3-bdeb-76986a37f3a6,1602966909,Fa_OtAgency_TopMenu_05_MR,スキル記憶力強化術,Increase Skill Memory,Augmenter la Mémoire Talents,Aumenta memoria abilità,Fhgkitsgdchtns verb.,Aumentar memoria hab.,Развить память о навыке,Zwiększ um. pamięci,,,Aumenta Mem. de Hab.,스킬 기억력 강화술,技能記憶力強化術,技能记忆力强化术,,,,,,,,زيادة ذاكرة المهارات,,,,,,,,,,,
eb1e2346-d361-419e-b005-7fced4760eb4,441605731,Fa_OtAgency_Menu_005_MR,"<ICON Naruhodonguri>ナルホドングリを使って
スキル記憶力を強化します。
よろしいですか？
<COL RED>（現在の所持数：{1}）</COL>","Use a <ICON Naruhodonguri> Eurekacorn to increase Skill Memory?
<COL RED>(Currently owned: {1})</COL>","Utiliser un <ICON Naruhodonguri> Eurekagland pour augmenter
la Mémoire Talents? <COL RED>(Nombre actuel : {1})</COL>","Usare una <ICON Naruhodonguri> ghiandeureka per
aumentare la memoria abilità?
<COL RED>(In possesso: {1})</COL>","Eine <ICON Naruhodonguri> Heurekaeichel verwenden,
um Fähigkeitsgedächtnis zu verbessern?
<COL RED>(Derzeit in Besitz: {1})</COL>","¿Quieres usar una bellotalbricias <ICON Naruhodonguri>
para aumentar la memoria de habilidades?
<COL RED>(Tienes: {1}).</COL>","Улучшить память о навыке с помощью
Желудя озарения <ICON Naruhodonguri>? <COL RED>(У вас есть: {1})</COL>","Użyć <ICON Naruhodonguri> Eurekażołędzia, aby zwiększyć
umiejętność pamięci? <COL RED>(Masz: {1})</COL>",,,"Usar <ICON Naruhodonguri> Eurecanoz para aumentar
Memória de Habilidade?
<COL RED>(Quantidade atual: {1})</COL>","<ICON Naruhodonguri>득도토리를 사용해
스킬 기억력을 강화합니다.
그렇게 하시겠습니까?
<COL RED>(현재 소지 수: {1})</COL>","<ICON Naruhodonguri>使用開竅橡實強化記憶力。確定嗎？
<COL RED>（現在的持有數：{1}）</COL>","使用<ICON Naruhodonguri>领悟橡子，
强化技能记忆力。是否确定？
<COL RED>（当前的持有数：{1}）</COL>",,,,,,,,"هل تريد استخدام <ICON Naruhodonguri> ذرة يوريكا لزيادة ذاكرة المهارات؟
<COL RED>(المملوك حاليًا: {1})</COL>",,,,,,,,,,,
6b2c0241-f7f9-4deb-b439-25ff6a7eb597,2018105705,Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_OtAgency_Menu_006_MR
efdb9321-0f69-4e0a-b4b8-1ff41edc91ad,54019421,Fa_OtAgency_Menu_007_MR,？？？？？,???,???,???,???,¿¿??,???,???,,,???,?????,？？？？？,？？？？？,,,,,,,,؟؟؟,,,,,,,,,,,
79022cc8-7df1-4045-8aa3-b8a7d0f0cfc9,3998922660,Fa_OtAgency_Menu_008_MR,Ｌｖ 5 サポート行動,Lv 5 Support Moves,Habiletés nv 5,Mosse supporto lv. 5,St. 5 Untersttzngsakt,Mov. apoyo Nv. 5,Приемы поддерж. ур. 5,Ruchy wsparcia poz. 5,,,Mov. de Suporte Nv 5,Lv5 서포트 행동,Lv5支援行動,Lv5支援行动,,,,,,,,حركات دعم المستوى 5,,,,,,,,,,,
92d2945e-1bbd-4b2e-8522-a66e96011018,714750506,Fa_OtAgency_Menu_009_MR,Ｌｖ 10 サポート行動,Lv 10 Support Moves,Habiletés nv 10,Mosse supporto lv. 10,St. 10 Untersttzngsakt,Mov. apoyo Nv. 10,Приемы поддерж. ур. 10,Ruchy wsparc. poz. 10,,,Mov. de Suporte Nv 10,Lv10 서포트 행동,Lv10支援行動,Lv10支援行动,,,,,,,,حركات دعم المستوى 10,,,,,,,,,,,
