guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
717ca1d2-1d7e-4902-9001-56fbd22c8d1f,3843555452,ItemBox_TopMenu_01,アイテム入れ替え,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214d3702-c64c-464f-bafb-da082a4fbc38,1369682383,ItemBox_TopMenu_02,アイテム確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b360592-6450-41da-968c-1f7a62d8c4a9,1150129940,ItemBox_TopMenu_03,リストから調合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1819876-2d13-41ad-8af2-6836512fb094,2870589752,ItemBox_TopMenu_04,アクション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27efae99-fea7-44e3-b4b1-8d720eaf4271,1691096494,ItemBox_TopMenu_05,装備の変更・売却,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3daa6918-d455-4d5c-85ca-cf3c7ec47565,4063224665,ItemBox_SubMenu_01,個数を指定して送る,Select Amount,Sélect. quantité,Seleziona quantità,Anzahl wählen,Seleccionar cantidad,Задать количество,Wybierz ilość,,,Quantia,개수 지정 전송,指定數量後傳送,指定个数传送,,,,,,,,تحديد الكمية,,,,,,,,,,,
22ddbb07-9e19-4544-ad6d-461f76a2bcbb,590803019,ItemBox_SubMenu_02,入れ替え,Swap,Échanger,Scambia,Tauschen,Cambiar,Поменять,Zamień,,,Trocar,교체,更換,替换,,,,,,,,مبادلة,,,,,,,,,,,
65126bae-51c1-4599-8ac3-2455142ba358,3775815540,ItemBox_SubMenu_03,補充,Restock,Restockage,Rifornisci,Auffüllen,Reabastecerse,Пополнить,Uzupełnij zapas,,,Reabastecer,보충,補充,补充,,,,,,,,إعادة التجهيز,,,,,,,,,,,
844c24eb-fe48-45f9-80ee-df6b00e10a99,546458790,ItemBox_SubMenu_04,其の壱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ffcb76a-3505-4870-984e-9439ef676a58,2175038651,ItemBox_SubMenu_05,其の弐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4591199-d2e2-4c5b-ac55-a1794df0af75,503028350,ItemBox_SubMenu_06,装備の変更,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
