guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
7dc349c1-7198-4652-9412-6ced7aed0408,4136313714,Fa_OtSmithy_TopMenu_01,アイルー武具生産,Forge Palico Equipment,Équipement Palico,Forgia equip. Felyne,Palico-Ausrüstung,Forjar equipo Felyne,Выков. снар. Палико,Wykuj wyposaż. koleżkota,,,Forjar Equip. Amigato,아이루 장비 생산,生產艾路武具,生产艾露猫武具,,,,,,,,تشكيل معدات الباليكو,,,,,,,,,,,
c42a24bc-f7c2-407c-971f-5e182e4dc133,3674532264,Fa_OtSmithy_TopMenu_02,ガルク武具生産,Forge Palamute Equipment,Équipement Chumsky,Forgia equip. Canyne,Palamute-Ausrüstung,Forjar equipo Canyne,Выковать снар. для Паламута,Wykuj wyposażenie kumpsa,,,Forjar Equip. Amicão,가루크 장비 생산,生產加爾克武具,生产牙猎犬武具,,,,,,,,تشكيل معدات البالاموت,,,,,,,,,,,
9f6e96b1-34f0-43ac-8cd1-39987cd8a6f9,1801730222,Fa_OtSmithy_TopMenu_03,重ね着装備生産,Forge Layered Armor,Forger armures spé.,Forgia stile armat.,Dekorrüstung schmieden,Forjar arm. superp.,Выков. мног. доспех,Wykuj pancerz warst.,,,Forjar Arm. Camadas,덧입는 장비 생산,生產外觀裝備,生产外观装备,,,,,,,,تشكيل درع متعددة المستويات,,,,,,,,,,,
ce0d02e5-a599-4865-b301-781a6a16b908,3730369351,Fa_OtSmithy_TopMenu_04,端材の入手,Trade for Scraps,Débris,Ottieni scarti,Gegen Reste tauschen,Cambiar por restos,Обменять на части,Wymień na skrawki,,,Trocar por Restos,편린 입수,取得餘料,获得余料,,,,,,,,التجارة مقابل الخردة,,,,,,,,,,,
e1155ae6-aadc-4e3a-ad84-df56fbd318da,2349185667,Fa_OtSmithy_TopMenu_05,装備の管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590fc3af-f53f-4f2f-a5da-7fcb4986d848,795317241,Fa_OtSmithy_SubMenu_03,装備の変更,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbf6ca23-96bc-42e7-abf6-f2e279e06057,1375017423,Fa_OtSmithy_SubMenu_04,装備の確認・売却,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682c3b9b-2b37-40f1-8caa-23c803b7fe64,1916189464,Fa_OtSmithy_SubMenu_05,装備のマイセット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52d6255f-c86a-4b02-930c-9c2609643f4b,198608717,Fa_OtSmithy_CreateYSubMenu_01,選択オトモの変更,Change Chosen Buddy,Changer ce Pilpoil,Cambia compagno,Buddy-Auswahl ändern,Cambiar camarada,Сменить спутника,Zmień kompana,,,Mudar Amigo escolhi.,선택 동반자 변경,變更選擇的隨從,变更所选随从,,,,,,,,تغيير الرفيق المختار,,,,,,,,,,,
21df82a3-537e-4985-a423-bd2980966e24,3859134795,Fa_OtSmithy_HazaiHead_01,端材リスト,Scrap List,Liste des débris,Lista scarti,Reste-Liste,Lista de restos,Список частей,Lista skrawków,,,Lista de Restos,편린 목록,餘料清單,余料列表,,,,,,,,لائحة الخردة,,,,,,,,,,,
3f1815f8-8f2c-41e1-8044-a0f0c1c5b506,3223900883,Fa_OtSmithy_HazaiHead_02,素材リスト,Material List,Liste matériaux,Lista materiali,Material-Liste,Lista materiales,Список материал.,Lista materiałów,,,Lista Materiais,소재 목록,素材清單,素材列表,,,,,,,,لائحة المواد,,,,,,,,,,,
805e3966-a8c5-4c80-8ee5-b123beed5344,2291641479,Fa_OtSmithy_HazaiHead_03,交換素材,Trade-in,À échanger,Scambia,Eintauschen,Intercambiar,Продажа,Na sprzedaż,,,Troca,교환 소재,兌換素材,交换素材,,,,,,,,التجارة,,,,,,,,,,,
220e53db-eb54-43c3-9010-9f9663793995,1280707506,Fa_OtSmithy_HazaiHead_04,入手端材,Received Scraps,Débris reçus,Scarti ricevuti,Erhaltene Reste,Restos recibidos,Полученные части,Otrzym. skrawki,,,Restos Recebidos,입수 편린,得到的餘料,获得的余料,,,,,,,,الخردة المستلمة,,,,,,,,,,,
e120462b-87c5-45de-8839-87cb43094141,1038757645,Fa_OtSmithy_HazaiHead_05,端材の交換,Scrap Swap,Changer débris,Scambia scarti,Reste-Tausch,Cambiar restos,Обмен частей,Zamiana skrawków,,,Troca de Restos,편린 교환,兌換餘料,交换余料,,,,,,,,تبديل الخردة,,,,,,,,,,,
