guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
8c5204e1-e5ef-4622-9729-0cc7d39fa3e6,4108965647,KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Name
757270b8-a55d-42d8-89f5-689e9079f6f5,509902789,KitchenSkill_000_Name,おだんご研磨術,Dango Polisher,Dango forgeron,Rasoio dango,Dango-Polierer,Dango pulidor,Данго-шлифовальщик,Dango Szlifierz,,,Dango Lustrador,경단 연마술,糰子研磨術,团子打磨术,,,,,,,,ملمّع دانجو,,,,,,,,,,,
3ab2a9cb-0103-4ffa-bd2b-bd5cd47b6a39,2140295060,KitchenSkill_001_Name,おだんご乗り上手,Dango Rider,Dango cavalier,Cavaliere dango,Dango-Reiter,Dango jinete,Данго-наездник,Dango Jeździec,,,Dango da Montaria,경단 탑승 고수,糰子騎乘好手,团子骑乘好手,,,,,,,,راكب دانجو,,,,,,,,,,,
0ed86ee1-0661-474b-99e0-08527f0c4e49,1776408782,KitchenSkill_002_Name,おだんご火事場力,Dango Adrenaline,Dango adrénaline,Eroismo dango,Dango-Adrenalin,Dango adrenalina,Данго-адреналин,Dango Adrenalina,,,Dango da Adrenalina,경단 재난대처능력,糰子火場怪力,团子火场怪力,,,,,,,,أدرينالين دانجو,,,,,,,,,,,
e46127bd-1e73-4656-b86e-17fb519c24d2,97448090,KitchenSkill_003_Name,おだんご解体術【小】,Dango Carver (Lo),Dango dépeceur,Ricavo dango I,Dango-Zerleger I,Dango cortador (B),Данго-сборщик (н),Dango Wycinacz (N.),,,Dango de Talho (Inf),경단 해체술【소】,糰子解體術【小】,团子解体术【小】,,,,,,,,نحات دانجو (منخفض),,,,,,,,,,,
9c00da7c-3be0-4788-94c6-2bade171d4e9,2358284817,KitchenSkill_004_Name,おだんご解体術【大】,Dango Carver (Hi),Dango dépeceur +,Ricavo dango II,Dango-Zerleger II,Dango cortador (A),Данго-сборщик (в),Dango Wycinacz (W.),,,Dango de Talho (Sup),경단 해체술【대】,糰子解體術【大】,团子解体术【大】,,,,,,,,نحات دانجو (مرتفع),,,,,,,,,,,
13b6144d-e80b-48ce-a909-f93117364dd9,3405152766,KitchenSkill_005_Name,おだんご医療術【小】,Dango Medic (Lo),Dango médecin,Medico dango I,Dango-Arzt I,Dango médico (B),Данго-лекарь (н),Dango Medyk (Nis.),,,Dango Medicinal (Inf),경단 의료술【소】,糰子醫療術【小】,团子医疗术【小】,,,,,,,,معالِج دانجو (منخفض),,,,,,,,,,,
f583db73-bc0b-4165-a82c-e339075f8f97,1023770464,KitchenSkill_006_Name,おだんご医療術【大】,Dango Medic (Hi),Dango médecin +,Medico dango II,Dango-Arzt II,Dango médico (A),Данго-лекарь (в),Dango Medyk (Wys.),,,Dango Medicinal (Sup),경단 의료술【대】,糰子醫療術【大】,团子医疗术【大】,,,,,,,,معالِج دانجو (مرتفع),,,,,,,,,,,
2643abed-10b4-4b81-9011-50af919c2763,1743764775,KitchenSkill_007_Name,おだんご体術,Dango Fighter,Dango guerrier,Lottatore dango,Dango-Schwarzgürtel,Dango luchador,Данго-боец,Dango Wojownik,,,Dango Lutador,경단 체술,糰子體術,团子体术,,,,,,,,محارب دانجو,,,,,,,,,,,
fa46ff24-45f9-40b1-9974-a5a70edc6ba6,4083393570,KitchenSkill_008_Name,おだんご火薬術,Dango Pyro,Dango pyromane,Piromane dango,Dango-Feuer,Dango piro,Данго-поджигатель,Dango Piroman,,,Dango Piromaníaco,경단 화약술,糰子火藥術,团子火药术,,,,,,,,حمّى دانجو,,,,,,,,,,,
82ff5dba-61a4-41f6-b922-d51fe6c47118,2136974748,KitchenSkill_009_Name,おだんご特殊攻撃術,Dango Specialist,Dango spécialiste,Specialista dango,Dango-Spezialist,Dango especialista,Данго-специалист,Dango Specjalista,,,Dango Especialista,경단 특수공격술,糰子特殊攻擊術,团子特殊攻击术,,,,,,,,متخصص دانجو,,,,,,,,,,,
e7c73a3e-0d1e-4139-b5ed-506d18538a2f,589375126,KitchenSkill_010_Name,おだんご防御術【小】,Dango Defender (Lo),Dango défenseur,Difensore dango I,Dango-Verteidiger I,Dango defensor (B),Данго-защитник (н),Dango Obrońca (Nis.),,,Dango Protetor (Inf),경단 방어술【소】,糰子防禦術【小】,团子防御术【小】,,,,,,,,مدافِع دانجو (منخفض),,,,,,,,,,,
980937f5-870a-438c-8f81-58219c70fbd8,673412447,KitchenSkill_011_Name,おだんご防御術【大】,Dango Defender (Hi),Dango défenseur +,Difensore dango II,Dango-Verteidiger II,Dango defensor (A),Данго-защитник (в),Dango Obrońca (Wys.),,,Dango Protetor (Sup),경단 방어술【대】,糰子防禦術【大】,团子防御术【大】,,,,,,,,مدافِع دانجو (مرتفع),,,,,,,,,,,
fe9b89d0-ff43-40b3-b678-a4cea5c7b1a4,3786532555,KitchenSkill_012_Name,おだんご収穫祭,Dango Harvester,Dango jardinier,Irrequieto dango,Dango-Erntehelfer,Dango cosechador,Данго-собиратель,Dango Zbieracz,,,Dango de Colhedor,경단 수확제,糰子收穫祭,团子收获祭,,,,,,,,حاصدة دانجو,,,,,,,,,,,
3f7ebadf-8d91-4a7f-85e6-82f6685c3906,1605214338,KitchenSkill_013_Name,おだんご射撃術,Dango Marksman,Dango tireur,Cecchino dango,Dango-Scharfschütze,Dango tirador,Данго-снайпер,Dango Snajper,,,Dango de Atirador,경단 사격술,糰子射擊術,团子射击术,,,,,,,,رامي دانجو,,,,,,,,,,,
e51397e4-0279-42e0-b66f-05c9c5234ca4,1697040964,KitchenSkill_014_Name,おだんご幸運術,Dango Fortune Caller,Dango porte-bonheur,Dango fortunato,Dango-Glück,Dango vidente,Данго-предсказатель,Dango Jasnowidz,,,Dango da Sorte,경단 행운술,糰子幸運術,团子幸运术,,,,,,,,عرّاف دانجو,,,,,,,,,,,
71f0ecbd-d400-4d58-b8ea-7335a3c24a96,3002960781,KitchenSkill_015_Name,おだんご激運術,Dango Miracle Worker,Dango miraculeux,Dango ultrafortunato,Ultra-Glücksdango,Dango currante,Данго-чудотворец,Dango Cudotwórca,,,Dango Milagreiro,경단 격운술,糰子激運術,团子激运术,,,,,,,,عامل معجزة دانجو,,,,,,,,,,,
24c4d913-b0fa-42ce-b15e-5b7d1061b4bf,1714743174,KitchenSkill_016_Name,おだんごはじかれ上手,Dango Deflector,Dango déflecteur,Deviazione dango,Dango-Abwehrer,Dango deflector,Данго-отражатель,Dango Odbijacz,,,Dango de Desvio,경단 튕겨나가기 고수,糰子彈武好手,团子弹武好手,,,,,,,,عاكس دانجو,,,,,,,,,,,
d90dc8de-d882-44f6-a841-1d90d374459a,3055931781,KitchenSkill_017_Name,おだんご弱いの来い！,Dango Weakener,Dango sapeur,Debolezza dango,Dango-Schwächer,Dango debilitador,Ослабляющий данго,Dango Osłabiacz,,,Dango Enfraquecedor,경단 약한놈 덤벼!,糰子弱小招來！,团子弱小招来！,,,,,,,,مُضعِف دانجو,,,,,,,,,,,
51986cee-4d71-4d37-b91b-b70d6fd2aa89,1957037758,KitchenSkill_018_Name,おだんご換算術,Dango Calculator,Dango calculateur,Scambio dango,Dango-Wechsler,Dango calculador,Счетчик данго,Dango Kalkulator,,,Dango Calculador,경단 환산술,糰子換算術,团子换算术,,,,,,,,حاسبة دانجو,,,,,,,,,,,
74c30f43-d006-43d2-be4d-450788c2be22,711356143,KitchenSkill_019_Name,おだんご暴れ撃ち,Dango Temper,Dango berserker,Indole dango,Dango-Temperament,Dango temple,Суровый данго,Dango Nerwus,,,Dango do Temperamento,경단 폭격,糰子粗暴射擊,团子粗暴射击,,,,,,,,طبع دانجو,,,,,,,,,,,
01a6ab58-b53a-4f57-8145-b9409981c506,2218817115,KitchenSkill_020_Name,おだんご壁走り達人,Dango Wall Runner,Dango grimpeur,Scalatore dango,Dango-Klettermeister,Dango correparedes,Данго-стенобег,Dango Ścianobiegacz,,,Dango de Atleta,경단 벽 달리기 달인,糰子飛簷走壁達人,团子轻功达人,,,,,,,,عدّاء الحوائط دانجو,,,,,,,,,,,
f9b1c429-5390-4d87-8281-6698c03fc393,1458854005,KitchenSkill_021_Name,おだんごＫＯ術,Dango Slugger,Dango boxeur,Battitore dango,Dango-Schläger,Dango bateador,Данго-боксер,Dango Powalacz,,,Dango Atordoante,경단 KO술,糰子KO術,团子击晕术,,,,,,,,الملاكم الشرس دانجو,,,,,,,,,,,
2f1b086e-b491-4a5f-85e4-5fc952c42404,1139577667,KitchenSkill_022_Name,おだんご金運術,Dango Money Maker,Dango gagne-pain,Opulenza dango,Dango-Bonze,Dango millonario,Данго-бизнесмен,Dango Dorobkiew.,,,Dango Faz-dinheiro,경단 금전운,糰子財運術,团子财运术,,,,,,,,صانع الأموال دانجو,,,,,,,,,,,
b5502be0-b74c-4d6b-9872-604915002e43,3490003315,KitchenSkill_023_Name,おだんご砲撃術,Dango Bombardier,Dango bombardier,Bombardiere dango,Dango-Bombardier,Dango bombardero,Данго-бомбардир,Dango Bombardier,,,Dango Bombardeiro,경단 포격술,糰子砲擊術,团子炮击术,,,,,,,,مدفعي دانجو,,,,,,,,,,,
ff20f25b-098f-45b4-b697-1a97de849f24,1162343165,KitchenSkill_024_Name,おだんごド根性,Dango Moxie,Dango vaillant,Sangue freddo dango,Dango-Schneid,Dango valor,Дерзкий данго,Dango z Biglem,,,Dango da Coragem,경단 근성,糰子大毅力,团子大毅力,,,,,,,,شجاعة دانجو,,,,,,,,,,,
7ee21648-4e93-43f5-972a-7a43b2a526da,800708292,KitchenSkill_025_Name,おだんご免疫術,Dango Immunizer,Dango immunisateur,Ripresa dango,Dango-Abhärter,Dango inmunizador,Данго-иммунизатор,Dango Immunizator,,,Dango Imunizador,경단 면역술,糰子免疫術,团子免疫术,,,,,,,,محصِّن دانجو,,,,,,,,,,,
3d1ca1ec-e06d-4be7-9507-cadbb6df6c58,3000637607,KitchenSkill_026_Name,おだんごオトモ指導術,Dango Trainer,Dango entraîneur,Istruttore dango,Dango-Trainer,Dango entrenador,Данго-тренер,Dango Trener,,,Dango de Treinador,경단 동반자 지도술,糰子隨從指導術,团子随从指导术,,,,,,,,مدرّب دانجو,,,,,,,,,,,
aafb12fe-87d1-4836-84ed-f623ce875cfb,1836538025,KitchenSkill_027_Name,おだんご短期催眠術,Dango Booster,Dango booster,Potenziatore dango,Dango-Verstärker,Dango refuerzo,Данго-усилитель,Dango Wzmacniacz,,,Dango de Reforço,경단 단기최면술,糰子短期催眠術,团子短期催眠术,,,,,,,,معزز دانجو,,,,,,,,,,,
