guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
81e60a6a-e8fe-4331-bd16-2db67e8c9d78,497369942,CharMakeMsg_Sy_001,好みのスタイルを選択してください。,Choose a type.,Sélectionner un type de chasseur.,Scegli un tipo.,Wähle einen Körpertyp.,Elige un tipo.,Выбрать тип.,Wybierz typ.,,,Selecione um tipo.,원하는 스타일을 선택하십시오.,請選擇喜歡的身體類型。,请选择喜欢的外貌。,,,,,,,,اختيار نوع.,,,,,,,,,,,
e0b6ae91-2bd5-44c2-8915-127524a5f561,1968677918,CharMakeMsg_Sy_002,"好みに近いキャラクターを選択してください。
あとで細かい設定がおこなえます。","Choose a character as a base for
your customizations.","Sélectionner un personnage comme base pour
vos modifications.","Scegli un personaggio come base per la
personalizzazione.","Wähle einen Charakter als Basis für
deine Anpassungen.",Elige un personaje base para personalizar.,"Выбрать персонажа, который
станет основой для настроек.","Wybierz postać jako obiekt wyjściowy
do wprowadzania zmian.",,,"Selecione um personagem como base
para suas personalizações.","취향에 가까운 캐릭터를 선택하십시오.
나중에 자세한 설정을 할 수 있습니다.","請選擇接近自己喜好的角色，
之後還可進行詳細設定。","请选择与您的喜好接近的角色。
之后可进行详细设置。",,,,,,,,"اختيار شخصية لتكون
أساس التعديلات.",,,,,,,,,,,
acd901a9-16fd-4819-8ffc-1d74c200e1e0,3340913250,CharMakeMsg_Sy_002_remake,好みに近いキャラクターを選択してください。,Choose a character to use as a base.,Sélectionner un personnage comme base.,Scegli un personaggio da usare come base.,Wähle einen Charakter als Grundlage aus.,Elige un personaje que utilizar como base.,"Выбрать персонажа, который станет
основой для настроек.",Wybierz postać jako obiekt wyjściowy.,,,Selecione um personagem para usar como base.,취향에 가까운 캐릭터를 선택하십시오.,請選擇接近自己喜好的角色。,请选择与您的喜好接近的角色。,,,,,,,,اختيار الشخصية لاستخدامها كأساس.,,,,,,,,,,,
49d856d9-b101-4e9e-99f7-6b1380155933,3825836191,CharMakeMsg_Sy_003,"あらかじめ設定されている顔のタイプや
髪、年齢を簡単に設定できます。","Choose your face type, hairstyle, and age
from the selection of presets.","Sélectionner une forme de visage, une coiffure,
ou ajuster l'âge.","Imposta il tipo di viso, la pettinatura e il
grado di invecchiamento tra quelli predefiniti.","Wähle einen Gesichtstyp und eine Frisur sowie dein
Alter aus.","Elige el tipo de cara, el peinado y la edad
de entre una selección de modelos.","Выбрать тип лица, прическу и возраст
из готовых шаблонов.","Zmień typ twarzy, fryzurę i wiek
na podstawie dostępnych szablonów.",,,"Selecione o tipo do seu rosto, cabelo
e idade entre as predefinições.","미리 설정되어 있는 얼굴 타입과
머리카락, 연령을 간단히 설정할 수 있습니다.","可選擇事先設定好的臉部類型、
頭髮、年齡等等，輕鬆完成設定。","可简单设置事先设置好的
脸型、头发与年龄。",,,,,,,,"اختيار نوع شعرك، ووجهك،
وعمرك من قائمة الإعدادات المسبقة.",,,,,,,,,,,
a1c125fe-689f-49a9-b50e-2913f8f55727,201548432,CharMakeMsg_Sy_004,"顔の輪郭や眉から口までの
あらゆる箇所の細かい設定がおこなえます。","Edit your character's features, such as
face shape, brows, and mouth, in more detail.","Modifier en détail l'apparence du personnage,
comme son visage, ses sourcils, sa bouche, etc.","Modifica più nel dettaglio le caratteristiche del
tuo personaggio, tra cui forma del viso,
sopracciglia e bocca.","Bearbeite die Merkmale deines Charakters wie
Gesichtsform, Augenbrauen und Mund im Detail.","Modifica detalladamente el aspecto del personaje;
como la forma de la cara, las cejas y la boca.","Изменить внешние особенности персонажа (форму
лица, брови, рот и т.д.) в деталях.","Edytuj rysy swojej postaci, określając szczegółowo
m.in. kształt twarzy oraz wygląd brwi i ust.",,,"Edite as características do seu personagem, como
formato de rosto, sobrancelhas e boca
em mais detalhes.","얼굴의 윤곽과 눈썹에서 입까지
다양한 곳의 세부 설정을 할 수 있습니다.","可針對臉的輪廓，以及眉毛到嘴巴之間的
各個部位進行詳細設定。","可详细设置脸的轮廓、
从眉毛到嘴巴等各处的内容。",,,,,,,,"تعديل مزايا شخصيتك، مثل
شكل الوجه، والحواجب، والفم، بتفاصيل أكثر.",,,,,,,,,,,
d24c6a1c-63b9-45ec-a146-6ce182b320c3,2131461500,CharMakeMsg_Sy_005,"インナーのタイプや色を
変更できます。",Change your clothing and its color.,Sélectionner le type et la couleur des habits.,Imposta il tipo di abbigliamento.,Ändere die Kleidung sowie deren Farbe.,Cambia la ropa y su color.,Изменить одежду и ее цвет.,Zmodyfikuj swoje ubranie i jego kolor.,,,Altere as roupas e suas cores.,"속옷의 타입과 색을
변경할 수 있습니다.",可變更衣飾的類型和顏色。,"可变更衣饰的
类型与颜色。",,,,,,,,تغيير الزي ولونه.,,,,,,,,,,,
c0aceeb7-0169-4e37-8d56-a67c27763340,2972909757,CharMakeMsg_Sy_006,"ボイスのタイプの変更と
サンプルの確認ができます。",Change and preview your voice.,Changer la voix de votre personnage.,Imposta il tipo di voce.,Ändere die Stimme und höre sie dir an.,Cambia la voz y comprueba cómo suena.,Прослушать и изменить свой голос.,Usłysz i zmodyfikuj swój głos.,,,Altere e ouça a voz.,"음성의 타입을 변경하고
샘플을 확인할 수 있습니다.","可變更語音類型
及確認示範。","可变更语音类型
及查看示范。",,,,,,,,تغيير الصوت ومعاينته.,,,,,,,,,,,
26875aa4-8d4b-4787-ae9e-7b96aae289b6,843883189,CharMakeMsg_Sy_006_ex,"ハンターの作成や編集で設定したボイスと
ダウンロードした追加コンテンツのボイスが
選択できます。","Select preset voices or voices that are obtainable
as add-on content.","Sélectionner des modèles de voix ou des voix à
télécharger en tant que contenu additionnel.","Scegli le voci tra quelle predefinite
o quelle dei contenuti aggiuntivi.","Wähle voreingestellte Stimmen oder solche aus
herunterladbaren Inhalten.","Elige las voces predeterminadas o las que se
obtienen como contenido adicional.","Выбрать шаблонные голоса или скачать
эксклюзивные голоса из дополнительного контента.","Wybierz głosy z szablonów lub
z zawartości dodatkowej.",,,"Selecione vozes pré-definidas ou vozes
adquiríveis como conteúdo adicional.","헌터 작성과 편집에서 설정한 음성과
다운로드한 추가 콘텐츠 음성을
선택할 수 있습니다.","可以選擇在創造或編輯獵人時設定的語音
或是下載完成的新增內容之語音。","可选择在猎人的创造或编辑中设置的语音，
或已下载的新增内容中的语音。",,,,,,,,"تحديد الأصوات المحددة مسبقًا أو
الأصوات التي يُمكن الحصول عليها كمحتوى إضافي.",,,,,,,,,,,
e74b6f78-1983-428a-bbcc-64a2e815da6e,3537489938,CharMakeMsg_Sy_007,現在の設定を一覧で確認できます。,Check your current settings.,Voir les paramètres actuels du personnage.,Controlla le impostazioni correnti.,Sieh dir deine aktuellen Einstellungen an.,Ve los ajustes actuales.,Проверить текущие настройки.,Sprawdź swoje aktualne ustawienia.,,,Confira suas configurações atuais.,현재 설정을 목록으로 확인할 수 있습니다.,可在一覽中確認目前的設定。,可在一览中确认当前的设置。,,,,,,,,تفقد الإعدادات الحالية.,,,,,,,,,,,
47f9e356-87d6-4e6c-ac0b-0f030377907a,1390725146,CharMakeMsg_Sy_008,"エディット内容を
セーブしたりロードすることができます。","Save, load, or delete presets.","Sauvegarder, charger, ou effacer les modèles
prédéfinis de personnage.","Salva, carica o elimina predefiniti.","Speichere, lade oder lösche Charaktervorlagen.","Guarda, carga o elimina modelos.","Сохраняйте, загружайте или удаляйте шаблоны.","Zapisuj, wczytuj i usuwaj szablony.",,,"Salve, carregue ou apague predefinições.",편집 내용을 저장하거나 불러올 수 있습니다.,可儲存或讀取編輯的內容。,"可保存或加载
编辑内容。",,,,,,,,حفظ الإعدادات المسبقة أو تحميلها، أو مسحها.,,,,,,,,,,,
