guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
6584e9fe-faa7-49e9-bc03-ccac961caff2,4142308383,GC_Achievement_E_MR_01,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
ee1a17bb-b438-4e73-be3f-163a7a94d7aa,1702031763,GC_Achievement_E_MR_02,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
16f81c4b-1b84-4a76-9a7c-35f9e48b9860,1093692257,GC_Achievement_E_MR_03,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
36599a85-c8c4-4522-b94c-121e3be32b6d,2911867291,GC_Achievement_E_MR_04,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
2c3d1b45-8018-4f5e-9917-1b03a483fd5f,2687964233,GC_Achievement_E_MR_05,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
9c730a06-d498-44a4-ab8e-ef5564ff37fe,3784476844,GC_Achievement_E_MR_06,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
51e8ecfc-4792-486b-9cbe-3f87a3b6a5bc,1600663146,GC_Achievement_E_MR_07,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
a769d80b-446c-48d4-96c2-2cd37b549994,1982473348,GC_Achievement_E_MR_08,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
d1a82127-c9ad-4175-8775-e183f3612e08,3035011252,GC_Achievement_E_MR_09,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
53dc72cb-bc9b-43af-9650-d4cf17ea454f,3278655040,GC_Achievement_E_MR_10,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
0e53adc0-4e80-41b2-8931-2839f1f4dfb1,303562909,GC_Achievement_E_MR_11,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
d11b2903-59f3-434b-aea4-1d47a5307f9d,2700377095,GC_Achievement_E_MR_12,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
c319adb1-0d7c-4d35-8f3d-adef0b106378,4060001280,GC_Achievement_E_MR_13,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
744b385f-49b5-4592-b080-71106a819a20,3220894692,GC_Achievement_E_MR_14,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
e536460b-924d-4257-8b3b-153c45f4ca88,4144717484,GC_Achievement_E_MR_15,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
c786416c-0c5a-46d0-b53e-56f7a2825cc8,3074410039,GC_Achievement_E_MR_16,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
5233af58-98b2-4aeb-b602-c22d1ca71096,31562687,GC_Achievement_E_MR_17,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
a3d2d44d-6b51-4bd3-a635-88a5d6842476,4250794713,GC_Achievement_E_MR_18,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
6535124a-84f5-46e6-942a-d5c7bdbfef3d,3744125442,GC_Achievement_E_MR_19,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
e4a16db6-6186-4050-aed3-afb07c15e553,1294721017,GC_Achievement_E_MR_20,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
7c1a00a0-404f-4e39-bcf9-0aff87fb29b4,535250194,GC_Achievement_E_MR_21,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
fdaae82d-556f-4b11-886e-7fb30586578e,3561554259,GC_Achievement_E_MR_22,最初から所持。,Available from the beginning.,Disponible dès le début.,Disponibile dall'inizio.,Von Beginn an verfügbar.,Disponible desde el principio.,Доступно с самого начала.,Dostępne od początku.,,,Disponível desde o início.,처음부터 소지,初期持有。,直接拥有。,,,,,,,,متوفر منذ البداية.,,,,,,,,,,,
