guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0dcd296d-97ed-4a1b-a139-3b121d71048d,2657963604,TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00,<COLOR FF0000>#Rejected#</COLOR> TitleMsg_00
1e5792ca-8226-48dd-bfe5-a482bf9430c0,97201244,TitleMsg_StartUpFlow_01,"このゲームはオートセーブに対応しています。
セーブ中は画面の右下にセーブアイコンが表示されますので
Nintendo Switch本体の電源を切らないでください。","This game features auto-saving. Please do not turn off your
Nintendo Switch console while the save icon is displayed in
the bottom right corner of your screen.","Ce jeu dispose d'une sauvegarde automatique. Veuillez ne pas
éteindre votre console Nintendo Switch lorsque l'icône de
sauvegarde apparaît en bas à droite de l'écran.","Questo gioco usa una funzione di salvataggio automatico.
Non spegnere la console Nintendo Switch quando appare
l'icona di salvataggio in basso a destra.","Dieses Spiel speichert automatisch. Schalte deine
Nintendo Switch-Konsole nicht aus, während das
Speichersymbol unten rechts angezeigt wird.","Este juego tiene función de autoguardado. No apagues tu
consola Nintendo Switch cuando el icono de guardado aparezca
en la esquina inferior derecha de tu pantalla.","В этой игре используется автосохранение. Не отключайте
консоль Nintendo Switch™, когда в правом нижнем углу
отображается значок сохранения.","Ta gra posiada funkcję autozapisu. Nie wyłączaj
Nintendo Switch, gdy ikona zapisu jest wyświetlona
w prawym dolnym rogu ekranu.",,,"Este jogo conta com salvamento automático. Não desligue o
seu console Nintendo Switch enquanto o ícone de salvamento
estiver sendo exibido no canto inferior direito da tela.","이 게임은 자동 저장을 지원합니다.
저장 중에는 화면 오른쪽 아래에 저장 아이콘이 표시되므로
Nintendo Switch 본체의 전원을 끄지 마십시오.","本遊戲支援自動儲存。
當畫面右下角顯示正在儲存的圖示時，
請勿關閉Nintendo Switch主機電源。","本游戏支持自动保存功能。
保存时画面右下会显示保存图标，
在此期间请勿关闭Nintendo Switch主机电源。",,,,,,,,"تتميز هذه اللعبة بالحفظ التلقائي. الرجاء عدم إغلاق
منصة Nintendo Switch بينما تظهر
علامة الحفظ أسفل يسار الشاشة.",,,,,,,,,,,
d6326ee0-f455-432c-bca9-0627b191c991,1034395247,TitleMsg_TitleScreen_VersionNum,Ver.,Ver.,Ver.,Ver.,Ver.,Ver.,Ver.,Ver.,,,Ver.,Ver.,Ver.,Ver.,,,,,,,,Ver.,,,,,,,,,,,
ec36eeba-53b2-4939-a709-b1f8fe68476d,2654035374,TitleMsg_TitleScreen_RightsNotation,"©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.",,,"©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.","©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.",,,,,,,,"©CAPCOM CO., LTD. 2021 ALL RIGHTS RESERVED.",,,,,,,,,,,
8c6b32ad-a91b-457a-bffd-fe02a49e2393,3107166698,TitleMsg_TitleScreen_Item_00,PRESS ANY BUTTON,Press Any Button,Appuyez sur un bouton,Premi un pulsante,Drücke eine beliebige Taste,Pulsa cualquier botón,Нажмите любую кнопку,Naciśnij dowolny przycisk,,,Pressione qualquer botão,아무 버튼이나 누르세요,按任意按鍵,按任意键,,,,,,,,اضغط على أي زر,,,,,,,,,,,
ca57f8e6-9d0f-42f4-9952-cd4f3d4dd572,367383435,TitleMsg_TitleScreen_Item_01,NEW GAME,New Game,Nouvelle partie,Nuova partita,Neues Spiel,Nueva partida,Новая игра,Nowa gra,,,Novo Jogo,새 게임,NEW GAME,新游戏,,,,,,,,لعبة جديدة,,,,,,,,,,,
1c3130a9-c6f1-4175-96c4-bf49b1d40eba,1249695359,TitleMsg_TitleScreen_Item_02,CONTINUE,Continue,Continuer,Continua,Fortsetzen,Continuar,Продолжить,Kontynuuj,,,Continuar,계속하기,CONTINUE,继续,,,,,,,,المتابعة,,,,,,,,,,,
a73df5e5-4a28-4e9d-8d75-c1426829e165,1013078851,TitleMsg_TitleScreen_Item_03,OPTION,Options,Options,Opzioni,Optionen,Opciones,Настройки,Opcje,,,Opções,옵션,OPTION,选项,,,,,,,,الخيارات,,,,,,,,,,,
eeb05302-7de1-4948-89b8-7e0dd3f2ee85,843830893,TitleMsg_TitleScreen_Item_04,取扱説明書,Manual,Manuel,Manuale,Anleitung,Manual,Руководство,Instrukcja gry,,,Manual,사용설명서,使用說明書,使用说明书,,,,,,,,الدليل,,,,,,,,,,,
c186d2ee-6029-4ca7-b220-f8df95ad506b,2818988370,TitleMsg_TitleScreen_Item_05,Nintendo eShop,Nintendo eShop,Nintendo eShop,Nintendo eShop,Nintendo eShop,Nintendo eShop,Nintendo eShop,Nintendo eShop,,,Nintendo eShop,닌텐도 e숍,Nintendo eShop,Nintendo e商店,,,,,,,,Nintendo eShop,,,,,,,,,,,
