guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
276a29b4-3fec-42bd-9366-40bfcbe2be95,2597712440,PlayerSkill_200_Name,血氣,Blood Rite,Rituel de sang,Mente e corpo,Blutritus,Rito sangriento,Разум и тело,Umysł i ciało,,,Mente e Corpo,혈기,血氣,气血,,,,,,,,العقل والجسم,,,,,,,,,,,
38f605c1-00a8-4e9f-8d5a-7f43c036f64b,908115398,PlayerSkill_201_Name,伏魔響命,Dereliction,Abandon,Sfacelo,Verwahrlosung,Descuido,Упущение,Zaniedbanie,,,Abandono,복마향명,伏魔響命,伏魔耗命,,,,,,,,الإهمال,,,,,,,,,,,
7c9ae6de-26ea-45c4-9040-f24ee2f374cc,360999528,PlayerSkill_202_Name,激昂,Furious,Orage,Indignazione,Zorniger,Rabioso,Гнев,Oburzenie,,,Indignação,격앙,激昂,激昂,,,,,,,,السخط,,,,,,,,,,,
fd37fcdd-ac21-474b-8cdd-031dc3d663cc,197045547,PlayerSkill_203_Name,業鎧【修羅】,Mail of Hellfire,Cotte des flammes infernales,Cotta fuoco infernale,PanzerdesHöllenfeuers,Cota de fuego infernal,Кольчуга адского пламени,Zbroja piek. ognia,,,Cota Fogo do Inferno,업개【수라】,業鎧【修羅】,业铠【修罗】,,,,,,,,درع صدر لهب الجحيم,,,,,,,,,,,
a16e2fb5-1a8e-4c07-9fc6-9b8009046ce3,4236516420,PlayerSkill_204_Name,災禍転福,Coalescence,Union,Coalescenza,Verschmelzung,Coalescencia,Сращивание,Zjednoczenie,,,Coalescência,전화위복,轉禍為福,因祸得福,,,,,,,,الالتحام,,,,,,,,,,,
dae580ad-0086-48af-841e-fb2440386cb7,2683201644,PlayerSkill_205_Name,狂竜症【蝕】,Bloodlust,Soif de sang,Sete di sangue,Blutdurst,Afán de sangre,Кровожадность,Żądza krwi,,,Sede de Sangue,광룡증【식】,狂龍症【蝕】,狂龙症【蚀】,,,,,,,,التعطش للدماء,,,,,,,,,,,
4f5635b2-8bed-476f-a663-d3ee17a61ae9,3583921520,PlayerSkill_206_Name,顕如盤石,Defiance,Défiance,Provocazione,Trotz,Rebeldía,Дерзость,Opór,,,Rebeldia,현여반석,堅若磐石,坚如磐石,,,,,,,,تحدٍّ,,,,,,,,,,,
bcceb7b6-68da-4207-8add-89d10cc35540,11691479,PlayerSkill_207_Name,闇討ち,Sneak Attack,Attaque furtive,Attacco furtivo,Schleichangriff,Ataque sigiloso,Тайная атака,Atak z zaskoczenia,,,Ataque Sorrateiro,기습,奇襲,偷袭,,,,,,,,هجوم متسلل,,,,,,,,,,,
fb16babd-13aa-4636-88ce-c0e00fdca2b0,1731476870,PlayerSkill_208_Name,巧撃,Adrenaline Rush,Poussée d'adrénaline,Flusso di adrenalina,Adrenalinschub,Subida de adrenalina,Прилив адреналина,Napływ adrenaliny,,,Onda de Adrenalina,교격,巧擊,巧击,,,,,,,,تسارع الأدرينالين,,,,,,,,,,,
290f5135-0fd2-4b30-af6e-189f9446c5a8,3810640091,PlayerSkill_209_Name,煽衛,Embolden,Vaillance,Guardia alata,Ermutigen,Enardecer,Воодушевление,Ośmielony,,,Bloqueio de Asa,선위,煽動,嘲讽防御,,,,,,,,حارس الجناح,,,,,,,,,,,
02633abc-986d-4f4c-87b0-8443fd917ef4,3632297664,PlayerSkill_210_Name,合気,Redirection,Redirection,Redirezione,Umleitung,Redirección,Перенаправление,Przekierowanie,,,Redirecionamento,합기,合氣,合气,,,,,,,,إعادة توجيه,,,,,,,,,,,
67b27864-2adb-4ee9-bd6b-8c0da86704ba,2876108812,PlayerSkill_211_Name,供応,Spiribird's Call,Appel Spectroiseau,Richiamo spiriuccello,Irrlitzruf,Llamada del animave,Зов Духоптицы,Pisk duchoptaka,,,Chamado do Espiripássaro,향응,款待,提供,,,,,,,,نداء طيور سيبيري,,,,,,,,,,,
0bd1fc42-965a-47f3-98de-a6822c8e4164,1169270135,PlayerSkill_212_Name,チャージマスター,Charge Master,Maître de la charge,Maestro di carica,Auflademeister,Maestro de cargas,Сменить мастера,Mistrz ładowania,,,Mestre da Energia,차지 마스터,蓄力大師,蓄力大师,,,,,,,,سيد الشحن,,,,,,,,,,,
6ca4b247-d687-48e1-b03a-7954a6b46cf1,185142882,PlayerSkill_213_Name,攻勢,Foray,Incursion,Incursione,Vorstoß,Irrupción,Налет,Najazd,,,Investida,공세,攻勢,攻势,,,,,,,,غارة,,,,,,,,,,,
fbe8d9a9-6474-4a3c-8f4c-b3de14206fde,1339841870,PlayerSkill_214_Name,チューンアップ,Tune-Up,Réglage,Affinamento,Pflege,Puesta a punto,Настройка,Przegląd,,,Retificação,튠 업,槍械改良,零件改造,,,,,,,,تحديث,,,,,,,,,,,
f612cf5a-51f0-4dba-9c4e-2a0cf24f9931,3819986166,PlayerSkill_215_Name,研磨術【鋭】,Grinder (S),Métallurgie (P),Metallurgia (S),Schleifer (S),Amolador (S),Дробилка (S),Młynek (S),,,Amolador (S),연마술【예】,研磨術【銳】,打磨术【锐】,,,,,,,,طاحونة <BSL>(S)</BSL>,,,,,,,,,,,
3cbfbd7d-56c5-49f8-b75c-c87e9a97e79f,2881863774,PlayerSkill_216_Name,刃鱗磨き,Bladescale Hone,Lamécaille affûtée,Scaglialama acuta,KlingenschVerbess,Filoescama afilada,Острая чешуя,Osełka ostrołuski,,,Amolação de Lâmina,칼날비늘 연마,刃鱗研磨,刃鳞打磨,,,,,,,,شحذ حرشفة النصل,,,,,,,,,,,
b135afa7-5c2a-4cce-b8cb-0c7f1e76dff9,1168081540,PlayerSkill_217_Name,壁面移動【翔】,Wall Runner (Boost),Grimpeur (boost),Scalatore (poten.),Wandläufer (Boost),Correparedes (impulso),Бег. по стенам (Ус.),Wzmoc. ścianobiegacz,,,Corr. de Parede (SO),벽면 이동【상】,飛簷走壁【翔】,走壁移动【翔】,,,,,,,,الراكض على الجدران <BSL>(SO)</BSL>,,,,,,,,,,,
54c69f10-1dca-470f-9c30-006f305145a1,3939292220,PlayerSkill_218_Name,弱点特効【属性】,Element Exploit,Faibl. élément.,Debolezza elementale,Elementvorteil,Aprovechar elemento,Уязвимость к стихии,Wykorzyst. żywiołu,,,Expl. de Elemento,약점 특효【속성】,弱點特效【屬性】,弱点特效【属性】,,,,,,,,استغلال عنصر,,,,,,,,,,,
479382f8-002c-4150-a413-d0b5b78751eb,2250834736,PlayerSkill_219_Name,連撃,Burst,Vendetta,Ventata,Salve,Ráfaga,Выброс,Wybuch,,,Rajada,연격,連擊,连击,,,,,,,,انفجار,,,,,,,,,,,
ebdbb119-f3c6-48ec-8ee0-f1e72b6db004,1082467829,PlayerSkill_220_Name,根性,Guts,Courage,Coraggio,Mut,Agallas,Железная воля,Męstwo,,,Bravura,근성,毅力,毅力,,,,,,,,شجاعة,,,,,,,,,,,
b6bdcdfd-1dd1-4905-adb3-7a86bac7f45d,657510567,PlayerSkill_221_Name,疾之息吹,Quick Breath,Souffle rapide,Attimo di respiro,Atempause,Respiración rápida,Учащенное дыхание,Szybki oddech,,,Sopro Rápido,신속의 숨결,迅疾吐納,迅之气息,,,,,,,,نفثة سريعة,,,,,,,,,,,
8943debf-1ab3-4fbd-9d4f-e695dc37d031,2313911137,PlayerSkill_222_Name,状態異常確定蓄積,Status Trigger,Catalys. d'afflict.,Attiva stato,Statusauslöser,Activa estados,Смена статуса,Wywołanie efektu,,,Ativação de Status,상태 이상 확정 축적,必定累積狀態異常值,状态异常必定累积,,,,,,,,محفز الحالة,,,,,,,,,,,
f936e2b4-0694-44f7-8b93-7d0e080331c6,2324641303,PlayerSkill_223_Name,剛心,Intrepid Heart,Cœur audacieux,Cuore intrepido,Furchtloses Herz,Corazón intrépido,Бесстрашное сердце,Nieustraszone serce,,,Coração Intrépido,강심,剛心,刚心,,,,,,,,جسور القلب,,,,,,,,,,,
90bca95a-6a64-4e4b-99c6-57c8289d25ac,1340013744,PlayerSkill_224_Name,蓄積時攻撃強化,Buildup Boost,Bonus d'accumulation,Bonus accumulo,Auflade-Booster,Bonus de acumulación,Усиление накопления,Wzmocnienie akumulacji,,,Reforço de Acúmulo,축적 시 공격 강화,異常累積強化,累积时攻击强化,,,,,,,,معزز التراكم,,,,,,,,,,,
91c6ba16-976e-4369-a3b1-1a30d16a4cd2,1491877221,PlayerSkill_225_Name,狂化,Berserk,Berserk,Delirante,Berserker,Frenético,Безумец,Berserk,,,Berserk,광화,狂化,狂化,,,,,,,,مسعور,,,,,,,,,,,
5d058744-8873-4d6b-aea0-03372175f667,2346749304,PlayerSkill_226_Name,風纏,Wind Mantle,Cape du vent,Mantello ventoso,Wind-Mantel,Manto de viento,Мантия ветра,Opończa wiatru,,,Manto de Vento,풍전,暴風纏身,风绕,,,,,,,,غطاء الريح,,,,,,,,,,,
