guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
7822a570-88fb-49eb-818d-ab4e97184c08,2195755030,QN385101_01,傀異調査：オサイズチ,Anomaly Research: Great Izuchi,Rech. d'Anomalie : Grand Izuchi,Ricerca anomalia: Gran Izuchi,Anomalieforschung: Groß-Izuchi,Estudio Anomalía: Gran Izuchi,Аномалия: Большой Идзути,Bad. Anomalii: Wielki Izuchi,,,Pesq. de Anomalia: G. Izuchi,괴이 조사: 오사이즈치,傀異調查：鐮鼬龍王,怪异调查：镰鼬龙王,,,,,,,,بحث غير عادي: إيزوتشي العظيم,,,,,,,,,,,
da1271f9-f8d6-406c-a539-1a902f73e833,316741380,QN385101_02,研究員バハリ,Bahari the Scientist,Bahari le scientifique,Bahari lo scienziato,Bahari,"Bahari, el científico",Ученый Бахари,Naukowiec Bahari,,,"Bahari, o Cientista",연구원 바하리,巴赫里研究員,研究员巴哈里,,,,,,,,بهاري العالِم,,,,,,,,,,,
f4c1b849-8869-4429-ba8b-5f2f38358df6,2462423555,QN385101_03,"キュリアの目撃情報だ！
一緒に傀異化したモンスターも
目撃されているって話だよ！
傀異化した個体からは特殊な
素材がとれるし、キミにとっても
悪い話じゃないはずだ。
それじゃ、調査をお願いするよ！","Looks like it's your lucky day!
Some Qurio have been spotted
with an afflicted monster. You
know what that means! That's
right! Research time! I get my
research, you get some special
materials! Win-win, right?","C'est ton jour de chance !
Des Qurio ont été repérés
près d'un monstre qui a une
affliction. Tu sais ce que ça veut
dire ! Je fais mes recherches,
toi tu as des matériaux rares,
tout le monde est content !","È il tuo giorno fortunato!
Sono stati avvistati dei Qurio
con un mostro infetto. Sai che
significa, vero? Una spedizione
di ricerca! Io mi occupo dei
miei studi e tu ti procuri dei
materiali molto speciali.","Heute ist wohl dein Glückstag!
Einige Qurio wurden mit einem
befallenen Monster gesichtet.
Das ist DIE Gelegenheit für
uns beide! Ich kann forschen
und du bekommst besondere
Materialien. Gut für alle, oder?","¡Hoy tienes suerte! Han visto
unos Qurio con un monstruo
afligido. Ya sabes qué toca:
¡investigar! Yo estudio, ¡y tú
te llevas unos materiales
especiales! ¡Ganamos los dos!","Сегодня явно твой день! Рядом
с измененным монстром
обнаружили Курио. Ты
понимаешь, что это значит!
Да! Время исследований!
Я получу данные, а ты — особые
материалы! Все в выигрыше!","Dziś masz szczęście! Widziano
Qurio z zarażonym potworem.
Wiesz, co to znaczy? Właśnie!
Czas na badanie! Ja dostarczam
wyniki, a ty specjalne
materiały! Idealny układ, nie?",,,"Parece que é seu dia de sorte!
Uns Qurio foram avistados com
um monstro afligido. Você sabe
o que isso quer dizer! Hora da
pesquisa! Eu consigo a minha
pesquisa e, você, uns materiais
especiais. Todo mundo ganha!","큐리아 목격 정보다!
괴이화한 몬스터도 함께
목격됐다고 해!
괴이화한 개체에서는 특수한
소재를 얻을 수도 있으니
너한테도 괜찮은 정보일 거야.
그럼 조사를 부탁할게!","有人回報說目擊到了噬生蟲，
而且還同時出現了傀異化的魔物！
從傀異化的個體身上
能夠採集到特殊的素材，
對你應該也很有幫助。
那就拜託你去調查啦！","有报告称目击到了啮生虫！
据说当时还出现了怪异化的怪物！
从怪异化的个体身上能得到特殊
的素材，对你来说应该也有好处。
那就麻烦你去调查了！",,,,,,,,"يبدو أنه يوم حظك!
تم رصد بعض الكوريو
مع وحش مصاب
أنت تعرف ماذا يعني ذلك!
هذا صحيح! حان وقت البحث! أنا أحصل على بحثي،
وأنت تحصل على بعض المواد الخاصة!
منفعة متبادلة، أليس كذلك؟",,,,,,,,,,,
ee289b80-79d1-47bb-9b29-839b9e5cd390,1059665476,QN385101_04,オサイズチ（傀異化）１頭の討伐,Slay an afflicted Great Izuchi,Tuer un Grand Izuchi affligé,Uccidi un Gran Izuchi infetto,Erlege einen befallenen Groß-Izuchi.,Abate un Gran Izuchi afligido,Убить измененного Большого Идзути,Zabij zarażonego Wielkiego Izuchiego,,,Mate um Grande Izuchi afligido,오사이즈치(괴이화) 1마리 토벌,討伐1頭鐮鼬龍王（傀異化）,讨伐1头镰鼬龙王（怪异化）,,,,,,,,اقتل إيزوتشي عظيم مصاب,,,,,,,,,,,
af9d74f3-33d4-4217-b6bc-8037dd2f4137,3041557420,QN385101_05,"報酬金ゼロ
タイムアップ","Reward hits 0, or time expires",Prime à 0/Temps expiré,Premio a zero o tempo scaduto,"Belohnung auf 0 oder Zeit
läuft ab.","La recompensa cae a 0
o se acaba el tiempo","Счетчик награды доходит до 0
или истекает время","Nagroda równa 0 lub
koniec czasu",,,"A recompensa chega a 0
ou o tempo expira","보수금 0
시간 초과","報酬金0
時間結束","报酬金额为零
时间耗尽",,,,,,,,0 ضربات المكافأة، أو ينفد الوقت,,,,,,,,,,,
c6728458-4783-4a9a-a89c-1a91ed83b7c8,3284463734,QN385102_01,傀異調査：ドスバギィ,Anomaly Research: Great Baggi,Rech. d'Anomalie : Grand Baggi,Ricerca anomalia: Gran Baggi,Anomalieforschung: Groß-Baggi,Estudio Anomalía: Gran Baggi,Аномалия: Большой Багги,Bad. Anomalii: Wielki Baggi,,,Pesq. de Anomalia: G. Baggi,괴이 조사: 도스바기,傀異調查：眠狗龍王,怪异调查：眠狗龙王,,,,,,,,بحث غير عادي: باجي العظيم,,,,,,,,,,,
4ae5456c-2c72-47a8-bd56-55410292150e,3292540666,QN385102_02,研究員バハリ,Bahari the Scientist,Bahari le scientifique,Bahari lo scienziato,Bahari,"Bahari, el científico",Ученый Бахари,Naukowiec Bahari,,,"Bahari, o Cientista",연구원 바하리,巴赫里研究員,研究员巴哈里,,,,,,,,بهاري العالِم,,,,,,,,,,,
32fbaeb8-2685-4f45-8511-043fca59ee9d,485117994,QN385102_03,"キュリアの目撃情報だ！
一緒に傀異化したモンスターも
目撃されているって話だよ！
傀異化した個体からは特殊な
素材がとれるし、キミにとっても
悪い話じゃないはずだ。
それじゃ、調査をお願いするよ！","Looks like it's your lucky day!
Some Qurio have been spotted
with an afflicted monster. You
know what that means! That's
right! Research time! I get my
research, you get some special
materials! Win-win, right?","C'est ton jour de chance !
Des Qurio ont été repérés
près d'un monstre qui a une
affliction. Tu sais ce que ça veut
dire ! Je fais mes recherches,
toi tu as des matériaux rares,
tout le monde est content !","È il tuo giorno fortunato!
Sono stati avvistati dei Qurio
con un mostro infetto. Sai che
significa, vero? Una spedizione
di ricerca! Io mi occupo dei
miei studi e tu ti procuri dei
materiali molto speciali.","Heute ist wohl dein Glückstag!
Einige Qurio wurden mit einem
befallenen Monster gesichtet.
Das ist DIE Gelegenheit für
uns beide! Ich kann forschen
und du bekommst besondere
Materialien. Gut für alle, oder?","¡Hoy tienes suerte! Han visto
unos Qurio con un monstruo
afligido. Ya sabes qué toca:
¡investigar! Yo estudio, ¡y tú
te llevas unos materiales
especiales! ¡Ganamos los dos!","Сегодня явно твой день! Рядом
с измененным монстром
обнаружили Курио. Ты
понимаешь, что это значит!
Да! Время исследований!
Я получу данные, а ты — особые
материалы! Все в выигрыше!","Dziś masz szczęście! Widziano
Qurio z zarażonym potworem.
Wiesz, co to znaczy? Właśnie!
Czas na badanie! Ja dostarczam
wyniki, a ty specjalne
materiały! Idealny układ, nie?",,,"Parece que é seu dia de sorte!
Uns Qurio foram avistados com
um monstro afligido. Você sabe
o que isso quer dizer! Hora da
pesquisa! Eu consigo a minha
pesquisa e, você, uns materiais
especiais. Todo mundo ganha!","큐리아 목격 정보다!
괴이화한 몬스터도 함께
목격됐다고 해!
괴이화한 개체에서는 특수한
소재를 얻을 수도 있으니
너한테도 괜찮은 정보일 거야.
그럼 조사를 부탁할게!","有人回報說目擊到了噬生蟲，
而且還同時出現了傀異化的魔物！
從傀異化的個體身上
能夠採集到特殊的素材，
對你應該也很有幫助。
那就拜託你去調查啦！","有报告称目击到了啮生虫！
据说当时还出现了怪异化的怪物！
从怪异化的个体身上能得到特殊
的素材，对你来说应该也有好处。
那就麻烦你去调查了！",,,,,,,,"يبدو أنه يوم حظك!
تم رصد بعض الكوريو
مع وحش مصاب
أنت تعرف ماذا يعني ذلك!
هذا صحيح! حان وقت البحث! أنا أحصل على بحثي،
وأنت تحصل على بعض المواد الخاصة!
منفعة متبادلة، أليس كذلك؟",,,,,,,,,,,
907f8e55-f84b-4472-8de0-be8251571a03,2115769535,QN385102_04,ドスバギィ（傀異化）１頭の討伐,Slay an afflicted Great Baggi,Tuer un Grand Baggi affligé,Uccidi un Gran Baggi infetto,Erlege einen befallenen Großbaggi.,Abate un Gran Baggi afligido,Убить измененного Большого Багги,Zabij zarażonego Wielkiego Baggiego,,,Mate um Grande Baggi afligido,도스바기(괴이화) 1마리 토벌,討伐1頭眠狗龍王（傀異化）,讨伐1头眠狗龙王（怪异化）,,,,,,,,اقتل باجي عظيم مصاب,,,,,,,,,,,
a376598f-085f-4bf7-937a-d19e1d8de5e5,382674583,QN385102_05,"報酬金ゼロ
タイムアップ","Reward hits 0, or time expires",Prime à 0/Temps expiré,Premio a zero o tempo scaduto,"Belohnung auf 0 oder Zeit
läuft ab.","La recompensa cae a 0
o se acaba el tiempo","Счетчик награды доходит до 0
или истекает время","Nagroda równa 0 lub
koniec czasu",,,"A recompensa chega a 0
ou o tempo expira","보수금 0
시간 초과","報酬金0
時間結束","报酬金额为零
时间耗尽",,,,,,,,0 ضربات المكافأة، أو ينفد الوقت,,,,,,,,,,,
