guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c0aa1e7a-bd9f-491c-90c7-40d26f00204d,936808319,STM_Album_Menu_50_MR,アンティーク紙風,Antique Paper,Papier antique,Carta antica,Antikes Papier,Papel antiguo,Старинная бумага,Prastary papier,,,Papel Antigo,앤티크,老舊紙張風格,仿古纸,,,,,,,,ورقة عتيقة,,,,,,,,,,,
212c1540-949d-46d2-b522-6cd725bcaf93,108937193,STM_PoseSetName_01_MR,クールポーズ,Cool Pose Set,Set de poses cool,Set di pose: Posa mitica,"Posen-Set ""Cool""",Set de poses guays,"Набор поз ""Крутая поза""",Zestaw fajnych póz,,,Conjunto de Poses Bacanas,쿨 포즈,酷酷姿勢,帅气姿势,,,,,,,,مجموعة الوضعية الرائعة,,,,,,,,,,,
371601b9-a416-4458-8a85-30d0b5f14fac,465553107,STM_PoseSetName_02_MR,キュートポーズ２,Cutesy Pose 2 Set,Set de poses kawaii 2,Set di pose: Posa graziosa 2,"Posen-Set ""Niedlich"" 2",Set de poses monas 2,"Набор поз ""Милая поза"" 2",Zestaw słodkich póz 2,,,Conjunto de Poses Fofas 2,귀여운 포즈 2,可愛姿勢2,可爱姿势2,,,,,,,,مجموعة الوضعية اللطيفة 2,,,,,,,,,,,
76761f41-c228-45fb-a96b-984a0dccb011,3403652010,STM_PoseSetName_03_MR,ノーブルポーズ,Noble Pose Set,Set de poses nobles,Set di pose: Posa nobile,"Posen-Set ""Adlig""",Set de poses nobles,"Набор поз ""Благородство""",Zestaw arystokratycznych póz,,,Conjunto de Poses Nobres,노블 포즈,高貴姿勢,高贵姿势,,,,,,,,مجموعة الوضعية النبيلة,,,,,,,,,,,
a7dd5b63-33ec-4ee8-92e5-41e7414b85db,1607187597,STM_PoseSetName_04_MR,ダンスポーズ２,Dancing Pose 2 Set,Set de poses danse 2,Set di pose: Posa danzante 2,"Posen-Set ""Tanz"" 2",Set de poses de baile 2,"Набор поз ""Танц. поза"" 2",Zestaw tańczących póz 2,,,Conjunto de Poses de Dança 2,댄스 포즈 2,跳舞姿勢2,舞蹈姿势2,,,,,,,,مجموعة وضعية الرقص 2,,,,,,,,,,,
9f86a7af-6c35-442a-8d7d-d1f1b625ebf2,1961512422,STM_PoseSetName_05_MR,ヒーローポーズ２,Heroic Pose 2 Set,Set de poses héroïques 2,Set di pose: Posa eroica 2,"Posen-Set ""Heldenhaft"" 2",Set de poses heroicas 2,"Набор поз ""Героическая поза"" 2",Zestaw bohaterskich póz 2,,,Conjunto de Poses Heroicas 2,히어로 포즈 2,英雄姿勢2,英雄姿势2,,,,,,,,مجموعة الوضعية البطولية 2,,,,,,,,,,,
4274c5ca-7b9d-4ba2-94ec-38034b8a94c7,2525017316,STM_PoseSetName_06_MR,ファイティングポーズ,Fight Pose Set,"Set de poses ""Au combat""",Set di pose: Combattimento,"Posen-Set ""Kampf""",Set de poses de combate,Набор боевых поз,Zestaw walecznych póz,,,Conjunto de Poses de Luta,파이팅 포즈,戰鬥姿勢,战斗姿势,,,,,,,,مجموعة وضعية القتال,,,,,,,,,,,
04112ea6-fa7f-4b38-bfcf-86b3eeb593ab,2618941891,STM_PoseSetName_07_MR,追いかけっこポーズ,Chase Pose Set,"Set de poses ""Poursuite""",Set di pose: Inseguimento,"Posen-Set ""Verfolgung""","Set de poses ""Persecución""","Набор поз ""Погоня""",Zestaw póz „Pogoń”,,,Conjunto de Poses de Caça,술래잡기 포즈,追逐姿勢,追逐姿势,,,,,,,,مجموعة وضعية المطاردة,,,,,,,,,,,
14a54e81-49d1-4c9f-b8e0-4c1bccaa90f7,2392110903,STM_PoseSetName_08_MR,ラッパーポーズ,MC Pose Set,"Set de poses ""MC""","Set di pose ""Posa con tromba""","Posen-Set ""MC""",Set de poses de presentador,"Набор поз ""MC""",Zestaw póz „MC”,,,Conjunto de Poses MC,래퍼 포즈,饒舌姿勢,说唱姿势,,,,,,,,مجموعة وضعية MC,,,,,,,,,,,
eb070f2e-6d92-4895-a15a-efe0cd2a9cf8,2248924945,STM_PoseSetName_09_MR,愉快なポーズ,Delightful Pose Set,"Set de poses ""Charmant""","Set di pose ""Posa allegra""","Posen-Set ""Entzückt""",Set de poses encantadoras,"Набор поз ""Восхитительный""",Zestaw zachwycających póz,,,Conjunto de Poses Deliciosas,유쾌한 포즈,愉快姿勢,愉快姿势,,,,,,,,مجموعة وضعية ممتعة,,,,,,,,,,,
54bb2f06-ebf7-441e-87dd-65e2b55a9a46,1501525988,STM_PoseSetName_10_MR,ユニークポーズ,Unique Pose Set,Set de poses uniques,Set di pose: Posa unica,"Posen-Set ""Einzigartig""",Set de poses únicas,Набор уникальных поз,Zestaw wyjątkowych póz,,,Conjunto de Poses Únicas,유니크 포즈,獨特姿勢,独特姿势,,,,,,,,مجموعة الوضعية المميزة,,,,,,,,,,,
f838d89f-7107-4952-b9ee-35b75cd9ded5,70942058,STM_PoseSetName_11_MR,なりきり王国騎士ポーズ,Royal Order Pose Set,Set de poses Ordre Royal,Set di pose: Ordine reale,"Posen-Set ""Königlicher Orden""",Set de poses de la orden real,Набор поз Королевского Ордена,Zestaw póz Królewskiego Orderu,,,Conjunto de Poses da Ordem Real,변신 왕국 기사 포즈,變身王國騎士姿勢,变身王国骑士姿势,,,,,,,,مجموعة وضعية الأمر الملكي,,,,,,,,,,,
