guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
3810bf3b-6c21-46cd-b0b4-b781d87b49f1,2977598625,STM_ASE_Menu_003_MR,拠点セッティング,Base Settings,Paramètres de la base,Impostazioni base,Basiseinstellungen,Ajustes de la base,Настройки базы,Ustawienia bazy,,,Configurações de Base,거점 세팅,據點設定,据点设置,,,,,,,,إعدادات القاعدة,,,,,,,,,,,
9ff878ee-5293-4212-ab87-44d709809f58,3955916711,STM_ASE_Menu_050_MR,採取マーキング！,Sniff 'em out!,Flairer,Annusa!,Erschnüffeln!,¡Vamos a rastrear!,След!,Wyniuchaj!,,,Fareja Tudo!,채취 마킹!,採集標記！,采集标记！,,,,,,,,تتبعهم!,,,,,,,,,,,
c6ce2abd-19c0-477c-8806-50bd9c3ae6a7,4224248835,STM_ASE_Menu_051_MR,疾替え,Switch Skill Swap,Transfert Talent de substitution,Inv. abilità scambio,Wechselkunst ändern,Intercambio de habilidades,Смена Заместительного навыка,Zmiana przełącz. umiejętności,,,Mudar Hab. de Troca,신속 교체,高速更換,迅速切换,,,,,,,,مبادلة مهارة التبديل,,,,,,,,,,,
7acfb414-0c18-4a31-bf10-b5dcdcf519d3,466774591,STM_ASE_Menu_052_MR,時限大花火の技,Felyne Fireworks,Feux d'artifice Felyne,Fuochi d'artifelyne,Felyne-Feuerwerk,Pirotecnia Felyne,Кошачий фейерверк,Felinie fajerwerki,,,Fogos Felynos,시한왕폭죽,計時大煙火之技,定时大烟花之技,,,,,,,,ألعاب الفيلاين النارية,,,,,,,,,,,
058920a6-8172-428e-a580-eb57f39d8da4,2133357692,STM_ASE_Menu_053_MR,拠点移動,Open World Map,Ouvrir la carte du monde,Apri la mappa globale,Weltkarte öffnen,Abrir mapa del mundo,Открыть карту мира,Otwórz mapę świata,,,Abrir Mapa-múndi,거점 이동,據點移動,据点移动,,,,,,,,افتح خريطة العالم,,,,,,,,,,,
b0e4df6c-d1b8-4d5b-a330-fa3538f8e4f0,2704156772,STM_ASE_Menu_019_MR,定型文,Shoutouts,Phrases,Frasi,Ausrufe,Frases,Фразы,Zawołania,,,Falas,상용구,常用字句,模板文本,,,,,,,,التحيات,,,,,,,,,,,
b7c057ac-58ff-4b3c-8a19-2b7f7106dc00,4225466001,STM_Shortcut_Menu_001_MR,パレットセット5,Loadout 5,Set 5,Set 5,Set 5,Set 5,Комплект 5,Zestaw 5,,,Configuração 5,팔레트 세트 5,快捷盤組合5,轮盘组合5,,,,,,,,المجموعة 5,,,,,,,,,,,
0a467d47-5fc2-46a1-811e-f6489be1b66e,953279390,STM_Shortcut_Menu_002_MR,パレットセット6,Loadout 6,Set 6,Set 6,Set 6,Set 6,Комплект 6,Zestaw 6,,,Configuração 6,팔레트 세트 6,快捷盤組合6,轮盘组合6,,,,,,,,المجموعة 6,,,,,,,,,,,
abbf81c6-97b2-44a7-a656-830d2977f597,642457582,STM_Shortcut_Menu_003_MR,パレットセット7,Loadout 7,Set 7,Set 7,Set 7,Set 7,Комплект 7,Zestaw 7,,,Configuração 7,팔레트 세트 7,快捷盤組合7,轮盘组合7,,,,,,,,المجموعة 7,,,,,,,,,,,
643b7542-6041-441d-a6c2-c75bd79f5cad,1377341805,STM_Shortcut_Menu_004_MR,パレットセット8,Loadout 8,Set 8,Set 8,Set 8,Set 8,Комплект 8,Zestaw 8,,,Configuração 8,팔레트 세트 8,快捷盤組合8,轮盘组合8,,,,,,,,المجموعة 8,,,,,,,,,,,
