guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
25bad5e3-d1f6-419b-9506-53784fa6edff,3477247814,Fa_RoomService_System_01_MR,自室の模様替えやＢＧＭの変更ができます。,Change your room's interior and background music.,Changer l'intérieur de la chambre et la musique.,"Modifica l'arredamento e la musica di sottofondo
dei tuoi alloggi.","Ändere die Einrichtung deines Raums und die
Hintergrundmusik.",Cambia la decoración y música de tu hogar.,Выбрать интерьер и фоновую музыку для комнаты.,Zmień wnętrze swojego pokoju i muzykę.,,,Muda o interior do seu quarto e a música de fundo.,마이룸을 리모델링하거나 BGM을 변경합니다.,可變更房間的設計與BGM。,可变更自己房间的设计及背景音乐。,,,,,,,,تغيير ديكور غرفتك والموسيقى الخلفية.,,,,,,,,,,,
45532d48-f876-4030-86c1-5482167264f4,696321638,Fa_RoomService_System_06_MR,"自室に飾られている壁掛けや置物、
写真の変更をおこないます。","Change the wall decorations, trinkets, and photos
adorning your room.","Changer les décorations murales, bibelots
et photos qui décorent votre chambre.","Cambia le decorazioni per le pareti, gli ornamenti
e le foto dei tuoi alloggi.","Ändere die Wanddekorationen, Deko-Gegenstände
und Fotos, die deinen Raum schmücken.","Cambia los adornos de pared, ornamentos
y fotografías que decoran tu hogar.","Выбрать настенные украшения, безделушки
и фотографии, украшающие комнату.","Zmień ozdoby na ścianie, bibeloty i zdjęcia,
stanowiące dekorację pokoju.",,,"Muda as decorações de parede, enfeites
e fotos que decoram o seu quarto.","마이룸에 장식 중인 벽걸이와 장식품,
사진을 변경합니다.","變更擺放在房間的
壁飾、擺飾與照片。",变更自己房间中装饰的壁饰、摆设和照片。,,,,,,,,"تغيير زينة الحائط، والحلي،
والصور التي تزيِّن غرفتك.",,,,,,,,,,,
c37f4092-a4d6-4669-a90b-21e17d5e3889,3354644052,Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_RoomService_System_07_MR
089ae666-d3e0-46e5-999d-b9b169ffdc1f,3197550471,Fa_RoomService_System_08_MR,拠点などのBGMの変更をおこないます。,"Change the background music that plays in the
base and other locales.","Changer la musique d'arrière-plan dans la base
et les autres régions.","Cambia la musica di sottofondo alla base e
nelle altre aree.","Ändere die Hintergrundmusik in der Basis und an
anderen Orten.","Cambia la música de fondo que suena en la base
y otras ubicaciones.","Выбрать фоновую музыку, играющую на базе
и в других местах.","Zmień muzykę w tle, którą słychać w bazie
i w innych lokalizacjach.",,,"Mude a música de fundo que toca
na base e outros locais.",거점 등에서의 BGM을 변경합니다.,變更據點等區域的BGM。,变更据点等区域的背景音乐。,,,,,,,,"غيِّر الموسيقى الخلفية التي يتم تشغيلها في
القاعدة والأماكن الأخرى.",,,,,,,,,,,
50f82a34-ae78-4ef6-8837-927da2265207,2695867438,Fa_RoomService_System_11_MR,壁掛けを変更します。,Change wall decorations.,Changer les décorations murales.,Cambia decorazioni muro,Ändere deine Wanddekorationen.,Cambia los adornos de pared.,Выбрать настенные украшения,Zmień ozdoby na ścianę.,,,Mudar decoração de parede.,벽걸이를 변경합니다.,變更壁飾。,变更壁饰。,,,,,,,,تغيير زينة الحائط.,,,,,,,,,,,
f583b326-38c9-4378-8887-c2b22e9b223b,2668072642,Fa_RoomService_System_16_MR,"自室の模様替えやＢＧＭの変更ができます。
<COL RED>（他のプレイヤーの自室では
　おこなえません）</COL>","Change your room's interior and background music.
<COL RED>(You cannot do this while in someone else's room.)</COL>","Changer l'intérieur de la chambre et la musique.
<COL RED>(Impossible lorsque vous êtes dans la chambre
de quelqu'un d'autre.)</COL>","Modifica l'arredamento e la musica di sottofondo
dei tuoi alloggi.<COL RED>(Non disponibile negli alloggi
degli altri giocatori.)</COL>","Verändere die Einrichtung deines Raums und die
Hintergrundmusik.
<COL RED>(Von fremden Räumen aus kannst du nichts ändern.)</COL>","Cambia la decoración y música de tu hogar.
<COL RED>(No disponible al estar en el hogar de otros).</COL>","Выбрать интерьер и фоновую музыку для комнаты.
<COL RED>(Нельзя делать это, находясь в чужой комнате.)</COL>","Zmień wnętrze i muzykę swojego pokoju.
<COL RED>(Nie możesz tego zrobić, będąc w czyimś pokoju).</COL>",,,"Mude o interior do seu quarto e a música de fundo.
<COL RED>(Você não pode fazer isso no quarto de
outra pessoa)</COL>","마이룸을 리모델링하거나 BGM을 변경합니다.
<COL RED>(다른 플레이어의 마이룸에서는
 할 수 없습니다)</COL>","可變更房間的設計與BGM。
<COL RED>（在其他玩家的房間無法變更）</COL>","可变更自己房间的设计及背景音乐。
<COL RED>（在其他玩家的房间中无法变更）</COL>",,,,,,,,"تغيير ديكور غرفتك والموسيقى الخلفية.
<COL RED>(لا يمكن فعل ذلك في غرفة شخص آخر.)</COL>",,,,,,,,,,,
39352ba2-8982-412a-9703-16574f4ba1a0,2669322987,Fa_RoomService_System_18_MR,"自室に飾られている壁掛けや置物、
写真の変更をおこないます。
<COL RED>（マルチプレイ中は変更できません）</COL>","Change the wall decorations, trinkets, and photos
adorning your room.
<COL RED>(Cannot be changed while in multiplayer.)</COL>","Changer les décorations murales, bibelots
et photos qui décorent votre chambre.
<COL RED>(Impossible en mode multijoueur.)</COL>","Cambia le decorazioni per le pareti, gli ornamenti
e le foto dei tuoi alloggi.
<COL RED>(Non disponibile in modalità multigiocatore.)</COL>","Verändere die Wanddekorationen, Deko-Gegenstände
und Fotos, die deinen Raum schmücken.
<COL RED>(Änderung im Mehrspieler-Modus nicht möglich.)</COL>","Cambia los adornos de pared, ornamentos
y fotografías que decoran tu hogar. <COL RED>(No se
pueden cambiar en multijugador).</COL>","Выбрать настенные украшения, безделушки
и фотографии, украшающие комнату.
<COL RED>(Нельзя вносить изменения во время сетевой игры.)</COL>","Zmień ozdoby na ścianie, bibeloty i zdjęcia,
stanowiące dekorację pokoju.
<COL RED>(Nie można ich zmienić w trybie wieloosobowym).</COL>",,,"Muda as decorações de parede, enfeites
e fotos que decoram o seu quarto.
<COL RED>(Não pode ser trocado em multijogador.)</COL>","마이룸에 장식 중인 벽걸이와 장식품,
사진을 변경합니다.
<COL RED>(멀티 플레이 중에는 변경할 수 없습니다)</COL>","變更擺放在房間的
壁飾、擺飾與照片。
<COL RED>（多人遊玩中無法變更）</COL>","变更自己房间中装饰的壁饰、摆设和照片。
<COL RED>（多人游戏中无法变更）</COL>",,,,,,,,"تغيير زينة الحائط، والحلى، والصور
التي تزين غرفتك.
<COL RED>(لا يمكن تغيير ذلك في وضع اللاعبين المتعددين.)</COL>",,,,,,,,,,,
7387a4ac-b10a-4417-98a4-aeec2fe916b1,1294091185,Fa_RoomService_System_19_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa1b150c-ab63-4824-8be4-1ff6bf44cb63,3696344802,Fa_RoomService_System_20_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b198b535-61e8-4007-b530-32db57314f81,841936013,Fa_RoomService_System_21_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
