guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
dcbb9cde-a03c-423f-b7f5-d17daf1d8dd0,2478817403,HN_EasterEgg_Name_100_MR,密林の手記・其ノ壱,Jungle Message I,Message Jungle,Nota giungla I,Dschungel-Nachricht I,Mensaje de la Jungla I,Записка из Джунглей I,Wiadomość z Dżungli I,,,Mensagem da Selva I,밀림의 일지 1,密林筆記･壹,密林手记之壹,,,,,,,,رسالة الغابة 1,,,,,,,,,,,
725697bf-8668-47cc-a67d-3be38292abbd,3423597755,HN_EasterEgg_Name_101_MR,密林の手記・其ノ弐,Jungle Message II,Message Jungle II,Nota giungla II,Dschungel-Nachricht II,Mensaje de la Jungla II,Записка из Джунглей II,Wiadomość z Dżungli II,,,Mensagem da Selva II,밀림의 일지 2,密林筆記･貳,密林手记之贰,,,,,,,,رسالة الغابة 2,,,,,,,,,,,
62fa228b-5733-44e6-86c1-adf40c90c5f6,1788687680,HN_EasterEgg_Name_102_MR,密林の手記・其ノ参,Jungle Message III,Message Jungle III,Nota giungla III,Dschungel-Nachricht III,Mensaje de la Jungla III,Записка из Джунглей III,Wiadomość z Dżungli III,,,Mensagem da Selva III,밀림의 일지 3,密林筆記･參,密林手记之叁,,,,,,,,رسالة الغابة 3,,,,,,,,,,,
6d31a315-20b5-474d-aa3e-f1ab50d1ddbe,1093976930,HN_EasterEgg_Name_103_MR,密林の手記・其ノ肆,Jungle Message IV,Message Jungle IV,Nota giungla IV,Dschungel-Nachricht IV,Mensaje de la Jungla IV,Записка из Джунглей IV,Wiadomość z Dżungli IV,,,Mensagem da Selva IV,밀림의 일지 4,密林筆記･肆,密林手记之肆,,,,,,,,رسالة الغابة 4,,,,,,,,,,,
e3f004a8-4f9c-453c-97da-5136f0c1cb53,801281422,HN_EasterEgg_Name_104_MR,密林の手記・其ノ伍,Jungle Message V,Message Jungle V,Nota giungla V,Dschungel-Nachricht V,Mensaje de la Jungla V,Записка из Джунглей V,Wiadomość z Dżungli V,,,Mensagem da Selva V,밀림의 일지 5,密林筆記･伍,密林手记之伍,,,,,,,,رسالة الغابة 5,,,,,,,,,,,
9b866c2f-77e4-49fe-8d04-ff1666aee0d2,2788837995,HN_EasterEgg_Name_105_MR,密林の手記・其ノ陸,Jungle Message VI,Message Jungle VI,Nota giungla VI,Dschungel-Nachricht VI,Mensaje de la Jungla VI,Записка из Джунглей VI,Wiadomość z Dżungli VI,,,Mensagem da Selva VI,밀림의 일지 6,密林筆記･陸,密林手记之陆,,,,,,,,رسالة الغابة 6,,,,,,,,,,,
dbd95185-0bca-4a22-aea2-07ff32764d00,2234999863,HN_EasterEgg_Name_106_MR,密林の手記・其ノ漆,Jungle Message VII,Message Jungle VII,Nota giungla VII,Dschungel-Nachricht VII,Mensaje de la Jungla VII,Записка из Джунглей VII,Wiadomość z Dżungli VII,,,Mensagem da Selva VII,밀림의 일지 7,密林筆記･柒,密林手记之柒,,,,,,,,رسالة الغابة 7,,,,,,,,,,,
549d4f62-a49f-42bb-9bd5-9f674d87625d,2867653555,HN_EasterEgg_Name_107_MR,密林の手記・其ノ捌,Jungle Message VIII,Message Jungle VIII,Nota giungla VIII,Dschungel-Nachricht VIII,Mensaje de la Jungla VIII,Записка из Джунглей VIII,Wiadomość z Dżungli VIII,,,Mensagem da Selva VIII,밀림의 일지 8,密林筆記･捌,密林手记之捌,,,,,,,,رسالة الغابة 8,,,,,,,,,,,
95eac60d-0cb3-441b-a1d1-01b1fd1a72ed,506146975,HN_EasterEgg_Name_108_MR,密林の手記・其ノ玖,Jungle Message IX,Message Jungle IX,Nota giungla IX,Dschungel-Nachricht IX,Mensaje de la Jungla IX,Записка из Джунглей,Wiadomość z Dżungli IX,,,Mensagem da Selva IX,밀림의 일지 9,密林筆記･玖,密林手记之玖,,,,,,,,رسالة الغابة 9,,,,,,,,,,,
7f3b03c8-a544-4321-acb2-4080cb8b37ca,3625357088,HN_EasterEgg_Name_109_MR,密林の手記・其ノ拾,Jungle Message X,Message Jungle X,Nota giungla X,Dschungel-Nachricht IX,Mensaje de la Jungla X,Записка из Джунглей X,Wiadomość z Dżungli X,,,Mensagem da Selva X,밀림의 일지 10,密林筆記･拾,密林手记之拾,,,,,,,,رسالة الغابة 10,,,,,,,,,,,
926a663d-e7f2-41f9-807c-745df1c76958,3265053303,HN_EasterEgg_Name_110_MR,城塞高地の手記・其ノ壱,Citadel Message I,Message Citadelle,Nota cittadella I,Zitadelle-Nachricht I,Mensaje del Bastión I,Записка из Цитадели I,Wiadomość z Cytadeli I,,,Mensagem do Forte I,요새고원의 일지 1,城塞高地筆記･壹,城塞高地手记之壹,,,,,,,,رسالة القلعة 1,,,,,,,,,,,
9e743062-0fd7-4aa4-88c1-50e9a14cf876,2922408587,HN_EasterEgg_Name_111_MR,城塞高地の手記・其ノ弐,Citadel Message II,Message Citadelle II,Nota cittadella II,Zitadelle-Nachricht II,Mensaje del Bastión II,Записка из Цитадели II,Wiadomość z Cytadeli II,,,Mensagem do Forte II,요새고원의 일지 2,城塞高地筆記･貳,城塞高地手记之贰,,,,,,,,رسالة القلعة 2,,,,,,,,,,,
9e7b64dc-6c0f-4a92-b19f-b39d525ebdae,3385604964,HN_EasterEgg_Name_112_MR,城塞高地の手記・其ノ参,Citadel Message III,Message Citadelle III,Nota cittadella III,Zitadelle-Nachricht III,Mensaje del Bastión III,Записка из Цитадели III,Wiadomość z Cytadeli III,,,Mensagem do Forte III,요새고원의 일지 3,城塞高地筆記･參,城塞高地手记之叁,,,,,,,,رسالة القلعة 3,,,,,,,,,,,
6bc221d4-87a5-4dda-b6eb-5a754cd8b38d,2341741954,HN_EasterEgg_Name_113_MR,城塞高地の手記・其ノ肆,Citadel Message IV,Message Citadelle IV,Nota cittadella IV,Zitadelle-Nachricht IV,Mensaje del Bastión IV,Записка из Цитадели IV,Wiadomość z Cytadeli IV,,,Mensagem do Forte IV,요새고원의 일지 4,城塞高地筆記･肆,城塞高地手记之肆,,,,,,,,رسالة القلعة 4,,,,,,,,,,,
403a3716-64ad-4cc6-b562-8a967069c6e6,631862156,HN_EasterEgg_Name_114_MR,城塞高地の手記・其ノ伍,Citadel Message V,Message Citadelle V,Nota cittadella V,Zitadelle-Nachricht V,Mensaje del Bastión V,Записка из Цитадели V,Wiadomość z Cytadeli V,,,Mensagem do Forte V,요새고원의 일지 5,城塞高地筆記･伍,城塞高地手记之伍,,,,,,,,رسالة القلعة 5,,,,,,,,,,,
42c8efe0-31fa-4a42-bf81-27d9804c19b7,3264447453,HN_EasterEgg_Name_115_MR,城塞高地の手記・其ノ陸,Citadel Message VI,Message Citadelle VI,Nota cittadella VI,Zitadelle-Nachricht VI,Mensaje del Bastión VI,Записка из Цитадели VI,Wiadomość z Cytadeli VI,,,Mensagem do Forte VI,요새고원의 일지 6,城塞高地筆記･陸,城塞高地手记之陆,,,,,,,,رسالة القلعة 6,,,,,,,,,,,
1cf54764-5349-477b-96ca-282740f583ad,435768550,HN_EasterEgg_Name_116_MR,城塞高地の手記・其ノ漆,Citadel Message VII,Message Citadelle VII,Nota cittadella VII,Zitadelle-Nachricht VII,Mensaje del Bastión VII,Записка из Цитадели VII,Wiadomość z Cytadeli VII,,,Mensagem do Forte VII,요새고원의 일지 7,城塞高地筆記･柒,城塞高地手记之柒,,,,,,,,رسالة القلعة 7,,,,,,,,,,,
728f0466-b292-4ca4-a370-a282fd4f4734,2186165051,HN_EasterEgg_Name_117_MR,城塞高地の手記・其ノ捌,Citadel Message VIII,Message Citadelle VIII,Nota cittadella VIII,Zitadelle-Nachricht VIII,Mensaje del Bastión VIII,Записка из Цитадели VIII,Wiadomość z Cytadeli VIII,,,Mensagem do Forte VIII,요새고원의 일지 8,城塞高地筆記･捌,城塞高地手记之捌,,,,,,,,رسالة القلعة 8,,,,,,,,,,,
40c0a6bd-43ad-4057-886c-88991b481cdd,2364114578,HN_EasterEgg_Name_118_MR,城塞高地の手記・其ノ玖,Citadel Message IX,Message Citadelle IX,Nota cittadella IX,Zitadelle-Nachricht IX,Mensaje del Bastión IX,Записка из Цитадели IX,Wiadomość z Cytadeli IX,,,Mensagem do Forte IX,요새고원의 일지 9,城塞高地筆記･玖,城塞高地手记之玖,,,,,,,,رسالة القلعة 9,,,,,,,,,,,
3789009d-6dcd-478c-876e-493eabffa753,2164858001,HN_EasterEgg_Name_119_MR,城塞高地の手記・其ノ拾,Citadel Message X,Message Citadelle X,Nota cittadella X,Zitadelle-Nachricht IX,Mensaje del Bastión X,Записка из Цитадели X,Wiadomość z Cytadeli X,,,Mensagem do Forte X,요새고원의 일지 10,城塞高地筆記･拾,城塞高地手记之拾,,,,,,,,رسالة القلعة 10,,,,,,,,,,,
