guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
792265b0-2aee-4606-8ad9-ca614cc512cc,3692571934,Fa_OtRecon_system_TopMenu_MR,"各フィールドで発見済みの偵察地点へ
オトモを派遣します。","Deploy a Buddy to a Recon Point
discovered in each locale.","Déployer un Pilpoil vers un Point de reconnaissance
découvert dans une région.","Invia una squadra di compagni ai punti
di pattuglia scoperti in ciascuna area.","Entsende an jeden Ort je einen Buddy,
der dort einen Späherpunkt besetzt.","Despliega a un camarada en un punto
de avanzada descubierto en cada zona.","Отправить спутника в пункты разведки,
обнаруженные в каждом регионе.","Wyślij kompana do punktu
zwiadowczego odkrytego w każdej okolicy.",,,"Despacha um Amigo para um Ponto de Recon
descoberto em cada área.","각 필드에서 발견한 정찰 지점에
동반자를 파견합니다.","將隨從派遣至已於各原野
發現的偵察地點。",将随从侦察队派遣至各原野中已发现的侦察地点。,,,,,,,,"انشر صديقًا على نقطة استطلاع
مكتشفة في كل منطقة محلية.",,,,,,,,,,,
fe8277b3-e614-403a-b340-97e2ea48b80e,166185407,Fa_OtRecon_system_ReconSitu1_MR,"オトモ偵察隊の派遣先を選択します。
<COL RED>（偵察地点が未発見なので選択できません）</COL>","Select a destination.
<COL RED>(No Recon Points have been discovered.)</COL>","Sélectionner une destination.
<COL RED>(Aucun Point de reconnaissance découvert.)</COL>","Scegli una destinazione.
<COL RED>(Nessun punto di pattuglia scoperto.)</COL>","Wähle ein Ziel.
<COL RED>(Es wurden keine Späherpunkte entdeckt.)</COL>","Elige una destinación.
<COL RED>(No has descubierto ningún punto de avanzada).</COL>","Выберите пункт назначения.
<COL RED>(Пункты разведки не обнаружены.)</COL>","Wybierz cel.
<COL RED>(Nie odkryto żadnych punktów zwiadowczych).</COL>",,,"Selecione destino.
<COL RED>(Nenhum Ponto de Recon descoberto.)</COL>","동반자 정찰대의 파견지를 선택합니다.
<COL RED>(정찰 지점을 발견하지 못하여 선택할 수 없습니다)</COL>","選擇派遣隨從前往的偵察目的地。
<COL RED>（尚未發現偵察地點，故無法選擇）</COL>","选择随从侦察队的派遣地点。
<COL RED>（尚未发现侦察地点，无法选择）</COL>",,,,,,,,"حدد الوجهة.
<COL RED>(لم يتم اكتشاف نقاط استطلاع.)</COL>",,,,,,,,,,,
76813001-c1fb-4af5-afa8-aee71386e2e8,3146160984,Fa_OtRecon_system_ReconSitu2_MR,偵察地点未発見,No Recon Points available.,0 point de R disponible.,Nessun punto ricog.,Keine Späherpunkte verfügbar.,Sin ptos. recon.,Нет пунк. разведки.,Brak punktów zwiadowczych.,,,Nenhum Ponto de Recon.,정찰 지점 미발견,尚未發現偵察地點,未发现侦察地点,,,,,,,,لا تتوفّر نقاط استطلاع.,,,,,,,,,,,
7b4d5b55-8c57-4062-857a-af3df139cf26,2344168375,Fa_OtRecon_system_ReconSitu3_MR,"オトモ偵察隊の偵察先を選択します。
<COL RED>（偵察地点へ移動するには
カムラポイントが必要です）</COL>","Select a Buddy Recon destination.
<COL RED>(Kamura Points are required to travel to
Recon Points.)</COL>","Sélectionner une destination de Reconnaissance
Pilpoil. <COL RED>(Des Points Kamura sont requis
pour voyager vers les Points de reconnaissance.)</COL>","Scegli una destinazione per la pattuglia compagni.
<COL RED>(Servono punti Kamura per raggiungere
i punti di pattuglia.)</COL>","Wähle ein Buddy-Späher-Ziel.
<COL RED>(Zum Reisen zu Späherpunkten sind
Kamura-Punkte erforderlich.)</COL>","Elige un destino para la avanzada camarada.
<COL RED>(Se necesitan puntos Kamura para viajar al punto
de avanzada).</COL>","Выберите пункт разведки для спутников.
<COL RED>(Для перемещения к пункту разведки
нужны очки Камуры.)</COL>","Wybierz cel zwiadowczy dla kompana.<COL RED> (Do podróży
do punktów zwiadowczych wymagane są punkty
Kamury).</COL>",,,"Selecione destino de Recon de Amigos.
<COL RED>(Pontos Kamura são necessários para viajar
ao Ponto de Recon.)</COL>","동반자 정찰대의 정찰 지점을 선택합니다.
<COL RED>(정찰 지점으로 이동하려면
카무라 포인트가 필요합니다)</COL>","選擇隨從偵察隊的偵察目的地。
<COL RED>（移動至偵察地點須消耗神火點數）</COL>","选择随从侦察队的侦察地点。
<COL RED>（移动至侦察地点需花费炎火点数）</COL>",,,,,,,,"حدد وجهة استطلاع الأصدقاء.
<COL RED>(نقاط كامورا مطلوبة للانتقال إلى 
نقاط الاستطلاع.)</COL>",,,,,,,,,,,
5f83a3fc-ebd2-46ae-8ca3-7ef7915286d3,1409212270,Fa_OtRecon_system_ReconSpot1_MR,"オトモを派遣する偵察地点を
選択します。",Select a Recon Point.,Sélectionner un Point de reconnaissance.,Scegli un punto di pattuglia.,Wähle einen Späherpunkt.,Elige un punto de avanzada.,Выбрать пункт разведки.,Wybierz punkt zwiadowczy.,,,Selecione um Ponto de Recon.,"동반자를 파견할 정찰 지점을
선택합니다.",請選擇派遣隨從前往的偵察地點。,请选择随从前往的侦察地点。,,,,,,,,حدد نقطة استطلاع.,,,,,,,,,,,
5269e106-937e-40dd-b9b7-978dbd53235e,1712751803,Fa_OtRecon_system_ReconSpot2_MR,未設定,Not Set,Non défini,Non impostato,Nicht festgelegt,Sin especificar,Не указано,Nie określono,,,Não Conf.,미설정,尚未設定,未设置,,,,,,,,غير معين,,,,,,,,,,,
d2971991-699f-4a8c-a041-6d0a88c755a9,2807843887,Fa_OtRecon_system_ReconSpot3_MR,"オトモを派遣する偵察地点を
選択します。",Select a Recon Point.,Sélectionner un Point de reconnaissance.,Scegli un punto di pattuglia.,Wähle einen Späherpunkt.,Elige un punto de avanzada.,Выбрать пункт разведки.,Wybierz punkt zwiadowczy.,,,Selecione um Ponto de Recon.,"동반자를 파견할
정찰 지점을 선택합니다.",請選擇派遣隨從前往的偵察地點。,请选择随从前往的侦察地点。,,,,,,,,حدد نقطة استطلاع.,,,,,,,,,,,
1b9ba6b7-8d6a-4bfa-b86b-6056bf17dcd4,2342964496,Fa_OtRecon_system_ReconSpot4_MR,"オトモを派遣する
偵察地点を選択してください。
<COL YEL>（選択済みの偵察地点を解除します）</COL>","Select a Recon Point.
<COL YEL>(Remove selected Recon Point.)</COL>","Sélectionner un Point de reconnaissance.
<COL YEL>(Le Point de reconnaissance déjà sélectionné sera retiré.)</COL>","Scegli un punto di pattuglia.
<COL YEL>(Rimuovi il punto di pattuglia selezionato.)</COL>","Wähle einen Späherpunkt.
<COL YEL>(Der zuvor ausgewählte Späherpunkt
wird entfernt.)</COL>","Elige un punto de avanzada.<COL YEL>(Quita primero el
punto de avanzada seleccionado).</COL>","Выбрать пункт разведки.
<COL YEL>(Убрать выбранный пункт разведки.)</COL>","Wybierz punkt zwiadowczy.
<COL YEL>(Usuń wybrany punkt zwiadowczy).</COL>",,,"Selecione um Ponto de Recon.
<COL YEL>(Remove Ponto de Recon selecionado.)</COL>","동반자를 파견할
정찰 지점을 선택하십시오.
<COL YEL>(선택 중인 정찰 지점을 해제합니다)</COL>","請選擇派遣隨從前往的偵察地點。
<COL YEL>（將解除已選擇的偵察地點）</COL>","请选择随从前往的侦察地点。
<COL YEL>（将取消已选择的侦察地点）</COL>",,,,,,,,"حدد نقطة استطلاع.
<COL YEL>(قم بإزالة نقطة الاستطلاع المحددة.)</COL>",,,,,,,,,,,
3f99ed78-48d3-4fb2-9f89-e23e3d75096c,4251979107,Fa_OtRecon_system_ReconOtomo1_MR,"偵察地点に派遣するオトモを
選択します。",Select a Buddy to dispatch to the Patrol Point.,"Sélectionner un Pilpoil à déployer sur le Point
de patrouille.","Scegli un compagno da inviare al punto di
pattuglia.","Wähle einen Buddy, den du zum Späher-Punkt
aussenden möchtest.","Elige el camarada que quieres enviar al punto
de patrulla.",Выбрать спутника для отправки в пункт патруля.,Wybierz kompana do wysłania do punktu patrolowego.,,,Escolha qual Amigo mandar para o Ponto de Patrulha.,"정찰 지점으로 파견할 동반자를
선택합니다.",選擇要派遣至偵察地點的隨從。,请选择要派往侦察地点的随从。,,,,,,,,حدد صديقًا لإرساله إلى نقطة الدورية.,,,,,,,,,,,
96956e8e-0d2d-4de8-be00-14a1c0acbe38,2059887716,Fa_OtRecon_system_ReconOtomo2_MR,未設定,Not Set,Non défini,Non impostato,Nicht festgelegt,Sin especificar,Не указано,Nie określono,,,Não Conf.,미설정,尚未設定,未设置,,,,,,,,غير معين,,,,,,,,,,,
