guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
23773ab4-4b42-4d41-83b0-e694efd507a3,4038006137,A_Waist_300_Explain,"より洗練された里の腰用防具。
新たな狩猟法に合わせた調整に
より、狩猟を手堅く支える。","Refined waist armor adjusted
to new hunting methods to
firmly support the hunt.","Armure raffinée, adaptée
aux nouvelles méthodes
de chasse.","Fiancale elegante
perfezionato per supportare
i nuovi metodi di caccia.","Raffinierter Hüftschutz zur
Unterstützung neuer
Jagdmethoden.","Elegante armadura, a la
última en técnicas para
facilitar una buena caza.","Улучшенный охотничий пояс.
Переделан с учетом новых
способов охоты.","Wzmocniony pancerz biodrowy
dostosowany do nowych metod
łowieckich.",,,"Cinturão refinado ajustado
a novos métodos de caça para
ajudar muito na caçada.","보다 세련된 마을의 허리 방어구.
새로운 사냥법에 맞게 조정되어
견실하게 사냥을 돕는다.","更加洗鍊的神火村腰部防具。
針對新的狩獵方式進行了調整，
裝備者在狩獵時將更得心應手。","经过千锤百炼的村庄腰部防具。
依据新式狩猎方法进行了调整，
是相当可靠的狩猎装备。",,,,,,,,"درع خصر مصقول تم تعديله
ليناسب طرق الصيد الجديدة
حتى يدعم الصيد بقوة.",,,,,,,,,,,
9148e9fa-2a38-4602-8ccc-c9a4a275b85d,910531623,A_Waist_301_Explain,"皮をベースに軽い素材で
作られた腰用装備。基本を
押さえた万人向けの作り。","A belt made from leather
and other light materials.
Basic general equipment.","Ceinture faite de cuir et
d'autres matériaux légers.
Équipement général de base.","Cintura fatta di cuoio e
altri materiali leggeri. Una
dotazione generica di base.","Ein Gürtel aus Leder und an-
deren leichten Materialien.
Normale Grundausrüstung.","Cinturón hecho de cuero
y otros materiales ligeros.
Equipamiento general básico.","Пояс из кожи
и других легких материалов.
Базовый элемент снаряжения.","Pas wykonany ze skóry
i lekkich materiałów.
Podstawowy ekwipunek.",,,"Um cinto de couro e outros
materiais leves.
Equipamento geral básico.","가죽 등의 가벼운 소재로
만든 허리 방어구. 기본에
충실해 누구나 쓸 수 있다.","以皮為基礎，
使用輕盈素材製作的腰部裝備。
是具備基本功能的大眾化設計。","腰部装备，以皮为基础，
使用轻盈素材制成。
具备基本功能的大众化样式。",,,,,,,,"حزام مصنوع من الجلد
وغيره من المواد الخفيفة.
من المعدات الأساسية العامة.",,,,,,,,,,,
944f8ca8-4bb5-41ce-8b8a-11586748afa0,3868885008,A_Waist_302_Explain,"シンプルなベルトだが、
特殊な加工が施されている。
幅が狭いので腰周りが軽い。","Sturdy waist armor crafted
with a special process.
Thin and light on the hips.","Ceinture simple créée par un
procédé spécial. Fine et
légère sur les hanches.","Cintura robusta e lavorata
in maniera speciale. Sottile
e leggera sulla vita.","Robuster Hüftschutz mit
besonderer Verarbeitung;
fühlt sich sehr leicht an.","Sencilla pieza de armadura,
pero con un diseño peculiar.
Ligera sobre las caderas.","Прочный пояс, изготовленный
по специальной технологии.
Тонкий и почти невесомый.","Specjalnie wytwarzany
solidny pancerz biodrowy.
Cienki i lekki.",,,"Proteção de cintura robusta
fabricada de forma especial.
Fina e leve nos quadris.","심플한 벨트지만
특수한 가공을 거쳤다.
폭이 좁아 허리춤이 가볍다.","雖是簡單的腰帶，但經過特殊
加工後，減少了腰帶寬度，
因此減輕了腰部的負擔。","简单的皮带，
但进行了特殊加工。
带宽较窄，所以负担较轻。",,,,,,,,"درع متينة للخصر صُنعت
بطريقة خاصة. رقيقة
وخفيفة على الردفين.",,,,,,,,,,,
69eae9b5-e61e-45a2-8fbf-ffe0215426af,2980531053,A_Waist_303_Explain,"随所に最高の加工が施された、
狩り専用防具の最上位モデル。
防御も使い心地も至上の出来。","Top notch armor in every way,
from defense to wearability.","Une armure d'une qualité
exceptionnelle, aussi
confortable qu'efficace.","Un modello molto speciale,
pratico sia per la difesa
che per la vestibilità.","Diese Beinrüstung stellt die
perfekte Kombination von
Bequemlichkeit und Schutz dar.","Armadura de cintura de gran
calidad y mejor movilidad.
De gran eficacia defensiva.","Элитный во всех отношениях
доспех — и защищает отлично,
и носится долго.","Pancerz najlepszy pod każdym
względem: począwszy od
obrony po wygodę.",,,"Armadura excelente em tudo,
da defesa ao conforto.","구석구석 섬세한 가공이
돋보이는 최상급 방어구.
착용감도 방어력도 훌륭하다.","最高級款的狩獵專用防具。
每一處都經過最高級的加工，
防禦力和使用體驗皆已臻完美。","狩猎专用防具的最高级款式。
四处都经过最棒的加工，防
御力和使用手感都无与伦比。",,,,,,,,"درع تحتل الدرجة الأولى
في كل شيء من
الدفاع إلى القابلية للارتداء.",,,,,,,,,,,
642529d6-1a0a-4898-9889-aaf08820cec9,1634675429,A_Waist_304_Explain,"由来の知れぬ漆黒の骨で出来た
腰用装備。黒き骨の持ち主は
かつて栄えた龍の王か。","Waist armor made of unknown
black bones, perhaps from an
ancient dragon king.","Armure de taille en os noirs
inconnus, venant peut-être
d'un ancien roi dragon.","Fiancale con ossa nere
sconosciute, forse tratte
da un vecchio re drago.","Aus unbekannten schwarzen
Knochen, vielleicht von
einem alten Drachenkönig.","Armadura de cintura de
huesos negros desconocidos.
Quizá sean de un rey dragón.","Пояс из неизвестно чьих
черных костей, возможно,
древнего владыки драконов.","Pancerz biodrowy z czarnych
kości, być może
starożytnego smoczego króla.",,,"Proteção de cintura feita de
ossos pretos desconhecidos,
talvez de algum rei-dragão.","칠흑의 뼈로 만들어진
허리 방어구. 검은 뼈는 과거
번창한 용족 왕의 유골일지도.","以來歷不明的漆黑之骨製成的
腰部裝備。黑骨之主
是曾經顯赫一時的龍王嗎？","来历不明的漆黑之骨制成的
腰部装备。黑骨之主
是曾经显赫一时的龙王吗？",,,,,,,,"درع للخصر مصنوعة من عظام
سوداء مجهولة، ربما تعود
إلى ملك التنانين القديم.",,,,,,,,,,,
dfa766b8-e368-46be-b73e-55e46e74c9dc,149999488,A_Waist_305_Explain,"良質な鉱石素材を用いた
腰用装備。計算された
デザインが美しい。","Waist armor made with
quality machalite ore. Its
sleek design is real nice.","Armure à base de machalite.
Son design élégant
est vraiment beau.","Fiancale con machalite
di qualità. Ha una linea
raffinata e stupenda.","Hüftschutz aus hochwertigem
Machalit-Erz. Schickes,
schlankes Design.","Armadura de cintura hecha
de machalita. Su diseño
elegante queda genial.","Пояс из высококачественной
махалитовой руды. Стильный
и элегантный дизайн.","Pancerz biodrowy z
dobrej rudy machalitu.
Bardzo elegancki.",,,"Proteção de cintura feita de
malaquita de qualidade. Seu
design elegante é muito bom.","품질 좋은 광석 소재로 만든
허리 방어구. 치밀하게 계산된
디자인이 아름답다.","使用優質礦石素材製成的
腰部裝備。
經過考量的設計相當美麗。","腰部装备，
使用上好矿石素材制作。
经过计算的设计很美。",,,,,,,,"درع للخصر مصنوعة من
خام ماكالايت ممتاز. لها
تصميم ناعم غاية في الروعة.",,,,,,,,,,,
7813e9a6-0d97-443a-be11-d7981fa6a94e,1225511788,A_Waist_306_Explain,"上質な鉱石をぜいたくに
使った腰用装備。人体構造に
なじむ合理的な造り。","Waist armor made from ample
precious ore. Fitted to all the
contours of the body.","Armure de taille
en minerai rare, épousant
les contours du corps.","Fiancale forgiato con molti
minerali rari. Segue il
profilo del corpo.","Hüftschutz aus viel
wertvollem Erz, der die
Figur umschmeichelt.","Armadura de cintura de
un raro mineral. Sigue
el contorno del cuerpo.","Пояс из драгоценной руды.
Идеально повторяет
все изгибы тела.","Pancerz biodrowy wykonany
z cennej rudy. Dopasuje się
do każdej sylwetki.",,,"Proteção de cintura feita de
amplo minério precioso.
Ajusta-se a qualquer corpo.","양질의 광석을 넉넉히 사용해
만든 허리 방어구. 인체
구조에 맞춘 합리적인 구조.","大手筆地使用大量的上等礦石
所製成的腰部裝備。
擁有符合人體構造的合理設計。","腰部装备，
奢侈地使用了上好矿石制作。
合理的结构符合人体构造。",,,,,,,,"درع للخصر مصنوعة من
خام نفيس متوفر بكثرة. تُناسب
جميع أشكال الجسد.",,,,,,,,,,,
12b45759-2d67-472d-9c87-ac3160bc031a,455203599,A_Waist_307_Explain,"持ち主を覇道へ導くと伝えられ
る鋼鉄の甲冑。長寿の竜人族で
さえ生涯目にする事は少ない。","Steel armor said to lead
its wearer to glory. Rarely
glimpsed in a lifetime.","Armure en acier qui conduit
à la gloire. Objet d'une
rareté exceptionnelle.","Armatura d'acciaio che si
vede raramente nella vita.
Dà gloria a chi la indossa.","Stahlrüstung, die ihrem Trä-
ger Ruhm bringt. Nur wenige
Jäger bekommen sie zu sehen.","Pieza de armadura de acero
que, según dicen, conduce a
la gloria. Muy rara de ver.","Говорят, эти стальные
доспехи приносят славу.
Очень редкая вещица.","Stalowa zbroja, która
poprowadzi do zwycięstwa.
Rzadko spotykana.",,,"Proteção de aço capaz de
levar o usuário à glória.
Raramente vista por alguém.","주인을 패도로 이끈다고 하는
강철 갑주. 오래 살아도
평생 한 번 볼까 말까 한다.","據說會引領持有者完成霸業的
鋼鐵盔甲。即使長壽如龍人族，
一生當中也鮮少能夠親眼目睹。","传说会引领持有者走上霸道的
钢铁盔甲。便是长寿的龙人族
在一生中也甚少亲眼目睹。",,,,,,,,"درع فولاذية يُقال إنها تقود
مُرتديها نحو تحقيق المجد.
يمكن رؤيتها مرة في العمر.",,,,,,,,,,,
5f75989c-dc52-48cc-bae2-07f3577325d8,200279290,A_Waist_308_Explain,"香り立つ雰囲気の腰用装備。
独特の色合いは特殊な素材で
しか出すことはできない。","Strange armor with a
fragrant aroma. Its hue is
thanks to special materials.","Étrange armure au parfum
puissant. Sa couleur vient
de matériaux spéciaux.","Strana protezione profumata.
Il suo colore deriva da
materiali speciali.","Ein Panzer mit betörendem
Duft. Seine Farbe verdankt
er besonderen Materialien.","Extraña, con un olor fuerte.
Su color se consigue con
materiales especiales.","Странные доспехи с сильным
ароматом. Из материалов,
придающих уникальный цвет.","Dziwna zbroja o przyjemnym
zapachu. Odcień zawdzięcza
specjalnym materiałom.",,,"Proteção estranha com aroma
perfumado. O tom se deve
a materiais especiais.","냄새가 향기로운 허리 방어구.
독특한 색 조합은 특수한
소재로만 만들 수 있다.","有著飄香氛圍的腰部裝備。
獨特的配色
只有特殊素材才能呈現。","有着飘香氛围的腰部装备。
特有的配色只有通过
特殊素材才能呈现。",,,,,,,,"درع غريبة لها رائحة
ذكية. يعود تدرجها اللوني
إلى موادها المميزة.",,,,,,,,,,,
6a42411a-a412-4887-a058-8a2028a956e1,4202282365,A_Waist_309_Explain,"魚鱗から作られた腰用装備。
飛竜の素材には出せない、
鮮やかな色彩が人気の秘密。","Popular due to its superb
color—something you don't
get from wyvern material!","Popularisée par sa superbe
couleur. Impossible à faire
à partir de wyvernes.","Popolare per il bel colore.
Non si estrae certo dal
materiale di wyvern!","Aufgrund seiner aus Wyvern-
Material nicht herstellbaren
Farbe sehr beliebt.","Muy popular por su color.
Imposible de extraer de
material wyvern.","Пояс, популярный из-за
своего цвета. Сделать такое
из виверны невозможно!","Popularny ze względu na
kolor, jakiego nie uzyskasz
z wiwernich materiałów!",,,"Popular devido à linda cor,
algo que não se obtém
de material de serpe!","비늘로 만든 허리 방어구.
비룡의 소재로는 낼 수 없는
화사한 색채가 인기의 비결.","由魚鱗製作而成的腰部裝備。
那從飛龍素材無法提煉出來的
鮮豔色彩，是它受歡迎的秘密。","腰部装备，使用鱼鳞制作。
飞龙素材无法提取出来的
鲜艳颜色是它人气的秘诀。",,,,,,,,"تشتهر بألوانها البديعة—شيء
لا يمكنك الحصول عليه
من مادة وايفرين!",,,,,,,,,,,
