guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
9e0a0334-04d0-420a-878d-90c60239a2e3,973084254,STM_DetailMap_01,ファストトラベル,Fast Travel,Voyage rapide,Trasferimento rapido,Schnellreise,Viaje rápido,Быстрое перемещение,Szybkie podróżowanie,,,Viagem Rápida,패스트 트래블,快速移動,快速旅行,,,,,,,,السفر السريع,,,,,,,,,,,
3cbcde0d-43cd-4e8a-a051-0e9944710edf,1764472189,STM_DetailMap_02,メインキャンプ,Main Camp,Camp principal,Accampamento principale,Hauptlager,Campamento base,Основной лагерь,Główny obóz,,,Acampamento Principal,메인 캠프,主營地,主营地,,,,,,,,المعسكر الرئيسي,,,,,,,,,,,
8fdccfdf-e246-46f6-8694-c2b8b4dbaf16,2071803252,STM_DetailMap_03,サブキャンプ１,Sub-camp 1,Campement 1,Accampam. secondario 1,Nebenlager 1,Campamento 1,Вспомогательный лагерь 1,Podobóz 1,,,Posto Avançado 1,서브 캠프 1,副營地1,辅助营地1,,,,,,,,المعكسر الفرعي 1,,,,,,,,,,,
7d4bef3b-89ce-4eaa-8717-a3dc4bc2e77d,2170960956,STM_DetailMap_04,サブキャンプ２,Sub-camp 2,Campement 2,Accampam. secondario 2,Nebenlager 2,Campamento 2,Вспомогательный лагерь 2,Podobóz 2,,,Posto Avançado 2,서브 캠프 2,副營地2,辅助营地2,,,,,,,,المعكسر الفرعي 2,,,,,,,,,,,
76fdab53-9bb0-47da-8f67-0837a726282b,2717072478,STM_DetailMap_05,表示設定,Display Settings,Paramètres d'affichage,Personalizza interfaccia,Anzeigeeinstellungen,Ajustes de visualización,Настройки экрана,Ustawienia interfejsu,,,Config. de exibição,표시 설정,顯示設定,显示设置,,,,,,,,إعدادات العرض,,,,,,,,,,,
f60c0207-4aa6-4b3e-b81c-73c04ce8b605,1427979340,STM_DetailMap_06,拡縮,Zoom,Zoom,Zoom,Zoom,Ampliar,Увеличить,Przybliż,,,Zoom,확대 축소,縮放,缩放,,,,,,,,تكبير,,,,,,,,,,,
1b0f60d2-f8d5-4399-9beb-e2d709830cf6,3499659299,STM_DetailMap_07,カテゴリ切り替え,Change Category,Changer type quête,Cambia categoria,Quest-Typ ändern,Cambiar categoría,Изменить тип задания,Zmień kategorię,,,Mudar Categoria,카테고리 전환,切換類別,切换类别,,,,,,,,تغيير الفئة,,,,,,,,,,,
8f66778b-8baa-4370-8bd6-7470d03d524d,1674200864,STM_DetailMap_08,非表示,Hide,Masquer,Nascondi,Verbergen,Ocultar,Скрыть,Ukryj,,,Esconder,표시 안 함,不顯示,不显示,,,,,,,,إخفاء,,,,,,,,,,,
39dd0b02-22ca-45b3-bb7a-a62161673216,1644524179,STM_DetailMap_09,持続強化生物,Permabuffers,Maxiboosts,Aiutanti permanenti,Dauerwesen,Benefactores,Улучшающие создания,Wzmacniające stworz.,,,Reforços Permanentes,지속강화생물,持續強化生物,持续强化生物,,,,,,,,حواجز بيرما,,,,,,,,,,,
3ff7327f-ac29-455c-80f0-c482e117e7ef,34101315,STM_DetailMap_10,その他の環境生物,Other Endemic Life,Autre Faune locale,Altra fauna endemica,Andere Einheim.Wesen,Otra fauna local,Др. мест. живность,Inna lokalna fauna,,,Outra Vida Nativa,기타 환경생물,其他環境生物,其他环境生物,,,,,,,,حياة مستوطنة أخرى,,,,,,,,,,,
