guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a91f036b-8e20-4f20-b478-ccbaeab1cfdb,2754031477,GC_Award_N_MR_01,王国の協力依頼状,Royal Request for Cooperation,Demande royale de coopération,Richiesta reale di cooperazione,Royale Anfrage zur Kooperation,Solicitud real de colaboración,Королевский приказ о помощи,Królewska prośba o współpracę,,,Requisição Real por Cooperação,왕국의 협력 의뢰장,王國的協助委託書,王国的协助委托书,,,,,,,,طلب ملكي للتعاون,,,,,,,,,,,
b73c31c3-cc8c-485f-ade3-319506a5d7db,160041640,GC_Award_N_MR_02,遠見の双眼鏡,Long-Distance Binoculars,Jumelles longue distance,Binocolo per lunghe distanze,Weitsicht-Fernglas,Prismáticos de larga distancia,Бинокль дальнего действия,Potężna lornetka,,,Binóculos de Longo Alcance,정찰용 쌍안경,瞭望望遠鏡,远眺的望远镜,,,,,,,,منظار المسافات الطويلة,,,,,,,,,,,
9e634caa-b865-4b77-82c7-fb909ee11098,3007200805,GC_Award_N_MR_03,調査用のマント,Survey Cape,Cape d'enquête,Mantello d'osservazione,Erkundungsumhang,Capa de observación,Плащ проверяющего,Peleryna badawcza,,,Capa de Pesquisa,조사용 망토,調查用披風,调查专用披风,,,,,,,,رداء الاستطلاع,,,,,,,,,,,
9705a7cd-37dc-4c09-a8c5-731adf816b88,2323447210,GC_Award_N_MR_04,青い羽の万年筆,Azure Feather Fountain Pen,Feutre plume d'azur,Stilografica piuma celeste,Azurblauer Federkiel,Pluma de escribir celeste,Авторучка с лазурным пером,Lazurowe wieczne pióro,,,Caneta Tinteiro de Pena Lazúli,파란 깃털 만년필,藍羽鋼筆,蓝羽毛钢笔,,,,,,,,قلم حبر بريشة لازوردية,,,,,,,,,,,
58cb2012-c2d1-427c-a45d-3989f0c66198,3530450889,GC_Award_N_MR_05,威厳ある卓上旗,Majestic Desk Banner,Bannière majestueuse,Bandiera da tavolo maestosa,Erhabenes Tischbanner,Bandera de mesa majestuosa,Волшебный настольный флажок,Majestatyczna flaga,,,Bandeira de Mesa Majestosa,위엄 있는 탁상 깃발,威風凜凜的桌上旗,庄严的小旗帜,,,,,,,,لافتة مكتبية مهيبة,,,,,,,,,,,
e245f10a-08a5-4b17-84d5-fffe5f1fb113,3344558702,GC_Award_N_MR_06,王国の協力感謝状,Royal Declaration of Gratitude,Déclaration royale de gratitude,Ringraziamento reale,Royale Erklärung der Dankbarkeit,Declaración de gratitud real,Королевская почетная грамота,Królewski dowód wdzięczności,,,Declaração Real de Gratidão,왕국의 협력 감사장,王國的協助感謝狀,王国的协助感谢状,,,,,,,,إقرار ملكي بالامتنان,,,,,,,,,,,
d4c5a5d5-6a7f-4497-a93e-9efdd2bb9fa7,2156658957,GC_Award_N_MR_07,究極狩人武勇録【マスター】,Record of Utmost Valor - Master,Écrits du courage - Maître,Record eterno valore (maestro),Rekord höchsten Muts - Meister,Hito del gran valor: maestro,Свидетельство доблести — Мастер,Wyjątkowe męstwo – Mistrz,,,Reg. de Valor Absoluto Mestre,궁극 사냥꾼 무용담【마스터】,究極獵人武勇錄【Master】,究极猎人传奇【大师】,,,,,,,,سجل الشجاعة القصوى - زعيم,,,,,,,,,,,
b5b039ec-e69c-4a8d-8dd8-f8da6b1390fd,1693542351,GC_Award_N_MR_08,シロフクズクのミニポーチ,Snowy Cohoot Mini-Pouch,Mini-pochette hibouette de neige,Borsetta Gufufo neve,Schneekauz-Mini-Beutel,Minibolsa de bubo de las nieves,Мини-сумка Снежного Ухута,Sakiewka białego hukacza,,,Bolsinha Corumocho de Neve,흰 복부엉의 작은 주머니,白色福福鴞的小袋子,白色福木兔小口袋,,,,,,,,كيس كوهوت ثلجي صغير,,,,,,,,,,,
77d028cf-8a4d-4a75-b29e-5131d64824d9,3411859681,GC_Award_N_MR_09,究極狩人武勇録【闘技】,Record of Utmost Valor - Arena,Écrits du courage - Arène,Record eterno valore (Arena),Rekord höchsten Muts - Arena,Hito del gran valor: arena,Свидетельство доблести — Арена,Wyjątkowe męstwo – Arena,,,Reg. de Valor Absoluto Arena,궁극 사냥꾼 무용담【투기】,究極獵人武勇錄【鬥技】,究极猎人传奇【斗技】,,,,,,,,سجل الشجاعة القصوى - الساحة,,,,,,,,,,,
ee5feae8-720c-4091-ac4e-c048e648e8ed,549533266,GC_Award_N_MR_10,絵画【異郷のより糸】,Painting - Foreign Threads,Peinture - Fils étrangers,Dipinto: Fili stranieri,Gemälde - Fremde Fäden,Cuadro: Hilos extraños,Картина — Заморские нити,Obraz – Obce wątki,,,Pintura - Fios Estrangeiros,그림【타향의 연사】,畫作【異鄉的捻繩】,绘画【异乡的捻线】,,,,,,,,لوحة - خيوط خارجية,,,,,,,,,,,
