guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b56dd88c-42e5-4429-b213-d2b1f81d86ae,3040872954,nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000,<COLOR FF0000>#Rejected#</COLOR> nid101_chat_000
27cb9c3b-359b-4b42-a8cb-0031ae651781,1543514094,nid101_chat_Hyakuryu_000_00,"百竜夜行が来るでゲコ！
準備はいいでゲコか！？","Johoho, I smell a Rampage!
Ready to get to it-to it!?","Ho ho ! Ça sent la Calamité !
Tu es d'attaque ?!","Ohohoh, sento odore di furia!
Sei <LSNR {pronto} {pronta}>?","Johoho, ich wittere eine
Randale! Bist du bereit?!","¡Aquí huele a Frenesí!
¡¿Todos listos?!","Хо-хо-хо, чую Буйство!
Все готовы-преготовы?","Johoho, wyczuwam Furię!
Wszyscy, kum kum, gotowi?",,,"Dohoho, sinto o cheiro de
um Frenesi! Tudo pronto?","백룡야행이 온다개골!
준비는 됐나개골?!","百龍夜行要來了呱！
準備好了嗎呱！？","百龙夜行要来了呱！
准备好了呱！？",,,,,,,,"أشعر باقتراب الغضب العارم!
<LSNR {أأنت مستعد} {أأنتِ مستعدة}> له!؟",,,,,,,,,,,
a7534a1a-1419-4468-a7da-a43f7bb88e4e,1399177445,nid101_chat_Hyakuryu_001_00,"撃退成功でゲコ！
やったでゲコ～！","You did it-did it!
What a huge success!",Tu as réussi !,"Evviva, evviva!
Ce l'hai fatta!","Du hast es geschafft!
Ein unglaublicher Erfolg!","¡Lo has logrado!
¡Menudo exitazo!","Ты <LSNR {справился} {справилась}>!
Настоящий успех!","Udało ci się! Kum kum!
To wielki sukces!",,,"Você conseguiu!
Que baita sucesso!","격퇴 성공이다개골!
잘 했다개골~!","成功擊退了呱！
做得好呱～！","击退成功呱！
成功了呱！",,,,,,,,"لقد <LSNR {فعلتها} {فعلتِها}>-لقد <LSNR {فعلتها} {فعلتِها}>!
يا له من نجاح باهر!",,,,,,,,,,,
95b5b9af-ac6b-45ee-80fd-f85b644b3722,2095874020,nid101_chat_Hyakuryu_002_00,"ぬぅ、無念…！
ここは退却でゲコ！","This is terrible!
Everyone, time to leg it-leg it!","C'est horrible ! Vite, fuyons
immédiatement !","È terribile!
Forza, è ora di scappare.","Das ist fatal! Rückzug!
Nehmt die Beine in die Hand!","¡Esto es terrible!
¡Hora de retirarse!","Кошмар! Слушайте все,
пора бежать!","Coś strasznego!
Kum kum, nogi za pas!",,,"Isso é terrível! Pessoal,
é hora de recuar-cuar!","크윽, 안타깝지만…!
여기서 물러난다개골!","唔，真遺憾……！
暫時先撤退呱！","唔，遗憾！
现在还是撤退呱！",,,,,,,,"هذا مروع!
فليستعد الجميع للهروب!",,,,,,,,,,,
79712f25-6a74-4011-a4d5-521f60b25592,3734143202,nid101_chat_Hyakuryu_003_00,"成果は得られたでゲコ！
今回はもう帰るでゲコよ～！","Well, I think that will do!
Back to town for now!","Cela devrait faire l'affaire !
Rentrons au village !","Beh, per ora può bastare.
Torniamo al villaggio.","Gut, ich denke, das reicht!
Gehen wir zurück zum Dorf!","Con esto bastará.
¡Volvamos a la aldea!","Что ж, думаю, достаточно!
Теперь назад в деревню!","No, to chyba wystarczy!
Pora wracać!",,,"Bem, acho que já deu!
De volta pra cidade por ora!","성과는 있었다개골!
이제 돌아가자개골~!","有些收穫了呱！
這次就先回去吧呱～！","获得成果了呱！
这次就先撤退呱！",,,,,,,,"حسنًا، أظن أنَّ هذا سينفع!
لنعد إلى القرية الآن!",,,,,,,,,,,
d58f0d73-00db-4214-a488-eeb63f4b7e0f,3270844527,nid101_chat_Hyakuryu_004_00,"砦がもたぬ。退却でゲコが、
一定の成果は得られたでゲコ…。","Shame about the Stronghold,
but a win is a win...","Dommage pour la Forteresse,
mais ça reste une victoire...","Peccato per la fortezza,
ma abbiamo vinto...","Ein Jammer mit der Festung,
aber Hauptsache, gewonnen...","Qué pena lo de la fortaleza...
Pero hemos ganado...","Так жаль Твердыню,
но победа есть победа...","Szkoda Twierdzy, ale grunt, że
zwyciężyliśmy.",,,"Que dó da Fortaleza,
mas vitória é vitória...","요새가 못 버티니 퇴각이다개골.
그래도 성과는 있었다개골…","要塞擋不住了。雖然得撤退呱，
但也有不少收穫呱……","要塞撑不住了。虽然要撤了，
但获得了一定的成果呱……",,,,,,,,"من المؤسف ما حدث للقلعة،
ولكن الفوز هو الفوز...",,,,,,,,,,,
3770114b-1ee1-40b0-bdcc-1398de97a986,3795685586,nid101_chat_Hyakuryu_005_00,"おお、任務達成でゲコ！
さすがでゲコな～！","Johoho! Mission complete!
That's how you do it-do it!","Mission accomplie !
Ça fait plaisir !","Ohohoh, missione compiuta!
Così si fa!","Johoho! Mission erfüllt!
So wird das gemacht!","¡Misión cumplida!
¡Qué alegría! ¡Jo, jo, jo!","Хо-хо, задание выполнено!
Вот как надо!","Johohoho, misja wykonana!
I oto chodzi, i oto chodzi!",,,"Dohoho! Missão concluída!
É assim que se faz-faz!","오오, 임무 달성이다개골!
역시 대단하다개골~!","哦，完成任務了呱！
真有一套呱～！","噢，任务完成了呱！
佩服呱！",,,,,,,,"وهوووو! اكتملت المهمة!
هكذا تُنجز المهام!",,,,,,,,,,,
fa599070-544b-4338-9f4d-fca243c006c7,2799933478,nid101_chat_Hyakuryu_006_00,"任務をすべて達成！？
大活躍でゲコな！","How many missions complete?
All of them!? Marvelous!","Tu as fini toutes les
missions ? Chapeau !","Quante missioni hai
completato? Tutte? Wow!","Wie viele Missionen sind
erledigt? Alle? Fabelhaft!","¿Cuántas misiones has hecho?
¿Todas? ¡Estupendo!","Сколько заданий выполнено?
Все! Великолепно!","Ile misji wykonanych?
Wszystkie? Wspaniałość!",,,"Quantas missões concluídas?
Todas?! Maravilha!","모든 임무를 달성?!
대활약이다개골!","完成所有任務了！？
你實在太優秀了呱！","任务全都完成了！？
你大放光彩了呱！",,,,,,,,"كم عدد المهام التي
اكتملت؟ كلها!؟ عظيم!",,,,,,,,,,,
99d5c103-ad1e-4f2c-9165-3b157826dd2b,4276752775,nid101_chat_Hyakuryu_007_00,"新しい任務でゲコ！
頼んだでゲコよ～！","Guess what? A new mission! I
know you can do it-do it!","Prépare-toi ! Une nouvelle
mission t'attend !","Indovina? C'è una nuova
missione! Ce la puoi fare!","Schon gehört? Eine neue
Mission! Du schaffst das!","Adivina. ¡Nueva misión!
¡Sé que puedes con ella!","Угадай что? Есть задание! Я
знаю, что ты справишься!","Zgaduj zgadula... Nowa misja!
Kum kum, wiem, że dasz radę!",,,"Adivinha? Uma nova missão!
Eu sei que você dá conta!","새로운 임무다개골!
잘 부탁한다개골~!","有新的任務呱！
拜託你了呱～！","新任务来了呱！
拜托你了呱！",,,,,,,,"<LSNR {خمن} {خمني}> ماذا هناك؟ مهمة جديدة! أعلم
<LSNR {أنك ستنجح} {أنكِ ستنجحين}> في ذلك!",,,,,,,,,,,
b2a577e6-f25b-4409-ba26-0377dacb0c33,402524135,nid101_chat_Hyakuryu_008_00,"さあ、群れが来よったでゲコ！
里を守るため、気張るでゲコよ！","A horde is coming!
Hold your ground—for Kamura!","Une horde approche ! Tu dois
protéger Kamura !","Arriva un'orda.
Fatti valere! Per Kamura!","Horde im Anmarsch!
Halt dich wacker – für Kamura!","¡Viene una horda!
¡Resistid por Kamura!","Приближается стадо! Защищайте
территорию, за Камуру!","Nadciąga horda! Nie ustąpimy
ani na krok! Za Kamurę!",,,"Uma horda tá chegando!
Defenda a posição. Por Kamura!","자, 무리가 온다개골!
마을을 위해 힘내자개골!","魔物群要來了呱！
奮發起來，保護村莊吧呱！","哎，怪物群来了呱！
为了保护村庄，加油干呱！",,,,,,,,"الحشد قادم!
<LSNR {تماسك} {تماسكي}> —من أجل كامورا!",,,,,,,,,,,
