guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0037dfa7-b2f3-4878-8aaf-940435d4f61f,648499637,Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain,<COLOR FF0000>#Rejected#</COLOR> Decorations_0200_Explain
a8f73aa0-5c96-4416-8050-8c45c1c7861f,2731500142,Decorations_0201_Explain,"<PLSKILL Pl_EquipSkill_066>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_066> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_066>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_066>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_066>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_066>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_066>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_066>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_066>.","불 내성 스킬이
향상되는 장식품.","能夠提升
火耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_066>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_066>.",,,,,,,,,,,
01662cb2-ae05-47a2-b124-c90544047d4a,2442150462,Decorations_0202_Explain,"<PLSKILL Pl_EquipSkill_067>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_067> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_067>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_067>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_067>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_067>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_067>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_067>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_067>.","물 내성 스킬이
향상되는 장식품.","能夠提升
水耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_067>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_067>.",,,,,,,,,,,
190ee000-f2ab-4917-aab9-b44fd780a355,3744974076,Decorations_0203_Explain,"<PLSKILL Pl_EquipSkill_068>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_068> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_068>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_068>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_068>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_068>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_068>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_068>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_068>.","얼음 내성 스킬이
향상되는 장식품.","能夠提升
冰耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_068>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_068>.",,,,,,,,,,,
eb4b5c86-bc50-4ed1-8a4c-e0ded4e9b04e,4099258167,Decorations_0204_Explain,"<PLSKILL Pl_EquipSkill_069>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_069> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_069>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_069>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_069>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_069>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_069>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_069>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_069>.","번개 내성 스킬이
향상되는 장식품.","能夠提升
雷耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_069>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_069>.",,,,,,,,,,,
a4cb39a9-d47b-4332-8db4-b37380d3a2f5,3076471649,Decorations_0205_Explain,"<PLSKILL Pl_EquipSkill_070>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_070> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_070>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_070>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_070>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_070>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_070>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_070>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_070>.","용 내성 스킬이
향상되는 장식품.","能夠提升
龍耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_070>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_070>.",,,,,,,,,,,
16d3e0b0-2301-458e-a217-6379d4192b71,2092874150,Decorations_0206_Explain,"<PLSKILL Pl_EquipSkill_072>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_072> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_072>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_072>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_072>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_072>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_072>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_072>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_072>.","독 내성 스킬이
향상되는 장식품.","能夠提升
毒耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_072>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_072>.",,,,,,,,,,,
b8d55fa5-8fdb-4dd4-9dbd-d60901891a3f,2979947101,Decorations_0207_Explain,"<PLSKILL Pl_EquipSkill_073>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_073> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_073>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_073>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_073>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_073>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_073>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_073>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_073>.","마비 내성 스킬이
향상되는 장식품.","能夠提升
麻痺耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_073>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_073>.",,,,,,,,,,,
2352685a-4071-4fd9-8a72-9a7bb5102593,3986759089,Decorations_0208_Explain,"<PLSKILL Pl_EquipSkill_074>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_074> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_074>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_074>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_074>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_074>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_074>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_074>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_074>.","수면 내성 스킬이
향상되는 장식품.","能夠提升
睡眠耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_074>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_074>.",,,,,,,,,,,
b52b0a38-6219-4e7e-95bf-7ada8a66f385,1584567464,Decorations_0209_Explain,"<PLSKILL Pl_EquipSkill_077>スキルが
アップする装飾品。","A decoration that enhances the
<PLSKILL Pl_EquipSkill_077> skill.","Augmente le Talent
<PLSKILL Pl_EquipSkill_077>.","Potenzia l'effetto dell'abilità
<PLSKILL Pl_EquipSkill_077>.","Diese Dekoration verstärkt die
<PLSKILL Pl_EquipSkill_077>-Fähigkeit.","Adorno que potencia la habilidad
<PLSKILL Pl_EquipSkill_077>.","Украшение. Усиливает навык
<PLSKILL Pl_EquipSkill_077>.","Ozdoba wzmacniająca
umiejętność <PLSKILL Pl_EquipSkill_077>.",,,"Um adorno que melhora
a habilidade <PLSKILL Pl_EquipSkill_077>.","폭파 피해 내성 스킬이
향상되는 장식품.","能夠提升爆破異常狀態的
耐性技能的裝飾品。","能够提升<PLSKILL Pl_EquipSkill_077>技能
的装饰品。",,,,,,,,"إضافة تُحسن من مهارة
<PLSKILL Pl_EquipSkill_077>.",,,,,,,,,,,
