guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5c44f34a-4869-4446-878a-2528d518c89c,3374474729,QuestOrderUI_Page01_01,報酬金,Reward Money,Prime,Premio denaro,Belohnungsgeld,Recompensa,Денеж. награда,Nagroda,,,Prêmio em Din.,보수금,報酬金,报酬金,,,,,,,,أموال المكافأة,,,,,,,,,,,
221359a8-0608-4ba4-b1dc-5c21711189a7,1989034068,QuestOrderUI_Page01_02,目的地,Locale,Carte,Luogo,Ort,Zona,Зона,Lokalizacja,,,Loc.,목적지,目的地,目的地,,,,,,,,المكان,,,,,,,,,,,
18489523-bec6-4eee-955c-c5934160fbc0,1873084942,QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page01_03
7df4bb10-d8dd-43e8-af36-629cd588f001,2053597199,QuestOrderUI_Page01_04,制限時間,Time Limit,Limite de temps,Tempo limite,Zeitlimit,Tiempo límite,Лимит времени,Limit czasu,,,Tempo Limite,제한시간,限制時間,限制时间,,,,,,,,الحد الزمني,,,,,,,,,,,
e7779702-37ea-431e-9cdc-49b3fe7f21e4,1213329337,QuestOrderUI_Page01_05,主なモンスター,Other Monsters,Autres monstres,Altri mostri,Andere Monster,Otros monstruos,Прочие монстры,Inne potwory,,,Outros mons.,주요 몬스터,主要魔物,主要怪物,,,,,,,,الوحوش الأخرى,,,,,,,,,,,
dc3c5e0b-8888-4668-a746-959b5e3676bf,3263992294,QuestOrderUI_Page01_06,生態情報,Environment Info,Infos zone,Info ambiente,Umgebungsinfo,Info. de entorno,Окружение,Info o otoczeniu,,,Info. do Ambiente,생태 정보,生態資訊,生态信息,,,,,,,,معلومات بيئية,,,,,,,,,,,
978113db-c19b-4cf1-8d0c-8b46116869c2,3391533650,QuestOrderUI_Page01_07,環境情報,Locale Info,Info environ.,Informazioni,Ortsinfo,Información de zona,Инфо. о мест.,O miejscu,,,Info. do Local,환경 정보,環境資訊,环境信息,,,,,,,,معلومات المكان,,,,,,,,,,,
a8ad1f28-2015-47b6-9059-75eb7204221c,3296538160,QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01,<COLOR FF0000>#Rejected#</COLOR> QuestOrderUI_Page02_01
0769a9fd-6192-44d3-b6b6-4b7cd7574f1e,500084902,QuestOrderUI_Page02_02,受注・参加条件,Conditions,Conditions,Requisiti,Bedingungen,Condiciones,Условия,Warunki,,,Condições,수주/참가 조건,承接･參加條件,承接/参加条件,,,,,,,,الشروط,,,,,,,,,,,
31248672-81c6-4f67-9317-6bedad7eb5e4,2969579019,QuestOrderUI_Page02_03,失敗条件,Failure Conditions,Échec,Cond. fallim.,Scheitern,Condiciones fracaso,Услов. провала,Warun. porażki,,,Cond. de Falha,실패 조건,失敗條件,失败条件,,,,,,,,شروط الفشل,,,,,,,,,,,
