guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
eeff53c7-8526-43f9-bed4-433647b53423,3657255284,ChatSetPhrase_Autotrigger_25_MR,"猟具生物のエンエンク
または子泣キジを使用したとき","When a Stinkmink or Wailnard
Hunting Helper is used.","Lorsque vous utilisez une
Cendrelette ou un Géminard.","Quando usi una fetorbestia
o un fagiapianto","Wenn du einen Miefnerz oder
einen Plärrmatz einsetzt.","Cuando se usa una odorodreja o
un grévol plañidero.","При использовании Пахучки
или Плакальщика на охоте.","Kiedy używasz śmierdźka lub
wyjca (stworzenia wsparcia).",,,"Quando um Ajudante Visombodum
ou Lamentadora for usado.","사냥보조생물 연기 족제비
또는 가루꿩을 사용했을 때",使用臭臭鼬鼠或子泣雉雞後,"使用猎具生物“烟雪鼬”
或“婴啼雉”时",,,,,,,,"عند استخدام مساعد الصيد
حيوان المنك كريه الرائحة أو طير ويلنارد.",,,,,,,,,,,
13737f66-0adf-45dc-b5ea-bcefcfb57c39,2747802095,ChatSetPhrase_Stamp_100_MR,がんばろう！,"We must
fulfill our duty!","Nous devons
accomplir notre
mission !","Dobbiamo compiere
il dovere!","Wir müssen unsere
Pflicht erfüllen!","¡Cumplamos con
nuestro deber!","Долг
превыше
всего!","Spełnij nasz
obowiązek!",,,"Temos
dever a
cumprir!",힘내자!,加油！,加油吧！,,,,,,,,"We must
fufill our duty!",,,,,,,,,,,
116e07a5-4b84-4a1d-83c3-a9adc489822e,1478477995,ChatSetPhrase_Stamp_101_MR,ファイトー！,Fight!,Au combat !,Combatti!,Kämpft!,¡A luchar!,В бой!,Walcz!,,,Luta!,파이팅!,上啊！,打啊——！,,,,,,,,Fight!,,,,,,,,,,,
a9261562-5768-4c63-a2ed-b2d30771afea,2937223781,ChatSetPhrase_Stamp_102_MR,おやすみ…。,G'night...,Bonne nuit,'Notte...,Nacht...,Buenas noches,Доброй ночи...,Dobranoc...,,,Boa noite...,잘 자…,晚安……,晚安……,,,,,,,,G'night...,,,,,,,,,,,
8b23a846-5ae2-4c0c-b611-0f4e2d9a84a9,1073766821,ChatSetPhrase_Stamp_103_MR,もうムリ～！,I give up...,J'abandonne...,Mi arrendo...,Ich gebe auf...,Me rindo...,Сдаюсь...,Poddaję się...,,,Desisto...,더는 무리~!,撐不住了～！,已经不行了～！,,,,,,,,I give up...,,,,,,,,,,,
3fbd18f3-9981-4c12-b613-7cb7c7559948,13818125,ChatSetPhrase_Stamp_104_MR,ワクワク！,Mew Hoo!,Miaou miaou !,Miao-hoo!,Miau-huu!,¡Miaujá!,Мяу-у-у-у!,Miau-hu!,,,Miau-uh!,울렁울렁!,好興奮！,好激动！,,,,,,,,Mew Hoo!,,,,,,,,,,,
f347fdec-d7b4-4c22-881e-f1b0b2359844,120553905,ChatSetPhrase_Stamp_105_MR,やったね！,Way to go!,Beau boulot !,Ben fatto!,Wow! Weiter so!,¡Así se hace!,Так держать!,Brawo!,,,Mandou bem!,잘했어!,太好了！,太棒啦！,,,,,,,,Way to go!,,,,,,,,,,,
266ddea2-4cd0-462d-bb73-fbff987b110f,3041301272,ChatSetPhrase_Stamp_106_MR,かんぱーい！,Cheers!,Merci !,Cin cin!,Prost!,¡Gracias!,Ура!,Zdrowie!,,,Torcer!,건배!,乾杯～！,干杯！,,,,,,,,Cheers!,,,,,,,,,,,
f8f462fa-2ab9-4faf-816f-5f2bbccc74d0,2701606937,ChatSetPhrase_Stamp_107_MR,チラッ。,"I see what
you did...","Je vois ce que
tu as fait...","Ho capito
cos'hai fatto...","Das hab
ich gesehen...","Ya veo, ya...",Я все вижу...,"Widzę, co
wyczyniasz...",,,"Vejo o que
você fez...",흘끗.,偷看,偷看。,,,,,,,,"I see what
you did...",,,,,,,,,,,
ec1c3d1d-498a-4f55-90ec-be23f9f4ab47,4015506775,ChatSetPhrase_Stamp_108_MR,急ぎます！,Get a move on!,On se bouge !,Sbrigati!,Beeilung!,¡Toca moverse!,Двигайся!,Pospiesz się!,,,Anda logo!,서두를게요!,我馬上好！,抓紧时间！,,,,,,,,Get a move on!,,,,,,,,,,,
59ae90df-66e8-4a17-a7e4-31a8de503d7d,568786285,ChatSetPhrase_Stamp_109_MR,えへへ…。,Teehee...,Hi hi...,Eheheh...,Hehe...,"Je, je...",Хи-хи...,Ha-ha!,,,Hihi!,헤헤…,哈哈……,嘿嘿嘿……,,,,,,,,Teehee...,,,,,,,,,,,
d666c741-80ab-47d4-9462-d80616710001,3977884339,ChatSetPhrase_Stamp_110_MR,さすがです！,"Oooooh~~!
Fantastic!","Oooooh~~ !
Super !","Oooh!
Fantastico!","Oooh!
Fantastisch!","¡Guaaau!
¡Fantástico!","У-у-у!
Здорово!","Jeju!
Fantastyczne!",,,"Ahhh!
Fantástico!",역시!,真有一套！,厉害了！,,,,,,,,"Oooooh~~!
Fantastic!",,,,,,,,,,,
dc2f4939-0829-400b-81e0-de72a34a605c,3984935769,ChatSetPhrase_Stamp_111_MR,大猟です！,"We made it
y'all!","Bravo,
on a réussi !","Ce l'abbiamo
fatta!","Wir haben’s
geschafft!",¡Lo logramos!,Мы справились!,Udało się nam!,,,"Conseguimos,
pessoal!",많이 잡았어!,大豐收！,猎物大丰收！,,,,,,,,"We made it
y'all!",,,,,,,,,,,
f2ec4e9a-35eb-4647-ac41-252490947ad0,1934612891,ChatSetPhrase_Stamp_112_MR,待ってます。,Anytime now...,"C'est quand
tu veux...","Da un momento
all'altro...","Jederzeit
jetzt...",Cuando te venga bien...,Уже скоро...,Czekam...,,,A qualquer momento...,기다릴게요.,我等你。,我等你。,,,,,,,,Anytime now...,,,,,,,,,,,
2ff83b59-a31f-48ca-ad5e-6e558f3ff371,926820399,ChatSetPhrase_Stamp_113_MR,問題なし！,My pleasure!,Avec plaisir !,Piacere mio!,Gerne!,¡Un placer!,Не за что!,Cieszę się!,,,Foi um prazer!,문제없음!,沒問題！,没问题！,,,,,,,,My pleasure!,,,,,,,,,,,
cf294e0e-bc15-4c44-bdaa-c8bbca1ae69e,3745150427,ChatSetPhrase_Stamp_114_MR,笑える～！,"Oh, you're
funny!","Oh, tu es
drôle !",Che ridere!,"Oh, du bist
witzig!","¡Qué gracia
me haces!","Ха-ха,
забавно!","To było
śmieszne!",,,"Ah, que
engraçado!",웃기다~!,真好笑～！,真好笑～！,,,,,,,,"Oh, you're
funny!",,,,,,,,,,,
175bf5f2-d648-41da-adf7-1057369346a4,29812043,ChatSetPhrase_Stamp_115_MR,準備完了！,Ready!,On y va !,Pronto!,Bereit!,¡Todo listo!,Готов(а)!,Gotowe!,,,Pronto!,준비 완료!,準備完成！,准备好了！,,,,,,,,Ready!,,,,,,,,,,,
ec98e824-83ab-477f-9e6b-c0115c41f5b8,1836616658,ChatSetPhrase_Stamp_116_MR,復活！,"Like a million
zenny!","J'ai la
patate !",Alla grande!,"Ich fühle mich
unbesiegbar!","¡Una actuación
de lujo!","На миллион
зени!","Jak milion
zeni!",,,"Como um milhão
de zennys!",부활!,復活！,复活！,,,,,,,,"Like a million
zenny!",,,,,,,,,,,
480f8abe-b55d-438b-ba81-e81c70594975,1657743342,ChatSetPhrase_Stamp_117_MR,腹ペコです。,I'm hungry!,"J'ai les
crocs !",Ho fame!,"Ich habe
Hunger!",¡Qué hambre!,Хочу есть!,Czuję głód!,,,Tô com fome!,배고파요.,我餓死了。,肚子饿了。,,,,,,,,I'm hungry!,,,,,,,,,,,
b6ad031a-f9cb-4598-9cab-38dddb87f44f,4137331081,ChatSetPhrase_Stamp_118_MR,あわわわ！,"What do I do!?
What do I do!?","Je fais quoi ?
Je fais quoi ?","Cosa faccio?!
Cosa faccio?!","Was jetzt?!
Was jetzt?!","¡Ay de mí!
¿¡Qué hago!?","Что делать?!
Что делать?!","Co robić?!
Co robić?!",,,"O que faço?!
O que faço?!",깜짝!,哎呀呀！,呜哇哇哇！,,,,,,,,"What do I do!?
What do I do!?",,,,,,,,,,,
7fe52536-f1f0-4829-b591-014117bad411,1579292039,ChatSetPhrase_Stamp_119_MR,離脱します。,I'm leaving...,Je pars...,Me ne vado...,Ich bin weg...,Abandono...,Я ухожу...,Odchodzę...,,,Tô indo...,이탈합니다.,我要脫離了。,我要离开了。,,,,,,,,I'm leaving...,,,,,,,,,,,
85c6ac61-c5a1-43ba-bc08-b455b5596bca,2724695624,ChatSetPhrase_Gesture_100_MR,驚く,Shock,Choc,Shock,Schock,No doy crédito...,Шок,Szok,,,Choque,놀라기,驚訝,惊讶,,,,,,,,صدمة,,,,,,,,,,,
a1a037ff-d4e4-498c-a334-66b0366e6439,2184051554,ChatSetPhrase_Gesture_101_MR,大笑い,Have Fun,S'amuser,Divertiti,Viel Spaß,¡A disfrutar!,Веселиться,Baw się dobrze,,,Divertir-se,크게 웃기,大笑,大笑,,,,,,,,استمتع,,,,,,,,,,,
f17f3862-a51f-43fc-bff5-4a2c4121ddbc,869051560,ChatSetPhrase_Gesture_102_MR,高笑い,LOL,LOL,LOL,LOL,LOL,ЛОЛ,LOL,,,Rindo muito,목청껏 웃기,放聲大笑,高声大笑,,,,,,,,ضحك كثير,,,,,,,,,,,
0822ac26-7475-4a3a-9257-11418fc7ee28,2460674851,ChatSetPhrase_Gesture_103_MR,ひざまずく,Kneel,S'agenouiller,Inginocchiati,Knien,De rodillas,На колени,Klęknij,,,Ajoelhar,무릎 꿇기,下跪,下跪,,,,,,,,ركوع,,,,,,,,,,,
3604c705-d844-4dc0-af07-230d99bb68d5,3478907952,ChatSetPhrase_Gesture_104_MR,うそでしょ！？,OMG!,OMG !,Oddio!,OMG!,¡Madre mía!,OMG!,O mój Boże!,,,Ah meu Deus!,말도 안 돼!,真的假的！？,真的假的！？,,,,,,,,يا إلهي!,,,,,,,,,,,
746ee809-f172-4d5b-a7aa-1060726a1fc1,721515109,ChatSetPhrase_Gesture_105_MR,準備運動,Warm up,Échauffement,Riscaldamento,Aufwärmen,Calentamiento,Разминка,Rozgrzewka,,,Esquenta,준비 운동,熱身,热身运动,,,,,,,,إحماء,,,,,,,,,,,
