guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0d2b94a1-2c95-4b47-907d-20fdbb14b3b5,1807512250,QuestCounter_TopMenu_01,里クエスト,Village Quests,Quêtes Village,Missioni villaggio,Dorf-Quests,Misiones de la aldea,Задания деревни,Zadania wioski,,,Missões da Aldeia,마을 퀘스트,村莊任務,村庄任务,,,,,,,,مهام القرية,,,,,,,,,,,
11e36670-d249-4c4b-8293-a8adac62dfc2,2509242753,QuestCounter_TopMenu_02,集会所クエスト　下位,Hub Quests: Low Rank,Q. Grand-Camp Novice,Mis. base: basso grado,Stätten-Quests: NR,M. sala reunión: Rango bajo,Задания Зала: НР,Zad. Cent.: nis. poz.,,,Missões AE: R. Baixo,집회소 퀘스트 하위,集會所任務　初階,集会所任务 下位,,,,,,,,مهام المركز: رتبة منخفضة,,,,,,,,,,,
5ddd06a7-711f-4acc-a5b8-5b2e9bf3be2a,2773984727,QuestCounter_TopMenu_03,集会所クエスト　上位,Hub Quests: High Rank,Q. G.-Camp Expert,Mis. base: alto gr.,Stätten-Quests: HR,M. sala reunión: Rango alto,Задания Зала: ВР,Zad. Cent.: wys. poz.,,,Missões AE: R. Alto,집회소 퀘스트 상위,集會所任務　進階,集会所任务 上位,,,,,,,,مهام المركز: رتبة مرتفعة,,,,,,,,,,,
1ebaf4db-6d70-48df-b620-6b8a816392ab,2316425410,QuestCounter_TopMenu_04,百竜夜行,Rampage Quests,Quêtes Calamité,Missioni furia,Randale-Quests,Misiones del Frenesí,Задания на Буйство,Zadania dot. Furii,,,Missões do Frenesi,백룡야행,百龍夜行,百龙夜行,,,,,,,,مهام الغضب العارم,,,,,,,,,,,
8756a66b-a3f2-44a7-a484-2668aeba9fca,608814967,QuestCounter_TopMenu_06,訓練クエスト,Training Quests,Quêtes entraînement,Mis. addestramento,Trainings-Quests,Mis. entrenamiento,Трениров. задания,Zadania treningowe,,,Missões de Trein.,훈련 퀘스트,訓練任務,训练任务,,,,,,,,مهام التدريب,,,,,,,,,,,
cb3e0956-18d7-4994-a4d8-3ad1273bf5f5,3442676563,QuestCounter_TopMenu_07,イベントクエスト,Event Quests,Quêtes Événement,Missioni evento,Event-Quests,Misiones de evento,Задания события,Zadania z wydarzeń,,,Missões de Evento,이벤트 퀘스트,活動任務,活动任务,,,,,,,,مهام الحدث,,,,,,,,,,,
590d9307-9c17-4e89-a0ab-3da01b9796bc,4220413341,QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_TopMenu_08
3433dbce-b44e-42c4-897f-2194a590c4b9,1769175994,QuestCounter_TopMenu_09,緊急クエスト,Urgent Quest,Quête urgente,Missione urgente,Dringende Quest,Misiones urgentes,Срочные задания,Pilne zadanie,,,Missão Urgente,긴급 퀘스트,緊急任務,紧急任务,,,,,,,,مهمة عاجلة,,,,,,,,,,,
76b17307-3d35-43ef-b95d-b35caa281a82,3873648403,QuestCounter_TopMenu_10,特別許可試験,Special License Tests,Tests permis spécial,Test licenza spec.,Spez. Zulassungstests,Test licenc. espec.,Зад. на особ. лиц.,Testy na spec. lic.,,,Teste Lic. Especial,특별 허가 시험,特別許可試驗,特别许可测验,,,,,,,,اختبارات الترخيص الخاصة,,,,,,,,,,,
e9462622-b51a-4504-ab3a-5c8e5b8e07e9,336212809,QuestCounter_TopMenu_11,フリーサイドクエスト,Optional Subquests,Sous-quêtes facultatives,Obiettivi secondari,Optionale Nebenquests,Submisiones opcionales,Дополнит. подзадания,Opc. zad. poboczne,,,Missões Opcionais,프리 사이드 퀘스트,自由支線任務,自由支线任务,,,,,,,,مهام فرعية اختيارية,,,,,,,,,,,
