guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b675baa2-9655-4f8e-baf3-7b47f54453f2,3079602554,LvC_Normal_000_Explain,"色々なステータスを
バランスよく強化できる腕輪。
豊かな香りがする。","A bracelet that gives a
balanced increase to stats.
It gives off a lush scent.","Un bracelet qui accorde une
augmentation équilibrée des
stats. Arôme agréable.","Braccialetto profumato che
incrementa le statistiche in
modo bilanciato.","Ein Armband, das Werte aus-
gewogen steigert. Verströmt
einen satten Duft.","Brazalete que sube las
estadísticas de forma
equilibrada. Aroma suntuoso.","Браслет, равномерно
повышающий характеристики.
Обладает насыщенным запахом.","Bransoleta równomiernie
podwyższająca atrybuty.
Przepięknie pachnie.",,,"Concede aumento equilibrado
aos atributos. Exala aromas
exuberantes.","다양한 스테이터스를
골고루 강화할 수 있는 팔찌.
풍부한 향기가 난다.","能夠平均強化
各項狀態的手環。
散發著濃郁的香味。","可以均衡强化
各项状态的手链。
散发着丰富的香气。",,,,,,,,"سوار يعطيك زيادة متوازنة
للإحصائيات.
وتنبعث منه رائحة جذابة.",,,,,,,,,,,
794baae1-06fb-4f50-9b5d-e1c4a5754c13,2426099693,LvC_Normal_001_Explain,"主に体力やスタミナを
大きく強化できる腕輪。
はつらつとした香りがする。","A bracelet that boosts health
and stamina considerably.
It gives off a zesty scent.","Un bracelet qui augmente
nettement l'endurance et la
vie. Arôme acidulé.","Braccialetto aromatico che
aumenta considerevolmente
salute e resistenza.","Ein Armband, das Ausdauer
und Gesundheit deutlich
steigert. Duftet würzig.","Brazalete que mejora
bastante la salud y la
resistencia. Aroma ácido.","Браслет, заметно повышающий
здоровье и выносливость.
Обладает пикантным запахом.","Znacząco wzmacnia zdrowie
i wytrzymałość. Wydziela
bardzo żywy zapach.",,,"Impulsiona a vida e o vigor
consideravelmente. Exala
um aroma picante.","주로 체력과 스태미나를
크게 강화할 수 있는 팔찌.
발랄한 향기가 난다.","能夠針對體力與耐力
大幅強化的手環。
散發著充滿活力的香味。","主要可以大幅强化
体力与耐力的手链。
散发着带来活力的香气。",,,,,,,,"سوار يعزز الصحة
وقوة التحمل بشكل كبير.
وتنبعث منه رائحة منعشة.",,,,,,,,,,,
d59173d3-fb93-4710-b5d1-a89e660c391f,1539481187,LvC_Normal_002_Explain,"主に防御力やスタミナを
大きく強化できる腕輪。
重厚な香りがする。","A bracelet that boosts defense
and stamina considerably.
It gives off an intense scent.","Un bracelet qui augmente
nettement l'endurance et la
défense. Arôme intense.","Braccialetto aromatico che
aumenta considerevolmente
difesa e resistenza.","Ein Armband, das Ausdauer
und Verteidigung deutlich
steigert. Duftet intensiv.","Brazalete que mejora
bastante la defensa y la
resistencia. Aroma intenso.","Браслет, заметно повышающий
защиту и выносливость.
Обладает сильным запахом.","Znacząco wzmacnia obronę
i wytrzymałość. Wydziela
intensywny zapach.",,,"Impulsiona defesa e vigor
consideravelmente. Exala
um aroma intenso.","주로 방어력과 스태미나를
크게 강화할 수 있는 팔찌.
중후한 향기가 난다.","能夠針對防禦力與耐力
大幅強化的手環。
散發著沉穩的香味。","主要可以大幅强化
防御力与耐力的手链。
散发着沉稳的香气。",,,,,,,,"سوار يعزز الدفاع
وقوة التحمل بشكل كبير.
وتنبعث منه رائحة قوية.",,,,,,,,,,,
6aecc70f-8bf8-44dd-a795-63f41dbf6806,1721575575,LvC_Normal_003_Explain,"主に攻撃力を大きく
強化できる腕輪。
はげしい香りがする。","A bracelet that boosts
attack stats considerably.
It gives off a fierce scent.","Un bracelet qui augmente
nettement l'attaque.
Arôme sauvage.","Braccialetto odoroso che
aumenta considerevolmente
le statistiche di attacco.","Ein Armband, das den
Angriffsstatus deutlich
steigert. Duftet stark.","Brazalete que mejora
bastante las estadísticas de
ataque. Aroma intenso.","Браслет, заметно повышающий
характеристики атаки.
Обладает мощным запахом.","Bransoleta znacznie
wzmacniająca atrybuty ataku.
Bardzo mocno pachnie.",,,"Impulsiona o ataque
consideravelmente.
Exala aromas fortes.","주로 공격력을
크게 강화할 수 있는 팔찌.
격렬한 향기가 난다.","能夠針對攻擊力
大幅強化的手環。
散發著刺鼻的香味。","主要可以大幅强化
攻击力的手链。
散发着浓烈的香气。",,,,,,,,"سوار يعزز إحصائيات
الهجوم بشكل كبير.
وتنبعث منه رائحة شديدة.",,,,,,,,,,,
7fc159c9-6385-4043-8a4c-96cddb0936b4,4132261635,LvC_Normal_004_Explain,"色々なステータスを
バランスよく強化できる腕輪。
豊かな香りがする。","A bracelet that gives a
balanced increase to stats.
It gives off a lush scent.","Un bracelet qui accorde une
augmentation équilibrée des
stats. Arôme agréable.","Braccialetto profumato che
incrementa le statistiche in
modo bilanciato.","Ein Armband, das Werte aus-
gewogen steigert. Verströmt
einen satten Duft.","Brazalete que sube las
estadísticas de forma
equilibrada. Aroma suntuoso.","Браслет, равномерно
повышающий характеристики.
Обладает насыщенным запахом.","Bransoleta równomiernie
podwyższająca atrybuty.
Przepięknie pachnie.",,,"Concede aumento equilibrado
aos atributos. Exala aromas
exuberantes.","다양한 스테이터스를
골고루 강화할 수 있는 팔찌.
풍부한 향기가 난다.","能夠平均強化
各項狀態的手環。
散發著濃郁的香味。","可以均衡强化
各项状态的手链。
散发着丰富的香气。",,,,,,,,"سوار يعطيك زيادة متوازنة
للإحصائيات.
وتنبعث منه رائحة جذابة.",,,,,,,,,,,
8864ae78-0e5f-41bf-b0c2-8856aba0e832,2910982126,LvC_Normal_005_Explain,"主に体力やスタミナを
大きく強化できる腕輪。
はつらつとした香りがする。","A bracelet that boosts health
and stamina considerably.
It gives off a zesty scent.","Un bracelet qui augmente
nettement l'endurance et la
vie. Arôme acidulé.","Braccialetto aromatico che
aumenta considerevolmente
salute e resistenza.","Ein Armband, das Ausdauer
und Gesundheit deutlich
steigert. Duftet würzig.","Brazalete que mejora
bastante la salud y la
resistencia. Aroma ácido.","Браслет, заметно повышающий
здоровье и выносливость.
Обладает пикантным запахом.","Znacząco wzmacnia zdrowie
i wytrzymałość. Wydziela
bardzo żywy zapach.",,,"Impulsiona a vida e o vigor
consideravelmente. Exala
aromas cítricos.","주로 체력과 스태미나를
크게 강화할 수 있는 팔찌.
발랄한 향기가 난다.","能夠針對體力與耐力
大幅強化的手環。
散發著充滿活力的香味。","主要可以大幅强化
体力与耐力的手链。
散发着带来活力的香气。",,,,,,,,"سوار يعزز الصحة
وقوة التحمل بشكل كبير.
وتنبعث منه رائحة منعشة.",,,,,,,,,,,
09ba810d-c83c-4b36-b3bf-9924eeae494f,2014164305,LvC_Normal_006_Explain,"主に防御力やスタミナを
大きく強化できる腕輪。
重厚な香りがする。","A bracelet that boosts defense
and stamina considerably.
It gives off an intense scent.","Un bracelet qui augmente
nettement l'endurance et la
défense. Arôme intense.","Braccialetto aromatico che
aumenta considerevolmente
difesa e resistenza.","Ein Armband, das Ausdauer
und Verteidigung deutlich
steigert. Duftet intensiv.","Brazalete que mejora
bastante la defensa y la
resistencia. Aroma intenso.","Браслет, заметно повышающий
защиту и выносливость.
Обладает сильным запахом.","Znacząco wzmacnia obronę
i wytrzymałość. Wydziela
intensywny zapach.",,,"Impulsiona defesa e vigor
consideravelmente. Exala
um aroma intenso.","주로 방어력과 스태미나를
크게 강화할 수 있는 팔찌.
중후한 향기가 난다.","能夠針對防禦力與耐力
大幅強化的手環。
散發著沉穩的香味。","主要可以大幅强化
防御力与耐力的手链。
散发着沉稳的香气。",,,,,,,,"سوار يعزز الدفاع
وقوة التحمل بشكل كبير.
وتنبعث منه رائحة قوية.",,,,,,,,,,,
9cf5acb4-f61e-4558-a2b9-6c7bbe643adc,3042798184,LvC_Normal_007_Explain,"主に攻撃力を大きく
強化できる腕輪。
はげしい香りがする。","A bracelet that boosts
attack stats considerably.
It gives off a fierce scent.","Un bracelet qui augmente
nettement l'attaque.
Arôme sauvage.","Braccialetto odoroso che
aumenta considerevolmente
le statistiche di attacco.","Ein Armband, das den
Angriffsstatus deutlich
steigert. Duftet stark.","Brazalete que mejora
bastante las estadísticas de
ataque. Aroma intenso.","Браслет, заметно повышающий
характеристики атаки.
Обладает мощным запахом.","Bransoleta znacznie
wzmacniająca atrybuty ataku.
Bardzo mocno pachnie.",,,"Impulsiona o ataque
consideravelmente.
Exala aromas fortes.","주로 공격력을
크게 강화할 수 있는 팔찌.
격렬한 향기가 난다.","能夠針對攻擊力
大幅強化的手環。
散發著刺鼻的香味。","主要可以大幅强化
攻击力的手链。
散发着浓烈的香气。",,,,,,,,"سوار يعزز إحصائيات
الهجوم بشكل كبير.
وتنبعث منه رائحة شديدة.",,,,,,,,,,,
dadc0885-8868-402d-94f2-90be6fce085a,3334630743,LvC_Normal_008_Explain,"色々なステータスを
バランスよく強化できる腕輪。
豊かな香りがする。","A bracelet that gives a
balanced increase to stats.
It gives off a lush scent.","Un bracelet qui accorde une
augmentation équilibrée des
stats. Arôme agréable.","Braccialetto profumato che
incrementa le statistiche in
modo bilanciato.","Ein Armband, das Werte aus-
gewogen steigert. Verströmt
einen satten Duft.","Brazalete que sube las
estadísticas de forma
equilibrada. Aroma suntuoso.","Браслет, равномерно
повышающий характеристики.
Обладает насыщенным запахом.","Bransoleta równomiernie
podwyższająca atrybuty.
Przepięknie pachnie.",,,"Concede aumento equilibrado
aos atributos. Exala aromas
exuberantes.","다양한 스테이터스를
골고루 강화할 수 있는 팔찌.
풍부한 향기가 난다.","能夠平均強化
各項狀態的手環。
散發著濃郁的香味。","可以均衡强化
各项状态的手链。
散发着丰富的香气。",,,,,,,,"سوار يعطيك زيادة متوازنة
للإحصائيات.
وتنبعث منه رائحة جذابة.",,,,,,,,,,,
de7686b5-678f-4aa1-acde-0ef1317592c5,152582880,LvC_Normal_009_Explain,"主に体力やスタミナを
大きく強化できる腕輪。
はつらつとした香りがする。","A bracelet that boosts health
and stamina considerably.
It gives off a zesty scent.","Un bracelet qui augmente
nettement l'endurance et la
vie. Arôme acidulé.","Braccialetto aromatico che
aumenta considerevolmente
salute e resistenza.","Ein Armband, das Ausdauer
und Gesundheit deutlich
steigert. Duftet würzig.","Brazalete que mejora
bastante la salud y la
resistencia. Aroma ácido.","Браслет, заметно повышающий
здоровье и выносливость.
Обладает пикантным запахом.","Znacząco wzmacnia zdrowie
i wytrzymałość. Wydziela
bardzo żywy zapach.",,,"Impulsiona a vida e o vigor
consideravelmente. Exala
aromas cítricos.","주로 체력과 스태미나를
크게 강화할 수 있는 팔찌.
발랄한 향기가 난다.","能夠針對體力與耐力
大幅強化的手環。
散發著充滿活力的香味。","主要可以大幅强化
体力与耐力的手链。
散发着带来活力的香气。",,,,,,,,"سوار يعزز الصحة
وقوة التحمل بشكل كبير.
وتنبعث منه رائحة منعشة.",,,,,,,,,,,
