guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
33e1233e-5574-4b59-85b0-cf849737c518,790778773,I_None_Name,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1512d02-1c5f-4499-b077-a71534de6b2a,515116895,I_0000_Name,投げクナイ,Throwing Kunai,Kunai de lancer,Kunai da lancio,Wurf-Kunai,Kunai arrojadizo,Метатель. кунай,Rzucany kunai,,,Kunai Arremesso,투척쿠나이,苦無,苦无,,,,,,,,رمي كوناي,,,,,,,,,,,
82b177db-8c45-49d9-8f25-55a1418aed67,1943077145,I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name
090b0c07-fd8d-4a08-b549-43930cf72b6d,903906148,I_0002_Name,小タル爆弾,Barrel Bomb,Bombe baril,Bomba-botte,Fassbombe,Bomba de barril,Бочковая бомба,Bomba beczkowa,,,Bomba Barril,소형나무통폭탄,小爆彈桶,小桶爆弹,,,,,,,,برميل متفجر,,,,,,,,,,,
f4db0071-d390-4d44-a66f-f3d5d12e764a,3222897873,I_0003_Name,大タル爆弾,Large Barrel Bomb,G. bombe baril,Bomba-botte grande,Große Fassbombe,Bomba barril grande,Б. бочк. бомба,D. bomba beczkowa,,,Superbomba Barril,대형나무통폭탄,大爆彈桶,大桶爆弹,,,,,,,,برميل متفجر ضخم,,,,,,,,,,,
cfdf0219-04cc-4402-bfdf-4fb4a8d19721,2142648385,I_0004_Name,シビレ罠,Shock Trap,Piège électroch.,Trappola scossa,Schockfalle,Trampa eléctrica,Шоковая ловушка,Pułapka rażąca,,,Armad. de Choque,마비덫,麻痺陷阱,麻痹陷阱,,,,,,,,فخ الصدمة,,,,,,,,,,,
ceb088f1-aa6a-46f0-8b3d-f119e90c8a4b,3270261684,I_0005_Name,秘薬,Max Potion,Potion secrète,Pillola salute,Maxi-Trank,Poción máxima,Макс. зелье,Maksmikstura,,,Poção Máxima,비약,秘藥,秘药,,,,,,,,الجرعة القصوى,,,,,,,,,,,
86c6f5b0-07f4-426a-ad94-adc788f92da3,2607295608,I_0006_Name,回復薬,Potion,Potion,Pozione,Trank,Poción,Зелье,Mikstura,,,Poção,회복약,回復藥,回复药,,,,,,,,الجرعة,,,,,,,,,,,
eef90890-c818-4694-bb06-f93340977f74,782813058,I_0007_Name,回復薬グレート,Mega Potion,Méga potion,Mega pozione,Mega-Trank,Megapoción,Мегазелье,Megamikstura,,,Megapoção,그레이트 회복약,回復藥･大,回复药G,,,,,,,,جرعة عملاقة,,,,,,,,,,,
463ae386-f671-4097-a996-8e7687aecb22,681465059,I_0008_Name,こんがり肉,Well-done Steak,Steak à point,Bistecca ben cotta,Gebratenes Steak,Filete al punto,Хор. прож. стейк,Dobrze wys. stek,,,Bife Bem Passado,잘 익은 고기,全熟肉,烤熟的肉,,,,,,,,شريحة لحم مطهوة جيدًا,,,,,,,,,,,
0ec25d82-6149-4fad-a49d-418509ec1512,3359962092,I_0009_Name,生命の粉塵,Lifepowder,Poudre de vie,Polvere di vita,Lebenspulver,Polvo de vida,Порошок жизни,Proszek życia,,,Pó da Vida,생명의 가루,生命粉塵,生命粉尘,,,,,,,,مسحوق الحياة,,,,,,,,,,,
5c8b8019-b65f-430e-a8c3-e6a29ab0b0d3,3341015194,I_0010_Name,砥石,Whetstone,Aiguisoir,Cote,Wetzstein,Piedra de afilar,Точильный камень,Osełka,,,Pedra de Amolar,숫돌,砥石,砥石,,,,,,,,حجر الشحذ,,,,,,,,,,,
4af539d6-1a2b-4299-937d-bc653e7a42a3,3519120352,I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name
