guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1efca180-5d8c-4427-8584-601df80f3849,204364294,STM_CameraHud_01,自分で撮影,Character View,Vue 1e personne,Visuale person.,Charakteransicht,Vista de personaje,Вид от персонажа,Widok postaci,,,Visão do Personagem,셀프 촬영,親自拍攝,自己拍摄,,,,,,,,عرض الشخصية,,,,,,,,,,,
b5afda3e-1d01-41cd-8715-9f2fcb7d0a34,3430349995,STM_CameraHud_02,フクズク撮影,Cohoot View,Vue Hibouette,Visuale Gufufo,Kauz-Ansicht,Vista de Bubo,Вид от Ухута,Widok hukacza,,,Visão do Corumocho,복부엉 촬영,以福福鴞拍攝,福木兔拍摄,,,,,,,,عرض كوهوت,,,,,,,,,,,
5b2cd048-c530-4a33-8fa7-f1cd62e8bb50,3124785636,STM_CameraHud_03,写真を保存しました,Picture saved.,Photo sauvegardée.,Foto salvata.,Foto wurde gespeichert.,Foto guardada.,Фото сохранено.,Zdjęcie zapisane.,,,Foto salva.,사진을 저장했습니다,已儲存照片,已保存照片,,,,,,,,تم حفظ الصورة.,,,,,,,,,,,
10d6378d-5097-45d6-8a0c-7a01f4f2216d,2785798412,STM_CameraHud_04,アルバムがいっぱいです,Your album is full.,Votre album est plein.,Il registro è pieno.,Dein Album ist voll.,Tu álbum está lleno.,Ваш альбом заполнен.,Twój album jest pełny.,,,Seu álbum está cheio.,앨범이 가득 찼습니다,相簿已滿,相簿已满,,,,,,,,الألبوم الخاص بك ممتلئ.,,,,,,,,,,,
3e5f8ec6-032a-4d2f-a83b-1874cfee87af,2659935454,STM_Album_Menu_01,最新,Newest,Nouveautés,Più recenti,Neueste,Más reciente,Самые новые,Najnowsze,,,Mais novas,최신,最新,最新,,,,,,,,الأحدث,,,,,,,,,,,
f4d6bb29-1503-4261-abd4-1f77f0864ac2,3587270442,STM_Album_Menu_02,すべて,All,Tout,Tutte,Alle,Todas,Все,Wszystkie,,,Todas,전부,全部,全部,,,,,,,,الكل,,,,,,,,,,,
2993af0e-78fb-4fcb-82b4-a731277572f0,4071419752,STM_Album_Menu_03,モンスター,Monsters,Monstres,Mostri,Monster,Monstruos,Монстры,Potwory,,,Monstros,몬스터,魔物,怪物,,,,,,,,الوحوش,,,,,,,,,,,
620e8499-3111-49ea-9522-fbf0db882640,1777180879,STM_Album_Menu_04,環境生物,Endemic Life,Faune locale,Fauna endemica,EinheimWesen,Fauna local,Мест. живность,Lokalna fauna,,,Vida Nativa,환경생물,環境生物,环境生物,,,,,,,,حياة مستوطنة,,,,,,,,,,,
275bc4e1-0da5-4b57-a748-e63539fa24d0,2085581145,STM_Album_Menu_05,お気に入り,Favorites,Favoris,Preferite,Favoriten,Favoritos,Избранные,Ulubione,,,Favoritos,즐겨찾기,我的最愛,收藏,,,,,,,,المفضلات,,,,,,,,,,,
373b45b9-9545-4f31-b297-ba48e845d5e1,2991730934,STM_Album_Menu_06,編集,Edit,Modifier,Modifica,Bearbeiten,Modificar,Редактировать,Edytuj,,,Editar,편집,編輯,编辑,,,,,,,,تعديل,,,,,,,,,,,
c4611e1d-200d-4b60-8d19-404efe3a5b0f,2625584679,STM_Album_Menu_07,削除,Delete,Supprimer,Elimina,Löschen,Eliminar,Удалить,Usuń,,,Excluir,삭제,刪除,删除,,,,,,,,حذف,,,,,,,,,,,
2fa26c72-5580-47fb-b2f1-37e08cc453a5,3140532939,STM_Album_Menu_08,複製,Copy,Copier,Copia,Kopieren,Copiar,Копировать,Kopiuj,,,Copiar,복사,複製,复制,,,,,,,,نسخ,,,,,,,,,,,
1b2abf7a-fc09-4e61-85f8-18aa0af002f8,52315689,STM_Album_Menu_09,お気に入り設定,Select Favorites,Sélect. favoris,Seleziona preferiti,Wähle Favoriten,Elegir favoritos,Настр. избранного,Wybierz ulubione,,,Selecionar Favoritas,즐겨찾기 설정,設定我的最愛,收藏设置,,,,,,,,تحديد المفصلات,,,,,,,,,,,
55b6ae54-8884-42b2-afde-02c9c746a819,2373018061,STM_Album_Menu_10,フィルター,Filter,Filtrer,Filtro,Filter,Filtro,Отфильтровать,Filtr,,,Filtro,필터,濾鏡,滤镜,,,,,,,,عامل تصفية,,,,,,,,,,,
ccd9f487-a088-4482-9829-d033c8c79bd3,1370702686,STM_Album_Menu_11,ソート,Sort,Trier,Ordina,Sortieren,Ordenar,Сортировать,Sortuj,,,Ordenar,정렬,排序,排序,,,,,,,,فرز,,,,,,,,,,,
fc132eae-6222-4656-b7f5-b0154c7589d6,956204369,STM_Album_Menu_12,フィルターなし,No Filter,Aucun filtre,Nessun filtro,Kein Filter,Sin filtro,Без фильтра,Brak filtra,,,Sem Filtro,필터 없음,無濾鏡,无滤镜,,,,,,,,دون عامل تصفية,,,,,,,,,,,
96140d68-2866-421d-a22b-864090839191,3029030024,STM_Album_Menu_13,モノクロ,Black & White,Noir et blanc,Bianco e nero,Schwarzweiß,Blanco y negro,Черно-белое,Czarno-biały,,,Preto e Branco,흑백,黑白,单色,,,,,,,,أبيض وأسود,,,,,,,,,,,
7ab7032f-f19c-4726-aef5-14893e1a45fd,275254205,STM_Album_Menu_14,セピア,Sepia,Sépia,Seppia,Sepia,Sepia,Сепия,Sepia,,,Sépia,세피아,懷舊,深褐色,,,,,,,,اللون البني الداكن,,,,,,,,,,,
fae99c90-75fb-4918-88b9-10c809c56354,1677180747,STM_Album_Menu_15,ネガポジ反転,Negative,Négatif,Negativo,Negativ,Negativo,Негатив,Negatyw,,,Negativo,색반전,負片效果,反转颜色,,,,,,,,سلبي,,,,,,,,,,,
9a02d8bf-800b-41ea-b4ac-7c8bde64bb17,3416634276,STM_Album_Menu_16,和紙風,Washi Paper,Papier washi,Washi,Washi-Papier,Papel washi,Бумага васи,Papier washi,,,Papel Washi,빈티지,和紙風格,和纸风,,,,,,,,ورقة واشي,,,,,,,,,,,
05ef071f-f32a-4b7d-a2a4-748f7cc9680c,3537736910,STM_Album_Menu_17,撮影日時：昇順,Date Taken: Ascending,Date prise : croissant,Per data scatto (asc.),Datum: Aufsteigend,Fecha toma: ascendente,Дата снимка: по возраст.,Data zrobienia: rosnąco,,,Data: Crescente,촬영 일자: 오름차순,拍攝日期：升序,拍摄时间：升序,,,,,,,,تاريخ الحصول: تصاعدي,,,,,,,,,,,
8131a4ab-c1f2-4bd8-a566-698e94a97d9d,2211420854,STM_Album_Menu_18,撮影日時：降順,Date Taken: Descending,Date prise : décroiss.,Per data scatto (disc.),Datum: Absteigend,Fecha toma: descendente,Дата снимка: по убыв.,Data zrobienia: malejąco,,,Data: Decrescente,촬영 일자: 내림차순,拍攝日期：降序,拍摄时间：降序,,,,,,,,تاريخ الحصول: تنازلي,,,,,,,,,,,
3a197e53-a7a1-4ebb-bc88-32a11a8df0e4,3456131179,STM_Album_Menu_19,ターゲット：昇順,Target: Ascending,Cible : croissant,Per obiettivo (asc.),Zielobjekt: Aufstgnd,Objetivo: ascendente,Цель: по возрастанию,Cel: rosnąco,,,Alvo: Crescente,타겟: 오름차순,對象：升序,目标：升序,,,,,,,,الهدف: تصاعدي,,,,,,,,,,,
419dfcd7-8e40-42ff-9731-7fe4abb561cb,2588841916,STM_Album_Menu_20,ターゲット：降順,Target: Descending,Cible : décroissant,Per obiettivo (disc.),Zielobjekt: Absteigend,Objetivo: descendente,Цель: по убыванию,Cel: malejąco,,,Alvo: Decrescente,타겟: 내림차순,對象：降序,目标：降序,,,,,,,,الهدف: تنازلي,,,,,,,,,,,
adce9a65-72cd-44bb-9ea8-d236fa90e60d,3817591423,STM_Album_Menu_21,お気に入り：昇順,Favorites: Ascending,Favoris : croissant,Preferite (asc.),Favoriten: Aufsteigend,Favoritos: ascendente,Избранное: по возраст.,Ulubione: rosnąco,,,Favoritas: Crescente,즐겨찾기: 오름차순,我的最愛：升序,收藏：升序,,,,,,,,المفضلات: تصاعدي,,,,,,,,,,,
dcf3055d-7f25-4b0a-9ef6-2479dca5fb76,1360782921,STM_Album_Menu_22,お気に入り：降順,Favorites: Descending,Favoris : décroissant,Preferite (disc.),Favoriten: Absteigend,Favoritos: descendente,Избранное: по убыв.,Ulubione: malejąco,,,Favoritas: Decrescente,즐겨찾기: 내림차순,我的最愛：降序,收藏：降序,,,,,,,,المفضلات: تنازلي,,,,,,,,,,,
