guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
24f476be-1849-4155-a8d4-4cd21ae63934,2982552110,PostMan_QuestType_01_MR,<FONT 13>M</FONT>★１クエスト,<FONT 13>M</FONT>1★,<FONT 13>M</FONT>1★,<FONT 13>M</FONT>1★,<FONT 13>M</FONT>1★,<FONT 13>M</FONT>1★,<FONT 13>M</FONT>1★,<FONT 13>M</FONT>1★,,,<FONT 13>M</FONT>1★,<FONT 13>M</FONT>★1 퀘스트,<FONT 13>M</FONT>★1任務,<FONT 13>大师</FONT>★1任务,,,,,,,,<BSL>★1</BSL><BSL><FONT 13>M</FONT></BSL>,,,,,,,,,,,
f07b3606-830a-4f97-958c-283129cf27e6,3869543812,PostMan_QuestType_02_MR,<FONT 13>M</FONT>★２クエスト,<FONT 13>M</FONT>2★,<FONT 13>M</FONT>2★,<FONT 13>M</FONT>2★,<FONT 13>M</FONT>2★,<FONT 13>M</FONT>2★,<FONT 13>M</FONT>2★,<FONT 13>M</FONT>2★,,,<FONT 13>M</FONT>2★,<FONT 13>M</FONT>★2 퀘스트,<FONT 13>M</FONT>★2任務,<FONT 13>大师</FONT>★2任务,,,,,,,,<BSL>★2</BSL><BSL><FONT 13>M</FONT></BSL>,,,,,,,,,,,
21290c25-97dd-423c-9248-6fd153958552,1297134800,PostMan_QuestType_03_MR,<FONT 13>M</FONT>★３クエスト,<FONT 13>M</FONT>3★,<FONT 13>M</FONT>3★,<FONT 13>M</FONT>3★,<FONT 13>M</FONT>3★,<FONT 13>M</FONT>3★,<FONT 13>M</FONT>3★,<FONT 13>M</FONT>3★,,,<FONT 13>M</FONT>3★,<FONT 13>M</FONT>★3 퀘스트,<FONT 13>M</FONT>★3任務,<FONT 13>大师</FONT>★3任务,,,,,,,,<BSL>★3</BSL><BSL><FONT 13>M</FONT></BSL>,,,,,,,,,,,
5aaea531-1312-49f2-84af-77acc242d336,1610289435,PostMan_QuestType_04_MR,<FONT 13>M</FONT>★４クエスト,<FONT 13>M</FONT>4★,<FONT 13>M</FONT>4★,<FONT 13>M</FONT>4★,<FONT 13>M</FONT>4★,<FONT 13>M</FONT>4★,<FONT 13>M</FONT>4★,<FONT 13>M</FONT>4★,,,<FONT 13>M</FONT>4★,<FONT 13>M</FONT>★4 퀘스트,<FONT 13>M</FONT>★4任務,<FONT 13>大师</FONT>★4任务,,,,,,,,<BSL>★4</BSL><BSL><FONT 13>M</FONT></BSL>,,,,,,,,,,,
03ec1f54-db79-42e0-8970-cd460929c098,3326361388,PostMan_QuestType_05_MR,<FONT 13>M</FONT>★５クエスト,<FONT 13>M</FONT>5★,<FONT 13>M</FONT>5★,<FONT 13>M</FONT>5★,<FONT 13>M</FONT>5★,<FONT 13>M</FONT>5★,<FONT 13>M</FONT>5★,<FONT 13>M</FONT>5★,,,<FONT 13>M</FONT>5★,<FONT 13>M</FONT>★5 퀘스트,<FONT 13>M</FONT>★5任務,<FONT 13>大师</FONT>★5任务,,,,,,,,<BSL>★5</BSL><BSL><FONT 13>M</FONT></BSL>,,,,,,,,,,,
842b7b9a-5969-407d-88b1-868bea724f4f,2525525039,PostMan_QuestType_06_MR,<FONT 13>M</FONT>★６クエスト,<FONT 13>M</FONT>6★,<FONT 13>M</FONT>6★,<FONT 13>M</FONT>6★,<FONT 13>M</FONT>6★,<FONT 13>M</FONT>6★,<FONT 13>M</FONT>6★,<FONT 13>M</FONT>6★,,,<FONT 13>M</FONT>6★,<FONT 13>M</FONT>★6 퀘스트,<FONT 13>M</FONT>★6任務,<FONT 13>大师</FONT>★6任务,,,,,,,,<BSL>★6</BSL><BSL><FONT 13>M</FONT></BSL>,,,,,,,,,,,
bcf07abf-5aed-4595-ae39-4cf11d80b0dc,1943203321,PostMan_QuestType_07_MR,MRセレクトクエスト,MR Key Quests,Quête clés RM,Missioni chiave GM,MR-Hauptquests,Misiones clave RM,РM Ключевые задания,Kluczowe zadania RM,,,RM Missões-chave ,MR 엄선 퀘스트,MR精選任務,大师等级精选任务,,,,,,,,مهام رئيسية برتبة القائد,,,,,,,,,,,
5f956a0f-3c46-4ba1-980d-cecdb905621f,3572135535,PostMan_QuestType_08_MR,MRクエスト,MR Quests,Quêtes RM,Missioni GM,MR-Quests,Misiones RM,Задания РМ,Zadania RM,,,Missões de RM,MR 퀘스트,MR任務,大师等级任务,,,,,,,,مهام رتبة القائد,,,,,,,,,,,
a8638fab-f592-49db-ae9d-703fa582a676,3939825576,PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_09_MR
2dbf048a-23c0-419a-bbbf-a43ab11042b9,4120310751,PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR,<COLOR FF0000>#Rejected#</COLOR> PostMan_QuestType_10_MR
