guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
775b637e-91bb-48c4-ace1-15e0e0240e2f,407062549,QuestCounter_System_TopMenu_01,里クエストのクエスト一覧を表示します。,Show village quests.,Afficher les quêtes du Village.,Mostra le missioni villaggio.,Zeige Dorf-Quests an.,Muestra las misiones de la aldea.,Показать задания деревни.,Pokaż zadania wioski.,,,Mostrar missões da aldeia.,마을 퀘스트 목록을 표시합니다.,顯示村莊任務一覽。,显示村庄任务的任务一览。,,,,,,,,إظهار مهام القرية.,,,,,,,,,,,
355c3241-8866-45ab-8523-1bb460012ea2,1919863857,QuestCounter_System_TopMenu_02,百竜夜行のクエスト一覧を表示します。,Show Rampage quests.,Afficher les quêtes liées à la Calamité.,Mostra le missioni furia.,Zeige Randale-Quests an.,Muestra las misiones del Frenesí.,Показать задания на Буйство.,Pokaż zadania dotyczące Furii.,,,Mostrar missões do Frenesi.,백룡야행 퀘스트 목록을 표시합니다.,顯示百龍夜行任務一覽。,显示百龙夜行的任务一览。,,,,,,,,إظهار مهام الغضب العارم.,,,,,,,,,,,
f5ec9f40-4025-49bf-b28f-0977fcf1619e,642027765,QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03,<COLOR FF0000>#Rejected#</COLOR> QuestCounter_System_TopMenu_03
e8034aa8-92da-4c33-9869-ed8871a6bfe4,3378418512,QuestCounter_System_TopMenu_04,訓練クエストのクエスト一覧を表示します。,Show training quests.,Afficher les quêtes entraînement.,Mostra le missioni addestramento.,Zeige Trainings-Quests an.,Muestra las misiones de entrenamiento.,Показать тренировочные задания.,Pokaż zadania treningowe.,,,Mostrar missões de treinamento.,훈련 퀘스트 목록을 표시합니다.,顯示訓練任務一覽。,显示训练任务的任务一览。,,,,,,,,إظهار مهام التدريب.,,,,,,,,,,,
3a5d0637-a2b7-4486-a4dc-bf64f22a8d67,156902001,QuestCounter_System_TopMenu_05,"集会所クエスト下位の
クエスト一覧を表示します。",Show low rank Hub quests.,Afficher les quêtes de rang inférieur.,Mostra le missioni base di caccia di basso grado.,Zeige niedrigrangige Stätten-Quests an.,"Muestra las misiones de rango bajo de la sala
de reunión.",Показать низкоранговые задания Зала.,Pokaż zadania Centrum niskiego poziomu.,,,"Mostrar missões da Área de Encontro
de ranque baixo.","집회소 하위 퀘스트
목록을 표시합니다.",顯示集會所初階任務一覽。,"显示集会所
下位任务的任务一览。",,,,,,,,إظهار مهام المركز منخفضة الرتبة.,,,,,,,,,,,
b47ea9a3-942e-466a-b83f-db81181a5222,4012864231,QuestCounter_System_TopMenu_06,"集会所クエスト上位の
クエスト一覧を表示します。",Show high rank Hub quests.,Afficher les quêtes Grand-Camp Expert.,Mostra le missioni base di caccia d'alto grado.,Zeige hochrangige Stätten-Quests an.,"Muestra las misiones de rango alto de la sala
de reunión.",Показать высокоранговые задания Зала.,Pokaż zadania Centrum wysokiego poziomu.,,,"Mostrar missões da Área de Encontro
de ranque elevado.","집회소 상위 퀘스트
목록을 표시합니다.",顯示集會所進階任務一覽。,"显示集会所
上位任务的任务一览。",,,,,,,,إظهار مهام المركز مرتفعة الرتبة.,,,,,,,,,,,
46fb50d3-3d63-4e1d-a0c5-643d114dad50,3142205109,QuestCounter_System_TopMenu_07,緊急クエストを表示します。,Show urgent quests.,Afficher les Quêtes Urgentes.,Mostra le missioni urgenti.,Zeige Dringende Quests an.,Muestra las misiones urgentes.,Показать срочные задания.,Pokaż pilne zadania.,,,Mostrar Missões Urgentes.,긴급 퀘스트를 표시합니다.,顯示緊急任務。,显示紧急任务。,,,,,,,,إظهار مهام عاجلة.,,,,,,,,,,,
6c822dfd-4fd0-4621-b69f-a20028b0d548,1301486812,QuestCounter_System_TopMenu_08,特別許可試験を表示します。,Show special license tests.,Afficher les tests de permis spécial.,Mostra i test licenza speciale.,Zeige spezielle Zulassungstests an.,Muestra los test de licencia especial.,Показать задания на особую лицензию.,Pokaż testy na specjalną licencję.,,,Mostrar testes de licença especial.,특별 허가 시험을 표시합니다.,顯示特別許可試驗。,显示特别许可测验。,,,,,,,,إظهار اختبارات الترخيص الخاصة.,,,,,,,,,,,
002de42c-16e2-4a4e-8781-c00e04af7414,3089878029,QuestCounter_System_TopMenu_09,"フリーサイドクエストの
クエスト一覧を表示します。",Show optional subquests.,Afficher les sous-quêtes facultatives.,Mostra gli obiettivi secondari opzionali.,Zeige optionale Nebenquests an.,Muestra las submisiones opcionales.,Показать дополнительные подзадания.,Pokaż opcjonalne zadania poboczne.,,,Mostrar missões opcionais.,프리 사이드 퀘스트 목록을 표시합니다.,顯示自由支線任務一覽。,"显示自由支线任务的
任务一览。",,,,,,,,إظهار مهام فرعية اختيارية.,,,,,,,,,,,
4f13bb97-9db3-47d8-b482-45cd55b36883,2605193592,QuestCounter_System_TopMenu_10,"イベントクエストの
クエスト一覧を表示します。",Show event quests.,Afficher les quêtes Événement.,Mostra le missioni evento.,Zeige Event-Quests an.,Muestra las misiones de evento.,Показать задания события.,Pokaż zadania z wydarzeń.,,,Mostrar missões de evento.,이벤트 퀘스트 목록을 표시합니다.,顯示活動任務一覽,"显示活动任务的
任务一览。",,,,,,,,إظهار مهام الحدث.,,,,,,,,,,,
