guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
409c582f-0903-46d6-9b00-d961eecccdbf,1667389203,STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_001
c27cc94e-5a04-4318-bd3f-cb405b3cf74e,2702987527,STM_ASE_Menu_002,クエストセッティング,Quest Settings,Durant une quête,In missione,Quest-Optionen,Ajustes de misión,Настройки задания,Ustawienia zadań,,,Configurações de Missão,퀘스트 세팅,任務設定,任务设置,,,,,,,,إعدادات المهمة,,,,,,,,,,,
ad8de880-f519-49db-bcd0-31f08397e177,1187662285,STM_ASE_Menu_003,里セッティング,Village Settings,Dans le village,Nel villaggio,Dorf-Optionen,Ajustes de aldea,Настройки деревни,Ustawienia wioski,,,Configurações de Aldeia,마을 세팅,村莊設定,村庄设置,,,,,,,,إعدادات القرية,,,,,,,,,,,
f536064b-38cd-4787-abde-93b809e4e01d,2205680203,STM_ASE_Menu_004,一括表示設定,All Display Settings,Tous les paramètres d'affichage,Tutte le impostazioni di visualizzazione,Alle Anzeigeeinstellungen,Ajustes de visualización,Все настройки экрана,Wszystkie ustawienia interfejsu,,,Todas as Configurações de Exibição,일괄 표시 설정,設定所有顯示,总览显示设置,,,,,,,,جميع إعدادات العرض,,,,,,,,,,,
5bd4a80f-993d-497e-9a9e-6718cc5cef81,1467265348,STM_ASE_Menu_005,全て表示,Show All,Tout afficher,Mostra tutte,Alle anzeigen,Mostrar todo,Показать все,Pokaż wszystkie,,,Mostrar todas,모두 표시,全部顯示,全部显示,,,,,,,,إظهار الكل,,,,,,,,,,,
0204fe81-4f8c-4cbb-8661-119a5557ca92,2772300971,STM_ASE_Menu_006,編集中,Editing,Modifier,Modifica,Bearbeiten,Personalizar,Редактирование,Edytowanie,,,Edição,편집 중,編輯中,编辑中,,,,,,,,تعديل,,,,,,,,,,,
74f72b5a-fb9c-4980-a259-0788fffa5405,658970994,STM_ASE_Menu_007,全て非表示,Hide All,Tout masquer,Nascondi tutte,Alle verbergen,Ocultar todo,Скрыть все,Ukryj wszystkie,,,Esconder todas,모두 표시 안 함,全部不顯示,全部不显示,,,,,,,,إخفاء الكل,,,,,,,,,,,
b0565909-d0a8-4f55-9d71-9072b77dabdf,2182169535,STM_ASE_Menu_008,全て,All,Tout,Tutte,Alle,Todo,Все,Wszystkie,,,Todas,모두,全部,全部,,,,,,,,الكل,,,,,,,,,,,
e1403742-e000-4716-b6a6-756dc9aca92f,849706561,STM_ASE_Menu_009,オトモ命令,Buddy Commands,Contrôles Pilpoils,Comandi compagno,Buddy-Befehle,Manejo de camarada,Команды спутнику,Polecenia kompanów,,,Comandos de Amigo,동반자 명령,隨從命令,随从命令,,,,,,,,أمر الصديق,,,,,,,,,,,
98784c07-9b64-44d3-895e-f8613b77f7f8,2383593916,STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010,<COLOR FF0000>#Rejected#</COLOR> STM_ASE_Menu_010
