guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
764f8a4f-88c0-4eaa-b9b5-d66b71a092e3,3078459436,Fa_Kitchen_System_Table_TopMenu_01,食事の注文をおこないます。,Order some food.,Commander à manger.,Ordina del cibo.,Bestelle Essen.,Pide algo para comer.,Заказать еду.,Zamów jedzenie.,,,Pedir alguma comida.,식사를 주문합니다.,選擇餐點。,进行点餐。,,,,,,,,طلب بعض الطعام.,,,,,,,,,,,
4f45af21-86f4-404c-bc03-bfa6edc3a56c,2190874349,Fa_Kitchen_System_Table_TopMenu_02,よろず料理を依頼します。,Order a Motley Mix.,Commander un Mélange hétéroclite.,Ordina una varietà di piatti.,Bestelle eine Bunte Mischung.,Pide un surtido variado.,Заказать Пестрый набор.,Zamów pstrokaty miks.,,,Pedir um Sortido.,만능 요리를 의뢰합니다.,點選萬能料理。,委托万能料理。,,,,,,,,طلب خليط متنوع.,,,,,,,,,,,
22ed1ece-a778-4912-8933-645a4534a0b0,2617050590,Fa_Kitchen_System_Table_TopMenu_03,"テーブルでできるジェスチャーを
おこないます。",Perform gestures at the table.,Effectuer des émotes à table.,Esegui dei gesti a tavola.,Führe am Tisch Gesten aus.,Gesticula en la mesa.,Выполнять жесты за столом.,Wykonuj gesty przy stole.,,,Executar gestos à mesa.,"테이블에서 할 수 있는 제스처를
취합니다.",執行可在桌邊進行的動作。,"执行可在桌边进行的
肢体动作。",,,,,,,,تنفيذ إيماءات على مائدة الطعام.,,,,,,,,,,,
5efa239d-fd74-478a-b9e3-0c6f44416ce4,1587673901,Fa_Kitchen_System_Table_TopMenu_04,"食事の注文をおこないます。
<COL RED>（連続して食事をすることはできません）</COL>","Order some food.
<COL RED>(You're too full to eat again.)</COL>","Commander à manger.
<COL RED>Vous avez le ventre plein.
Vous ne pouvez plus manger !</COL>","Ordina del cibo.
<COL RED>(Non ce la fai a mangiare ancora)</COL>","Bestelle Essen.
<COL RED>(Du bist zu satt, um erneut zu essen.)</COL>","Pide algo para comer.
<COL RED>(Estás muy lleno para volver a comer).</COL>","Заказать еду.
<COL RED>(Вы не голодны.)</COL>","Zamów jedzenie.
<COL RED>(Twoja postać jest zbyt najedzona,
by zjeść kolejny posiłek).</COL>",,,"Pedir alguma comida.
<COL RED>(Está cheio(a) demais para comer.)</COL>","식사를 주문합니다.
<COL RED>(연속으로 식사할 수는 없습니다)</COL>","選擇餐點。
<COL RED>（無法連續用餐）</COL>","进行点餐。
<COL RED>（无法连续用餐）</COL>",,,,,,,,"طلب بعض الطعام.
<COL RED>(المعدة ممتلئة ولا مكان للمزيد)</COL>",,,,,,,,,,,
f820f94c-2371-4c58-bef2-c74c609a4d6b,1155139021,Fa_Kitchen_System_CostMenu_01,お金を払って食事をします。,Pay for a meal with money.,Payer un repas avec de l'argent.,"Ordina un pasto, pagandolo in zenny.",Bezahle für die Mahlzeit mit Geld.,Paga el menú con dinero.,Заплатить за еду деньгами.,Zapłać za posiłek pieniędzmi.,,,Pagar uma refeição com dinheiro.,돈을 지불하고 식사합니다.,支付金錢用餐。,支付金钱用餐。,,,,,,,,الدفع للوجبة بالمال.,,,,,,,,,,,
e01d7341-1388-4ba4-bdb9-c5f1f7fb85e1,2897768696,Fa_Kitchen_System_CostMenu_02,ポイントを払って食事をします。,Pay for a meal with points.,Payer un repas avec des points.,"Ordina un pasto,
riscattando i tuoi punti.",Bezahle für die Mahlzeit mit Punkten.,Paga el menú con puntos.,Заплатить за еду очками.,Zapłać punktami.,,,Pagar pela refeição com pontos.,포인트를 지불하고 식사합니다.,支付點數用餐。,支付点数用餐。,,,,,,,,الدفع للوجبة بالنقاط.,,,,,,,,,,,
a42b9d69-70e8-4bdc-934f-2df88ed8ee54,1541187515,Fa_Kitchen_System_CostMenu_03,"お金を払って食事をします。
<COL RED>（所持金が不足しています）</COL>","Pay for a meal with money.
<COL RED>(You don't have enough money.)</COL>","Payer un repas avec de l'argent.
<COL RED>(Pas assez d'argent.)</COL>","Ordina un pasto, pagandolo in zenny.
<COL RED>(Denaro insufficiente.)</COL>","Bezahle für die Mahlzeit mit Geld.
<COL RED>(Du hast nicht genügend Geld.)</COL>","Paga el menú con dinero.
<COL RED>(No tienes suficientes zenis).</COL>","Заплатить за еду деньгами.
<COL RED>(У вас недостаточно денег.)</COL>","Zapłać za posiłek pieniędzmi.
<COL RED>(Brak wystarczających funduszy).</COL>",,,"Pagar uma refeição com dinheiro.
<COL RED>(Você não tem o suficiente.)</COL>","돈을 지불하고 식사를 합니다.
<COL RED>(소지금이 부족합니다)</COL>","支付金錢用餐。
<COL RED>（持有金額不足）</COL>","支付金钱用餐。
<COL RED>（持有金额不足）</COL>",,,,,,,,"الدفع للوجبة بالمال.
<COL RED>(المال غير كافٍ).</COL>",,,,,,,,,,,
503f53ee-21fb-40de-a471-b41003d30ddb,3637530563,Fa_Kitchen_System_CostMenu_04,"ポイントを払って食事をします。
<COL RED>（ポイントが不足しています）</COL>","Pay for a meal with points.
<COL RED>(You don't have enough points.)</COL>","Payer un repas avec des points.
<COL RED>Pas assez de points.</COL>","Ordina un pasto, riscattando
i tuoi punti.
<COL RED>(Punti insufficienti.)</COL>","Bezahle für die Mahlzeit mit Punkten.
<COL RED>(Du hast nicht genügend Punkte.)</COL>","Paga el menú con puntos.
<COL RED>(No tienes puntos suficientes).</COL>","Заплатить за еду очками.
<COL RED>(У вас недостаточно очков.)</COL>","Zapłać punktami.
<COL RED>(Brak wystarczającej ilości punktów.)</COL>",,,"Pagar uma refeição com pontos.
<COL RED>(Você não tem o suficiente.)</COL>","포인트를 지불하고 식사를 합니다.
<COL RED>(포인트가 모자랍니다)</COL>","支付點數用餐。
<COL RED>（持有點數不足）</COL>","支付点数用餐。
<COL RED>（持有点数不足）</COL>",,,,,,,,"الدفع للوجبة بالمال.
<COL RED>(النقاط غير كافية).</COL>",,,,,,,,,,,
dd61e715-456a-4f27-b0d0-cf84c43c7fc9,2823580445,Fa_Kitchen_System_TopMenu_01,おだんごを選択して食事を注文します。,Select dango to order.,Sélectionner les dango à commander.,Seleziona dango da ordinare.,"Wähle Dango, die du bestellen möchtest.",Selecciona los dango para el pedido.,Выбрать данго для заказа.,Wybierz dango do zamówienia.,,,Selecionar dangos para pedir.,경단을 선택해 식사를 주문합니다.,選擇糰子點餐。,选择团子点餐。,,,,,,,,تحديد الدانجو لطلبه.,,,,,,,,,,,
757527d0-04b9-483b-a7ad-70c1c5ac443a,2765671331,Fa_Kitchen_System_TopMenu_02,マイセットを選択して食事を注文します。,Select a Set to order.,Sélectionner un set à commander.,Seleziona set da ordinare.,Wähle ein Set für deine Bestellung aus.,Selecciona un set para el pedido.,Выберите набор.,Wybierz zestaw.,,,Selecionar um Conjunto para pedir.,마이 세트를 선택해 식사를 주문합니다.,選擇個人組合點餐。,选择个人组合点餐。,,,,,,,,تحديد مجموعة لطلبها.,,,,,,,,,,,
