guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
7a78c466-a89f-40ac-bde1-6831056ef05b,2827969387,Fa_Kitchen_Dango_Lv1_MR,Lv1,Lv1,Niv 1,Lv1,St1,Nv.1,Ур. 1,Poz. 1,,,Nv1,Lv1,Lv1,Lv1,,,,,,,,المستوى 1,,,,,,,,,,,
20a035e0-01ee-4ce2-992b-89656fa2047f,2971795858,Fa_Kitchen_Dango_Lv2_MR,Lv2,Lv2,Niv 2,Lv2,St2,Nv.2,Ур. 2,Poz. 2,,,Nv2,Lv2,Lv2,Lv2,,,,,,,,المستوى 2,,,,,,,,,,,
cdf1f450-f253-4437-93e0-55f1c75ece82,1543956048,Fa_Kitchen_Dango_Lv3_MR,Lv3,Lv3,Niveau 3,Lv3,St3,Nv.3,Ур. 3,Poz. 3,,,Nv3,Lv3,Lv3,Lv3,,,,,,,,المستوى 3,,,,,,,,,,,
aba8c85a-8e19-4686-9428-5b87e6827a33,2450895642,Fa_Kitchen_Dango_Lv4_MR,Lv4,Lv4,Niv 4,Lv4,St4,Nv.4,Ур. 4,Poz. 4,,,Nv4,Lv4,Lv4,Lv4,,,,,,,,المستوى 4,,,,,,,,,,,
10f6a21b-ac9e-40b9-a769-d754f8014c65,989697917,Fa_Kitchen_SpecialSkewer_MR,跳び竹串,Hopping Skewers,Brochettes sautées,Spiedini rimbalzanti,Hüpfende Spieße,Broch. saltarinas,Прыгучие шампуры,Skacz. szpikulce,,,Espetos Saltantes,깡충대꼬치,彈跳竹籤,跃动竹签,,,,,,,,أسياخ القفز,,,,,,,,,,,
73ee9fb2-6fcc-4030-9760-a22b5a70c6c8,3201697193,Fa_Kitchen_ActivationEffect_MR,発動効果,Effect,Effet,Effetto,Effekt,Efecto,Эффект,Efekt,,,Efeito,발동 효과,發動效果,发动效果,,,,,,,,تأثير,,,,,,,,,,,
53201b49-25c7-4ade-9e26-f259a77e2bd4,971691227,Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv4_MR
0c6b1e45-e4e2-4542-879f-970fd55d62e8,3527751531,Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Kitchen_ActivationEffect_Up_Lv3_MR
ee69d2ab-232d-46ce-a48b-4315e46ddae4,1295175999,Fa_Kitchen_ActivationEffect_Down_Lv1_MR,-Lv1,-Lv1,-Nv1,-Lv1,-St1,-Nv.1,-1 ур.,-1 poz.,,,-Nv1,-Lv1,-Lv1,-Lv1,,,,,,,,- مستوى 1,,,,,,,,,,,
fe4e7b34-3a6b-4ed7-8706-dcd49aeca335,2406056847,Fa_Kitchen_ActivationEffect_NoChange_MR,変化なし,No Change,-,Nessun camb.,Keine Änd.,Sin cambios,Без измен.,Brak,,,Sem Mudança,변화 없음,沒有變化,无变化,,,,,,,,لا تغيير,,,,,,,,,,,
