guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
34f7e743-9601-4519-9781-624578ab7fe3,2491544553,OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtDogTool_None_Explain
d9299c0b-ada8-4296-bd47-dae6fb20b87e,1777080388,OtDogTool_000_Explain,"鎖の両側に大鎌がついた猟犬具。
また、振り回すことにより、
連続攻撃なども可能。","Gear with scythes on both sides
of the chain. Swinging it around
can land multiple hits.","Équipement doté de faux des deux
côtés de la chaîne. Balancez-la
pour des coups multiples.","Catena con falci su entrambi i
lati: falla roteare in aria per
provocare ferite multiple.","Ausrüstung mit Sensen auf beiden
Seiten der Kette. Herumschwingen
ermöglicht Mehrfachtreffer.","Arma con guadañas en ambos lados
de la cadena. Da múltiples veces
cuando se agita.","Цепь с косами на обоих концах.
Вращая ее, можно наносить
множественные удары.","Broń z kosami po obu stronach
łańcucha. Kręcąc nią, możesz
zadać wiele celnych ciosów.",,,"Equip. com foices em ambos os
lados da corrente. Balançá-lo
possibilita múltiplos acertos.","사슬 끝에 낫을 매단 사냥개 도구.
휘두르면서 연속 공격이 가능하다.","在鎖鏈兩側附有大鐮的獵犬用具。
揮動即可進行連續攻擊。","锁链两侧带有大镰刀的猎犬具。
只要挥舞锁链，
就可以发动连续攻击。",,,,,,,,"ذراع مزوّدة بمناجل على كلا جانبي
السلسلة. تؤدي أرجحته إلى توجيه
العديد من الضربات.",,,,,,,,,,,
f0dfa31e-6a43-4d7a-b34d-ec907f97c62c,1425491269,OtDogTool_001_Explain,"ガルクの口に連動して、
鋼鉄の牙でモンスターに噛みつき、
注意を引くことができる猟犬具。","Steel fangs with which to bite
down on a monster, thereby
attracting its attention.","Crocs d'acier pour mordre
un monstre et attirer
son attention.","Zanne d'acciaio per attirare
l'attenzione di un mostro con
un morso.","Stahl-Reißzähne, mit denen ein
Monster gebissen werden kann, um
seine Aufmerksamkeit zu erregen.","Colmillos de acero con los que
pegar un bocado a los monstruos
para atraer su atención.","Стальные клыки, которыми можно
кусать монстра, привлекая
его внимание.","Stalowe kły do kąsania potwora,
aby zwrócić jego uwagę.",,,"Presas de aço para morder um
monstro, atraindo assim
sua atenção.","가루크의 입에 연동한 강철 이빨로
몬스터를 물어뜯어 몬스터의
주의를 끄는 사냥개 도구.","隨加爾克之口動作的獵犬用具，
能以鋼鐵之牙咬住魔物，
吸引目標的注意。","与牙猎犬的嘴巴联动，
可用钢铁之牙撕咬怪物
并吸引其注意的猎犬具。",,,,,,,,"مخلب فولاذي وظيفته
عض وحش ما، وبذلك
يجذب اهتمامه.",,,,,,,,,,,
17897703-c7ad-4ad1-93c3-854ea7e866b3,317264979,OtDogTool_002_Explain,"ガルクから分離し、噛みつき続ける
機能を持った猟犬具。噛みついた
箇所に攻撃を加えると威力が増す。","Can detach from its wearer and
chomp on autopilot. Attack the
bitten spot to deal more damage.","Peut se détacher du porteur et
croquer seul. Attaquez l'endroit
mordu pour plus de dégâts.","Morde automaticamente il nemico.
Puoi attaccare nel punto
del morso per aumentare i danni.","Kann sich vom Träger lösen und
automatisch zubeißen. Greife für
mehr Schaden die Bisswunde an.","Puede soltarse del portador y
morder solo. Ataca el punto
mordido para causar más daño.","Может отделяться от носителя
и кусать на автопилоте. Атакуйте
укуш. место — больше урона.","Może się odłączyć i gryźć na
autopilocie. Dziabnięty fragment
jest podatny na obrażenia.",,,"Pode se destacar e morde
automaticamente. Ataca a área
mordida para causar mais dano.","가루크와 분리되어도 물어뜯는
기능을 가진 사냥개 도구. 물린
곳을 공격하면 위력이 강해진다.","可與加爾克分離，
並持續撕咬目標的獵犬用具。
攻擊其咬下的地方，威力將會增加。","从牙猎犬身上分离出来，
拥有持续啃咬功能的猎犬具。
攻击其啃咬之处，威力便会增加。",,,,,,,,"يمكن الانفصال عن مرتديه
والانقضاض على الطيار الآلي. هاجم
مكان العض لإلحاق ضرر إضافي.",,,,,,,,,,,
c2a0a189-443e-4704-8539-3ae85be52f75,540645282,OtDogTool_003_Explain,"鉄を重ね合わせた猟犬用の傘盾。
モンスターの攻撃を防ぎながら、
攻撃をも可能とした猟犬具。","An iron-layered umbrella shield
for Canynes, capable of both
attacking and defending.","Bouclier parapluie de fer
pour les Canynes, bon pour
l'attaque et la défense.","Scudo a ombrello ricoperto
di ferro per Canyne, utile sia
in attacco che in difesa.","Mit Eisen verstärkter Schild-
Schirm für Canynen. Für Angriff
und Verteidigung geeignet.","Escudo para Canyne con forma de
paraguas forrado de hierro, apto
para atacar y defender.","Зонт-щит с железными слоями
для Собакков. Годится для
атаки и защиты.","Wzmacniana żelazem parasolkowa
tarcza dla kynosów. Dobra i do
ataku, i do obrony.",,,"Escudo Guarda-chuva revestido de
ferro para Canynos, capaz de
atacar e defender.","철을 덧대 만든 사냥개용 우산.
몬스터의 공격을 막으면서
공격도 할 수 있는 사냥개 도구.","以鐵交疊製成的獵犬專用傘盾。
一種可以阻擋魔物的攻擊，
並進行攻擊的獵犬用具。","层叠钢铁而成的猎犬用伞盾。
是能够一边抵挡怪物的攻击，
一边发动攻击的猎犬具。",,,,,,,,"درع تشبه المظلة بطبقات من
الحديد للكناين، وهي مزودة
بالقدرة على الهجوم والدفاع.",,,,,,,,,,,
6d9b038a-d57e-4b9f-8ab1-02e7f52c4b67,1577955534,OtDogTool_004_Explain,"とてつもなく大きな手裏剣。
体全体を使って繰り出される投擲で
モンスターを切り刻む。","A massive shuriken thrown with
full-body force, and capable of
making mincemeat of monsters.","Énorme shuriken lancé avec
force et capable de faire de la
chair à pâté des monstres.","Imponente shuriken da scagliare
con forza per ridurre i mostri
a brandelli.","Massiver Shuriken, mit voller
Wucht geworfen. Kann Monster
zu Hackfleisch verarbeiten.","Shuriken gigantesco que se lanza
con fuerza colosal y puede hacer
picadillo a los monstruos.","Большой сюрикен. Его бросают
со всей силы и он способен
делать из монстров фарш.","Masywny shuriken. Wyrzucony z
pełną siłą potrafi przerobić
potwora na mielone.",,,"Uma shuriken enorme lançada com
toda a força do corpo e capaz de
triturar monstros.","굉장히 커다란 수리검.
온몸을 이용해 던진 수리검이
몬스터를 베어 낸다.","極為巨大的手裡劍。
以全身力量投擲出去，
能將魔物切成碎片。","极为巨大的手里剑。
运用全身力量使出的一投，
会将怪物撕碎。",,,,,,,,"شوريكين ضخم يتم رميه
باستخدام قوة الجسم بالكامل
وقادر على فرم الوحوش.",,,,,,,,,,,
a065d28e-a93a-459b-8ec6-622deb6d1dec,7788451,OtDogTool_005_Explain,"ガルクの体力を徐々に回復させる
薬が入った巻物。
発動後、一定時間効果が続く。","A scroll with salve that
gradually heals Canynes. Its
effect lasts for a limited time.","Parchemin guérissant
graduellement les Canynes.
Durée limitée.","Il suo balsamo cura gradualmente
il compagno Canyne. Ha durata
limitata.","Eine Rolle mit einer Salbe, die
Canynen stufenweise heilt. Ihre
Wirkung ist zeitlich begrenzt.","Pergamino con bálsamo que cura
gradualmente a los Canyne.
Efecto de duración limitada.","Свиток, постепенно исцеляющий
Собакков. Эффект длится
временно.","Zwój z maścią stopniowo
uzdrawiającą kynosy. Efekt
utrzymuje się przez pewien czas.",,,"Pergaminho com bálsamo que cura
Canynos gradualmente.
Efeito por tempo limitado.","가루크의 체력을 서서히
회복하는 약이 든 두루마리.
일정 시간 동안 효과가 지속된다.","裡面藏有藥物的卷軸，
能逐漸回復加爾克的體力。
使用後，效果會持續一段時間。","卷轴中放入了可以逐渐回复
牙猎犬体力的药物。
发动后，效果会持续一段时间。",,,,,,,,"لفيفة تحتوي على مرهم
يشفي الكناين بالتدريج. يبقى
أثره لوقت محدود.",,,,,,,,,,,
83c6d0bd-309b-4196-8a6f-32cced410e58,1694306053,OtDogTool_006_Explain,"モンスターを攻撃した時、周囲に
回復効果を与える薬が入った巻物。
発動後、一定時間効果が続く。","A scroll activated on attack,
healing all in its vicinity. Its
effect lasts for a limited time.","Parchemin activé à l'attaque
et guérissant tout ce qui
l'entoure. Durée limitée.","Pergamena che cura chiunque
nelle vicinanze che si attiva
attaccando. Ha durata limitata.","Beim Angriff aktivierte Rolle,
die alle in der Nähe heilt. Ihre
Wirkung ist zeitlich begrenzt.","Pergamino activado al atacar que
cura a quienes estén cerca.
Efecto de duración limitada.","Свиток, лечащий при атаке всех,
кто находится рядом.
Эффект длится временно.","Zwój aktywowany podczas ataku,
leczący wszystkich wokół. Efekt
utrzymuje się przez pewien czas.",,,"Pergaminho ativado no ataque
que cura tudo ao redor.
Efeito por tempo limitado.","몬스터를 공격했을 때 주변을
회복시키는 약이 든 두루마리.
일정 시간 동안 효과가 지속된다.","裡面藏有藥物的卷軸，
攻擊魔物時可使周圍出現回復效果。
使用後，效果會持續一段時間。","卷轴中放入了在攻击怪物时，
给周围附加回复效果的药物。
发动后，效果会持续一段时间。",,,,,,,,"يتم تنشيط اللفيفة عند الهجوم،
وتشفي كل من يوجد في منطقتها.
يبقى أثره لوقت محدود.",,,,,,,,,,,
da5f782e-994b-472a-ad33-80f014163780,1941781021,OtDogTool_007_Explain,"攻撃力が上がり、またモンスターを
怯みやすくさせる薬が入った巻物。
発動後、一定時間効果が続く。","A scroll with salve that raises
attack and chance to stagger. Its
effect lasts for a limited time.","Parchemin augmentant l'attaque
et les chances de déséquilibrer.
Durée limitée.","Aumenta l'attacco e la
probabilità di far vacillare
il nemico. Ha durata limitata.","Erhöht den Angriff und die
Chance auf Taumeln. Ihre
Wirkung ist zeitlich begrenzt.","Pergamino que mejora el ataque
y la probabilidad de aturdir.
Efecto de duración limitada.","Свиток, усиливающий атаку
и шанс сбить с ног.
Эффект длится временно.","Zwój z maścią zwiększającą atak
i szansę na zachwianie. Efekt
utrzymuje się przez pewien czas.",,,"Pergaminho com bálsamo que
aumenta ataque e a chance de
cambalear. Por tempo limitado.","공격력이 오르고 몬스터의
기를 꺾는 약이 든 두루마리.
일정 시간 동안 효과가 지속된다.","裡面藏有藥物的卷軸，
能提升攻擊力並使魔物較易膽怯。
使用後，效果會持續一段時間。","卷轴中放入了提升攻击力，
并使怪物更易畏缩的药物。
发动后，效果会持续一段时间。",,,,,,,,"لفيفة تحتوي على مرهم
تزيد من الهجوم وفرصة الترنح.
يبقى أثره لوقت محدود.",,,,,,,,,,,
6a475d71-c1cd-4706-a47d-28e40f8334d1,4072465850,OtDogTool_008_Explain,"連続で攻撃がヒットすると、
会心率が上昇する薬が入った巻物。
発動後、一定時間効果が続く。","A scroll with salve that raises
affinity with each combo hit. Its
effect lasts for a limited time.","Parchemin augmentant l'affinité
à chaque coup porté en combo.
Durée limitée.","Il suo balsamo aumenta
l'affinità ad ogni attacco
combo. Ha durata limitata.","Eine Rolle, die mit jedem Kombo-
Treffer die Affinität erhöht und
nur zeitlich begrenzt wirkt.","Pergamino con bálsamo. Mejora
la afinidad con cada golpe de
combo. Duración limitada.","Свиток, повышающий мастерство
с каждым ударом в комбо.
Эффект длится временно.","Zawiera maść zwiększającą
na pewien czas zgodność z każdym
trafieniem w kombinacji.",,,"Pergaminho com bálsamo que
aumenta Afinidade com cada golpe
de combo por um tempo limitado.","공격이 연속 히트하면 회심률이
오르는 약이 든 두루마리.
일정 시간 동안 효과가 지속된다.","裡面藏有藥物的卷軸，
若攻擊連續命中便能提升會心率。
使用後，效果會持續一段時間。","卷轴中放入了攻击连续命中后，
会心率就会上升的药物。
发动后，效果会持续一段时间。",,,,,,,,"لفيفة تحتوي على مرهم تزيد
النسبة مع كل ضربة مزدوجة.
يبقى أثره لوقت محدود.",,,,,,,,,,,
