guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
ffb650df-1095-41e0-b5ec-b6cbd7b04f6f,1025431680,Fa_RoomService_TopMenu_01,模様替え,Room Customization,La chambre rêvée,Cambia arredamento,Inneneinrichtung,Personalizar hogar,Изменение комнаты,Zmiany pokoju,,,Personalizar Quarto,리모델링,變更設計,变更设计,,,,,,,,تخصيص الغرفة,,,,,,,,,,,
000ebd71-e5e4-4dde-8032-8277267eb6f4,2983758168,Fa_RoomService_TopMenu_02,オトモ隠密隊,Meowcenaries,Miaourcenaires,Miaorcenari,Miaunster-Jäger,Miaurcenarios,Мяуемники,Miaujemnicy,,,Miaucenários,동반자 그림자 부대,隨從隱密隊,随从隐秘队,,,,,,,,القطط المرتزقة,,,,,,,,,,,
63800b86-c881-4fec-9576-1e74f97ab399,3456342470,Fa_RoomService_TopMenu_03,交易船,The Argosy,L'Argosy,Il mercantile,Die Argosy,El Argosy,"""Аргоси""",Argosy,,,O Argosy,교역선,交易船,交易船,,,,,,,,أرجوسي,,,,,,,,,,,
8464ab92-5894-496d-a757-34a61d01c6a2,2320336263,Fa_RoomService_TopMenu_04,オトモ道場,Buddy Dojo,Dojo Pilpoil,Dojo compagni,Buddy-Dojo,Dojo camarada,Додзё для спутников,Dojo kompanów,,,Dojo dos Amigos,동반자 도장,隨從道場,随从道场,,,,,,,,دوجو الرفيق,,,,,,,,,,,
6b07b548-d9de-4be7-b11f-3d2308edb87e,1491578934,Fa_RoomService_TopMenu_05,ギャラリー,Gallery,Galerie,Galleria,Galerie,Galería,Галерея,Galeria,,,Galeria,갤러리,畫廊,画廊,,,,,,,,معرض الصور,,,,,,,,,,,
ade42725-ca54-490c-9e64-519c0d9fde93,1783649219,Fa_RoomService_TopSubMenu_01,自宅の内装変更,Change Room Interior,Changer int. chambre,Modifica interni,Einrichtung ändern,Cambiar decoración,Выбор интерьера,Zmień wnętrze pokoju,,,Mudar Int. do Quarto,실내 장식 변경,變更自家內部設計,变更房屋的内部设计,,,,,,,,تغيير ديكور الغرفة,,,,,,,,,,,
3999c82d-cfc6-465d-b1ae-eb350fa21040,3626757098,Fa_RoomService_TopSubMenu_02,ＢＧＭの変更,Change BGM,Changer mus. de fond,Modifica musica,Musikauswahl ändern,Cambiar música,Выбор фоновой музыки,Zmień muzykę,,,Mudar Música,BGM 변경,變更BGM,变更背景音乐,,,,,,,,تغيير موسيقى الخلفية,,,,,,,,,,,
45fea8d2-6ca4-4bc7-9845-31add28a47e4,268775434,Fa_RoomService_InteriorChange_01,自宅の内装変更,Room Interior,Intérieur chambre,Interni stanza,Einrichtung,Decoración hogar,Интерьер комнаты,Wnętrze pokoju,,,Interior do Quarto,실내 장식 변경,變更自家內部設計,变更房屋的内部设计,,,,,,,,ديكور الغرفة,,,,,,,,,,,
dde19564-95a3-4081-bd93-a17fda1afa82,2870963611,Fa_RoomService_InteriorChange_02,掛け軸,Hanging Scroll,Parchemin mural,Rotolo appeso,Rollbild,Kakejiku,Свиток,Wiszący zwój,,,Pergaminho Pendurado,족자,掛軸,立轴,,,,,,,,لفافة معلقة,,,,,,,,,,,
df51a386-128d-4569-9897-546fb59c5fe9,3359043292,Fa_RoomService_InteriorChange_03,置物棚①,Trinket 1,Bibelot 1,Ornamento 1,Deko-Gegenstand 1,Ornamento 1,Полка 1,Bibelot 1,,,Enfeite 1,장식장①,置物架①,博古架1,,,,,,,,حلية 1,,,,,,,,,,,
a28b3417-be0f-48d0-9cda-3756fdb19341,3079943557,Fa_RoomService_InteriorChange_04,置物棚②,Trinket 2,Bibelot 2,Ornamento 2,Deko-Gegenstand 2,Ornamento 2,Полка 2,Bibelot 2,,,Enfeite 2,장식장②,置物架②,博古架2,,,,,,,,حلية 2,,,,,,,,,,,
919a6af8-bf89-4781-a9f1-711417b2245f,1035441422,Fa_RoomService_InteriorChange_05,置物棚③,Trinket 3,Bibelot 3,Ornamento 3,Deko-Gegenstand 3,Ornamento 3,Полка 3,Bibelot 3,,,Enfeite 3,장식장③,置物架③,博古架3,,,,,,,,حلية 3,,,,,,,,,,,
20950b8d-d5e3-4904-8a4b-7c694cfd007b,1862308988,Fa_RoomService_InteriorChange_06,置物棚④,Trinket 4,Bibelot 4,Ornamento 4,Deko-Gegenstand 4,Ornamento 4,Полка 4,Bibelot 4,,,Enfeite 4,장식장④,置物架④,博古架4,,,,,,,,حلية 4,,,,,,,,,,,
6df4a44a-9169-4b80-bd73-42e3e690103f,3056316179,Fa_RoomService_InteriorChange_07,置物棚⑤,Trinket 5,Bibelot 5,Ornamento 5,Deko-Gegenstand 5,Ornamento 5,Полка 5,Bibelot 5,,,Enfeite 5,장식장⑤,置物架⑤,博古架5,,,,,,,,حلية 5,,,,,,,,,,,
