guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a022dd5d-9b98-49f4-ada1-7893616c6217,2236084277,OtLobbyMsg_01,セイ！　ヤ！　ニャ！,Hya! Ha! Hwaa!,Haaaa ! Haa!!!,I-ha! Ah! Uatà!,Hya! Ha! Huaaa!,¡Kiai! ¡Ja! ¡Zasca!,Йя-я-я! Ха! Ха-а!,Hja! Ha! Huaa!,,,Hya! Ha! Hwaa!,에잇! 얍! 냥!,喝！呀！喵！,嘿！呀！喵！,,,,,,,,هيا! ها! هواا!,,,,,,,,,,,
8ec17cfb-448f-4459-83bd-3396b33ff628,2412640853,OtLobbyMsg_02,オラオラオラ～ニャ！,Taaake this!,Prends ça !,Preeendi questo!,Niiimm das!,¡Toma esta!,Вот тебе!,Aaaa masz!,,,Tooooma essa!,와다다다다냥~!,看招看招看招～喵！,噢啦噢啦噢啦～喵！,,,,,,,,إليك هذه!,,,,,,,,,,,
5f7c7237-1469-401b-a376-d0572851d6ef,185749610,OtLobbyMsg_03,ドッセイ、ニャ！,"One, two, hyaa!","Un, deux, haaa !","Uno, due, uatà!","Eins, zwei, hyaa!","Uno, dos, ¡kiaaai!","Раз, два, йя-я-я!","Raz, dwa, hjaa!",,,"Um, dois, hyaa!","하압, 냥!",嘿，喵！,嘿哈！喵！,,,,,,,,واحد، اثنان، هيا!,,,,,,,,,,,
bc98c5ac-a0cc-4988-96d6-1232ad8ed151,65295171,OtLobbyMsg_04,"本当のモンスターは、
もっと手ごわいはず…ニャ！","Real monsters should be a bit
tougher than this!","Les vrais monstres seront
un peu plus coriaces !","I veri mostri sono più
forti di così!","Echte Monster sollten etwas
stärker sein als die hier!","¡Los monstruos de verdad han
de ser peor que esto!","Настоящие мяунстры будут
попрочнее, чем это!","Prawdziwe potwory będą
trochę groźniejsze!",,,"Monstros de verdade devem
ser mais difíceis que isto!","진짜 몬스터를 상대하면
훨씬 더 힘들 거다…냥!","真正的魔物，
應該更難纏才對……喵！","真正的怪物，
应该会更难对付……喵！",,,,,,,,"لا بُد للوحوش بحق أن تكون
أكثر شراسة من هذا!",,,,,,,,,,,
00630f38-cb48-462c-a750-9b40fa56acbd,2201537199,OtLobbyMsg_05,ヘイヘイ、かかって来いニャ！,"Come on, is that all you got!?","Quoi, t'es au maximum, là ?",Davvero? Tutto qui?!,"Komm schon, mehr hast
du nicht drauf?!","¡¿Eso es todo lo que sabes
hacer?!","Давай же, неужели ты
лучше не можешь?","Dawaj, tylko tyle potrafisz?",,,"Fala sério, isso é tudo que
você tem?!",헤이! 덤벼라냥!,嘿嘿，放馬過來喵！,嘿～嘿！放马过来喵！,,,,,,,,هيا، أهذا كل ما لديك!؟,,,,,,,,,,,
7e5327bb-b042-4134-aee1-768784f6f43a,2043603059,OtLobbyMsg_06,うぬぬ…なかなかやるニャ！,Oof... That hurt!,Aïe ! Ça a fait mal !,Ahia... Che male!,Uff... Das tat weh!,Ayyy... ¡Eso ha dolido!,Ай... Это было больно!,Ała... To bolało!,,,Uuf... Essa doeu!,으윽… 제법이다냥!,唔唔唔……挺有兩下嘛喵！,唔唔……真有一手喵！,,,,,,,,أووف...مؤلم!,,,,,,,,,,,
930e90a1-fd80-4b82-b6e9-71289a82d5de,3067714948,OtLobbyMsg_07,この蛙、ちょっと怖いのニャ！,This toad's givin' me the creeps!,"Ce crapaud me fiche
la frousse !","Quel rospo mi fa venire
i brividi!",Diese Kröte gruselt mich!,"¡Este sapo me pone los bigotes
de punta!","У меня от этой жабы
шерсть дыбом!",Ta ropucha mnie przeraża!,,,"Esse sapo tá me dando
calafrios!",이 개구리 살짝 무섭다냥!,這隻青蛙有點恐怖喵！,这只蛙，有点可怕喵！,,,,,,,,هذا الضفدع يفزعني!,,,,,,,,,,,
d08802aa-9ff3-4548-b751-f90b8f049af1,1650814840,OtLobbyMsg_08,ヒ、ヒィ！　あぶなかったニャ！,A-Aaah! That was a close one!,Oooh ! C'est pas passé loin !,Aaah! C'è mancato poco!,A-Aaah! Das war knapp!,¡Uyyy! ¡Por qué poco!,Ох! Чуть не зацепило!,Aaaaa! Było blisko!,,,A-Aaah! Essa foi por pouco!,"히, 히익! 위험했다냥!",咿～！好險喵！,呜哇！太险了喵！,,,,,,,,آه! كان هذا قريبًا!,,,,,,,,,,,
a7df6501-bcf1-469f-a0cd-865af93d3405,2954004879,OtLobbyMsg_09,"ボクもからくり蛙で
操竜したいのニャ！","I'm fixin' to Wyvern Ride you,
Toadface!","Je vais te chevaucher comme
une wyverne, crapaud !","Ti cavalcherò,
faccia di rospo!","Wart nur, dich reit ich wie
einen Wyvern, Krötengesicht!","¡Te someteré cual montura
wyvern, carasapo!","Я на тебе прокачусь,
Жабье рыло!","Zaraz cię dosiądę,
ropucho-paskudo!",,,"Tô bolando uma maneira de te
montar, Cara de Sapo!","나도 개굴모형에서
용 조종을 해보고 싶다냥!",我也想用機關蛙進行操龍喵！,我也想用机关蛙来御龙喵！,,,,,,,,"سأجعلك
تجرب التنين المجنح يا خبيث!",,,,,,,,,,,
ea3b23d8-9f56-45a7-85aa-bf13134d8362,514523201,OtLobbyMsg_10,"いっち、にー
いっち、にー、ニャ！","One, two! One, two!","Une, deux ! Une, deux !","Uno, due! Uno, due!","Eins, zwei! Eins, zwei!","¡Uno, dos! ¡Uno, dos!","Раз, два! Раз, два!","Raz, dwa! Raz, dwa!",,,"Um, dois! Um, dois!","하나, 두울~
하나, 두울, 냥!",一、二、一、二，喵！,"一、二！
一、二、喵！",,,,,,,,واحد، اثنان! واحد، اثنان!,,,,,,,,,,,
d2a8b401-7d9c-4dc7-94dd-01a36d766c41,3917250621,OtLobbyMsg_11,えっさ、ほいさニャ。,"Left paw, right paw.","Patte gauche, patte droite.","Zampa sinistra, zampa destra.","Linke Pfote, rechte Pfote.","¡Pata izquierda, pata derecha!","Левая лапа, правая лапа.","Lewa łapka, prawa łapka.",,,"Pata esquerda, pata direita.",영차 영차다냥.,嘿、呀、喵！,嘿咻、哟咻喵。,,,,,,,,اليد اليسرى، اليد اليمنى.,,,,,,,,,,,
d6398a8d-c77c-4b5a-b33e-0629ae2061a3,43675356,OtLobbyMsg_12,まだまだ走るのニャ！,I'm not done yet!,J'ai pas fini !,Non ho ancora finito!,Ich bin noch nicht fertig!,¡Esto no ha acabado aún!,Я еще не закончил!,To jeszcze nie koniec!,,,Ainda não acabei!,더 달릴 거다냥!,我要繼續跑下去喵！,还能继续跑喵！,,,,,,,,لم أنتهِ بعد!,,,,,,,,,,,
9a04f93b-cd3f-4901-837b-75942688a119,3330899952,OtLobbyMsg_13,狩猟の道は、走りからニャ。,"To hunt, one must first run!","Pour chasser, il faut courir !","Per cacciare, prima
bisogna saper correre!","Bevor du jagen gehst, musst
du erst rennen können!",¡Para cazar hay que correr!,"Чтобы охотиться,
нужно уметь бегать!","Żeby polować, trzeba biegać!",,,"Para caçar, é preciso correr
primeiro!",사냥길은 달리기부터다냥.,狩獵之路從跑步開始喵。,狩猎之行，始于跑步喵。,,,,,,,,للصيد، يجب أن يجري أحدنا أولًا!,,,,,,,,,,,
98010d87-7e76-444e-8e3a-c8381f98b5a0,2052063922,OtLobbyMsg_14,"モンスターから逃げるため、
足腰を鍛えるのニャ。","I have to train these legs
so I can run from monsters.","Il faut que je m'entraîne
à échapper aux monstres.","Devo allenare le gambe per
sfuggire ai miaostri.","Meine Beine müssen fit sein,
damit ich Monstern entkomme.","Debo fortalecer mis patas para
poder huir de los monstruos.","Мне нужно лапы тренировать,
чтобы от мяунстров удирать.","Muszę ćwiczyć nogi,
żeby umykać potworom!",,,"Preciso treinar estas pernas
para poder fugir de monstros.","몬스터로부터 도망치기 위해서
하반신을 단련한다냥","如果想順利逃離魔物，
就得訓練腳程喵！","为了成功逃离怪物，
要好好锻炼腰腿喵。",,,,,,,,"يجب أن أدرب قدماي
للهرب من الوحوش.",,,,,,,,,,,
316f4e32-5629-4e86-af88-fe75bcc28d35,886568645,OtLobbyMsg_15,"オトモガルクにも負けない
速さを手に入れるのニャ！","One day, I'm gonna be even
faster than a Pala-mewt!","Un jour, j'irai plus vite
que les Chumskys !","Un giorno, sarò più veloce
di un Canyne!","Eines Tages renne ich noch
schneller als ein Pala-miaut!","¡Fijo que algún día correré
más que un Canyne!","Однажды я сумею
обогнать Паламяута!","Pewnego dnia miau-ścignę
nawet kumpsa!",,,"Um dia, vou ser mais veloz
que um Pala-miau-te!","동반자 가루크에게도
지지 않을 만큼 빨라질 거다냥!","我要讓自己跑得比
隨從加爾克還快才行喵！",要跑得比牙猎犬还快喵！,,,,,,,,"يومًا ما،
سأصبح أسرع من البالاموت!",,,,,,,,,,,
9d413243-cf35-4c49-b7fd-ce7a0239678e,2323300183,OtLobbyMsg_16,まだ走るのかニャ…？,Just...keep...running...,Continuer... à... courir...,Continua... a... correre...,Einfach... weiter... laufen...,Debo... seguir... corriendo...,Надо... просто... бежать...,Po... prostu... biegnij...,,,Só... continua... correndo...,더 달릴 수 있을까냥…?,還要跑嗎喵……？,还要继续跑喵？,,,,,,,,فقط...واصل...الجري...,,,,,,,,,,,
