guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
ad25057e-ccca-4b58-93b3-519a0948e3ba,854850833,STM_PayOff_Menu_001,精算アイテム,Account Items,Objets bonus,Oggetti punti,Kontoobjekte,Objetos de cuenta,Бонусные предметы,Przed. przyp. do konta,,,Itens da Conta,정산 아이템,結算道具,结算道具,,,,,,,,عناصر الحساب,,,,,,,,,,,
92d7461e-ae2c-43da-b1a7-85d16ffbf460,2312153829,STM_PayOff_Menu_002,入手した精算アイテム,Obtained out in the Field,Objet trouvé dans la région,Oggetti punti e creature,Im Feld erhalten,Obtenidos sobre el terreno,Получено в поле,Uzyskane w terenie,,,Obtidos no Campo,입수한 정산 아이템,獲得的結算道具,获得的结算道具,,,,,,,,تم الحصول عليها في الميدان,,,,,,,,,,,
310e77d2-c1e3-4363-8f5f-ca9aa68f258d,1058438468,STM_PayOff_Menu_003,精算アイテムの合計,Total Account Items,Total objets bonus,Totale oggetti punti,Gesamte Kontoobjekte,Total objetos de cuenta,Всего бонусных предметов,Suma przedm. przypis.,,,Itens da Conta Totais,정산 아이템 합계,結算道具合計,结算道具合计,,,,,,,,مجمل عناصر الحساب,,,,,,,,,,,
652d6fa6-588a-4826-a83c-e5bea8a6cad5,4157771361,STM_PayOff_Menu_004,取得精算ポイントの合計,Obtained Account Points,Points bonus obtenus,Punti ottenuti,Erhaltene Kontopunkte,Puntos cuenta obtenidos,Получено очков,Uzyskane punkty konta,,,Pontos de Conta Obtidos,획득 정산 포인트 합계,取得的結算點數合計,获得的结算点数合计,,,,,,,,نقاط الحساب المحصلة,,,,,,,,,,,
d8e9cac1-cdd1-404c-9210-f0f7254a0a61,3551605305,STM_PayOff_Menu_005,その他,Other,Autres,Altro,Andere Objekte,Otros,Другое,Pozostałe,,,Outros,기타,其他,其他,,,,,,,,أخرى,,,,,,,,,,,
dc265afa-78dd-4a4b-a7d4-89dae440451e,1320246948,STM_PayOff_Menu_006,発見した環境生物,Endemic Life Discovered,Faune locale découverte,Creature scoperte,Entdeckte Einheimische Wesen,Fauna local descubierta,Обнаружено местной живности,Odkryta lokalna fauna,,,Vida Nativa Descoberta,발견한 환경생물,發現的環境生物,发现的环境生物,,,,,,,,الحياة المستوطنة المكتشفة,,,,,,,,,,,
a9354267-ae61-4e52-8002-ec8f448efbbc,2253534546,STM_PayOff_Menu_007,発見した古めかしい手記,Old Message Discovered,Message ancien découvert,Antico messaggio scoperto,Entdeckte Alte Botschaft,Mensaje antiguo descubierto,Обнаружена Старая записка,Odkryta stara wiadomość,,,Mensagem Antiga Descoberta,발견한 오래된 일지,發現的古老筆記,发现的古老手记,,,,,,,,رسالة قديمة مكتشفة,,,,,,,,,,,
240bf614-4f27-49ba-99bb-656d39b8b031,4240468287,STM_PayOff_Menu_008,発見したものの合計,Total Discovered Items,Total objets découverts,Totale oggetti scoperti,Gesamte Entdeckungen,Total obj. descubiertos,Всего обнаружено предметов,Suma odkrytych przedm.,,,Itens Descobertos Totais,발견한 것의 합계,發現物品的合計數量,发现的物品合计,,,,,,,,مجمل العناصر المكتشفة,,,,,,,,,,,
d7505229-190d-4409-82ec-4bc4e2f597a0,3030408091,STM_PayOff_Menu_009,個数,Quantity,Quantité,Quantità,Anzahl,Cantidad,Количество,Ilość,,,Quantidade,개수,個數,个数,,,,,,,,كمية,,,,,,,,,,,
baf9aad1-7e40-4074-9c91-e02188126305,1633558217,STM_PayOff_Menu_010,匹数,Number,Nombre,Numero,Anzahl,Número,Количество,Numer,,,Número,마릿수,隻數,只数,,,,,,,,عدد,,,,,,,,,,,
