guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
70499736-663c-45aa-a880-ab01eb0a6038,2528252609,Trial_QuestMenuMsg_Titleboard,クエストの選択,Quest Selection,Sélection de quête,Selezione missione,Quest-Auswahl,Selección de misión,Выбор задания,Wybór zadań,,,Seleção de Missão,퀘스트 선택,選擇任務,选择任务,,,,,,,,تحديد المهمة,,,,,,,,,,,
9b6042f8-8bae-4e2c-b431-969c82b2fd0d,3982978599,Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_01
094d5298-1486-4978-8ab0-3f21158e9cd1,2649620848,Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_02
476c6734-89f7-4209-a96b-90f3d0a54bdd,3192348048,Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_03
46850602-1c06-44de-aac4-8339294c2aba,1479937523,Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_04
4fa293c0-6b40-4a53-afa9-f297699d2d7c,3000670267,Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05,<COLOR FF0000>#Rejected#</COLOR> Trial_QuestMenuMsg_QuestName_Item_05
3a15e401-e3e0-48f6-affc-23a8f9886d21,4136212881,Trial_QuestMenuMsg_QuestDiffName_Item_01,難度：初心者向け,Difficulty: Beginner,Difficulté : débutante,Difficoltà: principiante,Schwierigkeitsgrad: Anfänger,Dificultad: Principiante,Уровень сложности: начинающий,Trudność: początkujący,,,Dificuldade: Iniciante,난이도: 초보자,難度：適合新手,难度：新手,,,,,,,,الصعوبة: مبتدئ,,,,,,,,,,,
5899fd73-f195-4cba-a824-92df071e1dbf,1258496914,Trial_QuestMenuMsg_QuestDiffName_Item_02,難度：上級者向け,Difficulty: Intermediate,Difficulté : intermédiaire,Difficoltà: normale,Schwierigkeitsgrad: Fortgeschrittene,Dificultad: Intermedio,Уровень сложности: знаток,Trudność: średnio zaawansowany,,,Dificuldade: Intermediária,난이도: 상급자,難度：適合老手,难度：高手,,,,,,,,الصعوبة: متوسط,,,,,,,,,,,
1f863d45-b111-4835-ac52-90e8bac24584,1113597971,Trial_QuestMenuMsg_QuestDiffName_Item_03,難度：熟練者向け,Difficulty: Advanced,Difficulté : avancée,Difficoltà: avanzata,Schwierigkeitsgrad: Kenner,Dificultad: Avanzado,Уровень сложности: мастер,Trudność: zaawansowany,,,Dificuldade: Avançada,난이도: 숙련자,難度：適合高手,难度：老猎人,,,,,,,,الصعوبة: متقدم,,,,,,,,,,,
c214d8f6-25c6-4725-9969-3f6a081979ca,1870136398,Trial_QuestMenuMsg_QuestDiffName_Item_04,チュートリアル,Tutorial,Didacticiel,Tutorial,Tutorial,Tutorial,Обучение,Samouczek,,,Tutorial,튜토리얼,教學,教学,,,,,,,,مقطع تعليمي,,,,,,,,,,,
