guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
d645ebb4-870b-4468-9dfd-2d372b32cae4,3819056662,Fa_Kitchen_TopMenu_01,うさ団子を注文する,Order Bunny Dango,Commande de dango,Ordina dango,Dango bestellen,Pedir dango,Заказать данго,Zamów królicz. dango,,,Pedir Dango de Coelho,토끼 경단 주문,點餐,点兔团子,,,,,,,,طلب دانجو الأرانب,,,,,,,,,,,
1cd00ab8-64a1-4726-b371-8061a8267dea,977855555,Fa_Kitchen_TopMenu_02,いつもの注文,Order the Usual,Commande habituelle,Ordina preferito,Das Übliche bestellen,Pedir lo de siempre,Заказать как обычно,"Zamów to, co zwykle",,,Pedir o de sempre,늘 먹던 걸 주문,老樣子,跟往常一样,,,,,,,,طلب المعتاد,,,,,,,,,,,
69f2421f-cd4d-4996-b6db-c11e6477c83c,2069517824,Fa_Kitchen_Table_TopMenu_01,食事をする,Eat a Meal,Manger,Mangia pasto,Eine Mahlzeit essen,Ver la carta,Съесть блюдо,Zjedz posiłek,,,Comer uma refeição,식사하기,用餐,用餐,,,,,,,,تناول الوجبة,,,,,,,,,,,
13b1e12e-4743-4a5a-846f-90f902c9484b,2902368386,Fa_Kitchen_Table_TopMenu_02,よろず料理,Motley Mix,Mélange hétéroclite,Varietà di piatti,Bunte Mischung,Surtido variado,Пестрый набор,Pstrokaty miks,,,Sortido,만능 요리,萬能料理,万能料理,,,,,,,,خليط متنوع,,,,,,,,,,,
8724ce80-75a0-4b38-95dd-7dba96b176f9,925287836,Fa_Kitchen_Table_TopMenu_03,ジェスチャー,Gestures,Émotes,Gesti,Gesten,Gestos,Жесты,Gesty,,,Gestos,제스처,動作,肢体动作,,,,,,,,إيماءات,,,,,,,,,,,
8efcc815-0714-41db-8ff6-b4af9bbbda80,2945062738,Fa_Kitchen_Info_01,茶屋,Tea Shop,Salon de thé,Casa da tè,Teeladen,Casa del té,Чайный домик,Herbaciarnia,,,Casa de Chá,찻집,茶館,茶点店,,,,,,,,متجر الشاي,,,,,,,,,,,
47a31e64-6336-4039-bd48-a4eebcbc7e23,1748454177,Fa_Kitchen_Info_02,出張茶屋,Mobile Tea Shop,Salon thé mobile,Casa da tè mobile,Mobiler Teeladen,Casa del té móvil,Разъезд. чайный домик,Herbaciarnia,,,Casa de Chá Móvel,출장 찻집,臨時茶館,茶点店分店,,,,,,,,متجر شاي محمول,,,,,,,,,,,
e32e3a42-02ae-4db8-baf9-e7c5163d9ac9,2826862640,Fa_Kitchen_Info_03,食事料金,Ways to Pay,Modes de paiement,Pagamento,Zahlungsmethoden,Formas de pago,Способы оплаты,Metody płatności,,,Modos de Pagamento,식사 요금,餐點費用,用餐费用,,,,,,,,طرق الدفع,,,,,,,,,,,
44400435-4ead-4149-bd46-017361b3b122,2643378459,Fa_Kitchen_Info_04,効果,Effect,Effet,Effetto,Effekt,Efecto,Эффект,Efekt,,,Efeito,효과,效果,效果,,,,,,,,تأثير,,,,,,,,,,,
7670705f-3d0e-4fb9-b125-4ce3de9cebed,3653552896,Fa_Kitchen_Info_05,本日の日替わりおだんご,Daily Special,Plat du jour,Piatti del giorno,Tagesgericht,Especial del día,Предложение дня,Specjał dnia,,,Especial do Dia,오늘의 경단,今天的每日糰子,今天的每日团子,,,,,,,,عرض يومي,,,,,,,,,,,
983365f0-e29f-4b4e-9efb-ce4fa01d0d50,1263251546,Fa_Kitchen_Info_link_01,施設レベル上昇中！,Increased canteen level!,Niveau de la cantine augmenté !,Mensa migliorata!,Kantinen-Stufe erhöht!,¡Cantina sube de nivel!,Повышен уровень столовой,Wyższy poziom kantyny!,,,Nível da cantina subiu!,시설 레벨 상승 중!,設施等級上升中！,设施等级提升中！,,,,,,,,زاد مستوى المطعم!,,,,,,,,,,,
0b9e0832-b724-4dbe-aa6c-8860c86eacbf,1086942668,Fa_Kitchen_Info_link_02,おだんごメニュー増加中！,Increased menu!,Nouveaux plats ajoutés !,Menu aggiornato!,Menü vergrößert!,¡Menú actualizado!,Улучшено меню,Urozmaicone menu!,,,Menu aumentado!,경단 메뉴 증가 중!,糰子菜單增加中！,团子菜单增加中！,,,,,,,,زادت القائمة!,,,,,,,,,,,
