guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
44950424-3648-40c8-bd94-11acefe4ccab,1771457736,sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat
e6cdce3e-5bd7-4fe5-b9f3-ba868fb60028,2557641379,sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_01
b3b59626-d077-439e-b2ac-fcae3aeb3a66,1111665857,sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_02
b7786682-7b75-47db-aeab-e98a7fed5dea,1342439177,sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_001_03
7e11d735-83dd-4018-9e88-704a4e7e85cc,157114238,sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_01
b219ea48-8b55-42fa-b29f-aaa05aec7942,59536420,sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_02
30213038-d39d-40f1-9e95-e7a6de873bef,3807577396,sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_002_03
e6316864-ef80-4e5b-8bac-ccf76c58907e,2000196303,sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_01
6a03e28f-1681-402e-b907-304d425ee33b,3107442232,sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_02
b38d42fa-0fdf-4b9c-8e8c-41bf2275b88e,111394293,sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03,<COLOR FF0000>#Rejected#</COLOR> sid006_ReactionFV_chat_003_03
