guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
060bcb77-926e-434c-8eef-71c10bf41de1,3290742056,Fa_OtSpyUnit_System_01,オトモ隠密隊を派遣します。,Deploy a team of Meowcenaries.,Déployer une équipe de Miaourcenaires.,Invia una squadra di miaorcenari.,Sende einen Trupp von Miaunster-Jägern aus.,Despliega un equipo de miaurcenarios.,Использовать команду Мяуемников.,Wyślij drużynę miaujemników.,,,Mobilizar uma equipe de Miaucenários.,동반자 그림자 부대를 파견합니다.,派遣隨從隱密隊。,派遣随从隐秘队。,,,,,,,,نشر فريق من القطط المرتزقة.,,,,,,,,,,,
6b026ded-8d3a-4d56-adf4-53d8e799ea3c,4082412733,Fa_OtSpyUnit_System_02,"オトモ隠密隊が入手した
アイテムを受け取ります。",Receive items acquired by the Meowcenaries.,"Recevoir les objets obtenus par
les Miaourcenaires.",Ritira oggetti ottenuti tramite i miaorcenari.,Erhalte von den Miaunster-Jägern besorgte Objekte.,Recibe objetos conseguidos por los miaurcenarios.,"Получить предметы, найденные Мяуемниками.",Odbierz przedmioty uzyskane przez miaujemników.,,,Receber itens obtidos pelos Miaucenários.,"동반자 그림자 부대가 입수한
아이템을 받습니다.",領取隨從隱密隊所獲得的道具。,领取随从隐秘队获得的道具。,,,,,,,,استلام عناصر مطلوبة من القطط المرتزقة.,,,,,,,,,,,
3bc03a2d-d5e2-438c-bb7e-7779ac78dd3f,3635609464,Fa_OtSpyUnit_System_03,"オトモ隠密隊が入手した
アイテムを受け取ります。
<COL RED>（受け取れるアイテムがありません）</COL>","Receive items acquired by the Meowcenaries.
<COL RED>(No items available.)</COL>","Recevoir les objets obtenus par
les Miaourcenaires.
<COL RED>Pas d'objets disponibles.</COL>","Ritira oggetti ottenuti tramite i miaorcenari.
<COL RED>(Nessun oggetto disponibile.)</COL>","Erhalte von den Miaunster-Jägern besorgte Objekte.
<COL RED>(Es sind keine Objekte verfügbar.)</COL>","Recibe objetos conseguidos por los miaurcenarios.
<COL RED>(No hay objetos disponibles).</COL>","Получить предметы, найденные Мяуемниками.
<COL RED>(Нет доступных предметов.)</COL>","Odbierz przedmioty uzyskane przez miaujemników.
<COL RED>(Brak dostępnych przedmiotów).</COL>",,,"Receber itens obtidos pelos Miaucenários.
<COL RED>(Nenhum item disponível)</COL>","동반자 그림자 부대가 입수한
아이템을 받습니다.
<COL RED>(받을 수 있는 아이템이 없습니다)</COL>","領取隨從隱密隊獲得的道具。
<COL RED>（沒有可領取的道具。）</COL>","领取随从隐秘队获得的道具。
<COL RED>（没有可领取的道具）</COL>",,,,,,,,"استلام عناصر مطلوبة من القطط المرتزقة.
<COL RED>(لا توجد عناصر متوفرة).</COL>",,,,,,,,,,,
10ba5f97-46f6-4250-86cc-54ef1a010012,3244992860,Fa_OtSpyUnit_System_04,オトモ隠密隊の調査先を選択します。,Select the Meowcenaries' destination.,Sélectionner la destination des Miaourcenaires.,Scegli la destinazione dei miaorcenari.,Wähle das Ziel der Miaunster-Jäger.,Elige el destino de los miaurcenarios.,Выбрать пункт назначения для команды.,Wybierz punkt docelowy miaujemników.,,,Selecione o destino dos Miaucenários.,동반자 그림자 부대가 조사할 지역을 선택합니다.,選擇隨從隱密隊的調查地點。,选择随从隐秘队的调查目标。,,,,,,,,تحديد وجهة القطط المرتزقة.,,,,,,,,,,,
a723b5ff-df36-4758-9a55-39c41388792d,3723771498,Fa_OtSpyUnit_System_05,派遣するオトモを選択します。,Select which Buddies to dispatch.,Sélectionner les Pilpoils à déployer.,Scegli quali compagni inviare.,"Wähle, welche Buddys du entsenden möchtest.",Elige qué camaradas quieres enviar.,Выбрать спутника для отправки.,Wybierz kompanów do wysłania.,,,Selecione quais Amigos enviar.,파견할 동반자를 선택합니다.,選擇要派遣的隨從。,选择要派遣的随从。,,,,,,,,تحديد الرفاق الذين تود إرسالهم.,,,,,,,,,,,
09229791-71b2-4d97-be38-a5dc3666b66a,774859511,Fa_OtSpyUnit_System_06,調査先を選択してください。,Select a destination.,Sélectionner une destination.,Scegli una destinazione.,Wähle ein Ziel.,Elige un destino.,Выбрать пункт назначения.,Wybierz punkt docelowy.,,,Selecione um destino.,조사 지역을 선택하십시오.,請選擇要調查的地點。,请选择调查目标。,,,,,,,,تحديد وجهة.,,,,,,,,,,,
83c822cc-1425-4d8f-bcd1-ca14efaec47e,2349571057,Fa_OtSpyUnit_System_07,調査ルートを選択してください。,Select a route to investigate.,Sélectionner une route à explorer.,Scegli un percorso per indagare.,Wähle die zu untersuchende Route.,Elige una ruta que investigar.,Выбрать маршрут для исследования.,Wyznacz trasę do zbadania.,,,Selecione uma rota para investigar.,조사 루트를 선택하십시오.,請選擇要使用的調查路線。,请选择调查路线。,,,,,,,,تحديد الطريق لفحصه.,,,,,,,,,,,
d72b82ec-afff-4d1e-8c41-fe7229e7d444,973707059,Fa_OtSpyUnit_System_08,オトモを選択してください。,Select a Buddy.,Sélectionner un Pilpoil.,Scegli un compagno,Wähle einen Buddy.,Elige un camarada.,Выбрать спутника.,Wybierz kompana.,,,Selecione um Amigo.,동반자를 선택하십시오.,請選擇隨從。,请选择随从。,,,,,,,,حدد رفيقًا.,,,,,,,,,,,
1062bac8-8f38-43e7-849d-b3e38f3a84b1,492736446,Fa_OtSpyUnit_System_09,登録した内容でオトモ隠密隊を派遣します。,Deploy a team of Meowcenaries with these settings.,"Déployer une équipe de Miaourcenaires
avec ces paramètres.","Invia una squadra di miaorcenari con
le impostazioni attuali.","Sende einen Trupp von Miaunster-Jägern mit diesen
Einstellungen aus.","Despliega un equipo de miaurcenarios con estos
parámetros.","Использовать команду Мяуемников
с текущими настройками.",Wyślij drużynę miaujemników z tymi ustawieniami.,,,"Mobilizar uma equipe de Miaucenários com
estas configurações.","등록한 내용으로
동반자 그림자 부대를 파견합니다.",以登錄的內容派遣隨從隱密隊。,以登记的内容派遣随从隐秘队。,,,,,,,,نشر فريق من القطط المرتزقة بتلك الإعدادات.,,,,,,,,,,,
65bc974c-cc4c-49c9-823b-4d70efe2c9e8,3672547411,Fa_OtSpyUnit_System_09e,"登録した内容でオトモ隠密隊を派遣します。
<COL RED>（未選択の項目があります）</COL>","Deploy a team of Meowcenaries with these settings.
<COL RED>(You must fill out all required settings first.)</COL>","Déployer une équipe de Miaourcenaires
avec ces paramètres. <COL RED>Vous devez d'abord remplir
tous les paramètres demandés.</COL>","Invia una squadra di miaorcenari con
le impostazioni attuali. <COL RED>(Devi prima completare
tutte le impostazioni richieste.)</COL>","Sende einen Trupp von Miaunster-Jägern mit diesen
Einstellungen aus. <COL RED>(Du musst erst alle erforder-
lichen Einstellungen vornehmen.)</COL>","Despliega un equipo de miaurcenarios con estos
parámetros.
<COL RED>(Antes debes elegir todos los parámetros).</COL>","Использовать команду Мяуемников
с текущими настройками.
<COL RED>(Сперва надо настроить все нужные параметры.)</COL>","Wyślij drużynę miaujemników z tymi ustawieniami.
<COL RED>(Musisz najpierw wypełnić
wszystkie wymagane ustawienia).</COL>",,,"Mobilizar uma equipe de Miaucenários com
estas configurações. <COL RED>(É preciso preencher todas
as configurações obrigatórias primeiro)</COL>","등록한 내용으로
동반자 그림자 부대를 파견합니다.<COL RED>(선택하지 않은 항목이 있습니다)</COL>","以登錄的內容派遣隨從隱密隊。
<COL RED>（尚有未選擇的項目）</COL>","以登记的内容派遣随从隐秘队。
<COL RED>（存在未选择的项目）</COL>",,,,,,,,"نشر فريق من القطط المرتزقة بتلك الإعدادات.
<COL RED>(يجب استيفاء الإعدادات المطلوبة أولًا).</COL>",,,,,,,,,,,
