guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5538723d-0e71-48fb-b10e-40f6505be8de,3187450288,ItemShop_Lot_Menu_00_MR,福玉景品,Lucky Prize,Prix chanceux,Premio fortunato,Glücksgewinn,Premio suertudo,Счастливый приз,Szczęśliwa nagroda,,,Prêmio Sortudo,복구슬 경품,幸運球球獎品,福球奖品,,,,,,,,جائزة الحظ,,,,,,,,,,,
6a3b465f-6133-4192-9560-9301eec62414,2934122028,ItemShop_Lot_Menu_01_MR,次の景品,Next Prize,Prix suivant,Prossimo premio,Nächster Preis,Próximo premio,Следующий приз,Kolejna nagroda,,,Próximo Prêmio,다음 경품,下一個獎品,下一个奖品,,,,,,,,الجائزة التالية,,,,,,,,,,,
581098ae-6735-4688-8a9f-9a2f4c1b9721,3397555880,ItemShop_Lot_Menu_02_MR,福玉,Lucky Balls,Boules de chance,Sfere fortunate,Glücksbälle,Bolas de la suerte,Шарики удачи,Kulki szczęścia,,,Bolas da Sorte,복구슬,幸運球球,福球,,,,,,,,كرات الحظ,,,,,,,,,,,
bcaff99f-10c0-44c7-a3b0-d4de091f46c6,711063293,ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR,<COLOR FF0000>#Rejected#</COLOR> ItemShop_Lot_Menu_03_MR
65d49a11-5645-473e-9984-748f55b6a679,421376469,ItemShop_Lot_Menu_04_MR,福玉ポイント,Lucky Ball Points,Points Boule de chance,Punti sfere fortunate,Glücksballpunkte,Ptos. de bolas de la suerte,Очки шарика удачи,Punkty za kulki szczęścia,,,Pontos de Bolas da Sorte,복구슬 포인트,幸運球球點數,福球点数,,,,,,,,نقاط كرات الحظ,,,,,,,,,,,
d36d7ce4-0844-4fa4-a74c-c1f5325d29e9,1917039319,ItemShop_Lot_Menu_05_MR,獲得,Obtained,Obtenu,Ottenuti,Erhalten,Obtenido,Получено,Uzyskano,,,Obtido,획득,獲得,获得,,,,,,,,مُكتسب,,,,,,,,,,,
758e7dac-5b42-43b9-a152-14b3013d6595,319173735,ItemShop_Lot_Menu_06_MR,福玉ポイント表,Lucky Ball Points,Points Boule de chance,Punti sfere fort.,Glücksballpunkte,Ptos. bolas de la suerte,Очки шарика удачи,Pkt. za kulki szcz.,,,Pontos de Bolas da Sorte,복구슬 포인트표,幸運球球點數表,福球点数表,,,,,,,,نقاط كرات الحظ,,,,,,,,,,,
0599bb30-597d-4826-8403-d25cd5911b8f,825868850,ItemShop_Lot_Menu_07_MR,倍率玉,Boosting Balls,Balles booster,Sfere potenziate,Bonusbälle,B. aumento,Шар. усил.,Ulepszaj. kulki,,,Bolas de Reforço,배율 구슬,加倍球,倍率球,,,,,,,,كرات التعزيز,,,,,,,,,,,
dc7d7d16-dd68-466b-ac75-8639b34cb4d0,3586944829,ItemShop_Lot_Menu_08_MR,{0}<font 0><size 21><BSL 4>個</BSL></size></font>,{0},{0},{0},{0},{0},{0},{0},,,{0},{0}<font 0><size 21><BSL 4>개</BSL></size></font>,{0}<font 0><size 21><BSL 4>個</BSL></size></font>,{0}<font 0><size 21><BSL 4>个</BSL></size></font>,,,,,,,,{0},,,,,,,,,,,
66aa643c-e296-4edf-88b1-46681defde04,583693755,ItemShop_Lot_Menu_09_MR,{0}倍,x{0},x{0},x{0},x{0},x{0},x{0},x{0},,,x{0},{0}배,{0}倍,{0}倍,,,,,,,,x{0},,,,,,,,,,,
