guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
bdb32857-e611-427e-a331-ca5c9f286e55,1793988481,ChatLog_OtMsg_M_01,"頑張りすぎてカロリー切れニャ。
ゴクゴク、プハッうめーニャ！","I need a quick purr-otein break!
*glug glug* Whew!","J'ai besoin d'une pause
chat-lvatrice ! *glou glou*","Mi serve un miaomento
di pausa, *glu glu*, miaooo!","Ich brauch ein kleines Futter-
päuschen! *gluck* *gluck* Puh!","¡Necesito una pausa nutritiva!
Glup, glup... ¡Fiuuu!","Мне нужен перерыв на обед!
*пьет* Мур!","Białka, trzeba mi białka!
Łyk-łyk. Miau, od razu lepiej!",,,"Preciso de uma pausa pra
proteína! Nhac-nhac... Ufa!","열심히 했더니 기진맥진하다냥.
꿀꺽꿀꺽, 푸하! 맛있다냥!","太拼命了，熱量都消耗光了喵。
咕嚕咕嚕……嗚哇，真好喝喵！","努力过头，卡路里都用光了喵。
咕嘟咕嘟……噗哈！真好喝喵！",,,,,,,,"أحتاج إلى وجبة بروتين سريعة!
*غلوج غلوج* عجبًا!",,,,,,,,,,,
86933b65-0ff3-4c33-9490-1ad2996de4f4,3263604944,ChatLog_OtMsg_M_02,"次なるファイトのために
今、回復しておくニャ。","Gotta recupurr-ate before
the next fight!","Faut que je récupère pour
le prochain combat !","Devo riprrrendere fiato,
prima di tornare in campo!","Ich muss mich vor dem
nächsten Kampf miausruhen!","¡Tengo que recuperarme antes
de volver a luchar!","Надо восстановиться перед
следующим боем!","Miau-szę się zregenerować
przed kolejną walką!",,,"Preciso me recuperar
antes da próxima luta!","다음 싸움을 위해
지금 회복해 두겠다냥.","為了接下來的戰鬥，
現在要先養精蓄銳喵。","为了下一场战斗
现在先回复一下喵。",,,,,,,,"يجب أن أتعافى قبل
القتال التالي!",,,,,,,,,,,
6947c51e-07b1-4213-9d43-99dbb49b7a39,3134775564,ChatLog_OtMsg_M_03,"こんな時こそ気合いで回復ニャ！
回復薬は飲んでも飲まれるニャ！","One swig of a potion and I'll
whisker myself back into shape!","Une lampée de potion et
je serai vite sur pattes !","Un sorso di una pozione
e mi rimetterò in forma!","Ein Schluck vom Trank gibt mir
frischen Tatzendrang zurück!","¡Un traguito de poción y me
volveré a poner en forma!","Глотну зелья — и мигом
буду в форме!","Jeden łyk miau-kstury
i będę znów w formie!",,,"Um teco de poção e vou ficar
em forma!","이럴 때는 기합으로 회복이다냥!
회복약은 적당히 먹어야 한다냥!","這種時候就要靠氣魄去回復喵！
喝回復藥記得適量就好喵！","这种时候就要靠气势来回复喵！
喝回复药也要有个限度喵！",,,,,,,,"رشفة أخرى من تلك الجرعة
وسأعود إلى كامل لياقتي!",,,,,,,,,,,
f9124968-7c80-435c-801f-94557a6ecad7,2999554629,ChatLog_OtMsg_M_04,"ここはいったん回復ニャ。
あくまで計算のうちなのニャ。","Completely strategic retreat
in 5-4-3-2...","Retraite programmée
dans 5-4-3-2...","Ritirata temporanea
e intenzionale!","Strategischer Rückzug in 5...
4... 3... zwiau...","Retirada estratégica en
5... 4... 3... 2...","Начинаю стратегическое
отступление через 5, 4, 3...","W pełni strategiczny odwrót
za 5, 4, 3, 2...",,,"Retirada completamente
estratégica em 5-4-3-2-1...","일단 회복을 해야 한다냥.
이것도 다 계산대로다냥.","現在先暫時回復一下喵。
這一切都在我的計算之中喵。","先暂时回复一下喵。
反正都在预料之内喵。",,,,,,,,"سيُعدُّ انسحابًا إستراتيجيًا
تمامًا خلال 5-4-3-2...",,,,,,,,,,,
c72f0f42-20b6-41a4-9246-8c7e05b6e04a,3657996367,ChatLog_OtMsg_M_05,"計画的に体力を回復中だニャ。
この回復が後々効いてくるニャ。","I gotta heal, but no worries—
it's all part of the purr-lan!","Il faut que je guérisse, tout
est sous contrôle !","Devo guarire, miao niente
paura, fa parte del piano!","Ich muss heilen, aber keine
Angst, das ist Teil des Plans!","Tengo que curarme, pero no te
preocupes: ¡todo controlado!","Я вылечусь, не волнуйся!
Все идет по плану!","Miau-szę odzyskać zdrowie, ale
bez obaw – taki był plan!",,,"Preciso me curar, mas de boa —
é tudo parte do plano!","계획적으로 체력을 회복한다냥.
이게 나중에 큰 도움이 된다냥.","正在有計劃地回復體力中喵。
回復效果之後會慢慢顯現喵。","正在按计划回复体力喵。
回复效果一会儿就知道喵。",,,,,,,,"يجب عليّ التعافي، ولكن لا يهم، 
هذا جزء من خطتنا!",,,,,,,,,,,
09cbb613-0495-47f4-a1fb-c6b792f3202d,3749034638,ChatLog_OtMsg_M_06,"倒れる前の体力回復。
センケンのメイに優れるニャ。","It takes fursight to know when
to hang back to heal!","Il faut chavoir quand se
replier pour récupérer !","I prrrofessionisti sanno
quando tirarsi indietro!","Man muss den rechten Miaument
zur Heilung nutzen.","¡Hay que prever cuándo toca
parar a recuperarse!","Нужно знать, когда пора
отступить и вылечиться!","Trzeba wiedzieć, kiedy zrobić
przerwę na miau-generację!",,,"É preciso pensar além pra
saber quando se curar!","쓰러지기 전에 체력 회복.
선견지명이라는 거다냥.","在倒下之前先回復體力。
我真有先見之明喵。","在倒下前赶紧回复体力。
我可是很有先见之明的喵。",,,,,,,,"معرفة متى تتقهقر للتعافي
تحتاج إلى طول نظر!",,,,,,,,,,,
8972f8d4-74b2-489e-a434-ba9bba02144a,1004413146,ChatLog_OtMsg_M_07,"モンスターにたたかれたお尻が
痛みますニャ～。","Meowch! A meownster slapped
my rump!","Miaoutch ! Un miaonstre
m'a chat-huté !","Miahiii! Un miaostro mi
ha sculacciato il popò!","Miautsch! Ein Miaunster
hat meinen Po erwischt!","¡Au! ¡Me ha atizado un
miaunstruo!","Ай! Мяунстр меня шлепнул
по спинке!","Miauć! Miaustrum pacnęło
mnie w zadek!",,,"Miau-ai! Um miaunstro deu
um tapa no meu traseiro!","몬스터한테 맞은 엉덩이가
아프다냥~",被魔物打到的屁股好痛喵～,"屁股被怪物打中了，
好痛的喵。",,,,,,,,"آه! صفعني الوحش على
أردافي!",,,,,,,,,,,
ca4f9451-7ce3-430f-8959-83c06fc696f6,1737817273,ChatLog_OtMsg_M_08,"モンスターにつつかれたお尻が
痛みますニャ～。","Meowch! A meownster jabbed
me in the rump!","Miaoutch ! Un miaonstre
m'a botté la croupe !","Miahiii! Un miaostro mi
ha punzecchiato il popò!","Miautsch! Ein Miaunster
hat mir den Popo versohlt!","¡Au! ¡Me ha pateado un
miaunstruo!","Ай! Мяунстр дал мне
по спинке!","Miauć! Miaustrum dźgnęło
mnie w zadek!",,,"Miau-ai! Um miaunstro deu
um soco no meu traseiro!","몬스터한테 찔린 엉덩이가
아프다냥~",被魔物戳到的屁股好痛喵～,"屁股被怪物刺中了，
好痛的喵。",,,,,,,,"آه! لطمني الوحش على
أردافي!",,,,,,,,,,,
d075da19-77cb-4ef7-b0e1-c56ee31cecaf,3981322104,ChatLog_OtMsg_M_09,"モンスターにかじられたお尻が
痛みますニャ～。",Meowch! A meownster bit my rump!,"Miaoutch ! Un miaonstre
m'a mordu la croupe !","Miahiii! Un miaostro mi
ha morso il popò!","Miautsch! Ein Miaunster hat
meinen Popo gebissen!","¡Au! ¡Me ha mordido un
miaunstruo!","Ай! Мяунстр укусил
мою спинку!","Miauć! Miaustrum ugryzło
mnie w zadek!",,,"Miau-ai! Um miaunstro mordeu
meu traseiro!","몬스터한테 물린 엉덩이가
아프다냥~",被魔物咬到的屁股好痛喵～,"屁股被怪物咬到了，
好痛的喵。",,,,,,,,آه! عض الوحش أردافي!,,,,,,,,,,,
24078700-8355-4d03-bca5-6cba74f20f08,2691974624,ChatLog_OtMsg_M_10,"しまったニャ。
痛いのを貰っちゃったニャ。","Oof! Meowch, that was big hit...","Miaoutch, chat fait mal...",Miahiii! Che colpo...,"Uff! Miautsch, das war ein
Volltreffer...",¡Au! Menudo golpe...,"Уф! Мяу, вот так задело...","Uch! Miauć, to był cios...",,,"Uuf! Miau-ai, que paulada...","실수했다냥.
아픈 공격에 당했다냥.","慘了喵。
吃了一記重擊喵。","糟糕喵。
这玩意儿很痛的喵。",,,,,,,,أوف! آه، كانت ضربة كبيرة...,,,,,,,,,,,
9555392f-ae76-4a43-9407-2c67dce5a4f8,612026932,ChatLog_OtMsg_M_11,"イテテ、貰った傷が痛むのニャ。
オトモ印の回復薬で治療だニャ。",Meowch! This calls for a potion.,"Miaoutch ! J'ai besoin
d'une potion.",Miahiii! Serve una pozione.,"Miautsch! Da muss ein Trank
her.",¡Au! Esto merece una poción.,Мяуй! Нужно выпить зелье.,"Miauć! Tu jest
potrzebna mikstura.",,,Miau-ai! Isso pede uma poção.,"아야야, 상처가 아프다냥.
동반자 회복약으로 치료한다냥.","痛痛痛，受傷的地方好痛喵。
用有隨從標記的回復藥來治療喵。","好痛好痛，伤口好痛喵。
要用随从的专属回复药治疗喵。",,,,,,,,آه! تستدعي تناول جرعة.,,,,,,,,,,,
64caf316-a590-4c5c-90f8-9f3e25eb2a5f,1296062934,ChatLog_OtMsg_M_12,"ニャー…ちょい回復しますニャ。
次はただじゃおかないニャ。","I'll get you next time,
meownster!","Tu me paieras chat,
miaonstre !","La prossima volta non
mi sfuggirai, miaostro!","Nächstes Mal kriege ich dich,
Miaunster!","¡Ya te pillaré, miaunstruo!","Я тебя еще достану,
мяунстр!","Dorwę cię innym
razem, ty miaustrum!",,,"Te pego da próxima vez,
miaunstro!","냥… 잠깐 회복하겠다냥.
다음에는 가만두지 않겠다냥.","喵……稍微治療一下喵。
下次我絕對不會善罷甘休的喵。","喵……稍微回复一下喵。
下次可不会就这么算了喵。",,,,,,,,"سأسحقك المرة القادمة
أيها الوحش!",,,,,,,,,,,
6744471b-433b-42a1-8006-21acd5d2bc46,826347237,ChatLog_OtMsg_M_13,"いったん回復するニャ。
態勢を整えておくニャ。",Time to tuck tail and run!,"Il est temps de fuir la queue
entre les pattes !",Devo prrroprio... scappare...,"Besser den Schwanz einziehen
und rennen!","¡Es hora de plegar la cola y
salir por patas!",Пора поджать хвост и бежать!,Pora podkulić ogon i zmykać!,,,Hora de fugir!,"일단 회복한다냥.
태세를 정비하겠다냥.","先暫時進行回復喵。
重整旗鼓再來吧喵。","暂时回复一下喵。
要重整态势喵。",,,,,,,,حان الوقت أن نجر أذيالنا ونهرب!,,,,,,,,,,,
3a4a69e5-6b46-46bd-8cdd-3b9081b45676,4133202743,ChatLog_OtMsg_M_14,"キズを回復するニャ。
あせらず一休みニャ。","I'll go lick my wounds,
but I'll be back!","Je vais lécher mes
plaies et je reviens !","Vado a leccarmi le ferite,
ma tornerò!","Ich muss miaune Wunden lecken!
Ich komme wieder!","Voy a lamerme las heridas,
¡pero volveré!","Я пойду зализывать раны.
Но я вернусь!","Miau-szę wylizać rany,
ale jeszcze tu wrócę!",,,"Vou lamber minhas feridas,
mas eu voltarei!","상처를 회복한다냥.
한숨 돌리고 가는 거다냥.","我要療傷喵。
放輕鬆休息一下喵。","回复一下伤口喵。
不要着急，先休息一会儿喵。",,,,,,,,"سأنتظر لتلتئم جروحي
ولكنني سأعود مُجددًا!",,,,,,,,,,,
96c39407-f147-4fdd-a756-64243943ddc4,2756451808,ChatLog_OtMsg_M_15,"ちょいとゴメンニャ、
体力回復中だニャ。","Gimme one meowment to put some
bandages on my boo-boos.","Donne-moi une minute
pour soigner mes bobos.","Dammi un miaomento per
medicarmi la bua. Miahi-ahi!","Gib mir einen Miaument, um mir
das Fell zu flicken.","Dame un miaumento para ponerme
unas tiritas en las pupas.","Одну минутку, я свои ранки
перевяжу.","Jeden miau-ment,
tylko opatrzę rankę.",,,"Me dá um segundinho pra fazer
uns curativozinhos.","미안하다냥.
체력 회복 중이다냥.","先失陪了喵，
我正在回復體力喵。","抱歉喵，
我正在回复体力喵。",,,,,,,,"أحتاج لحظة لأضع
بعض الضمادات على جراحي.",,,,,,,,,,,
