guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c6738ebd-d187-4b66-be98-4912f8579405,1858492840,WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None,<COLOR FF0000>#Rejected#</COLOR> WeaponSeries_Hunter_None
a27b0349-8bbf-4253-a512-fca3d9ec18b5,3508498230,WeaponSeries_Hunter_000,鉱石素材派生,Ore Tree,Minerai,Serie minerale,Erz-Baum,Árbol de mineral,Рудное древо,Drzewo rudy,,,Árvore de Minério,광석 소재 파생,礦石素材衍生,矿石素材衍生,,,,,,,,شجرة المعدن الخام,,,,,,,,,,,
ec9c6447-aebf-4ba5-9e0b-f74a7d0be8f2,1458042788,WeaponSeries_Hunter_001,鉱石素材派生②,Ore Tree 2,Minerai 2,Serie minerale II,Erz-Baum II,Árbol de mineral 2,Рудное древо 2,Drzewo rudy 2,,,Árvore de Minério 2,광석 소재 파생②,礦石素材衍生②,矿石素材衍生2,,,,,,,,شجرة المعدن الخام 2,,,,,,,,,,,
9a81d31e-1ad7-439a-8f6f-10279df7df11,634290322,WeaponSeries_Hunter_002,カムラ派生,Kamura Tree,Kamura,Serie Kamura,Kamura-Baum,Árbol de Kamura,Древо Камуры,Drzewo Kamury,,,Árvore de Kamura,카무라 파생,神火衍生,炎火衍生,,,,,,,,شجرة كامورا,,,,,,,,,,,
9e135a0f-6652-44e0-b6db-834518cbb570,2279072116,WeaponSeries_Hunter_003,鉄斧派生,Great Sword Tree,Grande épée,Serie spadone,Großschwert-Baum,Árbol de gran espada,Древо двуруч. меча,Drz. miecza dwuręcz.,,,Árvore de Espadão,철 도끼 파생,鐵斧衍生,铁斧衍生,,,,,,,,شجرة السيف الرائع,,,,,,,,,,,
ae8cf5b1-87ba-4466-9538-4124fb94630f,2197610869,WeaponSeries_Hunter_004,両刃刀派生,Long Sword Tree,Épée longue,Serie spada lunga,Langschwert-Baum,Árbol espada larga,Древо меча-бастарда,Drz. miecza długiego,,,Árvore Espada Longa,양날도 파생,兩刃刀衍生,双刃刀衍生,,,,,,,,شجرة السيف الطويل,,,,,,,,,,,
f04c8abb-2c04-4743-96ba-314010cb3c1f,2235921851,WeaponSeries_Hunter_005,骨素材派生,Bone Tree,Os,Serie d'osso,Knochen-Baum,Árbol de hueso,Костяное древо,Drzewo kości,,,Árvore Óssea,뼈 소재 파생,骨素材衍生,骸骨素材衍生,,,,,,,,شجرة العظام,,,,,,,,,,,
517ac440-0c93-4c34-b0e4-7265842e5f3c,3414808688,WeaponSeries_Hunter_006,骨素材派生②,Bone Tree 2,Os 2,Serie d'osso II,Knochen-Baum II,Árbol de hueso 2,Костяное древо 2,Drzewo kości 2,,,Árvore Óssea 2,뼈 소재 파생②,骨素材衍生②,骸骨素材衍生2,,,,,,,,شجرة العظام 2,,,,,,,,,,,
56ab685f-c4f3-4168-941a-ebfd9a055891,1496467992,WeaponSeries_Hunter_007,骨鎌派生,Bone Scythe Tree,Faux en os,Serie falce d'osso,Knochensensen-Baum,Árbol guadaña hueso,Древо костяной косы,Drz. kościanej kosy,,,Árvore de Foice,뼈 낫 파생,骨鐮衍生,骨镰衍生,,,,,,,,شجرة منجل العظام,,,,,,,,,,,
96a4d464-65c4-47b5-b40a-f12b8cf5b7b6,4024546824,WeaponSeries_Hunter_008,骨鎌派生②,Bone Scythe Tree 2,Faux en os 2,Serie fal. d'osso II,Knochensensen-Baum II,Árb. guadaña hueso 2,Древо кост. косы 2,Drz. kościan. kosy 2,,,Árvore de Foice 2,뼈 낫 파생②,骨鐮衍生②,骨镰衍生2,,,,,,,,شجرة منجل العظام 2,,,,,,,,,,,
688b7263-5fb9-48db-8046-47c302443002,246018502,WeaponSeries_Hunter_009,火属性派生,Fire Tree,Feu,Serie fuoco,Feuerelement-Baum,Árbol de fuego,Древо огня,Drzewo ognia,,,Árvore do Fogo,불속성 파생,火屬性衍生,火属性衍生,,,,,,,,شجرة النار,,,,,,,,,,,
