guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
2ca02fda-db74-41a5-a88f-b22736318c0c,3230551018,Fa_MakaAlchemy_System_01,錬金術を選択してください。,Select melding style.,Choisir style de fusion.,Scegli un tipo di fusione.,Wähle eine Verschmelzungsart.,Selecciona un estilo de fusión.,Выбрать стиль сплавления.,Wybierz styl stapiania.,,,Selecione o estilo de fundição.,연금술을 선택하십시오.,請選擇鍊金術。,请选择炼金术。,,,,,,,,تحديد أسلوب الخلط.,,,,,,,,,,,
f3356bd5-0f76-41e9-8628-68c6955f5279,473343777,Fa_MakaAlchemy_System_02,"錬金術を選択してください。
<COL RED>（これ以上予約できません）</COL>","Select melding style.
<COL RED>(You can't place any more orders.)</COL>","Choisir style de fusion.
<COL RED>Vous ne pouvez plus passer de commandes.</COL>","Scegli un tipo di fusione.
<COL RED>(Non puoi effettuare ulteriori ordini.)</COL>","Wähle eine Verschmelzungsart.
<COL RED>(Du kannst keine weiteren Bestellungen aufgeben.)</COL>","Selecciona un estilo de fusión.
<COL RED>(No puedes hacer más pedidos).</COL>","Выбрать стиль сплавления.
<COL RED>(Вы не можете размещать новые заказы.)</COL>","Wybierz styl stapiania.
<COL RED>(Nie możesz złożyć więcej zamówień).</COL>",,,"Selecione o estilo de fundição.
<COL RED>(A fila já está cheia)</COL>","연금술을 선택하십시오.
<COL RED>(더 이상 예약할 수 없습니다)</COL>","請選擇鍊金術。
<COL RED>（已達預約上限）</COL>","请选择炼金术。
<COL RED>（无法再继续预约）</COL>",,,,,,,,"تحديد أسلوب الخلط.
<COL RED>(لا يمكن إرسال أي طلبات أخرى).</COL>",,,,,,,,,,,
9b472a0d-6c4c-4071-8270-a62b332f8a86,2498204081,Fa_MakaAlchemy_System_03,"錬金術を選択してください。
<COL RED>（錬金に必要な素材を所持していません）</COL>","Select a melding style.
<COL RED>(You don't have the required materials.)</COL>","Choisir style de fusion.
<COL RED>Vous n'avez pas les matériaux requis.</COL>","Scegli un tipo di fusione.
<COL RED>(Non disponi dei materiali richiesti.)</COL>","Wähle eine Verschmelzungsart.
<COL RED>(Dir fehlen die nötigen Materialien.)</COL>","Selecciona un estilo de fusión.
<COL RED>(No tienes los materiales necesarios).</COL>","Выбрать стиль сплавления.
<COL RED>(У вас нет нужных материалов.)</COL>","Wybierz styl stapiania.
<COL RED>(Nie posiadasz wymaganych materiałów).</COL>",,,"Selecione o estilo de fundição.
<COL RED>(Você não tem os materiais necessários)</COL>","연금술을 선택하십시오.
<COL RED>(연금에 필요한 소재가 없습니다)</COL>","請選擇鍊金術。
<COL RED>（並未持有鍊金所需的素材）</COL>","请选择炼金术。
<COL RED>（未持有炼金所需的素材）</COL>",,,,,,,,"تحديد أسلوب الخلط.
<COL RED>(لا توجد المواد اللازمة).</COL>",,,,,,,,,,,
09df49f3-7c67-4d1d-9ac1-feeb68dd8eef,855949418,Fa_MakaAlchemy_System_04,"錬金術を選択してください。
<COL RED>（錬金に必要な護石を所持していません）</COL>","Select a melding style.
<COL RED>(You don't have enough talismans.)</COL>","Choisir style de fusion.
<COL RED>Vous n'avez pas assez de talismans.</COL>","Scegli un tipo di fusione.
<COL RED>(Talismani insufficienti.)</COL>","Wähle eine Verschmelzungsart.
<COL RED>(Du hast nicht genügend Talismane.)</COL>","Selecciona un estilo de fusión.
<COL RED>(No tienes suficientes talismanes).</COL>","Выбрать стиль сплавления.
<COL RED>(У вас не хватает талисманов.)</COL>","Wybierz styl stapiania.
<COL RED>(Nie masz wystarczająco dużo talizmanów).</COL>",,,"Selecione o estilo de fundição.
<COL RED>(Você não tem talismãs suficientes)</COL>","연금술을 선택하십시오.
<COL RED>(연금에 필요한 호석이 없습니다)</COL>","請選擇鍊金術。
<COL RED>（並未持有鍊金所需的護石）</COL>","请选择炼金术。
<COL RED>（未持有炼金所需的护石）</COL>",,,,,,,,"تحديد أسلوب الخلط.
<COL RED>(لا توجد تعاويذ كافية).</COL>",,,,,,,,,,,
82e63620-1957-4040-b6f7-dc7914d6176a,2132901107,Fa_MakaAlchemy_System_05,"錬金術を選択してください。
<COL RED>（カムラポイントが不足しています）</COL>","Select a melding style.
<COL RED>(You don't have enough Kamura Points.)</COL>","Choisir style de fusion.
<COL RED>Vous n'avez pas assez de points Kamura.</COL>","Scegli un tipo di fusione.
<COL RED>(Punti Kamura insufficienti.)</COL>","Wähle eine Verschmelzungsart.
<COL RED>(Du hast nicht genügend Kamura-Punkte.)</COL>","Selecciona un estilo de fusión.
<COL RED>(No tienes suficientes puntos Kamura).</COL>","Выбрать стиль сплавления.
<COL RED>(У вас не хватает очков Камуры.)</COL>","Wybierz styl stapiania.
<COL RED>(Nie masz wystarczająco dużo punktów Kamury).</COL>",,,"Selecione o estilo de fundição.
<COL RED>(Você não tem Pontos Kamura suficientes)</COL>","연금술을 선택하십시오.
<COL RED>(카무라 포인트가 부족합니다)</COL>","請選擇鍊金術。
<COL RED>（神火點數不足）</COL>","请选择炼金术。
<COL RED>（炎火点数不足）</COL>",,,,,,,,"تحديد أسلوب الخلط.
<COL RED>(لا توجد نقاط كامورا كافية).</COL>",,,,,,,,,,,
8a2ac42b-69c3-443a-b640-d7237e151247,2041263803,Fa_MakaAlchemy_System_06,錬金した護石を受け取ります。,Collect your melded talismans.,Récupérer les talismans fusionnés.,Ritira i talismani fusi.,Hole deine verschmolzenen Talismane ab.,Recoge tus talismanes fusionados.,Забрать сплавленные талисманы.,Odbierz swoje stopione talizmany.,,,Recolher talismãs fundidos.,연금한 호석을 받습니다.,領取鍊金完成的護石。,领取炼成的护石。,,,,,,,,جمع التعاويذ التي تم خلطها.,,,,,,,,,,,
481ce286-b67b-46f9-ac18-717e236c59e6,503627513,Fa_MakaAlchemy_System_07,"錬金した護石を受け取ります。
<COL RED>（受け取れる護石がありません）</COL>","Collect your melded talismans.
<COL RED>(There are no talismans to collect.)</COL>","Récupérer les talismans fusionnés.
<COL RED>Il n'y a pas de talismans à récupérer.</COL>","Ritira i talismani fusi.
<COL RED>(Non ci sono talismani da ritirare.)</COL>","Hole deine verschmolzenen Talismane ab.
<COL RED>(Es sind keine Talismane zum Abholen vorhanden.)</COL>","Recoge tus talismanes fusionados.
<COL RED>(No hay talismanes que recoger).</COL>","Забрать сплавленные талисманы.
<COL RED>(Нет готовых талисманов.)</COL>","Odbierz swoje stopione talizmany.
<COL RED>(Nie ma talizmanów do odebrania).</COL>",,,"Recolher talismãs fundidos.
<COL RED>(Não há talismãs para recolher)</COL>","연금한 호석을 받습니다.
<COL RED>(받을 수 있는 호석이 없습니다)</COL>","領取鍊金完成的護石。
<COL RED>（沒有可領取的護石）</COL>","领取炼成的护石。
<COL RED>（没有可领取的护石）</COL>",,,,,,,,"جمع التعاويذ التي تم خلطها.
<COL RED>(لا توجد تعاويذ لجمعها).</COL>",,,,,,,,,,,
6e5c7d6f-57b5-4f1d-872e-e38a2716e6e8,3851779117,Fa_MakaAlchemy_System_08,"錬金した護石を受け取ります。
<COL RED>（装備ＢＯＸに空きがありません）</COL>","Collect your melded talismans.
<COL RED>(Your equipment box is full.)</COL>","Récupérer les talismans fusionnés.
<COL RED>Votre coffre d'équipement est plein.</COL>","Ritira i talismani fusi.
<COL RED>(La tua cassa equipaggiamento è piena.)</COL>","Hole deine verschmolzenen Talismane ab.
<COL RED>(Deine Ausrüstungstruhe ist voll.)</COL>","Recoge tus talismanes fusionados.
<COL RED>(Tu baúl de equipamiento está lleno).</COL>","Забрать сплавленные талисманы.
<COL RED>(Ваш ящик снаряжения заполнен.)</COL>","Odbierz swoje stopione talizmany.
<COL RED>(Twoja skrzynka na wyposażenie jest pełna).</COL>",,,"Recolher talismãs fundidos.
<COL RED>(Sua caixa de equipamentos está cheia.)</COL>","연금한 호석을 받습니다.
<COL RED>(장비 BOX에 빈 공간이 없습니다)</COL>","領取鍊金完成的護石。
<COL RED>（裝備箱裡沒有空位）</COL>","领取炼成的护石。
<COL RED>（装备箱没有空位）</COL>",,,,,,,,"جمع التعاويذ التي تم خلطها.
<COL RED>(صندوق المعدات ممتلئ).</COL>",,,,,,,,,,,
f781c435-92a3-4b99-b402-1f9d8e579382,3721143584,Fa_MakaAlchemy_System_09,スキルを選択してください。,Select a skill.,Sélectionner un talent.,Scegli un'abilità.,Wähle eine Fähigkeit.,Selecciona una habilidad.,Выбрать навык.,Wybierz umiejętność.,,,Selecione uma habilidade.,스킬을 선택하십시오.,請選擇技能。,请选择技能。,,,,,,,,تحديد المهارة.,,,,,,,,,,,
2f8a860a-5532-4c16-b6e6-1d9d57e18e20,3105620332,Fa_MakaAlchemy_System_10,素材を選択してください。,Select materials.,Sélectionner des matériaux.,Scegli i materiali.,Wähle Materialien.,Selecciona los materiales.,Выбрать материалы.,Wybierz materiały.,,,Selecione os materiais.,소재를 선택하십시오.,請選擇素材。,请选择素材。,,,,,,,,تحديد المواد.,,,,,,,,,,,
