guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
49b86662-9a4c-42ff-8e36-e4dda7cce52d,3339452275,STM_DM_IL_Name_050_MR,連装式撃龍槍,Dragonator Signal,Dragonator mortier,Segnale ammazzadraghi,Drachenspeer-Signal,Señal del Matadragones,Сигнал Драконатора,Sygnał smokonatora,,,Sinal de Draconadora,연장식 격룡창,連裝式擊龍槍,连装式击龙枪,,,,,,,,إشارة مدمّر التنانين,,,,,,,,,,,
c9f6081d-cfe4-477f-bd02-6fcc86f0a26b,2910275334,STM_DM_IL_Name_051_MR,連射型バリスタ,Barrage Ballista,Baliste barrage,Balista sbarrante,Sperrfeuer-Balliste,Balista artillera,Залповая баллиста,Balista zaporowa,,,Balista de Barreira,연사형 발리스타,連射型弩砲,连射型机关弩,,,,,,,,منجنيق وابل الطلقات,,,,,,,,,,,
834b0898-6de5-408a-8562-9f9e5cd02c11,964226703,STM_DM_IL_Name_052_MR,落石,Falling Boulder,Rocher en chute,Masso cadente,Fallender Felsen,Trampa de roca,Падающий камень,Spadający głaz,,,Queda de Rocha,낙석,落石,落石,,,,,,,,الصخرة الساقطة,,,,,,,,,,,
5033d233-d806-47c5-a14b-5a9e133af28f,1471580014,STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_053_MR
1d769470-f076-4334-b22a-8c89f7427791,3878303207,STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR,<COLOR FF0000>#Rejected#</COLOR> STM_DM_IL_Name_054_MR
e611b03c-9d0c-4686-a12e-504ee0a59060,2734089133,STM_DM_IL_Name_055_MR,ドクヒノキ,Poison Cypress,Cyprès empoisonné,Cipresso velenoso,Gift-Zypresse,Ciprés tóxico,Ядовитый кипарис,Trujący cyprys,,,Cipreste Venenoso,독편백,毒檜,毒桧木,,,,,,,,شجرة السرو السامة,,,,,,,,,,,
073dc60a-ffb1-4b98-8c1b-38c3ead50b82,265547448,STM_DM_IL_Name_056_MR,棄てられた塔,Abandoned Tower,Tour abandonnée,Torre abbandonata,Verlassener Turm,Torre abandonada,Заброшенная башня,Porzucona wieża,,,Torre Abandonada,버려진 탑,廢棄的塔,废塔,,,,,,,,البرج المهجور,,,,,,,,,,,
b60523df-800d-44f5-b43b-917be81ab9dc,347896059,STM_DM_IL_Name_057_MR,薄氷色の晶塊群,Ice Crystal Cluster,Cristaux de glace,Grap. cristalli gelo,Eiskristall-Verbund,Cúmulo cristal hielo,Кристаллы льда,Zbitka lod. kryszt.,,,Conj. Gelo Cristalino,얼음색 결정 광맥,淡冰藍色的晶塊群,冰蓝色的晶块群,,,,,,,,مجموعة بلورية ثلجية,,,,,,,,,,,
a73e58d9-5cd4-4e40-957c-df6c2c155e86,3923584758,STM_DM_IL_Name_058_MR,大きな晶塊,Crystal Chunk,Morceau de cristal,Pezzo di cristallo,Kristallbrocken,Trozo de cristal,Кусок кристалла,Kawał kryształu,,,Bloco Cristalino,커다란 결정덩어리,巨大的晶塊,巨大晶块,,,,,,,,قطعة بلورية,,,,,,,,,,,
0ef7d5c5-0b5f-4768-9b4a-910afd41c270,1934499960,STM_DM_IL_Name_059_MR,切り株の樹液溜まり,Stump Sap,Sève de souche,Linfa di ceppo,Holzharz,Savia de tocón,Смола из пня,Żywica pnia,,,Seiva de Toco,수액이 고인 그루터기,樹樁上的樹液,树桩上的树液,,,,,,,,عصارة الجذع,,,,,,,,,,,
