guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0b9dc084-7e77-474d-9dec-7540c347b446,3148332040,StatusUI_Head_01,攻撃力,Attack,Attaque,Attacco,Angriff,Ataque,Атака,Atak,,,Ataque,공격력,攻擊力,攻击力,,,,,,,,هجوم,,,,,,,,,,,
1ded28e8-ac81-4bbb-95a8-86cc48af4ba9,1371277742,StatusUI_Head_02,防御力,Defense,Défense,Difesa,Verteidigung,Defensa,Защита,Obrona,,,Defesa,방어력,防禦力,防御力,,,,,,,,الدفاع,,,,,,,,,,,
c6ccff06-b5ce-46f6-b75d-f5f36c53d722,3445241610,StatusUI_Head_03,斬れ味,Sharpness,Tranchant,Acutezza,Schärfe,Afilado,Острота,Ostrość,,,Fio,예리도,銳利度,锋利度,,,,,,,,الحدّة,,,,,,,,,,,
046ca62b-3da8-4c42-b5fa-de4a757f3cf9,3998739807,StatusUI_Head_04,属性,Element,Élément,Elemento,Element,Elemento,Стихия,Żywioł,,,Elemento,속성,屬性,属性,,,,,,,,العنصر,,,,,,,,,,,
71cdde8b-0e52-4579-87dc-a449283e772a,2489125230,StatusUI_Head_05,火属性,Fire,Feu,Fuoco,Feuer,Fuego,Огонь,Ogień,,,Fogo,불속성,火屬性,火属性,,,,,,,,إطلاق نار,,,,,,,,,,,
af5497dd-71bf-4753-9f4f-e7ded7b043fd,3171587352,StatusUI_Head_06,水属性,Water,Eau,Acqua,Wasser,Agua,Вода,Woda,,,Água,물속성,水屬性,水属性,,,,,,,,الماء,,,,,,,,,,,
abf60e6f-9d4c-4b72-8163-5ae62d977832,2301783957,StatusUI_Head_07,雷属性,Thunder,Foudre,Tuono,Donner,Rayo,Гроза,Piorun,,,Raio,번개속성,雷屬性,雷属性,,,,,,,,الرعد,,,,,,,,,,,
7ee073ac-5491-4a6b-9ac9-28295dcdf0c0,3316968890,StatusUI_Head_08,氷属性,Ice,Glace,Ghiaccio,Eis,Hielo,Лед,Lód,,,Gelo,얼음속성,冰屬性,冰属性,,,,,,,,الثلج,,,,,,,,,,,
3375ddbb-2466-4a8d-829b-d653f7ed772d,2624160658,StatusUI_Head_09,龍属性,Dragon,Dragon,Drago,Drache,Draco,Дракон,Smok,,,Dragão,용속성,龍屬性,龙属性,,,,,,,,التنين,,,,,,,,,,,
37ab065e-ecdc-41d6-ab45-44050cd703e6,1103420604,StatusUI_Head_10,毒属性,Poison,Poison,Veleno,Gift,Veneno,Отравление,Trucizna,,,Veneno,독속성,毒屬性,毒属性,,,,,,,,السم,,,,,,,,,,,
3b1d2bc1-18e5-47e5-bb52-b6d289a38d5b,522012960,StatusUI_Head_11,睡眠属性,Sleep,Sommeil,Sonno,Schlaf,Sueño,Сон,Sen,,,Sono,수면속성,睡眠屬性,睡眠属性,,,,,,,,النوم,,,,,,,,,,,
