guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
7c0a8ba1-7d78-4aff-9dcb-fcce82a8a489,1145188066,OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupportType_None_Name
6e6f8232-e407-40d7-9ecf-9b019045a3c1,2162253476,OtAirouSupportType_000_Name,ファイト,Fight,Guerrier,Combattente,Kämpfen,Lucha,Бой,Walka,,,Lutar,파이트,戰鬥,战斗,,,,,,,,القتال,,,,,,,,,,,
189606df-047a-420e-b02c-3c6fbab8c0db,2095760068,OtAirouSupportType_001_Name,アシスト,Assist,Ange gardien,Assistenza,Unterstützen,Ayuda,Ассистент,Pomoc,,,Auxiliar,어시스트,協助,协助,,,,,,,,المساعدة,,,,,,,,,,,
08abab8c-9420-4901-a210-53fca2199e99,2441109370,OtAirouSupportType_002_Name,ヒーラー,Healer,Guérisseur,Cura,Heilen,Sanador,Лекарь,Uzdrowiciel,,,Curandeiro,힐러,治療者,治疗,,,,,,,,المعالِج,,,,,,,,,,,
4feea439-db81-4a8f-a98d-6bd5c95f2c9e,1710422125,OtAirouSupportType_003_Name,ボマー,Bombardier,Bombardier,Bombardiere,Bombardier,Bombardero,Бомбардир,Bombardier,,,Bombardeiro,보머,炸彈客,爆破手,,,,,,,,المدفعي,,,,,,,,,,,
2a83cde1-1972-4aec-82e4-3b8a10d0b748,688301405,OtAirouSupportType_004_Name,コレクト,Gathering,Chapardeur,Raccolta,Sammeln,Recolección,Собирающий,Pozyskiwanie,,,Coletando,컬렉터,收集,收集,,,,,,,,التجمع,,,,,,,,,,,
5c7e30f5-5fe4-4714-92ee-a283047a700d,863159882,OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouSupport_None_Name
0b90e089-fb54-442c-a978-252a0cd73759,242913575,OtAirouSupport_000_Name,癒しの果実栽培の技,Herbaceous Healing,Guérison herbacée,Cura erboristica,Kräuterheilung,Curación herbácea,Лечение травами,Ziołouzdrawianie,,,Cura Herbal,회복열매 재배,栽培治癒果實之技,治愈果实栽培之技,,,,,,,,الشفاء العشبي,,,,,,,,,,,
371e734d-443b-495b-ae63-a12e108710a8,2293353364,OtAirouSupport_001_Name,ネコ式鉄蟲糸縛りの技,Felyne Silkbind,Lien de soie Felyne,Fildiseta Felyne,Felynen-Seidenbinder,Cordoamarre Felyne,Паутина Котта,Felinia jedwabionić,,,Sedaférrea Felyna,고양이 벌레철사 포박,貓式鐵蟲絲捆綁之技,猫式铁虫丝束缚之技,,,,,,,,رباط حريري من فيلاين,,,,,,,,,,,
9b34a3fd-9981-4be2-839d-e0a2a613aed6,134278356,OtAirouSupport_002_Name,ネコ式起爆竜弾の技,Felyne Wyvernblast,F Souffle-du-dragon,Scoppio wyv. Felyne,F Wyvernexplosion,Est. wyvern Felyne,Взрыв виверны Котта,Felini wiwernogrzmot,,,Serpexplosão Felyna,고양이 기폭 용탄,貓式起爆龍彈之技,猫式起爆龙弹之技,,,,,,,,انفجار تنين فيلاين,,,,,,,,,,,
