guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
27ab82e5-1733-46ce-ac63-bffd6d60b433,3419211290,NSQ001_01,里長フゲンのおつかい,Elder Fugen's Errand,Fugen a une requête,Incarico di Fugen l'anziano,Der Auftrag des Ältesten Fogen,Recado del anciano Fugen,Поручение Старейшины Фугэна,Sprawunki Starszego Fugena,,,"Tarefas de Fugen, o ancião",촌장 후겐의 심부름,村長傅賢的差事,给村长普贤跑腿,,,,,,,,مهمة المعمّر فيوجين,,,,,,,,,,,
b94c7fe1-6ae9-4f2d-9212-e3348281e3ea,4278134622,NSQ001_02,里長フゲン,Fugen the Elder,Fugen l'Ancien,Fugen l'anziano,Fogen der Älteste,Fugen el anciano,Старейшина Фугэн,Starszy Fugen,,,"Fugen, o ancião",촌장 후겐,村長傅賢,村长普贤,,,,,,,,المعمّر فيوجين,,,,,,,,,,,
f0d789c4-947e-42aa-8a7b-80d6f5803ca6,1143012441,NSQ001_03,"みんなの依頼を聞き入れるのも、
ハンターの仕事だ。試しに、
俺の依頼を受けてくれ！","Fulfillin' requests is part 'n'
parcel of a hunter's work.
Here, try tacklin' mine!","Les chasseurs doivent savoir
répondre aux requêtes !
Tiens, essaie celle-ci !","Completare le richieste è uno
dei compiti di un cacciatore.
Porta a termine la mia!","Zur Arbeit als Jäger gehört
es, Aufgaben zu erfüllen.
Versuch dich mal an meiner!","Cumplir peticiones es parte de
la labor del cazador. ¡Intenta
encargarte de esto!","Выполнение поручений — часть
работы охотника. Выполни-ка
мои поручения!","Zlecenia to nieodłączna
część pracy łowcy.
Spróbuj podjąć się mojego!",,,"Atender a pedidos também faz
parte do ofício de um caçador.
Aqui, tenta cumprir o meu!","모두의 의뢰를 들어주는 것도
헌터의 임무다. 우선 시험 삼아
내 의뢰를 받아가거라!","接受大家的委託也是獵人的工作。
試著承接我的委託吧！","听取大家的委托
也是猎人的工作。
试试看接受我的委托吧！",,,,,,,,"تنفيذ المهام جزء لا يتجزأ
من مهام الصياد هنا،
<LSNR {حاول} {حاولي}> تنفيذ المهمة الخاصة بي!",,,,,,,,,,,
d9b4e221-5f70-4fa2-9f91-18dde4bb3fc3,817908894,NSQ001_04,回復薬　×１０,10 Potions,10 potions,10 pozioni,10 Tränke,10 pociones,10 зелий,10 mikstur,,,10 Poções,회복약 ×10,回復藥　×10,回复药×10,,,,,,,,10 جرعات,,,,,,,,,,,
d10744fb-e6c3-45f8-92f9-edb8bb9010a2,1521638361,NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05,<COLOR FF0000>#Rejected#</COLOR> NSQ001_05
d867702b-4d95-4c86-b90c-d0931237e870,3192772164,NSQ001_06,回復薬の入手,Potions,Potions,Pozioni,Tränke,Pociones,Зелья,Mikstury,,,Poções,회복약 입수,獲得回復藥,获得回复药,,,,,,,,الجرعات,,,,,,,,,,,
bbd9c1a0-33cd-4572-a909-70a49a9e2ba0,191098826,NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07,<COLOR FF0000>#Rejected#</COLOR> NSQ001_07
8b39db6c-bf86-4338-be46-0adfdff31ef6,1702912567,NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08,<COLOR FF0000>#Rejected#</COLOR> NSQ001_08
a7c1b994-46b1-47c8-bb7a-8c77c547b33e,529903674,NSQ002_01,濃厚でトロトロなうさ団子？　の巻,"Thick, Gooey Dango",Dango gluants,Dango gustosi e appiccicosi,"Dicke, klebrige Dango","Denso, viscoso y sabroso dango","Толстые, тягучие данго","Tłuściutkie, lepkie dango",,,Dangos gordos e viscosos,진하고 쫀득한 토끼 경단? 편,濃郁濃稠的兔兔糰子？之卷,“浓郁黏稠的兔团子？”之卷,,,,,,,,دانجو سميك ولزج,,,,,,,,,,,
2dff7c42-beb7-4048-b8a7-94eb25e2ace5,3216994464,NSQ002_02,茶屋のヨモギ,Yomogi the Chef,Yomogi la chef,Yomogi la chef,Yomogi die Köchin,Yomogi la chef,Повар Йомоги,Kucharka Yomogi,,,"Yomogi, a chef",찻집의 요모기,茶館老闆艾草,茶点店店主艾草,,,,,,,,الطباخة يوموجي,,,,,,,,,,,
