guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
436004be-63cb-4953-a77c-1d0817c47a11,588462992,Fa_OtDojo_Menu_01,オトモ道場,Buddy Dojo,Dojo Pilpoil,Dojo compagni,Buddy-Dojo,Dojo camarada,Додзё для спутников,Dojo kompanów,,,Dojo de Amigos,동반자 도장,隨從道場,随从道场,,,,,,,,دوجو الرفيق,,,,,,,,,,,
e0f68bbb-8a0f-46a3-913b-90a1e7d0f4c9,664385813,Fa_OtDojo_Menu_02,特訓中,Training,Entraînement,Addestramento,Training,Entrenamiento,Тренировка,Trening,,,Treinamento,특훈 중,特訓中,特训中,,,,,,,,التدريب,,,,,,,,,,,
8475ce09-e0cd-49c0-99ba-bc40588e41d6,3684818365,Fa_OtDojo_Menu_03,特訓終了,Training Complete,Fin entraînement,Addestr. compl.,Training beendet,Entren. completo,Тренир. заверш.,Trening zakończ.,,,Treinam. concl.,특훈 종료,特訓結束,特训结束,,,,,,,,اكتمل التدريب,,,,,,,,,,,
6af57e65-06e0-4722-90fb-02b072f9200f,2079289451,Fa_OtDojo_Menu_04,特訓オトモ,Buddy,Pilpoil,Compagno,Buddy,Camarada,Спутник,Kompan,,,Amigo,특훈 동반자,特訓隨從,特训随从,,,,,,,,رفيق,,,,,,,,,,,
bd4dee42-bc17-431d-b827-fda4edc4fb12,1754890487,Fa_OtDojo_Menu_05,特訓回数,Training Rounds,Entraînements,N. addestramenti,Trainingsrunden,Rondas,Тренировка,Rundy treningu,,,Rounds de Trein.,특훈 횟수,特訓次數,特训次数,,,,,,,,جولات التدريب,,,,,,,,,,,
2511c0af-26ee-4627-9ffe-fe9d9a70d111,1476519682,Fa_OtDojo_Menu_06,特訓オトモ選択,Select Buddies,Sélection Pilpoil,Scegli compagni,Buddys wählen,Elegir camaradas,Выбрать спутника,Wybierz kompanów,,,Seleção de Amigos,특훈 동반자 선택,選擇特訓隨從,选择特训随从,,,,,,,,تحديد الرفاق,,,,,,,,,,,
1ba5ec6b-60fd-402a-a359-941fdcc845b6,2058200864,Fa_OtDojo_Menu_07,自動オトモ選出,Auto-select Buddies,Sélection auto Pilpoils,Autoselez. compagni,Auto-Buddywahl,Autosel. camaradas,Автовыбор спут.,Autowybór kompanów,,,Sel. Auto de Amigos,자동 동반자 선출,自動挑選隨從,自动选出随从,,,,,,,,حدد الرفاق تلقائيًا,,,,,,,,,,,
4fbca068-e042-43be-908b-a6295c2d20dc,2413245439,Fa_OtDojo_Menu_08,特訓詳細,Training Details,Infos entraîn.,Info addestram.,Trainingsdetails,Detalles entren.,О тренировке,Szczeg. treningu,,,Detal. de Trein.,특훈 세부 정보,特訓詳細資訊,特训详情,,,,,,,,خيارات التدريب,,,,,,,,,,,
02d50668-5fe9-4f59-b91a-cdc0cff6d78d,3212840912,Fa_OtDojo_Menu_09,特訓メニュー,Training Menu,Menu entraîn.,Menu addestram.,Trainingsmenü,Menú entrenam.,Меню тренировки,Menu treningu,,,Menu de Trein.,특훈 메뉴,特訓選單,特训菜单,,,,,,,,قائمة التدريب,,,,,,,,,,,
54f20985-501d-4f18-8e88-0591dd2cdfb8,2697993499,Fa_OtDojo_Menu_10,<ICON PAD_Y>選出ルール変更,<ICON PAD_Y> Adjust Criteria,<ICON PAD_Y> Ajuster critères,<ICON PAD_Y> Imposta criteri,<ICON PAD_Y> Kriterien ändern,<ICON PAD_Y> Conf. condiciones,<ICON PAD_Y> Настр. критерий,<ICON PAD_Y> Dostosuj kryteria,,,<ICON PAD_Y> Ajustar Critérios,<ICON PAD_Y>선출 규칙 변경,<ICON PAD_Y>更改挑選規則,<ICON PAD_Y>变更选出规则,,,,,,,,<ICON PAD_Y> ضبط المعايير,,,,,,,,,,,
