guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
2be9ac2d-b27a-4251-877c-a1ca91d2ff76,1902274189,Fa_OtSpyUnit_Menu_01,オトモ隠密隊,Meowcenaries,Miaourcenaires,Miaorcenari,Miaunster-Jäger,Miaurcenarios,Мяуемники,Miaujemnicy,,,Miaucenários,동반자 그림자 부대,隨從隱密隊,随从隐秘队,,,,,,,,القطط المرتزقة,,,,,,,,,,,
45ce2cbf-2d00-4b09-9cf2-bd8f185add15,484048638,Fa_OtSpyUnit_Menu_02,受け取りＢＯＸ,Pickup Box,Coffre de récup.,Cassa ritiri,Abholtruhe,Baúl de recogida,Сундук,Skrzynka odbiorcza,,,Caixa de Coleta,수령 BOX,領取箱,领取箱,,,,,,,,صندوق التجميع,,,,,,,,,,,
446aabf2-2cbf-422f-82ed-ffaed688b464,1967861847,Fa_OtSpyUnit_Menu_03,隠密隊メニュー,Meowcenaries,Miaourcenaires,Miaorcenari,Miaunster-Jäger,Miaurcenarios,Мяуемники,Miaujemnicy,,,Miaucenários,그림자 부대 메뉴,隱密隊選單,隐秘队菜单,,,,,,,,القطط المرتزقة,,,,,,,,,,,
84d6a7dc-672d-4474-b581-b49dc5db4e51,2973913335,Fa_OtSpyUnit_Menu_04,調査先選択,Select Destination,Sélec. destin.,Scegli destinaz.,Ziel auswählen,Elegir destino,Выбрать пункт,Wyb. punkt doc.,,,Escolher Destino,조사 지역 선택,選擇調查地點,选择调查目标,,,,,,,,تحديد وجهة,,,,,,,,,,,
a997dca4-efdd-44f4-af32-dce814473749,553584131,Fa_OtSpyUnit_Menu_05,オトモ選択,Select Buddies,Sélection Pilpoil,Scegli compagni,Buddys wählen,Elegir camaradas,Выбрать спутника,Wybierz kompanów,,,Seleção de Amigos,동반자 선택,選擇隨從,选择随从,,,,,,,,تحديد الرفاق,,,,,,,,,,,
52459201-6965-4ddb-82f1-c5be8429216e,1268895566,Fa_OtSpyUnit_Menu_06,調査ルート,Scouting Route ,Sélec. route ,Rotta esploraz. ,Scout-Route ,Ruta de búsqueda,Маршрут разведки,Trasa zwiadu ,,,Rota de Sondagem ,조사 루트,調查路線,调查路线,,,,,,,,استكشاف طريق ,,,,,,,,,,,
a118a096-d798-42b3-be5a-906b14b95be7,151679721,Fa_OtSpyUnit_Menu_07,隠密隊の状況,Team Status,Statut équipe,Stato squadra,Truppen-Status,Estado de equipo,Статус команды,Status drużyny,,,Status da Equipe,그림자 부대 상황,隱密隊狀況,隐秘队状况,,,,,,,,حالة الفريق,,,,,,,,,,,
cff32283-749f-44dc-ac75-c2a77753fff8,2446239677,Fa_OtSpyUnit_Menu_08,帰還命令,Recall Team,Rappeler l'équipe,Richiama squadra,Trupp zurückrufen,Llamar al equipo,Отозвать команду,Odwołaj drużynę,,,Chamar Equipe,귀환 명령,命令返回,命令返回,,,,,,,,استدعاء فريق,,,,,,,,,,,
01eece05-03f7-4ff0-95e8-aecff6670805,4116436775,Fa_OtSpyUnit_Menu_09,調査完了,Mission Complete,Mission accomplie,Missione compiuta!,Mission erfüllt,Misión cumplida,Миссия выполнена,Misja wykonana,,,Missão Concluída,조사 완료,調查完畢,调查完成,,,,,,,,اكتملت المهمة!,,,,,,,,,,,
a3859d03-71f4-4a37-acf7-ec7bfa5289e9,220921540,Fa_OtSpyUnit_Menu_10,受け取り済み,Received,Reçu,Ricevuti,Erhalten,Recibido,Получено,Odebrano,,,Recebido,수령 완료,已領取,已领取,,,,,,,,تم الاستلام,,,,,,,,,,,
a2481cea-3841-4aa2-a7de-4a7fce6ec9f8,2752838251,Fa_OtSpyUnit_Menu_11,隠密隊期待値,Expected Outcome,Résultat attendu,Risult. previsto,Erwartung,Result. esperado,Ожидаемый итог,Oczekiwany wynik,,,Result. Esperado,부대 기대치,隱密隊期望值,隐秘队期望值,,,,,,,,الناتج المتوقع,,,,,,,,,,,
56be1c11-770e-4071-a0c7-bcf18d42ed35,1139746830,Fa_OtSpyUnit_Menu_12,鉱石,Ore,Minerai,Minerale,Erz,Minerales,Руда,Ruda,,,Minério,광석,礦石,矿石,,,,,,,,خام,,,,,,,,,,,
53455800-71e8-4757-90ac-47f7f328089f,1849959939,Fa_OtSpyUnit_Menu_13,骨,Bones,Os,Ossa,Knochen,Huesos,Кости,Kości,,,Ossos,뼈,骨,骨,,,,,,,,عظام,,,,,,,,,,,
1974a828-1781-45d2-ab99-5a429b3adee9,3343589099,Fa_OtSpyUnit_Menu_14,薬草,Herbs,Herbes,Erbe,Kräuter,Hierbas,Травы,Zioła,,,Ervas,약초,藥草,药草,,,,,,,,عشبة,,,,,,,,,,,
80e13932-f4ce-4a94-b105-4ea54016de37,3308712919,Fa_OtSpyUnit_Menu_15,キノコ,Mushrooms,Champignons,Funghi,Pilze,Setas,Грибы,Grzyby,,,Cogumelos,버섯,香菇,蘑菇,,,,,,,,الفطر,,,,,,,,,,,
3f8c14cc-b882-49f4-a91a-8226241b8b9c,1600292122,Fa_OtSpyUnit_Menu_16,魚,Fish,Poisson,Pesce,Fisch,Peces,Рыба,Ryby,,,Peixe,물고기,魚,鱼,,,,,,,,سمك,,,,,,,,,,,
766aeed5-1fa9-495a-9258-2afdd23ba88c,3796603512,Fa_OtSpyUnit_Menu_17,虫,Insects,Insectes,Insetti,Insekten,Insectos,Насекомые,Owady,,,Insetos,벌레,蟲,虫,,,,,,,,حشرات,,,,,,,,,,,
3d67dfc4-7c60-4ef2-9ce3-786cf3f50231,1032145695,Fa_OtSpyUnit_Menu_18,必要カムラポイント,Required Points,Points requis,Punti necessari,Nötige Punkte,Puntos necesarios,Необходимые очки,Wymagane punkty,,,Pontos necessários,필요 카무라 포인트,所需神火點數,所需炎火点数,,,,,,,,نقاط مطلوبة,,,,,,,,,,,
6d1a181c-16a3-46fc-8f8c-25e9e9de9dfe,3277326544,Fa_OtSpyUnit_Menu_19,調査先費用,Location Cost,Coût zone,Costo bioma,Ortskosten,Coste de zona,Цена локации,Koszt na obszar,,,Custo do Local,조사 비용,該地點所需費用,调查目标费用,,,,,,,,تكلفة الموقع,,,,,,,,,,,
aed7da95-362b-46ee-a0c2-a6d70a2a18c4,2002360531,Fa_OtSpyUnit_Menu_20,調査先,Scout Location,Explorer zone,Area perlustrabile,Scout-Orte,Lugar expedic.,Изучить место,Miejsce,,,Local do Batedor,조사처,調查地點,调查目标,,,,,,,,مكان استكشاف,,,,,,,,,,,
